pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.144174e-01, 2.144174e-01, 0.000000e+00, 0.000000e+00, 1.110650e-09, 4.117382e-01, 4.044928e-02, 3.875876e-08, 4.474470e-09, 9.559015e-10, 9.942040e-16, 2.787358e-16, 2.764885e-16, 4.389797e-16, 3.088068e-20, 2.766270e-16, 2.160723e-20, 3.088494e-16, 1.161887e+00, 1.046133e+09, 1.046133e+09, 2.509665e-07, 2.489430e-07, 2.780417e-11, 1.945459e-11, 3.489738e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.171594e-01, 2.171594e-01, 0.000000e+00, 0.000000e+00, 1.225010e-09, 4.116611e-01, 4.045346e-02, 4.271422e-08, 4.925195e-09, 1.048968e-09, 9.933109e-16, 2.786326e-16, 2.764873e-16, 4.381910e-16, 3.122318e-20, 2.766240e-16, 2.796954e-20, 3.098305e-16, 1.167825e+00, 9.533180e+08, 9.533180e+08, 2.274532e-07, 2.257020e-07, 2.548809e-11, 2.283208e-11, 3.486845e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.195709e-01, 2.195709e-01, 0.000000e+00, 0.000000e+00, 1.335177e-09, 4.115936e-01, 4.045748e-02, 4.652011e-08, 5.358378e-09, 1.138256e-09, 9.925519e-16, 2.785661e-16, 2.764862e-16, 4.374996e-16, 3.155747e-20, 2.766215e-16, 3.370385e-20, 3.107419e-16, 1.173002e+00, 8.785369e+08, 8.785369e+08, 2.086362e-07, 2.070784e-07, 2.363543e-11, 2.524299e-11, 3.484191e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.217983e-01, 2.217983e-01, 0.000000e+00, 0.000000e+00, 1.445617e-09, 4.115316e-01, 4.046150e-02, 5.033124e-08, 5.791710e-09, 1.227440e-09, 9.918752e-16, 2.785274e-16, 2.764853e-16, 4.368625e-16, 3.189461e-20, 2.766193e-16, 3.912643e-20, 3.116267e-16, 1.177749e+00, 8.147038e+08, 8.147038e+08, 1.926703e-07, 1.912577e-07, 2.206298e-11, 2.706556e-11, 3.481645e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.238667e-01, 2.238667e-01, 0.000000e+00, 0.000000e+00, 1.556250e-09, 4.114743e-01, 4.046552e-02, 5.414500e-08, 6.224922e-09, 1.316479e-09, 9.912694e-16, 2.785129e-16, 2.764845e-16, 4.362720e-16, 3.223283e-20, 2.766175e-16, 4.427924e-20, 3.124873e-16, 1.182131e+00, 7.596020e+08, 7.596020e+08, 1.789641e-07, 1.776607e-07, 2.071185e-11, 2.845252e-11, 3.479196e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.257968e-01, 2.257968e-01, 0.000000e+00, 0.000000e+00, 1.667021e-09, 4.114211e-01, 4.046954e-02, 5.795956e-08, 6.657839e-09, 1.405349e-09, 9.907254e-16, 2.785199e-16, 2.764837e-16, 4.357217e-16, 3.257089e-20, 2.766158e-16, 4.919647e-20, 3.133261e-16, 1.186197e+00, 7.115671e+08, 7.115671e+08, 1.670764e-07, 1.658550e-07, 1.953839e-11, 2.951161e-11, 3.476835e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.276055e-01, 2.276055e-01, 0.000000e+00, 0.000000e+00, 1.777888e-09, 4.113714e-01, 4.047356e-02, 6.177368e-08, 7.090344e-09, 1.494037e-09, 9.902355e-16, 2.785459e-16, 2.764830e-16, 4.352066e-16, 3.290795e-20, 2.766143e-16, 5.390628e-20, 3.141451e-16, 1.189989e+00, 6.693275e+08, 6.693275e+08, 1.566724e-07, 1.555121e-07, 1.850958e-11, 3.032041e-11, 3.474554e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.293070e-01, 2.293070e-01, 0.000000e+00, 0.000000e+00, 1.888824e-09, 4.113248e-01, 4.047757e-02, 6.558651e-08, 7.522363e-09, 1.582537e-09, 9.897936e-16, 2.785889e-16, 2.764824e-16, 4.347223e-16, 3.324341e-20, 2.766130e-16, 5.843212e-20, 3.149459e-16, 1.193542e+00, 6.318967e+08, 6.318967e+08, 1.474933e-07, 1.463781e-07, 1.760006e-11, 3.093572e-11, 3.472347e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.324340e-01, 2.324340e-01, 0.000000e+00, 0.000000e+00, 2.110829e-09, 4.112397e-01, 4.048559e-02, 7.320624e-08, 8.384785e-09, 1.758972e-09, 9.890331e-16, 2.787193e-16, 2.764812e-16, 4.338326e-16, 3.390802e-20, 2.766108e-16, 6.700769e-20, 3.164989e-16, 1.200035e+00, 5.685138e+08, 5.685138e+08, 1.320426e-07, 1.309823e-07, 1.606384e-11, 3.174473e-11, 3.468128e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.338780e-01, 2.338780e-01, 0.000000e+00, 0.000000e+00, 2.221874e-09, 4.112005e-01, 4.048959e-02, 7.701250e-08, 8.815152e-09, 1.846913e-09, 9.887063e-16, 2.788040e-16, 2.764807e-16, 4.334216e-16, 3.423672e-20, 2.766099e-16, 7.108837e-20, 3.172536e-16, 1.203020e+00, 5.414440e+08, 5.414440e+08, 1.254815e-07, 1.244358e-07, 1.540894e-11, 3.199479e-11, 3.466106e+01, nan, 1.370000e+00
