pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 6.167740e-02, 6.167740e-02, 0.000000e+00, 0.000000e+00, 1.108654e-09, 3.364320e-01, 5.649081e-02, 2.774089e-08, 3.598893e-09, 5.234529e-09, 1.014675e-15, 2.653428e-16, 2.788001e-16, 4.705321e-16, 1.844315e-19, 2.817673e-16, 3.905389e-18, 2.999904e-16, 2.117963e-01, 1.910392e+08, 1.910392e+08, 2.393378e-07, 2.514762e-07, 1.663563e-10, 3.522640e-09, 2.502213e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 6.492040e-02, 6.492040e-02, 0.000000e+00, 0.000000e+00, 1.219653e-09, 3.351671e-01, 5.649605e-02, 3.049877e-08, 3.950105e-09, 5.018324e-09, 1.013296e-15, 2.652712e-16, 2.785979e-16, 4.694267e-16, 1.768316e-19, 2.813098e-16, 3.507974e-18, 3.005539e-16, 2.430400e-01, 1.992697e+08, 1.992697e+08, 2.174972e-07, 2.284238e-07, 1.449851e-10, 2.876206e-09, 2.500610e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 6.793793e-02, 6.793793e-02, 0.000000e+00, 0.000000e+00, 1.330662e-09, 3.341348e-01, 5.650131e-02, 3.325408e-08, 4.300474e-09, 4.840115e-09, 1.012030e-15, 2.651923e-16, 2.784322e-16, 4.684057e-16, 1.705182e-19, 2.809348e-16, 3.182921e-18, 3.011208e-16, 2.749236e-01, 2.066067e+08, 2.066067e+08, 1.992935e-07, 2.092434e-07, 1.281454e-10, 2.391983e-09, 2.499063e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 7.075694e-02, 7.075694e-02, 0.000000e+00, 0.000000e+00, 1.441678e-09, 3.332802e-01, 5.650659e-02, 3.600690e-08, 4.650066e-09, 4.694955e-09, 1.010864e-15, 2.651116e-16, 2.782941e-16, 4.674580e-16, 1.652072e-19, 2.806225e-16, 2.912476e-18, 3.016869e-16, 3.070696e-01, 2.129946e+08, 2.129946e+08, 1.838909e-07, 1.930348e-07, 1.145937e-10, 2.020199e-09, 2.497568e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 7.340017e-02, 7.340017e-02, 0.000000e+00, 0.000000e+00, 1.552702e-09, 3.325637e-01, 5.651189e-02, 3.875732e-08, 4.998936e-09, 4.578169e-09, 1.009785e-15, 2.650326e-16, 2.781775e-16, 4.665748e-16, 1.606910e-19, 2.803585e-16, 2.684134e-18, 3.022498e-16, 3.391534e-01, 2.184279e+08, 2.184279e+08, 1.706913e-07, 1.791571e-07, 1.034912e-10, 1.728686e-09, 2.496122e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 7.588692e-02, 7.588692e-02, 0.000000e+00, 0.000000e+00, 1.663731e-09, 3.319560e-01, 5.651721e-02, 4.150544e-08, 5.347129e-09, 4.485577e-09, 1.008784e-15, 2.649576e-16, 2.780777e-16, 4.657484e-16, 1.568147e-19, 2.801327e-16, 2.488861e-18, 3.028078e-16, 3.709068e-01, 2.229368e+08, 2.229368e+08, 1.592551e-07, 1.671410e-07, 9.425482e-11, 1.495952e-09, 2.494721e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 7.823371e-02, 7.823371e-02, 0.000000e+00, 0.000000e+00, 1.774767e-09, 3.314351e-01, 5.652253e-02, 4.425136e-08, 5.694687e-09, 4.413559e-09, 1.007852e-15, 2.648881e-16, 2.779914e-16, 4.649725e-16, 1.534607e-19, 2.799374e-16, 2.319986e-18, 3.033601e-16, 4.021170e-01, 2.265745e+08, 2.265745e+08, 1.492523e-07, 1.566354e-07, 8.646805e-11, 1.307206e-09, 2.493361e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 8.045503e-02, 8.045503e-02, 0.000000e+00, 0.000000e+00, 1.885825e-09, 3.309842e-01, 5.652786e-02, 4.699553e-08, 6.041693e-09, 4.359032e-09, 1.006982e-15, 2.648246e-16, 2.779160e-16, 4.642415e-16, 1.505377e-19, 2.797670e-16, 2.172470e-18, 3.039061e-16, 4.326247e-01, 2.294087e+08, 2.294087e+08, 1.404290e-07, 1.473710e-07, 7.982588e-11, 1.152000e-09, 2.492041e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 8.458473e-02, 8.458473e-02, 0.000000e+00, 0.000000e+00, 2.108933e-09, 3.302413e-01, 5.653858e-02, 5.250180e-08, 6.737043e-09, 4.292348e-09, 1.005399e-15, 2.647176e-16, 2.777903e-16, 4.628910e-16, 1.456974e-19, 2.794827e-16, 1.926121e-18, 3.049828e-16, 4.913238e-01, 2.329727e+08, 2.329727e+08, 1.255221e-07, 1.317208e-07, 6.908583e-11, 9.133155e-10, 2.489496e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 8.655106e-02, 8.655106e-02, 0.000000e+00, 0.000000e+00, 2.223342e-09, 3.299258e-01, 5.654408e-02, 5.532214e-08, 7.092760e-09, 4.276148e-09, 1.004662e-15, 2.646736e-16, 2.777363e-16, 4.622517e-16, 1.436423e-19, 2.793606e-16, 1.820073e-18, 3.055246e-16, 5.199404e-01, 2.338553e+08, 2.338553e+08, 1.190431e-07, 1.249184e-07, 6.460649e-11, 8.186201e-10, 2.488242e+01, nan, 1.370000e+00
