pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.121517e-01, 2.121517e-01, 0.000000e+00, 0.000000e+00, 1.104807e-09, 4.843992e-01, 5.599239e-02, 2.755582e-08, 4.031150e-09, 7.250884e-10, 9.280002e-16, 2.326252e-16, 2.368803e-16, 4.584946e-16, 3.122943e-20, 2.370231e-16, 6.279720e-20, 2.630173e-16, 1.523686e+00, 1.379142e+09, 1.379142e+09, 2.105573e-07, 2.144088e-07, 2.826687e-11, 5.683998e-11, 2.494175e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.158939e-01, 2.158939e-01, 0.000000e+00, 0.000000e+00, 1.215820e-09, 4.842902e-01, 5.599809e-02, 3.030216e-08, 4.426420e-09, 7.916906e-10, 9.265840e-16, 2.323450e-16, 2.368776e-16, 4.573614e-16, 3.126607e-20, 2.370159e-16, 5.508144e-20, 2.637835e-16, 1.535726e+00, 1.263120e+09, 1.263120e+09, 1.911015e-07, 1.948295e-07, 2.571604e-11, 4.530394e-11, 2.492323e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.193125e-01, 2.193125e-01, 0.000000e+00, 0.000000e+00, 1.326852e-09, 4.841916e-01, 5.600377e-02, 3.304607e-08, 4.820773e-09, 8.579878e-10, 9.253121e-16, 2.321031e-16, 2.368752e-16, 4.563338e-16, 3.133737e-20, 2.370097e-16, 4.814492e-20, 2.645228e-16, 1.546470e+00, 1.165518e+09, 1.165518e+09, 1.749276e-07, 1.785242e-07, 2.361783e-11, 3.628507e-11, 2.490561e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.224592e-01, 2.224592e-01, 0.000000e+00, 0.000000e+00, 1.437896e-09, 4.841017e-01, 5.600944e-02, 3.578748e-08, 5.214251e-09, 9.240026e-10, 9.241615e-16, 2.318943e-16, 2.368732e-16, 4.553940e-16, 3.143507e-20, 2.370043e-16, 4.183622e-20, 2.652386e-16, 1.556160e+00, 1.082248e+09, 1.082248e+09, 1.612733e-07, 1.647359e-07, 2.186185e-11, 2.909544e-11, 2.488878e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.254510e-01, 2.254510e-01, 0.000000e+00, 0.000000e+00, 1.551987e-09, 4.840169e-01, 5.601526e-02, 3.860136e-08, 5.617631e-09, 9.915513e-10, 9.230868e-16, 2.317099e-16, 2.368713e-16, 4.545056e-16, 3.155668e-20, 2.369995e-16, 3.589083e-20, 2.659526e-16, 1.565211e+00, 1.008521e+09, 1.008521e+09, 1.492989e-07, 1.526245e-07, 2.033308e-11, 2.312573e-11, 2.487222e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.281422e-01, 2.281422e-01, 0.000000e+00, 0.000000e+00, 1.662240e-09, 4.839411e-01, 5.602087e-02, 4.131802e-08, 6.006632e-09, 1.056580e-09, 9.221374e-16, 2.315573e-16, 2.368696e-16, 4.537106e-16, 3.169022e-20, 2.369953e-16, 3.057578e-20, 2.666242e-16, 1.573226e+00, 9.464497e+08, 9.464497e+08, 1.393043e-07, 1.425003e-07, 1.906477e-11, 1.839433e-11, 2.485683e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.306670e-01, 2.306670e-01, 0.000000e+00, 0.000000e+00, 1.772708e-09, 4.838706e-01, 5.602648e-02, 4.403755e-08, 6.395636e-09, 1.121509e-09, 9.212628e-16, 2.314267e-16, 2.368681e-16, 4.529679e-16, 3.183651e-20, 2.369916e-16, 2.560884e-20, 2.672810e-16, 1.580645e+00, 8.916557e+08, 8.916557e+08, 1.305498e-07, 1.336194e-07, 1.795925e-11, 1.444617e-11, 2.484197e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.330441e-01, 2.330441e-01, 0.000000e+00, 0.000000e+00, 1.883336e-09, 4.838045e-01, 5.603209e-02, 4.675867e-08, 6.784484e-09, 1.186319e-09, 9.204545e-16, 2.313162e-16, 2.368667e-16, 4.522715e-16, 3.199307e-20, 2.369883e-16, 2.094277e-20, 2.679242e-16, 1.587546e+00, 8.429436e+08, 8.429436e+08, 1.228226e-07, 1.257698e-07, 1.698745e-11, 1.112004e-11, 2.482758e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.374162e-01, 2.374162e-01, 0.000000e+00, 0.000000e+00, 2.104916e-09, 4.836840e-01, 5.604331e-02, 5.220216e-08, 7.561295e-09, 1.315539e-09, 9.190095e-16, 2.311481e-16, 2.368643e-16, 4.509971e-16, 3.232947e-20, 2.369825e-16, 1.236525e-20, 2.691738e-16, 1.600040e+00, 7.601446e+08, 7.601446e+08, 1.098134e-07, 1.125291e-07, 1.535903e-11, 5.874464e-12, 2.480012e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.394363e-01, 2.394363e-01, 0.000000e+00, 0.000000e+00, 2.215816e-09, 4.836287e-01, 5.604891e-02, 5.492336e-08, 7.949127e-09, 1.379940e-09, 9.183614e-16, 2.310874e-16, 2.368632e-16, 4.504108e-16, 3.250651e-20, 2.369799e-16, 8.395080e-21, 2.697820e-16, 1.605734e+00, 7.246694e+08, 7.246694e+08, 1.042900e-07, 1.068966e-07, 1.467022e-11, 3.788709e-12, 2.478697e+01, nan, 1.370000e+00
