pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.922488e-01, 2.922488e-01, 0.000000e+00, 0.000000e+00, 1.111122e-09, 4.907273e-01, 4.027372e-02, 3.864259e-08, 4.780728e-09, 8.551064e-10, 9.505712e-16, 2.603408e-16, 2.564724e-16, 4.337580e-16, 1.950821e-20, 2.565330e-16, 5.338721e-20, 2.901608e-16, 1.299396e+00, 1.169445e+09, 1.169445e+09, 2.343043e-07, 2.308229e-07, 1.755722e-11, 4.804801e-11, 3.477799e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.949193e-01, 2.949193e-01, 0.000000e+00, 0.000000e+00, 1.221720e-09, 4.906613e-01, 4.027775e-02, 4.245465e-08, 5.246312e-09, 9.367591e-10, 9.497690e-16, 2.602639e-16, 2.564724e-16, 4.330328e-16, 1.981622e-20, 2.565327e-16, 5.651393e-20, 2.911299e-16, 1.304199e+00, 1.067510e+09, 1.067510e+09, 2.130307e-07, 2.099273e-07, 1.621994e-11, 4.625768e-11, 3.474990e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.973684e-01, 2.973684e-01, 0.000000e+00, 0.000000e+00, 1.332698e-09, 4.906011e-01, 4.028179e-02, 4.627532e-08, 5.712426e-09, 1.018416e-09, 9.490611e-16, 2.602196e-16, 2.564723e-16, 4.323692e-16, 2.012032e-20, 2.565324e-16, 5.952391e-20, 2.920690e-16, 1.308599e+00, 9.819170e+08, 9.819170e+08, 1.952577e-07, 1.924459e-07, 1.509743e-11, 4.466421e-11, 3.472303e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.996255e-01, 2.996255e-01, 0.000000e+00, 0.000000e+00, 1.443793e-09, 4.905457e-01, 4.028582e-02, 5.009570e-08, 6.178022e-09, 1.099905e-09, 9.484344e-16, 2.602036e-16, 2.564722e-16, 4.317585e-16, 2.041974e-20, 2.565322e-16, 6.242549e-20, 2.929799e-16, 1.312653e+00, 9.091696e+08, 9.091696e+08, 1.802223e-07, 1.776378e-07, 1.414312e-11, 4.323715e-11, 3.469728e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.017171e-01, 3.017171e-01, 0.000000e+00, 0.000000e+00, 1.554902e-09, 4.904946e-01, 4.028984e-02, 5.391245e-08, 6.642732e-09, 1.181171e-09, 9.478777e-16, 2.602123e-16, 2.564721e-16, 4.311932e-16, 2.071429e-20, 2.565320e-16, 6.522903e-20, 2.938650e-16, 1.316408e+00, 8.466178e+08, 8.466178e+08, 1.673496e-07, 1.649442e-07, 1.332192e-11, 4.195056e-11, 3.467256e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.036657e-01, 3.036657e-01, 0.000000e+00, 0.000000e+00, 1.666007e-09, 4.904471e-01, 4.029386e-02, 5.772505e-08, 7.106526e-09, 1.262216e-09, 9.473815e-16, 2.602425e-16, 2.564720e-16, 4.306669e-16, 2.100405e-20, 2.565319e-16, 6.794486e-20, 2.947271e-16, 1.319906e+00, 7.922574e+08, 7.922574e+08, 1.562074e-07, 1.539442e-07, 1.260742e-11, 4.078306e-11, 3.464875e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.054898e-01, 3.054898e-01, 0.000000e+00, 0.000000e+00, 1.777114e-09, 4.904027e-01, 4.029787e-02, 6.153392e-08, 7.569482e-09, 1.343062e-09, 9.469381e-16, 2.602919e-16, 2.564719e-16, 4.301743e-16, 2.128924e-20, 2.565318e-16, 7.058220e-20, 2.955685e-16, 1.323181e+00, 7.445673e+08, 7.445673e+08, 1.464689e-07, 1.443193e-07, 1.197967e-11, 3.971732e-11, 3.462576e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.072044e-01, 3.072044e-01, 0.000000e+00, 0.000000e+00, 1.888222e-09, 4.903612e-01, 4.030188e-02, 6.533912e-08, 8.031630e-09, 1.423719e-09, 9.465412e-16, 2.603583e-16, 2.564718e-16, 4.297111e-16, 2.157005e-20, 2.565317e-16, 7.314859e-20, 2.963913e-16, 1.326260e+00, 7.023857e+08, 7.023857e+08, 1.378854e-07, 1.358271e-07, 1.142347e-11, 3.873941e-11, 3.460352e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.103532e-01, 3.103532e-01, 0.000000e+00, 0.000000e+00, 2.110445e-09, 4.902851e-01, 4.030987e-02, 7.293912e-08, 8.953670e-09, 1.584516e-09, 9.458666e-16, 2.605354e-16, 2.564715e-16, 4.288597e-16, 2.211929e-20, 2.565317e-16, 7.809367e-20, 2.979875e-16, 1.331917e+00, 6.311074e+08, 6.311074e+08, 1.234505e-07, 1.215249e-07, 1.048086e-11, 3.700342e-11, 3.456102e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.118069e-01, 3.118069e-01, 0.000000e+00, 0.000000e+00, 2.221569e-09, 4.902500e-01, 4.031386e-02, 7.673446e-08, 9.413662e-09, 1.664682e-09, 9.455809e-16, 2.606434e-16, 2.564714e-16, 4.284661e-16, 2.238813e-20, 2.565317e-16, 8.048294e-20, 2.987636e-16, 1.334531e+00, 6.007154e+08, 6.007154e+08, 1.173240e-07, 1.154460e-07, 1.007762e-11, 3.622797e-11, 3.454065e+01, nan, 1.370000e+00
