pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.192880e-01, 3.192880e-01, 0.000000e+00, 0.000000e+00, 1.111244e-09, 4.329721e-01, 3.728759e-02, 3.927084e-08, 6.468355e-09, 1.268955e-10, 2.192784e-15, 4.219981e-16, 2.799558e-16, 1.490830e-15, 2.155193e-19, 2.802905e-16, 8.243305e-19, 5.790621e-16, 8.757159e+00, 7.880500e+09, 7.880500e+09, 3.797529e-07, 2.519301e-07, 1.939442e-10, 7.418087e-10, 3.533953e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.220198e-01, 3.220198e-01, 0.000000e+00, 0.000000e+00, 1.224123e-09, 4.329631e-01, 3.734171e-02, 4.316170e-08, 7.099934e-09, 1.392100e-10, 2.197858e-15, 4.303395e-16, 2.799576e-16, 1.487560e-15, 2.219690e-19, 2.802956e-16, 8.636046e-19, 5.924255e-16, 8.793355e+00, 7.183391e+09, 7.183391e+09, 3.515492e-07, 2.287005e-07, 1.813290e-10, 7.054884e-10, 3.525928e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.244248e-01, 3.244248e-01, 0.000000e+00, 0.000000e+00, 1.332700e-09, 4.329551e-01, 3.739361e-02, 4.689327e-08, 7.704925e-09, 1.510064e-10, 2.202902e-15, 4.383463e-16, 2.799593e-16, 1.484596e-15, 2.279869e-19, 2.803005e-16, 9.001439e-19, 6.049134e-16, 8.825451e+00, 6.622234e+09, 6.622234e+09, 3.289159e-07, 2.100693e-07, 1.710714e-10, 6.754288e-10, 3.518667e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.266967e-01, 3.266967e-01, 0.000000e+00, 0.000000e+00, 1.443867e-09, 4.329476e-01, 3.744660e-02, 5.070336e-08, 8.321974e-09, 1.630378e-10, 2.208202e-15, 4.465239e-16, 2.799610e-16, 1.481717e-15, 2.339791e-19, 2.803054e-16, 9.364417e-19, 6.173723e-16, 8.856024e+00, 6.133547e+09, 6.133547e+09, 3.092556e-07, 1.938967e-07, 1.620503e-10, 6.485652e-10, 3.511637e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.288067e-01, 3.288067e-01, 0.000000e+00, 0.000000e+00, 1.555179e-09, 4.329407e-01, 3.749950e-02, 5.450842e-08, 8.937582e-09, 1.750405e-10, 2.213620e-15, 4.546896e-16, 2.799627e-16, 1.478968e-15, 2.398239e-19, 2.803103e-16, 9.717770e-19, 6.295524e-16, 8.884683e+00, 5.712965e+09, 5.712965e+09, 2.923712e-07, 1.800196e-07, 1.542098e-10, 6.248650e-10, 3.504961e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.307809e-01, 3.307809e-01, 0.000000e+00, 0.000000e+00, 1.666864e-09, 4.329342e-01, 3.755243e-02, 5.831670e-08, 9.553134e-09, 1.870409e-10, 2.219148e-15, 4.628580e-16, 2.799643e-16, 1.476326e-15, 2.455463e-19, 2.803151e-16, 1.006314e-18, 6.415070e-16, 8.911764e+00, 5.346425e+09, 5.346425e+09, 2.776819e-07, 1.679587e-07, 1.473103e-10, 6.037170e-10, 3.498587e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.326435e-01, 3.326435e-01, 0.000000e+00, 0.000000e+00, 1.779371e-09, 4.329281e-01, 3.760559e-02, 6.214383e-08, 1.017119e-08, 1.990886e-10, 2.224794e-15, 4.710600e-16, 2.799660e-16, 1.473768e-15, 2.511789e-19, 2.803199e-16, 1.040262e-18, 6.533052e-16, 8.937584e+00, 5.022890e+09, 5.022890e+09, 2.647340e-07, 1.573399e-07, 1.411616e-10, 5.846234e-10, 3.492461e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.343396e-01, 3.343396e-01, 0.000000e+00, 0.000000e+00, 1.888226e-09, 4.329226e-01, 3.765688e-02, 6.583842e-08, 1.076736e-08, 2.107078e-10, 2.230318e-15, 4.789695e-16, 2.799675e-16, 1.471381e-15, 2.565127e-19, 2.803245e-16, 1.072369e-18, 6.645076e-16, 8.961350e+00, 4.745909e+09, 4.745909e+09, 2.536611e-07, 1.482701e-07, 1.358485e-10, 5.679243e-10, 3.486787e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.375266e-01, 3.375266e-01, 0.000000e+00, 0.000000e+00, 2.110538e-09, 4.329122e-01, 3.776121e-02, 7.335980e-08, 1.197970e-08, 2.343285e-10, 2.241743e-15, 4.950393e-16, 2.799706e-16, 1.466733e-15, 2.670846e-19, 2.803337e-16, 1.135915e-18, 6.868037e-16, 9.006748e+00, 4.267513e+09, 4.267513e+09, 2.345560e-07, 1.326537e-07, 1.265481e-10, 5.382109e-10, 3.475882e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.390017e-01, 3.390017e-01, 0.000000e+00, 0.000000e+00, 2.221855e-09, 4.329075e-01, 3.781323e-02, 7.711453e-08, 1.258429e-08, 2.461037e-10, 2.247521e-15, 5.030425e-16, 2.799722e-16, 1.464506e-15, 2.722306e-19, 2.803383e-16, 1.166807e-18, 6.977026e-16, 9.028126e+00, 4.063328e+09, 4.063328e+09, 2.264065e-07, 1.260083e-07, 1.225240e-10, 5.251498e-10, 3.470727e+01, nan, 1.370000e+00
