pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.818315e-01, 1.818315e-01, 0.000000e+00, 0.000000e+00, 1.109984e-09, 3.347480e-01, 5.181473e-02, 2.834063e-08, 5.020059e-09, 1.772448e-10, 2.242365e-15, 4.289339e-16, 2.815230e-16, 1.531908e-15, 7.614154e-19, 2.836816e-16, 7.232677e-19, 6.287344e-16, 6.262432e+00, 5.641913e+09, 5.641913e+09, 3.864326e-07, 2.536280e-07, 6.859699e-10, 6.516021e-10, 2.553247e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.855473e-01, 1.855473e-01, 0.000000e+00, 0.000000e+00, 1.221066e-09, 3.347201e-01, 5.187285e-02, 3.112489e-08, 5.503678e-09, 1.889777e-10, 2.250279e-15, 4.418734e-16, 2.814905e-16, 1.526915e-15, 7.746190e-19, 2.836143e-16, 8.785139e-19, 6.470188e-16, 6.461426e+00, 5.291630e+09, 5.291630e+09, 3.618752e-07, 2.305286e-07, 6.343796e-10, 7.194650e-10, 2.548994e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.889455e-01, 1.889455e-01, 0.000000e+00, 0.000000e+00, 1.332151e-09, 3.346956e-01, 5.193082e-02, 3.390358e-08, 5.985520e-09, 2.006670e-10, 2.258446e-15, 4.547794e-16, 2.814637e-16, 1.522203e-15, 7.878424e-19, 2.835591e-16, 1.021493e-18, 6.648320e-16, 6.638614e+00, 4.983379e+09, 4.983379e+09, 3.413873e-07, 2.112851e-07, 5.914062e-10, 7.668000e-10, 2.545025e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.920766e-01, 1.920766e-01, 0.000000e+00, 0.000000e+00, 1.443239e-09, 3.346738e-01, 5.198865e-02, 3.667708e-08, 6.465721e-09, 2.123089e-10, 2.266812e-15, 4.676415e-16, 2.814412e-16, 1.517730e-15, 8.010117e-19, 2.835133e-16, 1.154435e-18, 6.822241e-16, 6.797825e+00, 4.710117e+09, 4.710117e+09, 3.240222e-07, 1.950066e-07, 5.550097e-10, 7.998917e-10, 2.541303e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.949799e-01, 1.949799e-01, 0.000000e+00, 0.000000e+00, 1.554329e-09, 3.346542e-01, 5.204634e-02, 3.944572e-08, 6.944403e-09, 2.239018e-10, 2.275334e-15, 4.804516e-16, 2.814222e-16, 1.513460e-15, 8.140791e-19, 2.834751e-16, 1.278995e-18, 6.992357e-16, 6.942013e+00, 4.466244e+09, 4.466244e+09, 3.091055e-07, 1.810571e-07, 5.237496e-10, 8.228600e-10, 2.537797e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.976867e-01, 1.976867e-01, 0.000000e+00, 0.000000e+00, 1.665420e-09, 3.346364e-01, 5.210390e-02, 4.220982e-08, 7.421670e-09, 2.354452e-10, 2.283977e-15, 4.932035e-16, 2.814061e-16, 1.509368e-15, 8.270133e-19, 2.834430e-16, 1.396438e-18, 7.159003e-16, 7.073495e+00, 4.247273e+09, 4.247273e+09, 2.961435e-07, 1.689700e-07, 4.965793e-10, 8.384898e-10, 2.534484e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.002221e-01, 2.002221e-01, 0.000000e+00, 0.000000e+00, 1.776513e-09, 3.346201e-01, 5.216132e-02, 4.496964e-08, 7.897615e-09, 2.469397e-10, 2.292716e-15, 5.058922e-16, 2.813923e-16, 1.505431e-15, 8.397939e-19, 2.834158e-16, 1.507749e-18, 7.322457e-16, 7.194118e+00, 4.049572e+09, 4.049572e+09, 2.847669e-07, 1.583958e-07, 4.727203e-10, 8.487127e-10, 2.531343e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.026127e-01, 2.026127e-01, 0.000000e+00, 0.000000e+00, 1.887893e-09, 3.346052e-01, 5.221875e-02, 4.773252e-08, 8.373542e-09, 2.584156e-10, 2.301550e-15, 5.185461e-16, 2.813804e-16, 1.501623e-15, 8.524403e-19, 2.833929e-16, 1.613978e-18, 7.483364e-16, 7.305648e+00, 3.869736e+09, 3.869736e+09, 2.746692e-07, 1.490446e-07, 4.515299e-10, 8.549097e-10, 2.528349e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.069922e-01, 2.069922e-01, 0.000000e+00, 0.000000e+00, 2.109940e-09, 3.345785e-01, 5.233285e-02, 5.322930e-08, 9.318901e-09, 2.811543e-10, 2.319311e-15, 5.435597e-16, 2.813613e-16, 1.494390e-15, 8.771249e-19, 2.833570e-16, 1.812128e-18, 7.796054e-16, 7.504564e+00, 3.556766e+09, 3.556766e+09, 2.576185e-07, 1.333503e-07, 4.157107e-10, 8.588525e-10, 2.522787e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.090159e-01, 2.090159e-01, 0.000000e+00, 0.000000e+00, 2.220995e-09, 3.345665e-01, 5.238973e-02, 5.597318e-08, 9.790114e-09, 2.924597e-10, 2.328242e-15, 5.559589e-16, 2.813536e-16, 1.490929e-15, 8.892012e-19, 2.833431e-16, 1.905369e-18, 7.948724e-16, 7.594191e+00, 3.419274e+09, 3.419274e+09, 2.503198e-07, 1.266791e-07, 4.003616e-10, 8.578897e-10, 2.520185e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.109431e-01, 2.109431e-01, 0.000000e+00, 0.000000e+00, 2.332063e-09, 3.345553e-01, 5.244648e-02, 5.871410e-08, 1.026039e-08, 3.037236e-10, 2.337191e-15, 5.682834e-16, 2.813470e-16, 1.487560e-15, 9.010986e-19, 2.833314e-16, 1.995216e-18, 8.099115e-16, 7.678240e+00, 3.292467e+09, 3.292467e+09, 2.436828e-07, 1.206430e-07, 3.863955e-10, 8.555585e-10, 2.517690e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.127826e-01, 2.127826e-01, 0.000000e+00, 0.000000e+00, 2.443139e-09, 3.345447e-01, 5.250311e-02, 6.145210e-08, 1.072976e-08, 3.149468e-10, 2.346149e-15, 5.805316e-16, 2.813412e-16, 1.484277e-15, 9.128179e-19, 2.833216e-16, 2.081972e-18, 8.247341e-16, 7.757309e+00, 3.175140e+09, 3.175140e+09, 2.376171e-07, 1.151556e-07, 3.736250e-10, 8.521708e-10, 2.515293e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.145422e-01, 2.145422e-01, 0.000000e+00, 0.000000e+00, 2.554223e-09, 3.345347e-01, 5.255962e-02, 6.418727e-08, 1.119825e-08, 3.261303e-10, 2.355109e-15, 5.927022e-16, 2.813362e-16, 1.481071e-15, 9.243607e-19, 2.833135e-16, 2.165896e-18, 8.393502e-16, 7.831908e+00, 3.066259e+09, 3.066259e+09, 2.320480e-07, 1.101455e-07, 3.618951e-10, 8.479668e-10, 2.512987e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.162285e-01, 2.162285e-01, 0.000000e+00, 0.000000e+00, 2.665311e-09, 3.345253e-01, 5.261601e-02, 6.691968e-08, 1.166591e-08, 3.372753e-10, 2.364064e-15, 6.047944e-16, 2.813319e-16, 1.477938e-15, 9.357297e-19, 2.833068e-16, 2.247213e-18, 8.537690e-16, 7.902478e+00, 2.964937e+09, 2.964937e+09, 2.269133e-07, 1.055531e-07, 3.510771e-10, 8.431338e-10, 2.510765e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.178475e-01, 2.178475e-01, 0.000000e+00, 0.000000e+00, 2.776402e-09, 3.345164e-01, 5.267228e-02, 6.964942e-08, 1.213275e-08, 3.483828e-10, 2.373008e-15, 6.168077e-16, 2.813282e-16, 1.474873e-15, 9.469276e-19, 2.833014e-16, 2.326120e-18, 8.679989e-16, 7.969401e+00, 2.870406e+09, 2.870406e+09, 2.221608e-07, 1.013283e-07, 3.410628e-10, 8.378181e-10, 2.508621e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.194044e-01, 2.194044e-01, 0.000000e+00, 0.000000e+00, 2.887497e-09, 3.345078e-01, 5.272842e-02, 7.237658e-08, 1.259882e-08, 3.594539e-10, 2.381937e-15, 6.287415e-16, 2.813251e-16, 1.471871e-15, 9.579578e-19, 2.832971e-16, 2.402788e-18, 8.820475e-16, 8.033010e+00, 2.781998e+09, 2.781998e+09, 2.177462e-07, 9.742871e-08, 3.317607e-10, 8.321354e-10, 2.506551e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.223497e-01, 2.223497e-01, 0.000000e+00, 0.000000e+00, 3.109690e-09, 3.344920e-01, 5.284036e-02, 7.782349e-08, 1.352874e-08, 3.814907e-10, 2.399732e-15, 6.523705e-16, 2.813201e-16, 1.466041e-15, 9.795287e-19, 2.832915e-16, 2.549998e-18, 9.096282e-16, 8.151419e+00, 2.621296e+09, 2.621296e+09, 2.097863e-07, 9.046564e-08, 3.149923e-10, 8.200168e-10, 2.502612e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.237461e-01, 2.237461e-01, 0.000000e+00, 0.000000e+00, 3.220789e-09, 3.344845e-01, 5.289615e-02, 8.054339e-08, 1.399264e-08, 3.924584e-10, 2.408591e-15, 6.640656e-16, 2.813183e-16, 1.463207e-15, 9.900766e-19, 2.832899e-16, 2.620796e-18, 9.231726e-16, 8.206702e+00, 2.548041e+09, 2.548041e+09, 2.061810e-07, 8.734451e-08, 3.074019e-10, 8.137124e-10, 2.500735e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.250962e-01, 2.250962e-01, 0.000000e+00, 0.000000e+00, 3.331889e-09, 3.344774e-01, 5.295182e-02, 8.326104e-08, 1.445587e-08, 4.033935e-10, 2.417421e-15, 6.756812e-16, 2.813167e-16, 1.460423e-15, 1.000471e-18, 2.832891e-16, 2.689870e-18, 9.365604e-16, 8.259650e+00, 2.478969e+09, 2.478969e+09, 2.027922e-07, 8.443160e-08, 3.002714e-10, 8.073109e-10, 2.498914e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.264029e-01, 2.264029e-01, 0.000000e+00, 0.000000e+00, 3.442989e-09, 3.344706e-01, 5.300738e-02, 8.597649e-08, 1.491845e-08, 4.142969e-10, 2.426220e-15, 6.872177e-16, 2.813155e-16, 1.457687e-15, 1.010715e-18, 2.832889e-16, 2.757318e-18, 9.497967e-16, 8.310440e+00, 2.413728e+09, 2.413728e+09, 1.995992e-07, 8.170676e-08, 2.935575e-10, 8.008500e-10, 2.497147e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.276691e-01, 2.276691e-01, 0.000000e+00, 0.000000e+00, 3.554090e-09, 3.344641e-01, 5.306283e-02, 8.868981e-08, 1.538041e-08, 4.251693e-10, 2.434985e-15, 6.986754e-16, 2.813145e-16, 1.454995e-15, 1.020814e-18, 2.832893e-16, 2.823228e-18, 9.628864e-16, 8.359234e+00, 2.352004e+09, 2.352004e+09, 1.965835e-07, 7.915234e-08, 2.872222e-10, 7.943602e-10, 2.495429e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.288971e-01, 2.288971e-01, 0.000000e+00, 0.000000e+00, 3.665192e-09, 3.344577e-01, 5.311815e-02, 9.140108e-08, 1.584175e-08, 4.360117e-10, 2.443715e-15, 7.100545e-16, 2.813138e-16, 1.452347e-15, 1.030769e-18, 2.832902e-16, 2.887679e-18, 9.758337e-16, 8.406178e+00, 2.293517e+09, 2.293517e+09, 1.937292e-07, 7.675283e-08, 2.812319e-10, 7.878658e-10, 2.493760e+01, nan, 1.370000e+00
