pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.549792e-01, 2.549792e-01, 0.000000e+00, 0.000000e+00, 1.110606e-09, 3.866724e-01, 4.412331e-02, 3.327445e-08, 5.672035e-09, 1.282840e-10, 2.216579e-15, 4.268623e-16, 2.803066e-16, 1.509410e-15, 3.712211e-19, 2.810519e-16, 1.016887e-18, 6.064262e-16, 8.657406e+00, 7.795206e+09, 7.795206e+09, 3.843506e-07, 2.523906e-07, 3.342508e-10, 9.156144e-10, 2.996061e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.581516e-01, 2.581516e-01, 0.000000e+00, 0.000000e+00, 1.221684e-09, 3.866595e-01, 4.417910e-02, 3.653387e-08, 6.218233e-09, 1.399095e-10, 2.223125e-15, 4.374609e-16, 2.803057e-16, 1.505359e-15, 3.811323e-19, 2.810519e-16, 1.083341e-18, 6.222442e-16, 8.731954e+00, 7.147475e+09, 7.147475e+09, 3.580803e-07, 2.294421e-07, 3.119729e-10, 8.867608e-10, 2.990452e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.610535e-01, 2.610535e-01, 0.000000e+00, 0.000000e+00, 1.332776e-09, 3.866479e-01, 4.423475e-02, 3.978602e-08, 6.762424e-09, 1.514696e-10, 2.229881e-15, 4.480391e-16, 2.803054e-16, 1.501536e-15, 3.907872e-19, 2.810531e-16, 1.146926e-18, 6.376368e-16, 8.798969e+00, 6.601985e+09, 6.601985e+09, 3.361698e-07, 2.103169e-07, 2.932129e-10, 8.605544e-10, 2.985199e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.637277e-01, 2.637277e-01, 0.000000e+00, 0.000000e+00, 1.443876e-09, 3.866374e-01, 4.429025e-02, 4.303120e-08, 7.304730e-09, 1.629689e-10, 2.236801e-15, 4.585891e-16, 2.803054e-16, 1.497907e-15, 4.002032e-19, 2.810551e-16, 1.208020e-18, 6.526515e-16, 8.859824e+00, 6.136140e+09, 6.136140e+09, 3.176098e-07, 1.941340e-07, 2.771729e-10, 8.366508e-10, 2.980256e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.662077e-01, 2.662077e-01, 0.000000e+00, 0.000000e+00, 1.554979e-09, 3.866276e-01, 4.434561e-02, 4.626975e-08, 7.845269e-09, 1.744117e-10, 2.243854e-15, 4.691051e-16, 2.803058e-16, 1.494443e-15, 4.093963e-19, 2.810579e-16, 1.266921e-18, 6.673272e-16, 8.915563e+00, 5.733559e+09, 5.733559e+09, 3.016794e-07, 1.802634e-07, 2.632809e-10, 8.147510e-10, 2.975587e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.685200e-01, 2.685200e-01, 0.000000e+00, 0.000000e+00, 1.666084e-09, 3.866186e-01, 4.440083e-02, 4.950201e-08, 8.384151e-09, 1.858019e-10, 2.251011e-15, 4.795827e-16, 2.803064e-16, 1.491122e-15, 4.183810e-19, 2.810611e-16, 1.323870e-18, 6.816957e-16, 8.966990e+00, 5.382077e+09, 5.382077e+09, 2.878503e-07, 1.682427e-07, 2.511165e-10, 7.946001e-10, 2.971160e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.706862e-01, 2.706862e-01, 0.000000e+00, 0.000000e+00, 1.777190e-09, 3.866102e-01, 4.445590e-02, 5.272832e-08, 8.921477e-09, 1.971426e-10, 2.258253e-15, 4.900186e-16, 2.803073e-16, 1.487927e-15, 4.271706e-19, 2.810648e-16, 1.379067e-18, 6.957839e-16, 9.014742e+00, 5.072471e+09, 5.072471e+09, 2.757267e-07, 1.577250e-07, 2.403630e-10, 7.759818e-10, 2.966949e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.727239e-01, 2.727239e-01, 0.000000e+00, 0.000000e+00, 1.888296e-09, 3.866024e-01, 4.451084e-02, 5.594898e-08, 9.457336e-09, 2.084367e-10, 2.265561e-15, 5.004102e-16, 2.803083e-16, 1.484843e-15, 4.357768e-19, 2.810689e-16, 1.432675e-18, 7.096142e-16, 9.059326e+00, 4.797620e+09, 4.797620e+09, 2.650063e-07, 1.484451e-07, 2.307778e-10, 7.587129e-10, 2.962935e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.764696e-01, 2.764696e-01, 0.000000e+00, 0.000000e+00, 2.110510e-09, 3.865881e-01, 4.462029e-02, 6.237445e-08, 1.052497e-08, 2.308948e-10, 2.280327e-15, 5.210527e-16, 2.803107e-16, 1.478963e-15, 4.524804e-19, 2.810779e-16, 1.535657e-18, 7.365757e-16, 9.140567e+00, 4.330976e+09, 4.330976e+09, 2.468848e-07, 1.328166e-07, 2.143939e-10, 7.276239e-10, 2.955421e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.782003e-01, 2.782003e-01, 0.000000e+00, 0.000000e+00, 2.221617e-09, 3.865816e-01, 4.467481e-02, 6.557975e-08, 1.105689e-08, 2.420630e-10, 2.287762e-15, 5.313007e-16, 2.803120e-16, 1.476149e-15, 4.605962e-19, 2.810827e-16, 1.585252e-18, 7.497379e-16, 9.177845e+00, 4.131156e+09, 4.131156e+09, 2.391505e-07, 1.261748e-07, 2.073247e-10, 7.135576e-10, 2.951893e+01, nan, 1.370000e+00
