pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 4.384460e-01, 4.384460e-01, 0.000000e+00, 0.000000e+00, 1.110233e-09, 5.555821e-01, 3.664209e-02, 3.822077e-08, 7.091227e-09, 9.868042e-11, 2.099167e-15, 4.210162e-16, 2.396829e-16, 1.438468e-15, 1.523074e-19, 2.398429e-16, 6.432979e-19, 5.813041e-16, 1.125079e+01, 1.013372e+10, 1.013372e+10, 3.792143e-07, 2.158852e-07, 1.371851e-10, 5.794261e-10, 3.442590e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 4.412126e-01, 4.412126e-01, 0.000000e+00, 0.000000e+00, 1.221338e-09, 5.555749e-01, 3.670401e-02, 4.194761e-08, 7.772691e-09, 1.082315e-10, 2.106132e-15, 4.315520e-16, 2.396841e-16, 1.434896e-15, 1.574939e-19, 2.398473e-16, 6.710632e-19, 5.967307e-16, 1.128449e+01, 9.239450e+09, 9.239450e+09, 3.533435e-07, 1.962471e-07, 1.289519e-10, 5.494491e-10, 3.434561e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 4.437516e-01, 4.437516e-01, 0.000000e+00, 0.000000e+00, 1.332798e-09, 5.555683e-01, 3.676592e-02, 4.567497e-08, 8.453432e-09, 1.177778e-10, 2.113191e-15, 4.420025e-16, 2.396853e-16, 1.431503e-15, 1.625117e-19, 2.398515e-16, 6.979554e-19, 6.117211e-16, 1.131621e+01, 8.490566e+09, 8.490566e+09, 3.316350e-07, 1.798362e-07, 1.219327e-10, 5.236769e-10, 3.426999e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 4.460819e-01, 4.460819e-01, 0.000000e+00, 0.000000e+00, 1.443781e-09, 5.555623e-01, 3.682736e-02, 4.937580e-08, 9.128588e-09, 1.272497e-10, 2.120267e-15, 4.522957e-16, 2.396864e-16, 1.428285e-15, 1.673443e-19, 2.398555e-16, 7.238810e-19, 6.262203e-16, 1.134604e+01, 7.858564e+09, 7.858564e+09, 3.132717e-07, 1.660130e-07, 1.159070e-10, 5.013788e-10, 3.419896e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 4.482448e-01, 4.482448e-01, 0.000000e+00, 0.000000e+00, 1.554808e-09, 5.555567e-01, 3.688862e-02, 5.306818e-08, 9.801528e-09, 1.366935e-10, 2.127377e-15, 4.624856e-16, 2.396874e-16, 1.425204e-15, 1.720321e-19, 2.398594e-16, 7.490527e-19, 6.403439e-16, 1.137441e+01, 7.315636e+09, 7.315636e+09, 2.974551e-07, 1.541589e-07, 1.106452e-10, 4.817654e-10, 3.413166e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 4.502629e-01, 4.502629e-01, 0.000000e+00, 0.000000e+00, 1.665864e-09, 5.555515e-01, 3.694969e-02, 5.675210e-08, 1.047231e-08, 1.461091e-10, 2.134506e-15, 4.725750e-16, 2.396884e-16, 1.422242e-15, 1.765881e-19, 2.398631e-16, 7.735371e-19, 6.541264e-16, 1.140151e+01, 6.844202e+09, 6.844202e+09, 2.836817e-07, 1.438824e-07, 1.060039e-10, 4.643460e-10, 3.406768e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 4.521544e-01, 4.521544e-01, 0.000000e+00, 0.000000e+00, 1.776937e-09, 5.555466e-01, 3.701057e-02, 6.042773e-08, 1.114100e-08, 1.554966e-10, 2.141643e-15, 4.825668e-16, 2.396894e-16, 1.419387e-15, 1.810235e-19, 2.398668e-16, 7.973915e-19, 6.675973e-16, 1.142750e+01, 6.431008e+09, 6.431008e+09, 2.715722e-07, 1.348890e-07, 1.018739e-10, 4.487449e-10, 3.400667e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 4.539345e-01, 4.539345e-01, 0.000000e+00, 0.000000e+00, 1.888023e-09, 5.555420e-01, 3.707127e-02, 6.409527e-08, 1.180770e-08, 1.648566e-10, 2.148780e-15, 4.924639e-16, 2.396903e-16, 1.416625e-15, 1.853481e-19, 2.398704e-16, 8.206651e-19, 6.807816e-16, 1.145251e+01, 6.065877e+09, 6.065877e+09, 2.608358e-07, 1.269531e-07, 9.817045e-11, 4.346690e-10, 3.394835e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 4.572087e-01, 4.572087e-01, 0.000000e+00, 0.000000e+00, 2.110214e-09, 5.555336e-01, 3.719209e-02, 7.140713e-08, 1.313541e-08, 1.834961e-10, 2.163026e-15, 5.119849e-16, 2.396920e-16, 1.411349e-15, 1.936965e-19, 2.398772e-16, 8.656357e-19, 7.063748e-16, 1.150005e+01, 5.449707e+09, 5.449707e+09, 2.426222e-07, 1.135866e-07, 9.178997e-11, 4.102122e-10, 3.383880e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 4.587222e-01, 4.587222e-01, 0.000000e+00, 0.000000e+00, 2.221316e-09, 5.555297e-01, 3.725222e-02, 7.505197e-08, 1.379658e-08, 1.927768e-10, 2.170125e-15, 5.216139e-16, 2.396928e-16, 1.408819e-15, 1.977342e-19, 2.398806e-16, 8.874031e-19, 7.188190e-16, 1.152274e+01, 5.187347e+09, 5.187347e+09, 2.348220e-07, 1.079058e-07, 8.901667e-11, 3.994943e-10, 3.378716e+01, nan, 1.370000e+00
