pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.010662e-01, 3.010662e-01, 0.000000e+00, 0.000000e+00, 1.109097e-09, 4.580397e-01, 5.088906e-02, 2.761170e-08, 5.465388e-09, 9.675399e-11, 2.162456e-15, 4.521825e-16, 2.400816e-16, 1.470192e-15, 4.026267e-19, 2.407368e-16, 1.107310e-18, 6.518960e-16, 1.146306e+01, 1.033549e+10, 1.033549e+10, 4.077034e-07, 2.164659e-07, 3.630222e-10, 9.983888e-10, 2.489567e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.048913e-01, 3.048913e-01, 0.000000e+00, 0.000000e+00, 1.220212e-09, 4.580259e-01, 5.095694e-02, 3.032585e-08, 5.992117e-09, 1.055809e-10, 2.173022e-15, 4.682545e-16, 2.400818e-16, 1.464686e-15, 4.141919e-19, 2.407406e-16, 1.171792e-18, 6.731638e-16, 1.155712e+01, 9.471406e+09, 9.471406e+09, 3.837484e-07, 1.967541e-07, 3.394426e-10, 9.603183e-10, 2.485294e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.083970e-01, 3.083970e-01, 0.000000e+00, 0.000000e+00, 1.331604e-09, 4.580134e-01, 5.102479e-02, 3.304116e-08, 6.518179e-09, 1.143791e-10, 2.183682e-15, 4.841358e-16, 2.400823e-16, 1.459464e-15, 4.253652e-19, 2.407451e-16, 1.233259e-18, 6.938140e-16, 1.164202e+01, 8.742859e+09, 8.742859e+09, 3.635735e-07, 1.802956e-07, 3.194383e-10, 9.261459e-10, 2.481306e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.116475e-01, 3.116475e-01, 0.000000e+00, 0.000000e+00, 1.443769e-09, 4.580020e-01, 5.109293e-02, 3.577010e-08, 7.046062e-09, 1.231912e-10, 2.194446e-15, 4.998991e-16, 2.400830e-16, 1.454464e-15, 4.362263e-19, 2.407501e-16, 1.292340e-18, 7.139985e-16, 1.171974e+01, 8.117464e+09, 8.117464e+09, 3.462460e-07, 1.662891e-07, 3.021442e-10, 8.951160e-10, 2.477551e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.146974e-01, 3.146974e-01, 0.000000e+00, 0.000000e+00, 1.557411e-09, 4.579913e-01, 5.116177e-02, 3.853002e-08, 7.579167e-09, 1.320748e-10, 2.205351e-15, 5.156417e-16, 2.400839e-16, 1.449625e-15, 4.468635e-19, 2.407556e-16, 1.349650e-18, 7.338836e-16, 1.179188e+01, 7.571465e+09, 7.571465e+09, 3.310890e-07, 1.541558e-07, 2.869272e-10, 8.665985e-10, 2.473979e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.173791e-01, 3.173791e-01, 0.000000e+00, 0.000000e+00, 1.664546e-09, 4.579820e-01, 5.122649e-02, 4.112763e-08, 8.080263e-09, 1.404115e-10, 2.215611e-15, 5.302776e-16, 2.400850e-16, 1.445248e-15, 4.565790e-19, 2.407611e-16, 1.401571e-18, 7.521530e-16, 1.185476e+01, 7.121922e+09, 7.121922e+09, 3.185720e-07, 1.442346e-07, 2.742965e-10, 8.420141e-10, 2.470802e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.199879e-01, 3.199879e-01, 0.000000e+00, 0.000000e+00, 1.775692e-09, 4.579730e-01, 5.129346e-02, 4.381842e-08, 8.598708e-09, 1.490237e-10, 2.226219e-15, 5.452565e-16, 2.400862e-16, 1.440876e-15, 4.663603e-19, 2.407669e-16, 1.453481e-18, 7.706554e-16, 1.191550e+01, 6.710342e+09, 6.710342e+09, 3.070670e-07, 1.352071e-07, 2.626358e-10, 8.185431e-10, 2.467681e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.224433e-01, 3.224433e-01, 0.000000e+00, 0.000000e+00, 1.886928e-09, 4.579645e-01, 5.136031e-02, 4.650744e-08, 9.116217e-09, 1.576074e-10, 2.236785e-15, 5.600434e-16, 2.400875e-16, 1.436654e-15, 4.758663e-19, 2.407730e-16, 1.503614e-18, 7.887456e-16, 1.197233e+01, 6.344878e+09, 6.344878e+09, 2.968016e-07, 1.272372e-07, 2.521909e-10, 7.968581e-10, 2.464717e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.269678e-01, 3.269678e-01, 0.000000e+00, 0.000000e+00, 2.110066e-09, 4.579491e-01, 5.149388e-02, 5.189059e-08, 1.015057e-08, 1.747272e-10, 2.257794e-15, 5.891119e-16, 2.400903e-16, 1.428591e-15, 4.941528e-19, 2.407855e-16, 1.599285e-18, 8.238586e-16, 1.207635e+01, 5.723208e+09, 5.723208e+09, 2.791913e-07, 1.137833e-07, 2.341883e-10, 7.579316e-10, 2.459193e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.290693e-01, 3.290693e-01, 0.000000e+00, 0.000000e+00, 2.222303e-09, 4.579420e-01, 5.156080e-02, 5.459315e-08, 1.066909e-08, 1.832916e-10, 2.268253e-15, 6.034441e-16, 2.400918e-16, 1.424717e-15, 5.029880e-19, 2.407918e-16, 1.645186e-18, 8.409756e-16, 1.212442e+01, 5.455789e+09, 5.455789e+09, 2.715400e-07, 1.080374e-07, 2.263364e-10, 7.403065e-10, 2.456602e+01, nan, 1.370000e+00
