pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.743041e-01, 3.743041e-01, 0.000000e+00, 0.000000e+00, 1.113211e-09, 5.096150e-01, 4.334884e-02, 3.250569e-08, 6.217704e-09, 9.361483e-11, 2.130397e-15, 4.381624e-16, 2.397952e-16, 1.452440e-15, 2.372589e-19, 2.400979e-16, 8.568156e-19, 6.197402e-16, 1.189140e+01, 1.068207e+10, 1.068207e+10, 3.936023e-07, 2.154086e-07, 2.131302e-10, 7.696793e-10, 2.919993e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.774759e-01, 3.774759e-01, 0.000000e+00, 0.000000e+00, 1.221459e-09, 5.096058e-01, 4.341216e-02, 3.559920e-08, 6.799395e-09, 1.022997e-10, 2.139063e-15, 4.511956e-16, 2.397968e-16, 1.448070e-15, 2.448783e-19, 2.401038e-16, 8.968945e-19, 6.377235e-16, 1.194001e+01, 9.775203e+09, 9.775203e+09, 3.693908e-07, 1.963200e-07, 2.004802e-10, 7.342814e-10, 2.914482e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.804565e-01, 3.804565e-01, 0.000000e+00, 0.000000e+00, 1.332537e-09, 5.095973e-01, 4.347695e-02, 3.876607e-08, 7.394034e-09, 1.111744e-10, 2.148021e-15, 4.644031e-16, 2.397984e-16, 1.443820e-15, 2.524150e-19, 2.401098e-16, 9.364533e-19, 6.556106e-16, 1.198601e+01, 8.994876e+09, 8.994876e+09, 3.485104e-07, 1.799562e-07, 1.894243e-10, 7.027595e-10, 2.909192e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.832034e-01, 3.832034e-01, 0.000000e+00, 0.000000e+00, 1.443625e-09, 5.095895e-01, 4.354154e-02, 4.192612e-08, 7.986609e-09, 1.200146e-10, 2.157019e-15, 4.774479e-16, 2.398000e-16, 1.439771e-15, 2.596955e-19, 2.401157e-16, 9.745989e-19, 6.729866e-16, 1.202875e+01, 8.332318e+09, 8.332318e+09, 3.307284e-07, 1.661096e-07, 1.798912e-10, 6.751051e-10, 2.904224e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.857509e-01, 3.857509e-01, 0.000000e+00, 0.000000e+00, 1.554721e-09, 5.095822e-01, 4.360594e-02, 4.507975e-08, 8.577264e-09, 1.288222e-10, 2.166033e-15, 4.903345e-16, 2.398015e-16, 1.435897e-15, 2.667440e-19, 2.401214e-16, 1.011472e-18, 6.899015e-16, 1.206874e+01, 7.762637e+09, 7.762637e+09, 3.153842e-07, 1.542408e-07, 1.715703e-10, 6.505811e-10, 2.899539e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.881264e-01, 3.881264e-01, 0.000000e+00, 0.000000e+00, 1.665822e-09, 5.095755e-01, 4.367016e-02, 4.822728e-08, 9.166114e-09, 1.375986e-10, 2.175046e-15, 5.030671e-16, 2.398030e-16, 1.432176e-15, 2.735803e-19, 2.401270e-16, 1.047190e-18, 7.063964e-16, 1.210638e+01, 7.267514e+09, 7.267514e+09, 3.019934e-07, 1.439548e-07, 1.642315e-10, 6.286326e-10, 2.895105e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.903519e-01, 3.903519e-01, 0.000000e+00, 0.000000e+00, 1.776924e-09, 5.095692e-01, 4.373419e-02, 5.136901e-08, 9.753268e-09, 1.463453e-10, 2.184044e-15, 5.156498e-16, 2.398045e-16, 1.428590e-15, 2.802218e-19, 2.401325e-16, 1.081849e-18, 7.225058e-16, 1.214200e+01, 6.833155e+09, 6.833155e+09, 2.901923e-07, 1.349548e-07, 1.577004e-10, 6.088326e-10, 2.890895e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.924453e-01, 3.924453e-01, 0.000000e+00, 0.000000e+00, 1.888029e-09, 5.095634e-01, 4.379803e-02, 5.450525e-08, 1.033882e-08, 1.550634e-10, 2.193018e-15, 5.280866e-16, 2.398059e-16, 1.425125e-15, 2.866831e-19, 2.401380e-16, 1.115536e-18, 7.382593e-16, 1.217585e+01, 6.448974e+09, 6.448974e+09, 2.797026e-07, 1.270139e-07, 1.518425e-10, 5.908467e-10, 2.886886e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.962936e-01, 3.962936e-01, 0.000000e+00, 0.000000e+00, 2.110241e-09, 5.095526e-01, 4.392516e-02, 6.076228e-08, 1.150548e-08, 1.724184e-10, 2.210859e-15, 5.525381e-16, 2.398086e-16, 1.418513e-15, 2.991152e-19, 2.401485e-16, 1.180267e-18, 7.687969e-16, 1.223907e+01, 5.799844e+09, 5.799844e+09, 2.618366e-07, 1.136404e-07, 1.417446e-10, 5.593046e-10, 2.879400e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.980717e-01, 3.980717e-01, 0.000000e+00, 0.000000e+00, 2.221347e-09, 5.095476e-01, 4.398846e-02, 6.388355e-08, 1.208674e-08, 1.810573e-10, 2.219717e-15, 5.645601e-16, 2.398100e-16, 1.415347e-15, 3.051072e-19, 2.401537e-16, 1.211432e-18, 7.836224e-16, 1.226876e+01, 5.523114e+09, 5.523114e+09, 2.541521e-07, 1.079570e-07, 1.373523e-10, 5.453590e-10, 2.875892e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.997650e-01, 3.997650e-01, 0.000000e+00, 0.000000e+00, 2.332454e-09, 5.095429e-01, 4.405158e-02, 6.700027e-08, 1.266671e-08, 1.896714e-10, 2.228526e-15, 5.764507e-16, 2.398113e-16, 1.412263e-15, 3.109621e-19, 2.401587e-16, 1.241862e-18, 7.981759e-16, 1.229734e+01, 5.272275e+09, 5.272275e+09, 2.471434e-07, 1.028150e-07, 1.333197e-10, 5.324273e-10, 2.872522e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 4.013814e-01, 4.013814e-01, 0.000000e+00, 0.000000e+00, 2.443562e-09, 5.095384e-01, 4.411452e-02, 7.011264e-08, 1.324544e-08, 1.982617e-10, 2.237283e-15, 5.882134e-16, 2.398125e-16, 1.409257e-15, 3.166877e-19, 2.401637e-16, 1.271603e-18, 8.124728e-16, 1.232493e+01, 5.043838e+09, 5.043838e+09, 2.407197e-07, 9.814057e-08, 1.296009e-10, 5.203893e-10, 2.869280e+01, nan, 1.370000e+00
