pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.799646e-01, 3.799646e-01, 0.000000e+00, 0.000000e+00, 1.110350e-09, 4.954077e-01, 3.696428e-02, 3.872514e-08, 6.781897e-09, 1.110467e-10, 2.144849e-15, 4.210464e-16, 2.596634e-16, 1.464139e-15, 1.766952e-19, 2.598845e-16, 7.245837e-19, 5.794779e-16, 9.998945e+00, 9.005219e+09, 9.005219e+09, 3.792015e-07, 2.338572e-07, 1.591347e-10, 6.525724e-10, 3.487652e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.826944e-01, 3.826944e-01, 0.000000e+00, 0.000000e+00, 1.221456e-09, 4.953998e-01, 3.702176e-02, 4.250254e-08, 7.433860e-09, 1.217559e-10, 2.150826e-15, 4.304041e-16, 2.596650e-16, 1.460757e-15, 1.823742e-19, 2.598894e-16, 7.566485e-19, 5.937521e-16, 1.003200e+01, 8.213153e+09, 8.213153e+09, 3.523698e-07, 2.125865e-07, 1.493089e-10, 6.194647e-10, 3.479663e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.851964e-01, 3.851964e-01, 0.000000e+00, 0.000000e+00, 1.332771e-09, 4.953925e-01, 3.707916e-02, 4.627571e-08, 8.084309e-09, 1.324447e-10, 2.156938e-15, 4.397158e-16, 2.596665e-16, 1.457555e-15, 1.878753e-19, 2.598942e-16, 7.877110e-19, 6.076266e-16, 1.006285e+01, 7.550322e+09, 7.550322e+09, 3.299259e-07, 1.948320e-07, 1.409659e-10, 5.910323e-10, 3.472142e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.874968e-01, 3.874968e-01, 0.000000e+00, 0.000000e+00, 1.443801e-09, 4.953858e-01, 3.713623e-02, 5.002855e-08, 8.730540e-09, 1.430676e-10, 2.163128e-15, 4.489408e-16, 2.596679e-16, 1.454520e-15, 1.931950e-19, 2.598988e-16, 8.177517e-19, 6.210902e-16, 1.009174e+01, 6.989705e+09, 6.989705e+09, 3.109438e-07, 1.798502e-07, 1.338100e-10, 5.663882e-10, 3.465059e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.896314e-01, 3.896314e-01, 0.000000e+00, 0.000000e+00, 1.554859e-09, 4.953797e-01, 3.719315e-02, 5.377237e-08, 9.374572e-09, 1.536567e-10, 2.169394e-15, 4.581067e-16, 2.596693e-16, 1.451618e-15, 1.983656e-19, 2.599033e-16, 8.469554e-19, 6.342231e-16, 1.011904e+01, 6.508012e+09, 6.508012e+09, 2.946290e-07, 1.670050e-07, 1.275778e-10, 5.447151e-10, 3.458343e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.916228e-01, 3.916228e-01, 0.000000e+00, 0.000000e+00, 1.665936e-09, 4.953739e-01, 3.724989e-02, 5.750735e-08, 1.001649e-08, 1.642127e-10, 2.175717e-15, 4.672135e-16, 2.596707e-16, 1.448833e-15, 2.034007e-19, 2.599076e-16, 8.753981e-19, 6.470567e-16, 1.014499e+01, 6.089661e+09, 6.089661e+09, 2.804510e-07, 1.558707e-07, 1.220939e-10, 5.254692e-10, 3.451954e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.934891e-01, 3.934891e-01, 0.000000e+00, 0.000000e+00, 1.777024e-09, 4.953686e-01, 3.730647e-02, 6.123374e-08, 1.065637e-08, 1.747363e-10, 2.182084e-15, 4.762614e-16, 2.596720e-16, 1.446150e-15, 2.083116e-19, 2.599119e-16, 9.031447e-19, 6.596178e-16, 1.016975e+01, 5.722908e+09, 5.722908e+09, 2.680106e-07, 1.461274e-07, 1.172249e-10, 5.082343e-10, 3.445858e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.952455e-01, 3.952455e-01, 0.000000e+00, 0.000000e+00, 1.888120e-09, 4.953635e-01, 3.736289e-02, 6.495184e-08, 1.129432e-08, 1.852283e-10, 2.188483e-15, 4.852512e-16, 2.596733e-16, 1.443558e-15, 2.131082e-19, 2.599161e-16, 9.302506e-19, 6.719292e-16, 1.019347e+01, 5.398743e+09, 5.398743e+09, 2.570023e-07, 1.375301e-07, 1.128680e-10, 4.926863e-10, 3.440028e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.984756e-01, 3.984756e-01, 0.000000e+00, 0.000000e+00, 2.110322e-09, 4.953543e-01, 3.747522e-02, 7.236434e-08, 1.256475e-08, 2.061208e-10, 2.201346e-15, 5.030592e-16, 2.596757e-16, 1.438611e-15, 2.223918e-19, 2.599242e-16, 9.827266e-19, 6.958779e-16, 1.023828e+01, 4.851524e+09, 4.851524e+09, 2.383802e-07, 1.230503e-07, 1.053828e-10, 4.656761e-10, 3.429066e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.999688e-01, 3.999688e-01, 0.000000e+00, 0.000000e+00, 2.221427e-09, 4.953500e-01, 3.753114e-02, 7.605933e-08, 1.319739e-08, 2.165229e-10, 2.207796e-15, 5.118790e-16, 2.596769e-16, 1.436240e-15, 2.268926e-19, 2.599281e-16, 1.008175e-18, 7.075469e-16, 1.025955e+01, 4.618448e+09, 4.618448e+09, 2.304280e-07, 1.168964e-07, 1.021382e-10, 4.538412e-10, 3.423895e+01, nan, 1.370000e+00
