pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 2.138807e-01, 2.138807e-01, 0.000000e+00, 0.000000e+00, 1.110693e-09, 4.052989e-01, 4.014504e-02, 3.728030e-08, 4.702491e-09, 2.056337e-09, 6.885119e-16, 2.965622e-16, 2.796278e-16, 1.123218e-16, 9.903034e-21, 2.797509e-16, 1.470675e-20, 3.001149e-16, 5.401318e-01, 4.863017e+08, 4.863017e+08, 2.670066e-07, 2.517598e-07, 8.916088e-12, 1.324106e-11, 3.356491e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 2.166513e-01, 2.166513e-01, 0.000000e+00, 0.000000e+00, 1.225156e-09, 4.051432e-01, 4.014927e-02, 4.109299e-08, 5.174034e-09, 2.261057e-09, 6.884738e-16, 2.967102e-16, 2.796262e-16, 1.121374e-16, 9.937632e-21, 2.797503e-16, 1.577142e-20, 3.004122e-16, 5.418508e-01, 4.422710e+08, 4.422710e+08, 2.421817e-07, 2.282373e-07, 8.111322e-12, 1.287300e-11, 3.354104e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 2.190850e-01, 2.190850e-01, 0.000000e+00, 0.000000e+00, 1.335297e-09, 4.050068e-01, 4.015332e-02, 4.475815e-08, 5.626540e-09, 2.457518e-09, 6.884449e-16, 2.968445e-16, 2.796248e-16, 1.119756e-16, 9.974539e-21, 2.797497e-16, 1.673132e-20, 3.006812e-16, 5.433520e-01, 4.069146e+08, 4.069146e+08, 2.223059e-07, 2.094101e-07, 7.469900e-12, 1.253003e-11, 3.351923e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 2.213328e-01, 2.213328e-01, 0.000000e+00, 0.000000e+00, 1.445719e-09, 4.048811e-01, 4.015737e-02, 4.842924e-08, 6.079069e-09, 2.653999e-09, 6.884223e-16, 2.969726e-16, 2.796234e-16, 1.118263e-16, 1.001419e-20, 2.797492e-16, 1.764034e-20, 3.009365e-16, 5.447324e-01, 3.767899e+08, 3.767899e+08, 2.054152e-07, 1.934147e-07, 6.926789e-12, 1.220178e-11, 3.349838e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 2.234201e-01, 2.234201e-01, 0.000000e+00, 0.000000e+00, 1.556338e-09, 4.047647e-01, 4.016142e-02, 5.210368e-08, 6.531350e-09, 2.850387e-09, 6.884052e-16, 2.970955e-16, 2.796220e-16, 1.116878e-16, 1.005592e-20, 2.797488e-16, 1.850530e-20, 3.011799e-16, 5.460094e-01, 3.508295e+08, 3.508295e+08, 1.908939e-07, 1.796666e-07, 6.461271e-12, 1.189028e-11, 3.347837e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 2.253677e-01, 2.253677e-01, 0.000000e+00, 0.000000e+00, 1.667098e-09, 4.046563e-01, 4.016547e-02, 5.577967e-08, 6.983209e-09, 3.046611e-09, 6.883930e-16, 2.972138e-16, 2.796206e-16, 1.115586e-16, 1.009924e-20, 2.797484e-16, 1.933171e-20, 3.014129e-16, 5.471975e-01, 3.282336e+08, 3.282336e+08, 1.782821e-07, 1.677290e-07, 6.057975e-12, 1.159602e-11, 3.345914e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 2.271928e-01, 2.271928e-01, 0.000000e+00, 0.000000e+00, 1.777957e-09, 4.045549e-01, 4.016952e-02, 5.945596e-08, 7.434533e-09, 3.242623e-09, 6.883849e-16, 2.973282e-16, 2.796193e-16, 1.114375e-16, 1.014375e-20, 2.797481e-16, 2.012412e-20, 3.016365e-16, 5.483083e-01, 3.083923e+08, 3.083923e+08, 1.672302e-07, 1.572700e-07, 5.705285e-12, 1.131868e-11, 3.344060e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 2.289096e-01, 2.289096e-01, 0.000000e+00, 0.000000e+00, 1.888887e-09, 4.044597e-01, 4.017356e-02, 6.313172e-08, 7.885252e-09, 3.438397e-09, 6.883806e-16, 2.974391e-16, 2.796180e-16, 1.113235e-16, 1.018917e-20, 2.797478e-16, 2.088631e-20, 3.018519e-16, 5.493511e-01, 2.908332e+08, 2.908332e+08, 1.574679e-07, 1.480332e-07, 5.394274e-12, 1.105747e-11, 3.342270e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 2.320643e-01, 2.320643e-01, 0.000000e+00, 0.000000e+00, 2.110884e-09, 4.042852e-01, 4.018162e-02, 7.047948e-08, 8.784740e-09, 3.829173e-09, 6.883817e-16, 2.976523e-16, 2.796154e-16, 1.111140e-16, 1.028188e-20, 2.797473e-16, 2.233222e-20, 3.022612e-16, 5.512637e-01, 2.611530e+08, 2.611530e+08, 1.410084e-07, 1.324636e-07, 4.870887e-12, 1.057956e-11, 3.338861e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 2.335211e-01, 2.335211e-01, 0.000000e+00, 0.000000e+00, 2.221926e-09, 4.042048e-01, 4.018564e-02, 7.415084e-08, 9.233484e-09, 4.024166e-09, 6.883865e-16, 2.977552e-16, 2.796141e-16, 1.110172e-16, 1.032884e-20, 2.797470e-16, 2.302092e-20, 3.024563e-16, 5.521458e-01, 2.484987e+08, 2.484987e+08, 1.340077e-07, 1.258431e-07, 4.648597e-12, 1.036079e-11, 3.337232e+01, nan, 1.370000e+00
