pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 1.331647e-01, 1.331647e-01, 0.000000e+00, 0.000000e+00, 1.112910e-09, 3.589761e-01, 4.759769e-02, 3.151862e-08, 4.153591e-09, 2.065068e-09, 6.878528e-16, 2.927251e-16, 2.797003e-16, 1.154275e-16, 2.116685e-20, 2.799310e-16, 8.046288e-20, 2.965515e-16, 5.389217e-01, 4.842455e+08, 4.842455e+08, 2.630267e-07, 2.513234e-07, 1.901937e-11, 7.229954e-11, 2.832091e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 1.363021e-01, 1.363021e-01, 0.000000e+00, 0.000000e+00, 1.223353e-09, 3.587553e-01, 4.760230e-02, 3.462377e-08, 4.553826e-09, 2.246875e-09, 6.878238e-16, 2.929203e-16, 2.796968e-16, 1.152067e-16, 2.088645e-20, 2.799226e-16, 7.397443e-20, 2.968896e-16, 5.444689e-01, 4.450627e+08, 4.450627e+08, 2.394405e-07, 2.286313e-07, 1.707311e-11, 6.046857e-11, 2.830235e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 1.391769e-01, 1.391769e-01, 0.000000e+00, 0.000000e+00, 1.334011e-09, 3.585559e-01, 4.760690e-02, 3.773210e-08, 4.953694e-09, 2.428738e-09, 6.877998e-16, 2.931010e-16, 2.796937e-16, 1.150051e-16, 2.065517e-20, 2.799153e-16, 6.832293e-20, 2.972050e-16, 5.492612e-01, 4.117365e+08, 4.117365e+08, 2.197140e-07, 2.096637e-07, 1.548350e-11, 5.121615e-11, 2.828469e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 1.418286e-01, 1.418286e-01, 0.000000e+00, 0.000000e+00, 1.444813e-09, 3.583743e-01, 4.761150e-02, 4.084173e-08, 5.353016e-09, 2.610515e-09, 6.877803e-16, 2.932698e-16, 2.796909e-16, 1.148196e-16, 2.046281e-20, 2.799091e-16, 6.333464e-20, 2.975011e-16, 5.534591e-01, 3.830662e+08, 3.830662e+08, 2.029811e-07, 1.935827e-07, 1.416294e-11, 4.383586e-11, 2.826783e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 1.442887e-01, 1.442887e-01, 0.000000e+00, 0.000000e+00, 1.555712e-09, 3.582077e-01, 4.761610e-02, 4.395147e-08, 5.751692e-09, 2.792118e-09, 6.877648e-16, 2.934285e-16, 2.796883e-16, 1.146480e-16, 2.030177e-20, 2.799035e-16, 5.888172e-20, 2.977805e-16, 5.571800e-01, 3.581511e+08, 3.581511e+08, 1.886136e-07, 1.797816e-07, 1.304983e-11, 3.784873e-11, 2.825167e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 1.465828e-01, 1.465828e-01, 0.000000e+00, 0.000000e+00, 1.666676e-09, 3.580538e-01, 4.762068e-02, 4.706053e-08, 6.149668e-09, 2.973492e-09, 6.877529e-16, 2.935787e-16, 2.796859e-16, 1.144883e-16, 2.016634e-20, 2.798986e-16, 5.486802e-20, 2.980454e-16, 5.605114e-01, 3.363049e+08, 3.363049e+08, 1.761462e-07, 1.678106e-07, 1.209974e-11, 3.292063e-11, 2.823616e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 1.487316e-01, 1.487316e-01, 0.000000e+00, 0.000000e+00, 1.777685e-09, 3.579108e-01, 4.762526e-02, 5.016843e-08, 6.546922e-09, 3.154607e-09, 6.877442e-16, 2.937215e-16, 2.796837e-16, 1.143390e-16, 2.005209e-20, 2.798942e-16, 5.121974e-20, 2.982978e-16, 5.635202e-01, 3.169967e+08, 3.169967e+08, 1.652270e-07, 1.573303e-07, 1.127989e-11, 2.881261e-11, 2.822122e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 1.507523e-01, 1.507523e-01, 0.000000e+00, 0.000000e+00, 1.888724e-09, 3.577773e-01, 4.762982e-02, 5.327485e-08, 6.943452e-09, 3.335444e-09, 6.877383e-16, 2.938580e-16, 2.796816e-16, 1.141988e-16, 1.995556e-20, 2.798903e-16, 4.787927e-20, 2.985390e-16, 5.662585e-01, 2.998101e+08, 2.998101e+08, 1.555855e-07, 1.480797e-07, 1.056563e-11, 2.535006e-11, 2.820680e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 1.544647e-01, 1.544647e-01, 0.000000e+00, 0.000000e+00, 2.110858e-09, 3.575344e-01, 4.763893e-02, 5.948229e-08, 7.734377e-09, 3.696264e-09, 6.877336e-16, 2.941144e-16, 2.796777e-16, 1.139415e-16, 1.980521e-20, 2.798834e-16, 4.194880e-20, 2.989928e-16, 5.710789e-01, 2.705435e+08, 2.705435e+08, 1.393340e-07, 1.324948e-07, 9.382537e-12, 1.987287e-11, 2.817920e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 1.561788e-01, 1.561788e-01, 0.000000e+00, 0.000000e+00, 2.221943e-09, 3.574231e-01, 4.764348e-02, 6.258322e-08, 8.128806e-09, 3.876245e-09, 6.877344e-16, 2.942357e-16, 2.796758e-16, 1.138229e-16, 1.974737e-20, 2.798805e-16, 3.929198e-20, 2.992073e-16, 5.732204e-01, 2.579816e+08, 2.579816e+08, 1.324227e-07, 1.258700e-07, 8.887437e-12, 1.768361e-11, 2.816599e+01, nan, 1.370000e+00
