pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.656033e-01, 3.656033e-01, 0.000000e+00, 0.000000e+00, 1.113147e-09, 5.611634e-01, 3.986930e-02, 3.685236e-08, 5.475879e-09, 1.516956e-09, 6.199362e-16, 2.579879e-16, 2.395031e-16, 1.224451e-16, 5.342450e-21, 2.395890e-16, 2.053578e-20, 2.621489e-16, 7.338034e-01, 6.592150e+08, 6.592150e+08, 2.317644e-07, 2.151585e-07, 4.799410e-12, 1.844840e-11, 3.310645e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.683064e-01, 3.683064e-01, 0.000000e+00, 0.000000e+00, 1.221803e-09, 5.610505e-01, 3.987416e-02, 4.041953e-08, 5.996025e-09, 1.661734e-09, 6.198921e-16, 2.581344e-16, 2.395015e-16, 1.222562e-16, 5.415048e-21, 2.395891e-16, 2.103021e-20, 2.624575e-16, 7.352575e-01, 6.017810e+08, 6.017810e+08, 2.112734e-07, 1.960231e-07, 4.432016e-12, 1.721245e-11, 3.308188e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.708847e-01, 3.708847e-01, 0.000000e+00, 0.000000e+00, 1.335218e-09, 5.609429e-01, 3.987922e-02, 4.413899e-08, 6.537483e-09, 1.812550e-09, 6.198576e-16, 2.582819e-16, 2.394998e-16, 1.220759e-16, 5.487980e-21, 2.395892e-16, 2.152570e-20, 2.627637e-16, 7.366520e-01, 5.517091e+08, 5.517091e+08, 1.934380e-07, 1.793713e-07, 4.110175e-12, 1.612148e-11, 3.305751e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.731938e-01, 3.731938e-01, 0.000000e+00, 0.000000e+00, 1.445614e-09, 5.608468e-01, 3.988414e-02, 4.775568e-08, 7.063178e-09, 1.959072e-09, 6.198336e-16, 2.584212e-16, 2.394983e-16, 1.219141e-16, 5.556508e-21, 2.395892e-16, 2.199032e-20, 2.630483e-16, 7.379076e-01, 5.104458e+08, 5.104458e+08, 1.787622e-07, 1.656723e-07, 3.843701e-12, 1.521175e-11, 3.303487e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.753381e-01, 3.753381e-01, 0.000000e+00, 0.000000e+00, 1.556207e-09, 5.607575e-01, 3.988905e-02, 5.137530e-08, 7.588567e-09, 2.105601e-09, 6.198175e-16, 2.585571e-16, 2.394967e-16, 1.217637e-16, 5.622990e-21, 2.395893e-16, 2.244033e-20, 2.633218e-16, 7.390797e-01, 4.749237e+08, 4.749237e+08, 1.661456e-07, 1.538977e-07, 3.613265e-12, 1.441988e-11, 3.301314e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.773390e-01, 3.773390e-01, 0.000000e+00, 0.000000e+00, 1.666942e-09, 5.606744e-01, 3.989397e-02, 5.499615e-08, 8.113454e-09, 2.252079e-09, 6.198082e-16, 2.586900e-16, 2.394952e-16, 1.216230e-16, 5.687603e-21, 2.395894e-16, 2.287707e-20, 2.635855e-16, 7.401792e-01, 4.440342e+08, 4.440342e+08, 1.551883e-07, 1.436734e-07, 3.411998e-12, 1.372398e-11, 3.299224e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.792140e-01, 3.792140e-01, 0.000000e+00, 0.000000e+00, 1.777778e-09, 5.605966e-01, 3.989888e-02, 5.861705e-08, 8.637712e-09, 2.398465e-09, 6.198048e-16, 2.588202e-16, 2.394937e-16, 1.214909e-16, 5.750501e-21, 2.395894e-16, 2.330173e-20, 2.638405e-16, 7.412148e-01, 4.169332e+08, 4.169332e+08, 1.455863e-07, 1.347152e-07, 3.234656e-12, 1.310722e-11, 3.297208e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.809778e-01, 3.809778e-01, 0.000000e+00, 0.000000e+00, 1.888688e-09, 5.605234e-01, 3.990378e-02, 6.223718e-08, 9.161262e-09, 2.544736e-09, 6.198066e-16, 2.589480e-16, 2.394923e-16, 1.213663e-16, 5.811822e-21, 2.395895e-16, 2.371533e-20, 2.640874e-16, 7.421940e-01, 3.929681e+08, 3.929681e+08, 1.371048e-07, 1.268035e-07, 3.077175e-12, 1.255651e-11, 3.295261e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.842192e-01, 3.842192e-01, 0.000000e+00, 0.000000e+00, 2.110651e-09, 5.603892e-01, 3.991358e-02, 6.947311e-08, 1.020608e-08, 2.836871e-09, 6.198235e-16, 2.591976e-16, 2.394894e-16, 1.211366e-16, 5.930207e-21, 2.395896e-16, 2.451285e-20, 2.645604e-16, 7.440069e-01, 3.525011e+08, 3.525011e+08, 1.228046e-07, 1.134670e-07, 2.809657e-12, 1.161388e-11, 3.291548e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.857161e-01, 3.857161e-01, 0.000000e+00, 0.000000e+00, 2.221681e-09, 5.603273e-01, 3.991847e-02, 7.308827e-08, 1.072732e-08, 2.982721e-09, 6.198377e-16, 2.593197e-16, 2.394879e-16, 1.210300e-16, 5.987473e-21, 2.395897e-16, 2.489827e-20, 2.647876e-16, 7.448504e-01, 3.352644e+08, 3.352644e+08, 1.167223e-07, 1.077958e-07, 2.695020e-12, 1.120695e-11, 3.289774e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.871409e-01, 3.871409e-01, 0.000000e+00, 0.000000e+00, 2.332731e-09, 5.602684e-01, 3.992335e-02, 7.670132e-08, 1.124777e-08, 3.128422e-09, 6.198550e-16, 2.594402e-16, 2.394865e-16, 1.209283e-16, 6.043574e-21, 2.395898e-16, 2.527563e-20, 2.650094e-16, 7.456572e-01, 3.196499e+08, 3.196499e+08, 1.112174e-07, 1.026636e-07, 2.590772e-12, 1.083521e-11, 3.288049e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.885005e-01, 3.885005e-01, 0.000000e+00, 0.000000e+00, 2.443796e-09, 5.602123e-01, 3.992823e-02, 8.031214e-08, 1.176745e-08, 3.273975e-09, 6.198753e-16, 2.595593e-16, 2.394851e-16, 1.208310e-16, 6.098585e-21, 2.395898e-16, 2.564550e-20, 2.652260e-16, 7.464308e-01, 3.054391e+08, 3.054391e+08, 1.062115e-07, 9.799718e-08, 2.495538e-12, 1.049413e-11, 3.286369e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.898004e-01, 3.898004e-01, 0.000000e+00, 0.000000e+00, 2.554872e-09, 5.601587e-01, 3.993310e-02, 8.392069e-08, 1.228637e-08, 3.419381e-09, 6.198983e-16, 2.596770e-16, 2.394837e-16, 1.207376e-16, 6.152575e-21, 2.395899e-16, 2.600836e-20, 2.654379e-16, 7.471739e-01, 2.924506e+08, 2.924506e+08, 1.016399e-07, 9.373609e-08, 2.408174e-12, 1.017991e-11, 3.284731e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.910457e-01, 3.910457e-01, 0.000000e+00, 0.000000e+00, 2.665957e-09, 5.601073e-01, 3.993797e-02, 8.752693e-08, 1.280455e-08, 3.564642e-09, 6.199237e-16, 2.597934e-16, 2.394823e-16, 1.206479e-16, 6.205606e-21, 2.395899e-16, 2.636466e-20, 2.656455e-16, 7.478891e-01, 2.805331e+08, 2.805331e+08, 9.744849e-08, 8.982979e-08, 2.327722e-12, 9.889380e-12, 3.283134e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.922408e-01, 3.922408e-01, 0.000000e+00, 0.000000e+00, 2.777047e-09, 5.600581e-01, 3.994283e-02, 9.113086e-08, 1.332199e-08, 3.709760e-09, 6.199512e-16, 2.599088e-16, 2.394810e-16, 1.205615e-16, 6.257734e-21, 2.395900e-16, 2.671479e-20, 2.658490e-16, 7.485788e-01, 2.695592e+08, 2.695592e+08, 9.359176e-08, 8.623582e-08, 2.253377e-12, 9.619853e-12, 3.281574e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.933896e-01, 3.933896e-01, 0.000000e+00, 0.000000e+00, 2.888143e-09, 5.600108e-01, 3.994769e-02, 9.473249e-08, 1.383873e-08, 3.854739e-09, 6.199808e-16, 2.600230e-16, 2.394796e-16, 1.204782e-16, 6.309010e-21, 2.395900e-16, 2.705911e-20, 2.660487e-16, 7.492447e-01, 2.594209e+08, 2.594209e+08, 9.003121e-08, 8.291820e-08, 2.184452e-12, 9.369034e-12, 3.280049e+01, nan, 1.370000e+00
