pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 1.191625e-01, 1.191625e-01, 0.000000e+00, 0.000000e+00, 1.110650e-09, 3.862231e-01, 5.579283e-02, 2.655510e-08, 3.977177e-09, 1.858596e-09, 6.547507e-16, 2.709070e-16, 2.595661e-16, 1.242776e-16, 3.014192e-20, 2.598817e-16, 1.756652e-19, 2.754541e-16, 5.975746e-01, 5.380405e+08, 5.380405e+08, 2.439175e-07, 2.337065e-07, 2.713900e-11, 1.581643e-10, 2.390952e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 1.228897e-01, 1.228897e-01, 0.000000e+00, 0.000000e+00, 1.221639e-09, 3.859149e-01, 5.579841e-02, 2.918960e-08, 4.362250e-09, 1.994703e-09, 6.546929e-16, 2.711415e-16, 2.595592e-16, 1.239923e-16, 2.945432e-20, 2.598624e-16, 1.609017e-19, 2.758434e-16, 6.124416e-01, 5.013278e+08, 5.013278e+08, 2.219489e-07, 2.124680e-07, 2.411050e-11, 1.317097e-10, 2.389381e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 1.263008e-01, 1.263008e-01, 0.000000e+00, 0.000000e+00, 1.332670e-09, 3.856439e-01, 5.580399e-02, 3.182268e-08, 4.746292e-09, 2.132555e-09, 6.546431e-16, 2.713576e-16, 2.595532e-16, 1.237323e-16, 2.888306e-20, 2.598463e-16, 1.484305e-19, 2.762056e-16, 6.249172e-01, 4.689210e+08, 4.689210e+08, 2.036194e-07, 1.947618e-07, 2.167307e-11, 1.113782e-10, 2.387888e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 1.294449e-01, 1.294449e-01, 0.000000e+00, 0.000000e+00, 1.443727e-09, 3.854023e-01, 5.580955e-02, 3.445404e-08, 5.129329e-09, 2.271630e-09, 6.546002e-16, 2.715587e-16, 2.595480e-16, 1.234935e-16, 2.840241e-20, 2.598324e-16, 1.377196e-19, 2.765450e-16, 6.355466e-01, 4.402125e+08, 4.402125e+08, 1.880956e-07, 1.797764e-07, 1.967298e-11, 9.539169e-11, 2.386465e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 1.323606e-01, 1.323606e-01, 0.000000e+00, 0.000000e+00, 1.554799e-09, 3.851843e-01, 5.581510e-02, 3.708355e-08, 5.511400e-09, 2.411571e-09, 6.545634e-16, 2.717472e-16, 2.595434e-16, 1.232728e-16, 2.799373e-20, 2.598205e-16, 1.283916e-19, 2.768650e-16, 6.447244e-01, 4.146674e+08, 4.146674e+08, 1.747797e-07, 1.669305e-07, 1.800473e-11, 8.257761e-11, 2.385103e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 1.350790e-01, 1.350790e-01, 0.000000e+00, 0.000000e+00, 1.665880e-09, 3.849859e-01, 5.582064e-02, 3.971117e-08, 5.892551e-09, 2.552129e-09, 6.545320e-16, 2.719252e-16, 2.595392e-16, 1.230676e-16, 2.764324e-20, 2.598100e-16, 1.201713e-19, 2.771680e-16, 6.527413e-01, 3.918298e+08, 3.918298e+08, 1.632322e-07, 1.557971e-07, 1.659378e-11, 7.213683e-11, 2.383796e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 1.376249e-01, 1.376249e-01, 0.000000e+00, 0.000000e+00, 1.776967e-09, 3.848037e-01, 5.582617e-02, 4.233690e-08, 6.272824e-09, 2.693124e-09, 6.545054e-16, 2.720942e-16, 2.595354e-16, 1.228758e-16, 2.734046e-20, 2.598008e-16, 1.128532e-19, 2.774564e-16, 6.598161e-01, 3.713160e+08, 3.713160e+08, 1.531229e-07, 1.460553e-07, 1.538603e-11, 6.350893e-11, 2.382538e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 1.400192e-01, 1.400192e-01, 0.000000e+00, 0.000000e+00, 1.888057e-09, 3.846354e-01, 5.583168e-02, 4.496078e-08, 6.652262e-09, 2.834427e-09, 6.544831e-16, 2.722554e-16, 2.595318e-16, 1.226958e-16, 2.707731e-20, 2.597926e-16, 1.062807e-19, 2.777319e-16, 6.661159e-01, 3.528049e+08, 3.528049e+08, 1.441987e-07, 1.374597e-07, 1.434136e-11, 5.629105e-11, 2.381325e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 1.444826e-01, 1.444826e-01, 0.000000e+00, 0.000000e+00, 2.113682e-09, 3.843285e-01, 5.584286e-02, 5.028413e-08, 7.420468e-09, 3.121979e-09, 6.544494e-16, 2.725629e-16, 2.595255e-16, 1.223610e-16, 2.664006e-20, 2.597783e-16, 9.475140e-20, 2.782575e-16, 6.770326e-01, 3.203096e+08, 3.203096e+08, 1.289517e-07, 1.227836e-07, 1.260363e-11, 4.482766e-11, 2.378983e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 1.464994e-01, 1.464994e-01, 0.000000e+00, 0.000000e+00, 2.224132e-09, 3.841925e-01, 5.584831e-02, 5.288740e-08, 7.795416e-09, 3.262894e-09, 6.544378e-16, 2.727052e-16, 2.595226e-16, 1.222101e-16, 2.646432e-20, 2.597723e-16, 8.982259e-20, 2.785005e-16, 6.816439e-01, 3.064764e+08, 3.064764e+08, 1.226119e-07, 1.166849e-07, 1.189872e-11, 4.038546e-11, 2.377889e+01, nan, 1.370000e+00
