pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.639328e-01, 1.639328e-01, 0.000000e+00, 0.000000e+00, 1.110284e-09, 3.331294e-01, 5.309945e-02, 2.854646e-08, 5.053703e-09, 2.471256e-10, 1.646821e-15, 3.429684e-16, 2.809271e-16, 1.022925e-15, 4.284338e-19, 2.824353e-16, 1.001499e-19, 4.504061e-16, 4.492792e+00, 4.046526e+09, 4.046526e+09, 3.089016e-07, 2.530228e-07, 3.858778e-10, 9.020207e-11, 2.571096e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.676107e-01, 1.676107e-01, 0.000000e+00, 0.000000e+00, 1.221293e-09, 3.330886e-01, 5.313773e-02, 3.135372e-08, 5.541084e-09, 2.618589e-10, 1.648613e-15, 3.475213e-16, 2.808950e-16, 1.020197e-15, 4.319513e-19, 2.823660e-16, 5.696692e-21, 4.581415e-16, 4.663933e+00, 3.818850e+09, 3.818850e+09, 2.845521e-07, 2.299981e-07, 3.536838e-10, 4.664478e-12, 2.567258e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.709751e-01, 1.709751e-01, 0.000000e+00, 0.000000e+00, 1.332337e-09, 3.330531e-01, 5.317595e-02, 3.415647e-08, 6.026863e-09, 2.766279e-10, 1.650612e-15, 3.520933e-16, 2.808679e-16, 1.017651e-15, 4.358000e-19, 2.823078e-16, 7.951245e-20, 4.656644e-16, 4.816349e+00, 3.614964e+09, 3.614964e+09, 2.642676e-07, 2.108085e-07, 3.270945e-10, 5.967895e-11, 2.563652e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.740756e-01, 1.740756e-01, 0.000000e+00, 0.000000e+00, 1.443401e-09, 3.330218e-01, 5.321411e-02, 3.695467e-08, 6.511107e-09, 2.914063e-10, 1.652783e-15, 3.566788e-16, 2.808448e-16, 1.015259e-15, 4.398833e-19, 2.822582e-16, 1.573171e-19, 4.729997e-16, 4.953226e+00, 3.431635e+09, 3.431635e+09, 2.471099e-07, 1.945715e-07, 3.047547e-10, 1.089905e-10, 2.560249e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.769508e-01, 1.769508e-01, 0.000000e+00, 0.000000e+00, 1.554478e-09, 3.329937e-01, 5.325221e-02, 3.974841e-08, 6.993891e-09, 3.061770e-10, 1.655096e-15, 3.612732e-16, 2.808248e-16, 1.012999e-15, 4.441332e-19, 2.822156e-16, 2.290687e-19, 4.801677e-16, 5.077055e+00, 3.266084e+09, 3.266084e+09, 2.324081e-07, 1.806554e-07, 2.857121e-10, 1.473606e-10, 2.557027e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.796313e-01, 1.796313e-01, 0.000000e+00, 0.000000e+00, 1.665562e-09, 3.329684e-01, 5.329025e-02, 4.253784e-08, 7.475294e-09, 3.209291e-10, 1.657531e-15, 3.658729e-16, 2.808073e-16, 1.010850e-15, 4.485006e-19, 2.821786e-16, 2.957858e-19, 4.871853e-16, 5.189812e+00, 3.115953e+09, 3.115953e+09, 2.196694e-07, 1.685962e-07, 2.692789e-10, 1.775892e-10, 2.553964e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.821421e-01, 1.821421e-01, 0.000000e+00, 0.000000e+00, 1.776650e-09, 3.329454e-01, 5.332822e-02, 4.532313e-08, 7.955390e-09, 3.356551e-10, 1.660068e-15, 3.704750e-16, 2.807920e-16, 1.008801e-15, 4.529494e-19, 2.821463e-16, 3.582522e-19, 4.940664e-16, 5.293082e+00, 2.979249e+09, 2.979249e+09, 2.085245e-07, 1.580457e-07, 2.549458e-10, 2.016448e-10, 2.551045e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.845862e-01, 1.845862e-01, 0.000000e+00, 0.000000e+00, 1.891749e-09, 3.329236e-01, 5.336750e-02, 4.820473e-08, 8.451503e-09, 3.508799e-10, 1.662789e-15, 3.752432e-16, 2.807780e-16, 1.006768e-15, 4.576160e-19, 2.821169e-16, 4.191440e-19, 5.010644e-16, 5.391444e+00, 2.849978e+09, 2.849978e+09, 1.983578e-07, 1.484224e-07, 2.419010e-10, 2.215643e-10, 2.548157e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.888905e-01, 1.888905e-01, 0.000000e+00, 0.000000e+00, 2.112471e-09, 3.328865e-01, 5.344263e-02, 5.371932e-08, 9.399404e-09, 3.799714e-10, 1.668225e-15, 3.843789e-16, 2.807553e-16, 1.003090e-15, 4.666510e-19, 2.820698e-16, 5.268881e-19, 5.141493e-16, 5.559553e+00, 2.631777e+09, 2.631777e+09, 1.819570e-07, 1.329037e-07, 2.209029e-10, 2.494179e-10, 2.542961e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.908839e-01, 1.908839e-01, 0.000000e+00, 0.000000e+00, 2.223052e-09, 3.328698e-01, 5.348018e-02, 5.647685e-08, 9.872695e-09, 3.944916e-10, 1.671037e-15, 3.889488e-16, 2.807456e-16, 1.001342e-15, 4.711927e-19, 2.820499e-16, 5.771223e-19, 5.205553e-16, 5.635233e+00, 2.534908e+09, 2.534908e+09, 1.749616e-07, 1.262884e-07, 2.119576e-10, 2.596081e-10, 2.540509e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.927842e-01, 1.927842e-01, 0.000000e+00, 0.000000e+00, 2.333740e-09, 3.328542e-01, 5.351771e-02, 5.923370e-08, 1.034544e-08, 4.089885e-10, 1.673901e-15, 3.935167e-16, 2.807369e-16, 9.996474e-16, 4.757361e-19, 2.820321e-16, 6.252730e-19, 5.268764e-16, 5.706126e+00, 2.445056e+09, 2.445056e+09, 1.686206e-07, 1.202948e-07, 2.038514e-10, 2.679275e-10, 2.538145e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.945997e-01, 1.945997e-01, 0.000000e+00, 0.000000e+00, 2.444512e-09, 3.328395e-01, 5.355521e-02, 6.198946e-08, 1.081758e-08, 4.234590e-10, 1.676811e-15, 3.980806e-16, 2.807290e-16, 9.980014e-16, 4.802730e-19, 2.820160e-16, 6.715483e-19, 5.331168e-16, 5.772725e+00, 2.361504e+09, 2.361504e+09, 1.628467e-07, 1.148405e-07, 1.964699e-10, 2.747167e-10, 2.535862e+01, nan, 1.370000e+00
