pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.418627e-01, 2.418627e-01, 0.000000e+00, 0.000000e+00, 1.111498e-09, 3.868650e-01, 4.520649e-02, 3.354847e-08, 5.735440e-09, 1.638202e-10, 1.638298e-15, 3.578543e-16, 2.800843e-16, 1.000360e-15, 2.171956e-19, 2.805820e-16, 4.945782e-19, 4.597398e-16, 6.784865e+00, 6.104254e+09, 6.104254e+09, 3.219568e-07, 2.519882e-07, 1.954080e-10, 4.449655e-10, 3.018312e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.449967e-01, 2.449967e-01, 0.000000e+00, 0.000000e+00, 1.222240e-09, 3.868485e-01, 4.524355e-02, 3.683155e-08, 6.287217e-09, 1.785914e-10, 1.640562e-15, 3.624459e-16, 2.800822e-16, 9.980343e-16, 2.218612e-19, 2.805786e-16, 5.295838e-19, 4.674716e-16, 6.843780e+00, 5.599375e+09, 5.599375e+09, 2.965423e-07, 2.291548e-07, 1.815201e-10, 4.332895e-10, 3.013447e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.478667e-01, 2.478667e-01, 0.000000e+00, 0.000000e+00, 1.333125e-09, 3.868336e-01, 4.528058e-02, 4.011198e-08, 6.837742e-09, 1.933025e-10, 1.642985e-15, 3.670497e-16, 2.800805e-16, 9.958552e-16, 2.264407e-19, 2.805761e-16, 5.629842e-19, 4.749902e-16, 6.896577e+00, 5.173240e+09, 5.173240e+09, 2.753302e-07, 2.100932e-07, 1.698570e-10, 4.223040e-10, 3.008867e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.505134e-01, 2.505134e-01, 0.000000e+00, 0.000000e+00, 1.444098e-09, 3.868199e-01, 4.531757e-02, 4.338850e-08, 7.386878e-09, 2.079530e-10, 1.645538e-15, 3.716592e-16, 2.800792e-16, 9.937996e-16, 2.309342e-19, 2.805744e-16, 5.949942e-19, 4.823181e-16, 6.944348e+00, 4.808779e+09, 4.808779e+09, 2.573642e-07, 1.939475e-07, 1.599159e-10, 4.120179e-10, 3.004540e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.529686e-01, 2.529686e-01, 0.000000e+00, 0.000000e+00, 1.555124e-09, 3.868073e-01, 4.535451e-02, 4.666050e-08, 7.934578e-09, 2.225442e-10, 1.648198e-15, 3.762700e-16, 2.800782e-16, 9.918500e-16, 2.353437e-19, 2.805733e-16, 6.257865e-19, 4.894748e-16, 6.987931e+00, 4.493489e+09, 4.493489e+09, 2.419550e-07, 1.801002e-07, 1.513344e-10, 4.024030e-10, 3.000436e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.552582e-01, 2.552582e-01, 0.000000e+00, 0.000000e+00, 1.666182e-09, 3.867957e-01, 4.539139e-02, 4.992768e-08, 8.480846e-09, 2.370784e-10, 1.650948e-15, 3.808786e-16, 2.800774e-16, 9.899919e-16, 2.396721e-19, 2.805728e-16, 6.555020e-19, 4.964765e-16, 7.027980e+00, 4.218015e+09, 4.218015e+09, 2.285936e-07, 1.680953e-07, 1.438451e-10, 3.934156e-10, 2.996533e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.574031e-01, 2.574031e-01, 0.000000e+00, 0.000000e+00, 1.777260e-09, 3.867849e-01, 4.542820e-02, 5.318998e-08, 9.025714e-09, 2.515579e-10, 1.653773e-15, 3.854825e-16, 2.800768e-16, 9.882140e-16, 2.439226e-19, 2.805726e-16, 6.842566e-19, 5.033374e-16, 7.065012e+00, 3.975228e+09, 3.975228e+09, 2.168971e-07, 1.575891e-07, 1.372465e-10, 3.850066e-10, 2.992809e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.594206e-01, 2.594206e-01, 0.000000e+00, 0.000000e+00, 1.888349e-09, 3.867748e-01, 4.546496e-02, 5.644743e-08, 9.569230e-09, 2.659856e-10, 1.656663e-15, 3.900798e-16, 2.800763e-16, 9.865066e-16, 2.480986e-19, 2.805728e-16, 7.121470e-19, 5.100692e-16, 7.099442e+00, 3.759602e+09, 3.759602e+09, 2.065719e-07, 1.483181e-07, 1.313839e-10, 3.771267e-10, 2.989247e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.631288e-01, 2.631288e-01, 0.000000e+00, 0.000000e+00, 2.110547e-09, 3.867564e-01, 4.553828e-02, 6.294824e-08, 1.065241e-08, 2.946953e-10, 1.662598e-15, 3.992485e-16, 2.800758e-16, 9.832734e-16, 2.562406e-19, 2.805741e-16, 7.656482e-19, 5.231859e-16, 7.161794e+00, 3.393335e+09, 3.393335e+09, 1.891682e-07, 1.327029e-07, 1.214096e-10, 3.627723e-10, 2.982555e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.648419e-01, 2.648419e-01, 0.000000e+00, 0.000000e+00, 2.221651e-09, 3.867479e-01, 4.557485e-02, 6.619190e-08, 1.119219e-08, 3.089821e-10, 1.665629e-15, 4.038177e-16, 2.800757e-16, 9.817354e-16, 2.602129e-19, 2.805751e-16, 7.913875e-19, 5.295876e-16, 7.190226e+00, 3.236433e+09, 3.236433e+09, 1.817647e-07, 1.260665e-07, 1.171259e-10, 3.562159e-10, 2.979401e+01, nan, 1.370000e+00
