pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 4.310336e-01, 4.310336e-01, 0.000000e+00, 0.000000e+00, 1.110262e-09, 5.586255e-01, 3.760875e-02, 3.862102e-08, 7.201976e-09, 1.250086e-10, 1.544330e-15, 3.516222e-16, 2.396398e-16, 9.530677e-16, 9.423253e-20, 2.397464e-16, 3.901140e-19, 4.494597e-16, 8.881486e+00, 7.999452e+09, 7.999452e+09, 3.167020e-07, 2.158408e-07, 8.487416e-11, 3.513712e-10, 3.478551e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 4.337690e-01, 4.337690e-01, 0.000000e+00, 0.000000e+00, 1.221360e-09, 5.586165e-01, 3.765066e-02, 4.240556e-08, 7.897393e-09, 1.371442e-10, 1.547966e-15, 3.574293e-16, 2.396403e-16, 9.508962e-16, 9.724544e-20, 2.397489e-16, 4.062137e-19, 4.583128e-16, 8.905663e+00, 7.291595e+09, 7.291595e+09, 2.926486e-07, 1.962078e-07, 7.962061e-11, 3.325912e-10, 3.471995e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 4.363368e-01, 4.363368e-01, 0.000000e+00, 0.000000e+00, 1.335530e-09, 5.586080e-01, 3.769362e-02, 4.628501e-08, 8.609353e-09, 1.495770e-10, 1.551763e-15, 3.633295e-16, 2.396409e-16, 9.487925e-16, 1.002287e-19, 2.397515e-16, 4.221732e-19, 4.671108e-16, 8.928708e+00, 6.685519e+09, 6.685519e+09, 2.720490e-07, 1.794351e-07, 7.504789e-11, 3.161092e-10, 3.465667e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 4.386210e-01, 4.386210e-01, 0.000000e+00, 0.000000e+00, 1.445825e-09, 5.586004e-01, 3.773502e-02, 5.002407e-08, 9.294761e-09, 1.615533e-10, 1.555474e-15, 3.689682e-16, 2.396414e-16, 9.468643e-16, 1.030144e-19, 2.397538e-16, 4.370914e-19, 4.753563e-16, 8.949523e+00, 6.189907e+09, 6.189907e+09, 2.551956e-07, 1.657471e-07, 7.124955e-11, 3.023128e-10, 3.459898e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 4.407447e-01, 4.407447e-01, 0.000000e+00, 0.000000e+00, 1.556340e-09, 5.585935e-01, 3.777641e-02, 5.376248e-08, 9.979337e-09, 1.735212e-10, 1.559223e-15, 3.745608e-16, 2.396418e-16, 9.450202e-16, 1.057207e-19, 2.397561e-16, 4.515977e-19, 4.833949e-16, 8.969167e+00, 5.762985e+09, 5.762985e+09, 2.406677e-07, 1.539778e-07, 6.792901e-11, 2.901664e-10, 3.454416e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 4.427285e-01, 4.427285e-01, 0.000000e+00, 0.000000e+00, 1.667015e-09, 5.585869e-01, 3.781776e-02, 5.749857e-08, 1.066283e-08, 1.854754e-10, 1.562999e-15, 3.801065e-16, 2.396423e-16, 9.432502e-16, 1.083538e-19, 2.397583e-16, 4.657237e-19, 4.912434e-16, 8.987793e+00, 5.391550e+09, 5.391550e+09, 2.280163e-07, 1.437553e-07, 6.499868e-11, 2.793758e-10, 3.449194e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 4.445893e-01, 4.445893e-01, 0.000000e+00, 0.000000e+00, 1.777805e-09, 5.585808e-01, 3.785906e-02, 6.123125e-08, 1.134509e-08, 1.974126e-10, 1.566794e-15, 3.856052e-16, 2.396427e-16, 9.415460e-16, 1.109192e-19, 2.397604e-16, 4.794975e-19, 4.989164e-16, 9.005527e+00, 5.065533e+09, 5.065533e+09, 2.168997e-07, 1.347970e-07, 6.239112e-11, 2.697133e-10, 3.444206e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 4.463414e-01, 4.463414e-01, 0.000000e+00, 0.000000e+00, 1.888678e-09, 5.585751e-01, 3.790030e-02, 6.495979e-08, 1.202602e-08, 2.093304e-10, 1.570601e-15, 3.910573e-16, 2.396431e-16, 9.399007e-16, 1.134220e-19, 2.397625e-16, 4.929445e-19, 5.064271e-16, 9.022473e+00, 4.777136e+09, 4.777136e+09, 2.070535e-07, 1.268840e-07, 6.005363e-11, 2.609998e-10, 3.439432e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 4.495652e-01, 4.495652e-01, 0.000000e+00, 0.000000e+00, 2.110593e-09, 5.585646e-01, 3.798257e-02, 7.240287e-08, 1.338374e-08, 2.331030e-10, 1.578232e-15, 4.018244e-16, 2.396438e-16, 9.367640e-16, 1.182566e-19, 2.397665e-16, 5.189455e-19, 5.210064e-16, 9.054336e+00, 4.289949e+09, 4.289949e+09, 1.903846e-07, 1.135433e-07, 5.603005e-11, 2.458766e-10, 3.430452e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 4.510556e-01, 4.510556e-01, 0.000000e+00, 0.000000e+00, 2.221606e-09, 5.585597e-01, 3.802359e-02, 7.611701e-08, 1.406053e-08, 2.449565e-10, 1.582048e-15, 4.071410e-16, 2.396441e-16, 9.352632e-16, 1.205959e-19, 2.397685e-16, 5.315376e-19, 5.280944e-16, 9.069390e+00, 4.082358e+09, 4.082358e+09, 1.832643e-07, 1.078698e-07, 5.428323e-11, 2.392583e-10, 3.426216e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 4.524754e-01, 4.524754e-01, 0.000000e+00, 0.000000e+00, 2.332643e-09, 5.585551e-01, 3.806453e-02, 7.982611e-08, 1.473595e-08, 2.567878e-10, 1.585861e-15, 4.124144e-16, 2.396444e-16, 9.338023e-16, 1.228876e-19, 2.397703e-16, 5.438797e-19, 5.350593e-16, 9.083933e+00, 3.894266e+09, 3.894266e+09, 1.768013e-07, 1.027351e-07, 5.268170e-11, 2.331603e-10, 3.422131e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 4.538309e-01, 4.538309e-01, 0.000000e+00, 0.000000e+00, 2.443698e-09, 5.585507e-01, 3.810539e-02, 8.353019e-08, 1.541004e-08, 2.685969e-10, 1.589668e-15, 4.176453e-16, 2.396447e-16, 9.323781e-16, 1.251344e-19, 2.397722e-16, 5.559864e-19, 5.419084e-16, 9.098014e+00, 3.723051e+09, 3.723051e+09, 1.709071e-07, 9.806641e-08, 5.120699e-11, 2.275184e-10, 3.418187e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 4.551278e-01, 4.551278e-01, 0.000000e+00, 0.000000e+00, 2.554767e-09, 5.585465e-01, 3.814616e-02, 8.722931e-08, 1.608281e-08, 2.803840e-10, 1.593468e-15, 4.228349e-16, 2.396450e-16, 9.309878e-16, 1.273390e-19, 2.397740e-16, 5.678708e-19, 5.486483e-16, 9.111672e+00, 3.566537e+09, 3.566537e+09, 1.655082e-07, 9.380307e-08, 4.984368e-11, 2.222789e-10, 3.414374e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 4.563710e-01, 4.563710e-01, 0.000000e+00, 0.000000e+00, 2.665846e-09, 5.585425e-01, 3.818686e-02, 9.092353e-08, 1.675431e-08, 2.921493e-10, 1.597258e-15, 4.279841e-16, 2.396453e-16, 9.296288e-16, 1.295036e-19, 2.397758e-16, 5.795449e-19, 5.552850e-16, 9.124942e+00, 3.422907e+09, 3.422907e+09, 1.605434e-07, 8.989465e-08, 4.857880e-11, 2.173962e-10, 3.410682e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 4.575648e-01, 4.575648e-01, 0.000000e+00, 0.000000e+00, 2.776932e-09, 5.585386e-01, 3.822747e-02, 9.461295e-08, 1.742458e-08, 3.038932e-10, 1.601038e-15, 4.330937e-16, 2.396456e-16, 9.282990e-16, 1.316303e-19, 2.397775e-16, 5.910194e-19, 5.618237e-16, 9.137857e+00, 3.290630e+09, 3.290630e+09, 1.559612e-07, 8.629868e-08, 4.740135e-11, 2.128318e-10, 3.407103e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 4.587130e-01, 4.587130e-01, 0.000000e+00, 0.000000e+00, 2.888024e-09, 5.585349e-01, 3.826799e-02, 9.829768e-08, 1.809364e-08, 3.156158e-10, 1.604807e-15, 4.381647e-16, 2.396458e-16, 9.269964e-16, 1.337212e-19, 2.397793e-16, 6.023043e-19, 5.682696e-16, 9.150442e+00, 3.168409e+09, 3.168409e+09, 1.517178e-07, 8.297917e-08, 4.630195e-11, 2.085524e-10, 3.403631e+01, nan, 1.370000e+00
