pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.849661e-01, 2.849661e-01, 0.000000e+00, 0.000000e+00, 1.111333e-09, 4.584912e-01, 5.227207e-02, 2.787197e-08, 5.520206e-09, 1.275183e-10, 1.563288e-15, 3.349042e-16, 2.398790e-16, 9.885050e-16, 2.136065e-19, 2.402841e-16, 4.902444e-19, 4.442918e-16, 8.715084e+00, 7.842011e+09, 7.842011e+09, 3.013536e-07, 2.158480e-07, 1.922075e-10, 4.411319e-10, 2.507977e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.887070e-01, 2.887070e-01, 0.000000e+00, 0.000000e+00, 1.221083e-09, 4.584729e-01, 5.231643e-02, 3.057740e-08, 6.045605e-09, 1.389810e-10, 1.566545e-15, 3.410745e-16, 2.398775e-16, 9.855931e-16, 2.185014e-19, 2.402827e-16, 5.207932e-19, 4.536066e-16, 8.785972e+00, 7.195229e+09, 7.195229e+09, 2.793213e-07, 1.964465e-07, 1.789407e-10, 4.265011e-10, 2.504122e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.921539e-01, 2.921539e-01, 0.000000e+00, 0.000000e+00, 1.331597e-09, 4.584563e-01, 5.236100e-02, 3.329633e-08, 6.572738e-09, 1.504623e-10, 1.569960e-15, 3.472427e-16, 2.398763e-16, 9.828410e-16, 2.232980e-19, 2.402820e-16, 5.500433e-19, 4.627009e-16, 8.850036e+00, 6.646182e+09, 6.646182e+09, 2.607716e-07, 1.801418e-07, 1.676919e-10, 4.130704e-10, 2.500481e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.953411e-01, 2.953411e-01, 0.000000e+00, 0.000000e+00, 1.442504e-09, 4.584410e-01, 5.240564e-02, 3.601992e-08, 7.099957e-09, 1.619283e-10, 1.573494e-15, 3.533866e-16, 2.398753e-16, 9.802324e-16, 2.279856e-19, 2.402818e-16, 5.780807e-19, 4.715722e-16, 8.908289e+00, 6.175571e+09, 6.175571e+09, 2.449813e-07, 1.662909e-07, 1.580484e-10, 4.007479e-10, 2.497040e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.983001e-01, 2.983001e-01, 0.000000e+00, 0.000000e+00, 1.553563e-09, 4.584269e-01, 5.245026e-02, 3.874250e-08, 7.626227e-09, 1.733581e-10, 1.577118e-15, 3.594917e-16, 2.398746e-16, 9.777521e-16, 2.325606e-19, 2.402820e-16, 6.049991e-19, 4.802258e-16, 8.961583e+00, 5.768405e+09, 5.768405e+09, 2.313982e-07, 1.544028e-07, 1.496949e-10, 3.894267e-10, 2.493783e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.010729e-01, 3.010729e-01, 0.000000e+00, 0.000000e+00, 1.665229e-09, 4.584138e-01, 5.249503e-02, 4.147548e-08, 8.153802e-09, 1.848020e-10, 1.580830e-15, 3.655825e-16, 2.398740e-16, 9.753734e-16, 2.370475e-19, 2.402826e-16, 6.310307e-19, 4.887166e-16, 9.010885e+00, 5.411198e+09, 5.411198e+09, 2.195389e-07, 1.440487e-07, 1.423513e-10, 3.789453e-10, 2.490677e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.036432e-01, 3.036432e-01, 0.000000e+00, 0.000000e+00, 1.775758e-09, 4.584018e-01, 5.253927e-02, 4.417645e-08, 8.674553e-09, 1.960847e-10, 1.584556e-15, 3.715642e-16, 2.398736e-16, 9.731186e-16, 2.413837e-19, 2.402835e-16, 6.558837e-19, 4.969318e-16, 9.056076e+00, 5.099836e+09, 5.099836e+09, 2.092426e-07, 1.350824e-07, 1.359328e-10, 3.693542e-10, 2.487751e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.060754e-01, 3.060754e-01, 0.000000e+00, 0.000000e+00, 1.886965e-09, 4.583904e-01, 5.258369e-02, 4.688999e-08, 9.197122e-09, 2.073948e-10, 1.588347e-15, 3.775355e-16, 2.398733e-16, 9.709386e-16, 2.456470e-19, 2.402846e-16, 6.800611e-19, 5.050227e-16, 9.098419e+00, 4.821722e+09, 4.821722e+09, 2.000755e-07, 1.271212e-07, 1.301810e-10, 3.603995e-10, 2.484943e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.105642e-01, 3.105642e-01, 0.000000e+00, 0.000000e+00, 2.110420e-09, 4.583697e-01, 5.267271e-02, 5.233125e-08, 1.024330e-08, 2.300036e-10, 1.596055e-15, 3.893924e-16, 2.398729e-16, 9.667898e-16, 2.539334e-19, 2.402874e-16, 7.264244e-19, 5.208024e-16, 9.175593e+00, 4.347757e+09, 4.347757e+09, 1.845095e-07, 1.136612e-07, 1.203236e-10, 3.442085e-10, 2.479661e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.126557e-01, 3.126557e-01, 0.000000e+00, 0.000000e+00, 2.223207e-09, 4.583601e-01, 5.271752e-02, 5.507232e-08, 1.076953e-08, 2.413600e-10, 1.599977e-15, 3.953062e-16, 2.398728e-16, 9.647980e-16, 2.579838e-19, 2.402890e-16, 7.488230e-19, 5.285465e-16, 9.211164e+00, 4.143188e+09, 4.143188e+09, 1.778090e-07, 1.078950e-07, 1.160413e-10, 3.368211e-10, 2.477157e+01, nan, 1.370000e+00
