pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.627578e-01, 3.627578e-01, 0.000000e+00, 0.000000e+00, 1.110507e-09, 5.117820e-01, 4.451057e-02, 3.268924e-08, 6.272189e-09, 1.203091e-10, 1.553027e-15, 3.442524e-16, 2.397060e-16, 9.690682e-16, 1.340366e-19, 2.398965e-16, 4.548714e-19, 4.482861e-16, 9.230450e+00, 8.311921e+09, 8.311921e+09, 3.099956e-07, 2.158527e-07, 1.206985e-10, 4.096068e-10, 2.943631e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.660568e-01, 3.660568e-01, 0.000000e+00, 0.000000e+00, 1.224091e-09, 5.117695e-01, 4.455502e-02, 3.597050e-08, 6.891063e-09, 1.320758e-10, 1.556677e-15, 3.504922e-16, 2.397066e-16, 9.664781e-16, 1.380435e-19, 2.398993e-16, 4.762819e-19, 4.577158e-16, 9.268091e+00, 7.571409e+09, 7.571409e+09, 2.863286e-07, 1.958242e-07, 1.127723e-10, 3.890904e-10, 2.938549e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.689393e-01, 3.689393e-01, 0.000000e+00, 0.000000e+00, 1.332622e-09, 5.117586e-01, 4.459741e-02, 3.909902e-08, 7.480265e-09, 1.432773e-10, 1.560256e-15, 3.564000e-16, 2.397071e-16, 9.641490e-16, 1.417407e-19, 2.399020e-16, 4.959709e-19, 4.664424e-16, 9.301000e+00, 6.979473e+09, 6.979473e+09, 2.674427e-07, 1.798763e-07, 1.063623e-10, 3.721767e-10, 2.933992e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.716836e-01, 3.716836e-01, 0.000000e+00, 0.000000e+00, 1.444698e-09, 5.117483e-01, 4.464108e-02, 4.232320e-08, 8.086677e-09, 1.548049e-10, 1.564024e-15, 3.624460e-16, 2.397076e-16, 9.618699e-16, 1.454377e-19, 2.399048e-16, 5.156041e-19, 4.751969e-16, 9.332382e+00, 6.459745e+09, 6.459745e+09, 2.508800e-07, 1.659223e-07, 1.006699e-10, 3.568940e-10, 2.929553e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.741821e-01, 3.741821e-01, 0.000000e+00, 0.000000e+00, 1.554744e-09, 5.117389e-01, 4.468388e-02, 4.548292e-08, 8.680230e-09, 1.660869e-10, 1.567777e-15, 3.683294e-16, 2.397081e-16, 9.597393e-16, 1.489593e-19, 2.399074e-16, 5.342623e-19, 4.835651e-16, 9.361025e+00, 6.020945e+09, 6.020945e+09, 2.369069e-07, 1.541785e-07, 9.580956e-11, 3.436337e-10, 2.925429e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.765360e-01, 3.765360e-01, 0.000000e+00, 0.000000e+00, 1.665919e-09, 5.117301e-01, 4.472703e-02, 4.866934e-08, 9.278116e-09, 1.774501e-10, 1.571610e-15, 3.742212e-16, 2.397086e-16, 9.576804e-16, 1.524176e-19, 2.399101e-16, 5.525491e-19, 4.918124e-16, 9.388098e+00, 5.635388e+09, 5.635388e+09, 2.246335e-07, 1.438897e-07, 9.149164e-11, 3.316783e-10, 2.921471e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.787402e-01, 3.787402e-01, 0.000000e+00, 0.000000e+00, 1.777066e-09, 5.117219e-01, 4.477007e-02, 5.184952e-08, 9.874197e-09, 1.887776e-10, 1.575474e-15, 3.800603e-16, 2.397091e-16, 9.557046e-16, 1.557834e-19, 2.399127e-16, 5.703161e-19, 4.998683e-16, 9.413546e+00, 5.297239e+09, 5.297239e+09, 2.138695e-07, 1.348903e-07, 8.766326e-11, 3.209312e-10, 2.917703e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.808118e-01, 3.808118e-01, 0.000000e+00, 0.000000e+00, 1.888135e-09, 5.117143e-01, 4.481300e-02, 5.502227e-08, 1.046829e-08, 2.000659e-10, 1.579358e-15, 3.858452e-16, 2.397096e-16, 9.538034e-16, 1.590623e-19, 2.399153e-16, 5.875986e-19, 5.077450e-16, 9.437566e+00, 4.998354e+09, 4.998354e+09, 2.043526e-07, 1.269557e-07, 8.424310e-11, 3.112058e-10, 2.914107e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.846197e-01, 3.846197e-01, 0.000000e+00, 0.000000e+00, 2.110305e-09, 5.117002e-01, 4.489861e-02, 6.135422e-08, 1.165231e-08, 2.225582e-10, 1.587171e-15, 3.972710e-16, 2.397105e-16, 9.501898e-16, 1.653914e-19, 2.399204e-16, 6.208954e-19, 5.230325e-16, 9.482038e+00, 4.493207e+09, 4.493207e+09, 1.882529e-07, 1.135904e-07, 7.837319e-11, 2.942207e-10, 2.907363e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.863790e-01, 3.863790e-01, 0.000000e+00, 0.000000e+00, 2.221400e-09, 5.116937e-01, 4.494129e-02, 6.451367e-08, 1.224234e-08, 2.337640e-10, 1.591090e-15, 4.029135e-16, 2.397109e-16, 9.484656e-16, 1.684513e-19, 2.399228e-16, 6.369679e-19, 5.304644e-16, 9.502747e+00, 4.277818e+09, 4.277818e+09, 1.813782e-07, 1.079098e-07, 7.583115e-11, 2.867416e-10, 2.904189e+01, nan, 1.370000e+00
