pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.716504e-01, 3.716504e-01, 0.000000e+00, 0.000000e+00, 1.110377e-09, 4.974109e-01, 3.790083e-02, 3.911705e-08, 6.888224e-09, 1.394505e-10, 1.587508e-15, 3.609058e-16, 2.596017e-16, 9.670007e-16, 1.110122e-19, 2.597509e-16, 4.428743e-19, 4.577106e-16, 7.962521e+00, 7.171004e+09, 7.171004e+09, 3.250299e-07, 2.337959e-07, 9.997702e-11, 3.988502e-10, 3.522860e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.743501e-01, 3.743501e-01, 0.000000e+00, 0.000000e+00, 1.221477e-09, 4.974010e-01, 3.793964e-02, 4.295178e-08, 7.553620e-09, 1.529361e-10, 1.590617e-15, 3.660888e-16, 2.596025e-16, 9.649260e-16, 1.143390e-19, 2.597538e-16, 4.616790e-19, 4.659471e-16, 7.986846e+00, 6.538677e+09, 6.538677e+09, 2.997099e-07, 2.125315e-07, 9.360710e-11, 3.779677e-10, 3.516379e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.768752e-01, 3.768752e-01, 0.000000e+00, 0.000000e+00, 1.335210e-09, 4.973918e-01, 3.797928e-02, 4.686776e-08, 8.232256e-09, 1.666968e-10, 1.593889e-15, 3.713574e-16, 2.596032e-16, 9.629283e-16, 1.176289e-19, 2.597566e-16, 4.802718e-19, 4.741120e-16, 8.009811e+00, 5.998916e+09, 5.998916e+09, 2.781266e-07, 1.944288e-07, 8.809770e-11, 3.596976e-10, 3.510143e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.791322e-01, 3.791322e-01, 0.000000e+00, 0.000000e+00, 1.445606e-09, 4.973835e-01, 3.801767e-02, 5.066018e-08, 8.888725e-09, 1.800136e-10, 1.597132e-15, 3.764362e-16, 2.596039e-16, 9.610919e-16, 1.207229e-19, 2.597593e-16, 4.977553e-19, 4.818107e-16, 8.030541e+00, 5.555137e+09, 5.555137e+09, 2.604002e-07, 1.795814e-07, 8.351022e-11, 3.443229e-10, 3.504425e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.812299e-01, 3.812299e-01, 0.000000e+00, 0.000000e+00, 1.556200e-09, 4.973759e-01, 3.805604e-02, 5.445126e-08, 9.544277e-09, 1.933166e-10, 1.600434e-15, 3.814902e-16, 2.596046e-16, 9.593391e-16, 1.237342e-19, 2.597619e-16, 5.147710e-19, 4.893240e-16, 8.050005e+00, 5.172861e+09, 5.172861e+09, 2.451422e-07, 1.668196e-07, 7.951050e-11, 3.307872e-10, 3.498990e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.831890e-01, 3.831890e-01, 0.000000e+00, 0.000000e+00, 1.666934e-09, 4.973688e-01, 3.809438e-02, 5.823950e-08, 1.019870e-08, 2.066010e-10, 1.603782e-15, 3.865174e-16, 2.596052e-16, 9.576596e-16, 1.266692e-19, 2.597645e-16, 5.313557e-19, 4.966672e-16, 8.068373e+00, 4.840247e+09, 4.840247e+09, 2.318732e-07, 1.557382e-07, 7.598934e-11, 3.187623e-10, 3.493809e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.850262e-01, 3.850262e-01, 0.000000e+00, 0.000000e+00, 1.777770e-09, 4.973622e-01, 3.813268e-02, 6.202389e-08, 1.085188e-08, 2.198637e-10, 1.607167e-15, 3.915167e-16, 2.596059e-16, 9.560448e-16, 1.295336e-19, 2.597670e-16, 5.475422e-19, 5.038542e-16, 8.085784e+00, 4.548273e+09, 4.548273e+09, 2.202291e-07, 1.460289e-07, 7.286298e-11, 3.079938e-10, 3.488859e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.867559e-01, 3.867559e-01, 0.000000e+00, 0.000000e+00, 1.888679e-09, 4.973559e-01, 3.817092e-02, 6.580383e-08, 1.150373e-08, 2.331026e-10, 1.610581e-15, 3.964874e-16, 2.596065e-16, 9.544876e-16, 1.323325e-19, 2.597694e-16, 5.633596e-19, 5.108968e-16, 8.102352e+00, 4.289957e+09, 4.289957e+09, 2.099284e-07, 1.374540e-07, 7.006617e-11, 2.982823e-10, 3.484119e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.899379e-01, 3.899379e-01, 0.000000e+00, 0.000000e+00, 2.110642e-09, 4.973444e-01, 3.824721e-02, 7.334899e-08, 1.280339e-08, 2.595052e-10, 1.617473e-15, 4.063419e-16, 2.596076e-16, 9.515230e-16, 1.377514e-19, 2.597741e-16, 5.939881e-19, 5.245902e-16, 8.133333e+00, 3.853488e+09, 3.853488e+09, 1.925205e-07, 1.229993e-07, 6.526517e-11, 2.814253e-10, 3.475198e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.914088e-01, 3.914088e-01, 0.000000e+00, 0.000000e+00, 2.221671e-09, 4.973392e-01, 3.828525e-02, 7.711390e-08, 1.345120e-08, 2.726681e-10, 1.620940e-15, 4.112259e-16, 2.596081e-16, 9.501062e-16, 1.403792e-19, 2.597764e-16, 6.088431e-19, 5.312588e-16, 8.147895e+00, 3.667462e+09, 3.667462e+09, 1.850975e-07, 1.168526e-07, 6.318629e-11, 2.740473e-10, 3.470986e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.928099e-01, 3.928099e-01, 0.000000e+00, 0.000000e+00, 2.332721e-09, 4.973341e-01, 3.832323e-02, 8.087365e-08, 1.409769e-08, 2.858055e-10, 1.624418e-15, 4.160812e-16, 2.596087e-16, 9.487279e-16, 1.429569e-19, 2.597786e-16, 6.234171e-19, 5.378187e-16, 8.161919e+00, 3.498884e+09, 3.498884e+09, 1.783673e-07, 1.112901e-07, 6.128332e-11, 2.672489e-10, 3.466923e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.941476e-01, 3.941476e-01, 0.000000e+00, 0.000000e+00, 2.443786e-09, 4.973293e-01, 3.836113e-02, 8.462828e-08, 1.474289e-08, 2.989174e-10, 1.627902e-15, 4.209081e-16, 2.596092e-16, 9.473848e-16, 1.454876e-19, 2.597808e-16, 6.377268e-19, 5.442767e-16, 8.175455e+00, 3.345406e+09, 3.345406e+09, 1.722361e-07, 1.062324e-07, 5.953368e-11, 2.609585e-10, 3.462999e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.954273e-01, 3.954273e-01, 0.000000e+00, 0.000000e+00, 2.554862e-09, 4.973248e-01, 3.839896e-02, 8.837786e-08, 1.538684e-08, 3.120043e-10, 1.631391e-15, 4.257071e-16, 2.596097e-16, 9.460741e-16, 1.479738e-19, 2.597830e-16, 6.517871e-19, 5.506386e-16, 8.188549e+00, 3.205085e+09, 3.205085e+09, 1.666263e-07, 1.016140e-07, 5.791852e-11, 2.551164e-10, 3.459203e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.966540e-01, 3.966540e-01, 0.000000e+00, 0.000000e+00, 2.665946e-09, 4.973204e-01, 3.843672e-02, 9.212248e-08, 1.602956e-08, 3.250664e-10, 1.634882e-15, 4.304783e-16, 2.596101e-16, 9.447934e-16, 1.504181e-19, 2.597851e-16, 6.656117e-19, 5.569099e-16, 8.201236e+00, 3.076295e+09, 3.076295e+09, 1.614730e-07, 9.738011e-08, 5.642202e-11, 2.496718e-10, 3.455526e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.978319e-01, 3.978319e-01, 0.000000e+00, 0.000000e+00, 2.777037e-09, 4.973162e-01, 3.847441e-02, 9.586224e-08, 1.667110e-08, 3.381043e-10, 1.638373e-15, 4.352223e-16, 2.596106e-16, 9.435404e-16, 1.528225e-19, 2.597872e-16, 6.792126e-19, 5.630953e-16, 8.213552e+00, 2.957668e+09, 2.957668e+09, 1.567218e-07, 9.348475e-08, 5.503078e-11, 2.445818e-10, 3.451961e+01, nan, 1.370000e+00
