pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.254226e-01, 2.254226e-01, 0.000000e+00, 0.000000e+00, 1.111677e-09, 3.967172e-01, 5.269077e-02, 2.822849e-08, 5.294052e-09, 1.578140e-10, 1.604586e-15, 3.392916e-16, 2.600581e-16, 1.005237e-15, 2.846287e-19, 2.607639e-16, 4.089353e-19, 4.475906e-16, 7.044220e+00, 6.336572e+09, 6.336572e+09, 3.052071e-07, 2.339332e-07, 2.560355e-10, 3.678545e-10, 2.539271e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.291327e-01, 2.291327e-01, 0.000000e+00, 0.000000e+00, 1.222050e-09, 3.966939e-01, 5.273201e-02, 3.098413e-08, 5.800833e-09, 1.709279e-10, 1.607138e-15, 3.446644e-16, 2.600511e-16, 1.002423e-15, 2.896168e-19, 2.607501e-16, 4.543695e-19, 4.561399e-16, 7.149507e+00, 5.850419e+09, 5.850419e+09, 2.820378e-07, 2.127990e-07, 2.369925e-10, 3.718091e-10, 2.535421e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.325344e-01, 2.325344e-01, 0.000000e+00, 0.000000e+00, 1.332675e-09, 3.966730e-01, 5.277326e-02, 3.374067e-08, 6.306929e-09, 1.839924e-10, 1.609869e-15, 3.500409e-16, 2.600453e-16, 9.997830e-16, 2.945764e-19, 2.607387e-16, 4.969992e-19, 4.644615e-16, 7.243098e+00, 5.435008e+09, 5.435008e+09, 2.626604e-07, 1.951303e-07, 2.210414e-10, 3.729336e-10, 2.531801e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.356736e-01, 2.356736e-01, 0.000000e+00, 0.000000e+00, 1.443463e-09, 3.966540e-01, 5.281449e-02, 3.649627e-08, 6.812072e-09, 1.970033e-10, 1.612745e-15, 3.554129e-16, 2.600403e-16, 9.972917e-16, 2.994898e-19, 2.607294e-16, 5.372540e-19, 4.725764e-16, 7.327102e+00, 5.076057e+09, 5.076057e+09, 2.462223e-07, 1.801503e-07, 2.074800e-10, 3.721979e-10, 2.528382e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.385873e-01, 2.385873e-01, 0.000000e+00, 0.000000e+00, 1.554359e-09, 3.966366e-01, 5.285569e-02, 3.924981e-08, 7.316117e-09, 2.099595e-10, 1.615739e-15, 3.607749e-16, 2.600361e-16, 9.949281e-16, 3.043462e-19, 2.607217e-16, 5.754700e-19, 4.805030e-16, 7.403139e+00, 4.762823e+09, 4.762823e+09, 2.321052e-07, 1.672947e-07, 1.958017e-10, 3.702297e-10, 2.525144e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.413053e-01, 2.413053e-01, 0.000000e+00, 0.000000e+00, 1.665325e-09, 3.966206e-01, 5.289685e-02, 4.200062e-08, 7.818997e-09, 2.228614e-10, 1.618831e-15, 3.661225e-16, 2.600325e-16, 9.926756e-16, 3.091393e-19, 2.607153e-16, 6.119146e-19, 4.882574e-16, 7.472472e+00, 4.487095e+09, 4.487095e+09, 2.198505e-07, 1.561452e-07, 1.856330e-10, 3.674445e-10, 2.522067e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.438521e-01, 2.438521e-01, 0.000000e+00, 0.000000e+00, 1.776337e-09, 3.966058e-01, 5.293794e-02, 4.474835e-08, 8.320692e-09, 2.357102e-10, 1.622003e-15, 3.714529e-16, 2.600294e-16, 9.905206e-16, 3.138654e-19, 2.607100e-16, 6.468037e-19, 4.958535e-16, 7.536104e+00, 4.242497e+09, 4.242497e+09, 2.091117e-07, 1.463852e-07, 1.766925e-10, 3.641222e-10, 2.519136e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.462478e-01, 2.462478e-01, 0.000000e+00, 0.000000e+00, 1.887378e-09, 3.965920e-01, 5.297897e-02, 4.749280e-08, 8.821209e-09, 2.485080e-10, 1.625242e-15, 3.767638e-16, 2.600267e-16, 9.884519e-16, 3.185231e-19, 2.607057e-16, 6.803141e-19, 5.033036e-16, 7.594841e+00, 4.024016e+09, 4.024016e+09, 1.996228e-07, 1.377714e-07, 1.687648e-10, 3.604545e-10, 2.516337e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.506514e-01, 2.506514e-01, 0.000000e+00, 0.000000e+00, 2.109514e-09, 3.965671e-01, 5.306085e-02, 5.297173e-08, 9.818825e-09, 2.739583e-10, 1.631880e-15, 3.873209e-16, 2.600223e-16, 9.845370e-16, 3.276324e-19, 2.606992e-16, 7.437601e-19, 5.178072e-16, 7.700125e+00, 3.650190e+09, 3.650190e+09, 1.836067e-07, 1.232617e-07, 1.553118e-10, 3.525742e-10, 2.511087e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.526856e-01, 2.526856e-01, 0.000000e+00, 0.000000e+00, 2.220596e-09, 3.965557e-01, 5.310169e-02, 5.570627e-08, 1.031600e-08, 2.866152e-10, 1.635262e-15, 3.925649e-16, 2.600205e-16, 9.826764e-16, 3.320853e-19, 2.606969e-16, 7.739218e-19, 5.248783e-16, 7.747656e+00, 3.488998e+09, 3.488998e+09, 1.767836e-07, 1.170949e-07, 1.495478e-10, 3.485199e-10, 2.508618e+01, nan, 1.370000e+00
