pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.032789e-01, 3.032789e-01, 0.000000e+00, 0.000000e+00, 1.110463e-09, 4.503013e-01, 4.486151e-02, 3.309918e-08, 6.005020e-09, 1.367626e-10, 1.595124e-15, 3.510871e-16, 2.597156e-16, 9.843215e-16, 1.646408e-19, 2.600044e-16, 4.948374e-19, 4.539920e-16, 8.119641e+00, 7.311943e+09, 7.311943e+09, 3.161628e-07, 2.338805e-07, 1.482632e-10, 4.456136e-10, 2.980665e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.064735e-01, 3.064735e-01, 0.000000e+00, 0.000000e+00, 1.221783e-09, 4.502875e-01, 4.490182e-02, 3.635686e-08, 6.586017e-09, 1.496827e-10, 1.598065e-15, 3.564598e-16, 2.597157e-16, 9.818893e-16, 1.689619e-19, 2.600061e-16, 5.206488e-19, 4.625090e-16, 8.162486e+00, 6.680799e+09, 6.680799e+09, 2.917538e-07, 2.125711e-07, 1.382912e-10, 4.261385e-10, 2.975722e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.094121e-01, 3.094121e-01, 0.000000e+00, 0.000000e+00, 1.333819e-09, 4.502749e-01, 4.494231e-02, 3.962845e-08, 7.168636e-09, 1.626303e-10, 1.601153e-15, 3.618450e-16, 2.597160e-16, 9.795921e-16, 1.731820e-19, 2.600080e-16, 5.456024e-19, 4.708223e-16, 8.201541e+00, 6.148915e+09, 6.148915e+09, 2.712849e-07, 1.947160e-07, 1.298392e-10, 4.090527e-10, 2.971051e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.121524e-01, 3.121524e-01, 0.000000e+00, 0.000000e+00, 1.447352e-09, 4.502632e-01, 4.498326e-02, 4.293698e-08, 7.757033e-09, 1.756986e-10, 1.604388e-15, 3.672776e-16, 2.597163e-16, 9.773938e-16, 1.773387e-19, 2.600101e-16, 5.699714e-19, 4.790138e-16, 8.237696e+00, 5.691565e+09, 5.691565e+09, 2.537583e-07, 1.794424e-07, 1.225264e-10, 3.938030e-10, 2.966589e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.145601e-01, 3.145601e-01, 0.000000e+00, 0.000000e+00, 1.554891e-09, 4.502529e-01, 4.502197e-02, 4.606498e-08, 8.312642e-09, 1.880321e-10, 1.607530e-15, 3.723993e-16, 2.597166e-16, 9.754142e-16, 1.811740e-19, 2.600122e-16, 5.922977e-19, 4.865799e-16, 8.269287e+00, 5.318240e+09, 5.318240e+09, 2.395018e-07, 1.670320e-07, 1.165187e-10, 3.809254e-10, 2.962585e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.168831e-01, 3.168831e-01, 0.000000e+00, 0.000000e+00, 1.666059e-09, 4.502431e-01, 4.506191e-02, 4.929282e-08, 8.885336e-09, 2.007388e-10, 1.610844e-15, 3.776685e-16, 2.597170e-16, 9.734588e-16, 1.850426e-19, 2.600145e-16, 6.146831e-19, 4.942235e-16, 8.299636e+00, 4.981599e+09, 4.981599e+09, 2.266838e-07, 1.558871e-07, 1.110661e-10, 3.689445e-10, 2.958648e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.190608e-01, 3.190608e-01, 0.000000e+00, 0.000000e+00, 1.777330e-09, 4.502340e-01, 4.510181e-02, 5.251818e-08, 9.456981e-09, 2.134163e-10, 1.614216e-15, 3.829159e-16, 2.597174e-16, 9.715826e-16, 1.888241e-19, 2.600168e-16, 6.364497e-19, 5.017097e-16, 8.327994e+00, 4.685678e+09, 4.685678e+09, 2.154445e-07, 1.461279e-07, 1.062403e-10, 3.580932e-10, 2.954893e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.211125e-01, 3.211125e-01, 0.000000e+00, 0.000000e+00, 1.888812e-09, 4.502254e-01, 4.514170e-02, 5.574445e-08, 1.002821e-08, 2.260791e-10, 1.617639e-15, 3.881463e-16, 2.597179e-16, 9.697747e-16, 1.925282e-19, 2.600192e-16, 6.576728e-19, 5.090591e-16, 8.354650e+00, 4.423231e+09, 4.423231e+09, 2.054976e-07, 1.375033e-07, 1.019309e-10, 3.481939e-10, 2.951297e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.249048e-01, 3.249048e-01, 0.000000e+00, 0.000000e+00, 2.113179e-09, 4.502095e-01, 4.522177e-02, 6.222275e-08, 1.117365e-08, 2.514545e-10, 1.624632e-15, 3.985895e-16, 2.597188e-16, 9.663233e-16, 1.997488e-19, 2.600240e-16, 6.988015e-19, 5.234390e-16, 8.403824e+00, 3.976863e+09, 3.976863e+09, 1.886207e-07, 1.229043e-07, 9.452525e-11, 3.306872e-10, 2.944509e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.266752e-01, 3.266752e-01, 0.000000e+00, 0.000000e+00, 2.226664e-09, 4.502022e-01, 4.526215e-02, 6.549236e-08, 1.175100e-08, 2.642371e-10, 1.628209e-15, 4.038289e-16, 2.597193e-16, 9.646604e-16, 2.032915e-19, 2.600265e-16, 7.188785e-19, 5.305229e-16, 8.426765e+00, 3.784480e+09, 3.784480e+09, 1.813605e-07, 1.166406e-07, 9.129869e-11, 3.228500e-10, 2.941277e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.282503e-01, 3.282503e-01, 0.000000e+00, 0.000000e+00, 2.332633e-09, 4.501957e-01, 4.529979e-02, 6.854136e-08, 1.228898e-08, 2.761433e-10, 1.631567e-15, 4.086954e-16, 2.597198e-16, 9.631515e-16, 2.065383e-19, 2.600288e-16, 7.372263e-19, 5.370329e-16, 8.447182e+00, 3.621309e+09, 3.621309e+09, 1.752078e-07, 1.113419e-07, 8.854299e-11, 3.160491e-10, 2.938369e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.298287e-01, 3.298287e-01, 0.000000e+00, 0.000000e+00, 2.443767e-09, 4.501892e-01, 4.533920e-02, 7.173493e-08, 1.285205e-08, 2.886001e-10, 1.635103e-15, 4.137723e-16, 2.597203e-16, 9.616109e-16, 2.098831e-19, 2.600313e-16, 7.560806e-19, 5.437582e-16, 8.467656e+00, 3.465002e+09, 3.465002e+09, 1.693174e-07, 1.062787e-07, 8.588509e-11, 3.093915e-10, 2.935425e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.313389e-01, 3.313389e-01, 0.000000e+00, 0.000000e+00, 2.554933e-09, 4.501829e-01, 4.537854e-02, 7.492545e-08, 1.341418e-08, 3.010313e-10, 1.638653e-15, 4.188232e-16, 2.597208e-16, 9.601091e-16, 2.131705e-19, 2.600338e-16, 7.745672e-19, 5.503868e-16, 8.487268e+00, 3.321914e+09, 3.321914e+09, 1.639272e-07, 1.016546e-07, 8.343486e-11, 3.031653e-10, 2.932580e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.327869e-01, 3.327869e-01, 0.000000e+00, 0.000000e+00, 2.666162e-09, 4.501770e-01, 4.541784e-02, 7.811391e-08, 1.397556e-08, 3.134412e-10, 1.642214e-15, 4.238495e-16, 2.597213e-16, 9.586428e-16, 2.164041e-19, 2.600362e-16, 7.927123e-19, 5.569258e-16, 8.506100e+00, 3.190391e+09, 3.190391e+09, 1.589736e-07, 9.741392e-08, 8.116690e-11, 2.973234e-10, 2.929826e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.341783e-01, 3.341783e-01, 0.000000e+00, 0.000000e+00, 2.777502e-09, 4.501713e-01, 4.545711e-02, 8.130184e-08, 1.453648e-08, 3.258362e-10, 1.645784e-15, 4.288536e-16, 2.597218e-16, 9.572086e-16, 2.195880e-19, 2.600387e-16, 8.105429e-19, 5.633829e-16, 8.524230e+00, 3.069027e+09, 3.069027e+09, 1.544026e-07, 9.350913e-08, 7.905951e-11, 2.918244e-10, 2.927157e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.355185e-01, 3.355185e-01, 0.000000e+00, 0.000000e+00, 2.889032e-09, 4.501658e-01, 4.549637e-02, 8.449159e-08, 1.509737e-08, 3.382256e-10, 1.649365e-15, 4.338389e-16, 2.597223e-16, 9.558034e-16, 2.227265e-19, 2.600411e-16, 8.280876e-19, 5.697666e-16, 8.541729e+00, 2.956606e+09, 2.956606e+09, 1.501676e-07, 8.989944e-08, 7.709382e-11, 2.866315e-10, 2.924564e+01, nan, 1.370000e+00
