pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.008098e-01, 1.008098e-01, 0.000000e+00, 0.000000e+00, 1.110540e-09, 3.257547e-01, 5.600411e-02, 2.878067e-08, 4.758372e-09, 1.401707e-09, 7.991488e-16, 2.933873e-16, 2.801335e-16, 2.256281e-16, 1.035230e-19, 2.809657e-16, 6.043955e-19, 3.064316e-16, 7.922764e-01, 7.134157e+08, 7.134157e+08, 2.641844e-07, 2.522498e-07, 9.321860e-11, 5.442358e-10, 2.591593e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.043246e-01, 1.043246e-01, 0.000000e+00, 0.000000e+00, 1.221621e-09, 3.254999e-01, 5.601307e-02, 3.163329e-08, 5.220269e-09, 1.437364e-09, 7.990398e-16, 2.937940e-16, 2.801072e-16, 2.251385e-16, 1.012593e-19, 2.808960e-16, 5.485588e-19, 3.072318e-16, 8.499035e-01, 6.957178e+08, 6.957178e+08, 2.404952e-07, 2.292914e-07, 8.288925e-11, 4.490417e-10, 2.589452e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.076341e-01, 1.076341e-01, 0.000000e+00, 0.000000e+00, 1.335921e-09, 3.252811e-01, 5.602228e-02, 3.456512e-08, 5.694138e-09, 1.479737e-09, 7.989561e-16, 2.941942e-16, 2.800846e-16, 2.246773e-16, 9.936544e-20, 2.808362e-16, 5.003749e-19, 3.080144e-16, 9.028097e-01, 6.757960e+08, 6.757960e+08, 2.202183e-07, 2.096566e-07, 7.437975e-11, 3.745544e-10, 2.587364e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.105775e-01, 1.105775e-01, 0.000000e+00, 0.000000e+00, 1.446184e-09, 3.251014e-01, 5.603115e-02, 3.739033e-08, 6.150018e-09, 1.524696e-09, 7.988987e-16, 2.945659e-16, 2.800660e-16, 2.242668e-16, 9.786154e-20, 2.807874e-16, 4.606790e-19, 3.087356e-16, 9.485065e-01, 6.558684e+08, 6.558684e+08, 2.036849e-07, 1.936586e-07, 6.766879e-11, 3.185479e-10, 2.585447e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.133166e-01, 1.133166e-01, 0.000000e+00, 0.000000e+00, 1.556667e-09, 3.249449e-01, 5.604004e-02, 4.021825e-08, 6.605649e-09, 1.572815e-09, 7.988608e-16, 2.949268e-16, 2.800498e-16, 2.238842e-16, 9.660545e-20, 2.807452e-16, 4.261199e-19, 3.094294e-16, 9.897332e-01, 6.358028e+08, 6.358028e+08, 1.894604e-07, 1.799035e-07, 6.205916e-11, 2.737386e-10, 2.583613e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.158769e-01, 1.158769e-01, 0.000000e+00, 0.000000e+00, 1.667311e-09, 3.248071e-01, 5.604892e-02, 4.304749e-08, 7.060853e-09, 1.623402e-09, 7.988401e-16, 2.952786e-16, 2.800356e-16, 2.235259e-16, 9.554991e-20, 2.807085e-16, 3.956879e-19, 3.100988e-16, 1.027047e+00, 6.159904e+08, 6.159904e+08, 1.770987e-07, 1.679565e-07, 5.730780e-11, 2.373210e-10, 2.581852e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.182797e-01, 1.182797e-01, 0.000000e+00, 0.000000e+00, 1.778072e-09, 3.246843e-01, 5.605781e-02, 4.587708e-08, 7.515515e-09, 1.675942e-09, 7.988344e-16, 2.956226e-16, 2.800230e-16, 2.231889e-16, 9.465874e-20, 2.806761e-16, 3.686221e-19, 3.107463e-16, 1.060939e+00, 5.966795e+08, 5.966795e+08, 1.662602e-07, 1.574869e-07, 5.323673e-11, 2.073156e-10, 2.580159e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.205428e-01, 1.205428e-01, 0.000000e+00, 0.000000e+00, 1.888920e-09, 3.245739e-01, 5.606669e-02, 4.870633e-08, 7.969558e-09, 1.730044e-09, 7.988422e-16, 2.959598e-16, 2.800117e-16, 2.228707e-16, 9.390388e-20, 2.806474e-16, 3.443389e-19, 3.113742e-16, 1.091834e+00, 5.780200e+08, 5.780200e+08, 1.566820e-07, 1.482390e-07, 4.971300e-11, 1.822941e-10, 2.578528e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.247080e-01, 1.247080e-01, 0.000000e+00, 0.000000e+00, 2.110792e-09, 3.243823e-01, 5.608443e-02, 5.436199e-08, 8.875631e-09, 1.841803e-09, 7.988921e-16, 2.966173e-16, 2.799923e-16, 2.222825e-16, 9.271905e-20, 2.805987e-16, 3.023966e-19, 3.125779e-16, 1.146047e+00, 5.429463e+08, 5.429463e+08, 1.405241e-07, 1.326479e-07, 4.392618e-11, 1.432621e-10, 2.575430e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.266338e-01, 1.266338e-01, 0.000000e+00, 0.000000e+00, 2.221788e-09, 3.242983e-01, 5.609330e-02, 5.718784e-08, 9.327624e-09, 1.899042e-09, 7.989321e-16, 2.969389e-16, 2.799838e-16, 2.220093e-16, 9.225718e-20, 2.805778e-16, 2.840896e-19, 3.131570e-16, 1.169952e+00, 5.265812e+08, 5.265812e+08, 1.336486e-07, 1.260174e-07, 4.152385e-11, 1.278653e-10, 2.573956e+01, nan, 1.370000e+00
