pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.292685e-01, 3.292685e-01, 0.000000e+00, 0.000000e+00, 1.110452e-09, 4.962038e-01, 4.010399e-02, 3.973319e-08, 6.441872e-09, 6.625892e-10, 7.619183e-16, 2.833373e-16, 2.594775e-16, 2.191035e-16, 1.409001e-20, 2.595410e-16, 4.835278e-20, 2.928758e-16, 1.675927e+00, 1.509231e+09, 1.509231e+09, 2.551551e-07, 2.336684e-07, 1.268855e-11, 4.354335e-11, 3.578111e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.318912e-01, 3.318912e-01, 0.000000e+00, 0.000000e+00, 1.221557e-09, 4.961573e-01, 4.011298e-02, 4.366287e-08, 7.068896e-09, 7.271416e-10, 7.618431e-16, 2.835979e-16, 2.594768e-16, 2.187684e-16, 1.429049e-20, 2.595412e-16, 4.963538e-20, 2.935089e-16, 1.679944e+00, 1.375248e+09, 1.375248e+09, 2.321609e-07, 2.124147e-07, 1.169859e-11, 4.063287e-11, 3.574361e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.342880e-01, 3.342880e-01, 0.000000e+00, 0.000000e+00, 1.332664e-09, 4.961148e-01, 4.012196e-02, 4.758670e-08, 7.694120e-09, 7.915430e-10, 7.617901e-16, 2.838528e-16, 2.594760e-16, 2.184613e-16, 1.448444e-20, 2.595413e-16, 5.087061e-20, 2.941130e-16, 1.683628e+00, 1.263355e+09, 1.263355e+09, 2.129966e-07, 1.947048e-07, 1.086879e-11, 3.817213e-11, 3.570796e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.364950e-01, 3.364950e-01, 0.000000e+00, 0.000000e+00, 1.443770e-09, 4.960759e-01, 4.013092e-02, 5.150498e-08, 8.317665e-09, 8.558049e-10, 7.617558e-16, 2.841030e-16, 2.594753e-16, 2.181774e-16, 1.467256e-20, 2.595415e-16, 5.206426e-20, 2.946923e-16, 1.687032e+00, 1.168491e+09, 1.168491e+09, 1.967785e-07, 1.797206e-07, 1.016267e-11, 3.606132e-11, 3.567395e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.385402e-01, 3.385402e-01, 0.000000e+00, 0.000000e+00, 1.554877e-09, 4.960398e-01, 4.013987e-02, 5.541796e-08, 8.939635e-09, 9.199372e-10, 7.617374e-16, 2.843494e-16, 2.594746e-16, 2.179134e-16, 1.485545e-20, 2.595416e-16, 5.322103e-20, 2.952500e-16, 1.690199e+00, 1.087031e+09, 1.087031e+09, 1.828757e-07, 1.668779e-07, 9.554097e-12, 3.422844e-11, 3.564137e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.404459e-01, 3.404459e-01, 0.000000e+00, 0.000000e+00, 1.665985e-09, 4.960062e-01, 4.014882e-02, 5.932585e-08, 9.560121e-09, 9.839483e-10, 7.617326e-16, 2.845923e-16, 2.594739e-16, 2.176663e-16, 1.503360e-20, 2.595418e-16, 5.434477e-20, 2.957886e-16, 1.693163e+00, 1.016314e+09, 1.016314e+09, 1.708253e-07, 1.557481e-07, 9.023850e-12, 3.262021e-11, 3.561008e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.422301e-01, 3.422301e-01, 0.000000e+00, 0.000000e+00, 1.777092e-09, 4.959749e-01, 4.015775e-02, 6.322885e-08, 1.017920e-08, 1.047845e-09, 7.617396e-16, 2.848324e-16, 2.594733e-16, 2.174340e-16, 1.520742e-20, 2.595420e-16, 5.543870e-20, 2.963102e-16, 1.695949e+00, 9.543393e+08, 9.543393e+08, 1.602800e-07, 1.460100e-07, 8.557474e-12, 3.119630e-11, 3.557995e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.439075e-01, 3.439075e-01, 0.000000e+00, 0.000000e+00, 1.888200e-09, 4.959455e-01, 4.016667e-02, 6.712716e-08, 1.079695e-08, 1.111635e-09, 7.617571e-16, 2.850700e-16, 2.594726e-16, 2.172146e-16, 1.537728e-20, 2.595421e-16, 5.650553e-20, 2.968166e-16, 1.698579e+00, 8.995761e+08, 8.995761e+08, 1.509745e-07, 1.374180e-07, 8.143884e-12, 2.992561e-11, 3.555087e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.469886e-01, 3.469886e-01, 0.000000e+00, 0.000000e+00, 2.110416e-09, 4.958915e-01, 4.018448e-02, 7.491030e-08, 1.202867e-08, 1.238912e-09, 7.618185e-16, 2.855386e-16, 2.594712e-16, 2.168087e-16, 1.570632e-20, 2.595424e-16, 5.856687e-20, 2.977897e-16, 1.703443e+00, 8.071597e+08, 8.071597e+08, 1.352997e-07, 1.229479e-07, 7.442287e-12, 2.775134e-11, 3.549552e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.484111e-01, 3.484111e-01, 0.000000e+00, 0.000000e+00, 2.221524e-09, 4.958667e-01, 4.019337e-02, 7.879543e-08, 1.264276e-08, 1.302410e-09, 7.618605e-16, 2.857700e-16, 2.594705e-16, 2.166200e-16, 1.586601e-20, 2.595425e-16, 5.956512e-20, 2.982587e-16, 1.705703e+00, 7.678075e+08, 7.678075e+08, 1.286369e-07, 1.167984e-07, 7.141947e-12, 2.681272e-11, 3.546909e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.497652e-01, 3.497652e-01, 0.000000e+00, 0.000000e+00, 2.332633e-09, 4.958430e-01, 4.020225e-02, 8.267645e-08, 1.325573e-08, 1.365819e-09, 7.619091e-16, 2.859999e-16, 2.594698e-16, 2.164394e-16, 1.602277e-20, 2.595427e-16, 6.054385e-20, 2.987172e-16, 1.707864e+00, 7.321617e+08, 7.321617e+08, 1.226082e-07, 1.112348e-07, 6.868963e-12, 2.595516e-11, 3.544341e+01, nan, 1.370000e+00
