pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.544336e-01, 2.544336e-01, 0.000000e+00, 0.000000e+00, 1.110646e-09, 4.489616e-01, 4.749354e-02, 3.355817e-08, 5.660247e-09, 6.288129e-10, 7.636434e-16, 2.809850e-16, 2.595060e-16, 2.231525e-16, 2.407869e-20, 2.596067e-16, 4.374696e-20, 2.924158e-16, 1.766258e+00, 1.590298e+09, 1.590298e+09, 2.529925e-07, 2.336533e-07, 2.167991e-11, 3.938877e-11, 3.021501e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.575313e-01, 2.575313e-01, 0.000000e+00, 0.000000e+00, 1.221705e-09, 4.489004e-01, 4.750299e-02, 3.687913e-08, 6.210263e-09, 6.890318e-10, 7.635431e-16, 2.812974e-16, 2.595048e-16, 2.227409e-16, 2.430655e-20, 2.596059e-16, 4.617538e-20, 2.931461e-16, 1.773074e+00, 1.451312e+09, 1.451312e+09, 2.302499e-07, 2.124121e-07, 1.989560e-11, 3.779586e-11, 3.018661e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.603627e-01, 2.603627e-01, 0.000000e+00, 0.000000e+00, 1.332788e-09, 4.488447e-01, 4.751242e-02, 4.019646e-08, 6.758804e-09, 7.490772e-10, 7.634719e-16, 2.816047e-16, 2.595037e-16, 2.223635e-16, 2.453553e-20, 2.596052e-16, 4.847667e-20, 2.938442e-16, 1.779239e+00, 1.334976e+09, 1.334976e+09, 2.112900e-07, 1.947075e-07, 1.840918e-11, 3.637239e-11, 3.015969e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.629699e-01, 2.629699e-01, 0.000000e+00, 0.000000e+00, 1.443883e-09, 4.487936e-01, 4.752184e-02, 4.351004e-08, 7.305924e-09, 8.089586e-10, 7.634250e-16, 2.819077e-16, 2.595027e-16, 2.220147e-16, 2.476451e-20, 2.596047e-16, 5.066967e-20, 2.945146e-16, 1.784866e+00, 1.236157e+09, 1.236157e+09, 1.952428e-07, 1.797256e-07, 1.715133e-11, 3.509265e-11, 3.013406e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.654617e-01, 2.654617e-01, 0.000000e+00, 0.000000e+00, 1.558596e-09, 4.487449e-01, 4.753155e-02, 4.692747e-08, 7.869415e-09, 8.706259e-10, 7.633984e-16, 2.822168e-16, 2.595016e-16, 2.216800e-16, 2.500016e-20, 2.596042e-16, 5.283597e-20, 2.951814e-16, 1.790202e+00, 1.148599e+09, 1.148599e+09, 1.810711e-07, 1.664970e-07, 1.604018e-11, 3.389971e-11, 3.010880e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.676863e-01, 2.676863e-01, 0.000000e+00, 0.000000e+00, 1.668593e-09, 4.487016e-01, 4.754085e-02, 5.020063e-08, 8.408433e-09, 9.296118e-10, 7.633906e-16, 2.825102e-16, 2.595006e-16, 2.213798e-16, 2.522489e-20, 2.596038e-16, 5.483145e-20, 2.957994e-16, 1.794936e+00, 1.075718e+09, 1.075718e+09, 1.693104e-07, 1.555206e-07, 1.511746e-11, 3.286088e-11, 3.008560e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.697763e-01, 2.697763e-01, 0.000000e+00, 0.000000e+00, 1.778909e-09, 4.486611e-01, 4.755017e-02, 5.347976e-08, 8.947808e-09, 9.886353e-10, 7.633980e-16, 2.828018e-16, 2.594996e-16, 2.210966e-16, 2.544872e-20, 2.596035e-16, 5.676178e-20, 2.964007e-16, 1.799358e+00, 1.011495e+09, 1.011495e+09, 1.589749e-07, 1.458757e-07, 1.430580e-11, 3.190820e-11, 3.006323e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.717461e-01, 2.717461e-01, 0.000000e+00, 0.000000e+00, 1.889459e-09, 4.486230e-01, 4.755949e-02, 5.676244e-08, 9.487176e-09, 1.047658e-09, 7.634188e-16, 2.830918e-16, 2.594986e-16, 2.208283e-16, 2.567127e-20, 2.596032e-16, 5.863264e-20, 2.969864e-16, 1.803507e+00, 9.545099e+08, 9.545099e+08, 1.498269e-07, 1.373402e-07, 1.358657e-11, 3.103145e-11, 3.004164e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.753727e-01, 2.753727e-01, 0.000000e+00, 0.000000e+00, 2.111019e-09, 4.485530e-01, 4.757815e-02, 6.333173e-08, 1.056492e-08, 1.165599e-09, 7.634946e-16, 2.836672e-16, 2.594967e-16, 2.203308e-16, 2.611149e-20, 2.596027e-16, 6.221544e-20, 2.981162e-16, 1.811102e+00, 8.579280e+08, 8.579280e+08, 1.343745e-07, 1.229248e-07, 1.236914e-11, 2.947176e-11, 3.000055e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.770494e-01, 2.770494e-01, 0.000000e+00, 0.000000e+00, 2.221946e-09, 4.485208e-01, 4.758747e-02, 6.661607e-08, 1.110298e-08, 1.224484e-09, 7.635473e-16, 2.839526e-16, 2.594957e-16, 2.200990e-16, 2.632885e-20, 2.596025e-16, 6.393580e-20, 2.986623e-16, 1.814597e+00, 8.166703e+08, 8.166703e+08, 1.277946e-07, 1.167876e-07, 1.184945e-11, 2.877469e-11, 2.998096e+01, nan, 1.370000e+00
