pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.264454e-01, 3.264454e-01, 0.000000e+00, 0.000000e+00, 1.110505e-09, 4.323360e-01, 3.673275e-02, 3.887977e-08, 6.397155e-09, 1.101156e-10, 2.773580e-15, 5.028990e-16, 2.800687e-16, 1.990612e-15, 3.213887e-19, 2.805321e-16, 1.286991e-18, 7.363756e-16, 1.008489e+01, 9.081363e+09, 9.081363e+09, 4.528563e-07, 2.521995e-07, 2.894078e-10, 1.158924e-09, 3.501091e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.291695e-01, 3.291695e-01, 0.000000e+00, 0.000000e+00, 1.221816e-09, 4.323282e-01, 3.680362e-02, 4.266984e-08, 7.011806e-09, 1.206275e-10, 2.783444e-15, 5.176130e-16, 2.800720e-16, 1.985759e-15, 3.319067e-19, 2.805409e-16, 1.350369e-18, 7.581410e-16, 1.012883e+01, 8.289982e+09, 8.289982e+09, 4.236424e-07, 2.292260e-07, 2.716503e-10, 1.105215e-09, 3.492330e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.316736e-01, 3.316736e-01, 0.000000e+00, 0.000000e+00, 1.333672e-09, 4.323211e-01, 3.687457e-02, 4.646605e-08, 7.626724e-09, 1.311403e-10, 2.793553e-15, 5.323398e-16, 2.800752e-16, 1.981138e-15, 3.421506e-19, 2.805495e-16, 1.411968e-18, 7.794139e-16, 1.016981e+01, 7.625420e+09, 7.625420e+09, 3.991535e-07, 2.100031e-07, 2.565478e-10, 1.058707e-09, 3.484069e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.340094e-01, 3.340094e-01, 0.000000e+00, 0.000000e+00, 1.446943e-09, 4.323145e-01, 3.694614e-02, 5.029845e-08, 8.246830e-09, 1.417374e-10, 2.803947e-15, 5.471884e-16, 2.800784e-16, 1.976680e-15, 3.522262e-19, 2.805582e-16, 1.472454e-18, 8.004159e-16, 1.020862e+01, 7.055300e+09, 7.055300e+09, 3.781685e-07, 1.935656e-07, 2.434278e-10, 1.017631e-09, 3.476187e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.360758e-01, 3.360758e-01, 0.000000e+00, 0.000000e+00, 1.554904e-09, 4.323087e-01, 3.701409e-02, 5.394074e-08, 8.835599e-09, 1.517943e-10, 2.813968e-15, 5.612772e-16, 2.800814e-16, 1.972609e-15, 3.615772e-19, 2.805663e-16, 1.528512e-18, 8.199808e-16, 1.024350e+01, 6.587864e+09, 6.587864e+09, 3.609722e-07, 1.801278e-07, 2.325399e-10, 9.830267e-10, 3.469072e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.380632e-01, 3.380632e-01, 0.000000e+00, 0.000000e+00, 1.666096e-09, 4.323031e-01, 3.708383e-02, 5.768196e-08, 9.439822e-09, 1.621098e-10, 2.824379e-15, 5.757208e-16, 2.800845e-16, 1.968574e-15, 3.709732e-19, 2.805746e-16, 1.584777e-18, 8.397144e-16, 1.027757e+01, 6.168658e+09, 6.168658e+09, 3.455508e-07, 1.681083e-07, 2.226602e-10, 9.511921e-10, 3.462103e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.399294e-01, 3.399294e-01, 0.000000e+00, 0.000000e+00, 1.777510e-09, 4.322979e-01, 3.715344e-02, 6.142094e-08, 1.004318e-08, 1.724047e-10, 2.834882e-15, 5.901236e-16, 2.800875e-16, 1.964671e-15, 3.801687e-19, 2.805827e-16, 1.639787e-18, 8.591007e-16, 1.031010e+01, 5.800307e+09, 5.800307e+09, 3.319946e-07, 1.575730e-07, 2.138771e-10, 9.225192e-10, 3.455449e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.416947e-01, 3.416947e-01, 0.000000e+00, 0.000000e+00, 1.889528e-09, 4.322930e-01, 3.722318e-02, 6.517087e-08, 1.064783e-08, 1.827153e-10, 2.845496e-15, 6.045331e-16, 2.800905e-16, 1.960873e-15, 3.892096e-19, 2.805908e-16, 1.693827e-18, 8.782344e-16, 1.034138e+01, 5.472996e+09, 5.472996e+09, 3.199387e-07, 1.482330e-07, 2.059824e-10, 8.964285e-10, 3.449056e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.448970e-01, 3.448970e-01, 0.000000e+00, 0.000000e+00, 2.110437e-09, 4.322841e-01, 3.735996e-02, 7.254025e-08, 1.183482e-08, 2.029360e-10, 2.866536e-15, 6.327370e-16, 2.800962e-16, 1.953703e-15, 4.064941e-19, 2.806064e-16, 1.797034e-18, 9.150201e-16, 1.039952e+01, 4.927661e+09, 4.927661e+09, 2.998132e-07, 1.327195e-07, 1.926113e-10, 8.514985e-10, 3.437215e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.463875e-01, 3.463875e-01, 0.000000e+00, 0.000000e+00, 2.221600e-09, 4.322800e-01, 3.742843e-02, 7.623634e-08, 1.242957e-08, 2.130571e-10, 2.877156e-15, 6.468217e-16, 2.800990e-16, 1.950236e-15, 4.149419e-19, 2.806140e-16, 1.847433e-18, 9.330988e-16, 1.042725e+01, 4.693577e+09, 4.693577e+09, 2.911513e-07, 1.260798e-07, 1.867761e-10, 8.315775e-10, 3.431596e+01, nan, 1.370000e+00
