pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.606334e-01, 2.606334e-01, 0.000000e+00, 0.000000e+00, 1.111260e-09, 4.624830e-01, 5.427595e-02, 2.824601e-08, 5.571479e-09, 2.101121e-10, 1.002617e-15, 2.721621e-16, 2.396927e-16, 4.907626e-16, 7.295179e-20, 2.398759e-16, 1.055194e-19, 3.074571e-16, 5.288891e+00, 4.759364e+09, 4.759364e+09, 2.449131e-07, 2.156945e-07, 6.564782e-11, 9.495474e-11, 2.541800e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.643311e-01, 2.643311e-01, 0.000000e+00, 0.000000e+00, 1.221551e-09, 4.624517e-01, 5.429780e-02, 3.101070e-08, 6.106269e-09, 2.290698e-10, 1.002551e-15, 2.732335e-16, 2.396911e-16, 4.896260e-16, 7.382072e-20, 2.398730e-16, 1.138303e-19, 3.097064e-16, 5.332657e+00, 4.365481e+09, 4.365481e+09, 2.236776e-07, 1.962187e-07, 6.043198e-11, 9.318504e-11, 2.538634e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.677227e-01, 2.677227e-01, 0.000000e+00, 0.000000e+00, 1.332165e-09, 4.624233e-01, 5.431969e-02, 3.377881e-08, 6.640816e-09, 2.479859e-10, 1.002570e-15, 2.743060e-16, 2.396898e-16, 4.885745e-16, 7.469530e-20, 2.398705e-16, 1.216725e-19, 3.118810e-16, 5.371939e+00, 4.032487e+09, 4.032487e+09, 2.059099e-07, 1.799250e-07, 5.607060e-11, 9.133437e-11, 2.535632e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.708529e-01, 2.708529e-01, 0.000000e+00, 0.000000e+00, 1.442980e-09, 4.623973e-01, 5.434159e-02, 3.654748e-08, 7.174642e-09, 2.668476e-10, 1.002662e-15, 2.753784e-16, 2.396886e-16, 4.875954e-16, 7.557035e-20, 2.398685e-16, 1.291127e-19, 3.139887e-16, 5.407508e+00, 3.747458e+09, 3.747458e+09, 1.908400e-07, 1.661066e-07, 5.237102e-11, 8.947640e-11, 2.532777e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.737576e-01, 2.737576e-01, 0.000000e+00, 0.000000e+00, 1.553917e-09, 4.623734e-01, 5.436349e-02, 3.931493e-08, 7.707469e-09, 2.856484e-10, 1.002816e-15, 2.764500e-16, 2.396876e-16, 4.866783e-16, 7.644243e-20, 2.398667e-16, 1.362046e-19, 3.160362e-16, 5.439963e+00, 3.500807e+09, 3.500807e+09, 1.779053e-07, 1.542474e-07, 4.919339e-11, 8.765243e-11, 2.530054e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.764667e-01, 2.764667e-01, 0.000000e+00, 0.000000e+00, 1.664925e-09, 4.623513e-01, 5.438538e-02, 4.208012e-08, 8.239153e-09, 3.043862e-10, 1.003022e-15, 2.775201e-16, 2.396866e-16, 4.858151e-16, 7.730927e-20, 2.398653e-16, 1.429919e-19, 3.180293e-16, 5.469778e+00, 3.285301e+09, 3.285301e+09, 1.666863e-07, 1.439625e-07, 4.643409e-11, 8.588492e-11, 2.527449e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.790043e-01, 2.790043e-01, 0.000000e+00, 0.000000e+00, 1.775973e-09, 4.623307e-01, 5.440724e-02, 4.484248e-08, 8.769629e-09, 3.230610e-10, 1.003273e-15, 2.785885e-16, 2.396858e-16, 4.849987e-16, 7.816938e-20, 2.398640e-16, 1.495107e-19, 3.199733e-16, 5.497332e+00, 3.095391e+09, 3.095391e+09, 1.568652e-07, 1.349602e-07, 4.401495e-11, 8.418522e-11, 2.524952e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.813908e-01, 2.813908e-01, 0.000000e+00, 0.000000e+00, 1.887045e-09, 4.623114e-01, 5.442909e-02, 4.760171e-08, 9.298887e-09, 3.416746e-10, 1.003563e-15, 2.796548e-16, 2.396850e-16, 4.842235e-16, 7.902182e-20, 2.398629e-16, 1.557909e-19, 3.218726e-16, 5.522931e+00, 2.926762e+09, 2.926762e+09, 1.481972e-07, 1.270161e-07, 4.187596e-11, 8.255812e-11, 2.522553e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.858370e-01, 2.858370e-01, 0.000000e+00, 0.000000e+00, 2.112493e-09, 4.622758e-01, 5.447336e-02, 5.319151e-08, 1.036934e-08, 3.792719e-10, 1.004254e-15, 2.818121e-16, 2.396836e-16, 4.827583e-16, 8.072605e-20, 2.398611e-16, 1.679020e-19, 3.256050e-16, 5.569863e+00, 2.636631e+09, 2.636631e+09, 1.334027e-07, 1.134601e-07, 3.821365e-11, 7.948051e-11, 2.517950e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.878351e-01, 2.878351e-01, 0.000000e+00, 0.000000e+00, 2.222241e-09, 4.622600e-01, 5.449487e-02, 5.590771e-08, 1.088871e-08, 3.974923e-10, 1.004632e-15, 2.828588e-16, 2.396830e-16, 4.820901e-16, 8.154261e-20, 2.398605e-16, 1.735289e-19, 3.273689e-16, 5.590653e+00, 2.515772e+09, 2.515772e+09, 1.272854e-07, 1.078564e-07, 3.669386e-11, 7.808732e-11, 2.515825e+01, nan, 1.370000e+00
