pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.447488e-01, 3.447488e-01, 0.000000e+00, 0.000000e+00, 1.110357e-09, 5.168243e-01, 4.620836e-02, 3.313577e-08, 6.333460e-09, 1.947724e-10, 9.976492e-16, 2.816924e-16, 2.396221e-16, 4.763347e-16, 5.003847e-20, 2.397117e-16, 1.515054e-19, 3.191356e-16, 5.700790e+00, 5.134197e+09, 5.134197e+09, 2.536954e-07, 2.158064e-07, 4.506522e-11, 1.364475e-10, 2.984245e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.479279e-01, 3.479279e-01, 0.000000e+00, 0.000000e+00, 1.221461e-09, 5.168041e-01, 4.623009e-02, 3.640355e-08, 6.947418e-09, 2.134070e-10, 9.981469e-16, 2.831944e-16, 2.396219e-16, 4.753306e-16, 5.114503e-20, 2.397123e-16, 1.577239e-19, 3.218763e-16, 5.723620e+00, 4.685881e+09, 4.685881e+09, 2.318490e-07, 1.961766e-07, 4.187202e-11, 1.291273e-10, 2.980329e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.508338e-01, 3.508338e-01, 0.000000e+00, 0.000000e+00, 1.332565e-09, 5.167857e-01, 4.625179e-02, 3.966558e-08, 7.559385e-09, 2.319758e-10, 9.987060e-16, 2.846866e-16, 2.396218e-16, 4.743976e-16, 5.221700e-20, 2.397129e-16, 1.637064e-19, 3.245212e-16, 5.744414e+00, 4.310794e+09, 4.310794e+09, 2.136380e-07, 1.798199e-07, 3.918533e-11, 1.228506e-10, 2.976634e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.535101e-01, 3.535101e-01, 0.000000e+00, 0.000000e+00, 1.443670e-09, 5.167688e-01, 4.627346e-02, 4.292220e-08, 8.169503e-09, 2.504843e-10, 9.993155e-16, 2.861697e-16, 2.396216e-16, 4.735242e-16, 5.325782e-20, 2.397135e-16, 1.694814e-19, 3.270824e-16, 5.763515e+00, 3.992266e+09, 3.992266e+09, 1.982237e-07, 1.659809e-07, 3.689057e-11, 1.173962e-10, 2.973131e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.559908e-01, 3.559908e-01, 0.000000e+00, 0.000000e+00, 1.554776e-09, 5.167533e-01, 4.629511e-02, 4.617370e-08, 8.777894e-09, 2.689372e-10, 9.999670e-16, 2.876439e-16, 2.396215e-16, 4.727016e-16, 5.427036e-20, 2.397141e-16, 1.750721e-19, 3.295698e-16, 5.781186e+00, 3.718341e+09, 3.718341e+09, 1.850067e-07, 1.541197e-07, 3.490559e-11, 1.126028e-10, 2.969798e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.583027e-01, 3.583027e-01, 0.000000e+00, 0.000000e+00, 1.665882e-09, 5.167388e-01, 4.631672e-02, 4.942032e-08, 9.384665e-09, 2.873383e-10, 1.000654e-15, 2.891097e-16, 2.396214e-16, 4.719226e-16, 5.525708e-20, 2.397148e-16, 1.804975e-19, 3.319911e-16, 5.797632e+00, 3.480218e+09, 3.480218e+09, 1.735476e-07, 1.438406e-07, 3.316987e-11, 1.083495e-10, 2.966617e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.604677e-01, 3.604677e-01, 0.000000e+00, 0.000000e+00, 1.776988e-09, 5.167253e-01, 4.633831e-02, 5.266231e-08, 9.989908e-09, 3.056911e-10, 1.001370e-15, 2.905673e-16, 2.396212e-16, 4.711817e-16, 5.622008e-20, 2.397154e-16, 1.857734e-19, 3.343531e-16, 5.813018e+00, 3.271276e+09, 3.271276e+09, 1.635168e-07, 1.348469e-07, 3.163785e-11, 1.045440e-10, 2.963572e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.625033e-01, 3.625033e-01, 0.000000e+00, 0.000000e+00, 1.888094e-09, 5.167126e-01, 4.635988e-02, 5.589988e-08, 1.059371e-08, 3.239985e-10, 1.002112e-15, 2.920170e-16, 2.396211e-16, 4.704742e-16, 5.716117e-20, 2.397160e-16, 1.909132e-19, 3.366612e-16, 5.827479e+00, 3.086434e+09, 3.086434e+09, 1.546623e-07, 1.269116e-07, 3.027453e-11, 1.011142e-10, 2.960651e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.662433e-01, 3.662433e-01, 0.000000e+00, 0.000000e+00, 2.110308e-09, 5.166895e-01, 4.640293e-02, 6.236246e-08, 1.179726e-08, 3.604870e-10, 1.003659e-15, 2.948934e-16, 2.396209e-16, 4.691449e-16, 5.898384e-20, 2.397173e-16, 2.008283e-19, 3.411337e-16, 5.854048e+00, 2.774025e+09, 2.774025e+09, 1.397395e-07, 1.135478e-07, 2.795035e-11, 9.516537e-11, 2.955135e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.679704e-01, 3.679704e-01, 0.000000e+00, 0.000000e+00, 2.221415e-09, 5.166788e-01, 4.642441e-02, 6.558781e-08, 1.239714e-08, 3.786724e-10, 1.004458e-15, 2.963205e-16, 2.396207e-16, 4.685172e-16, 5.986804e-20, 2.397179e-16, 2.056219e-19, 3.433057e-16, 5.866324e+00, 2.640805e+09, 2.640805e+09, 1.333927e-07, 1.078685e-07, 2.695041e-11, 9.256346e-11, 2.952524e+01, nan, 1.370000e+00
