isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,3.04160918e-08,1.00000000e-09,9.99588582e-10,1.00000000e-09,1.16719036e-15,1.00000000e-09,-5.53108887e-16,1.00000000e-09,1.78135653e-18,1.00000000e-09,2.82314974e-16,1.00000000e-09,4.22449110e-16,1.00000000e-09,-5.89989576e-19,1.00000000e-09,3.30073446e-10,1.00000000e-09,6.60778149e-01,1.00000000e-09,3.34247083e-02,1.00000000e-09,4.12934107e-01,1.00000000e-09,4.12934107e-01,1.00000000e-09,3.02962874e+09,1.00000000e-09,2.60592383e+07,1.00000000e-09,4.14745659e+06,1.00000000e-09,3.04286107e+01,0.840,0.500,sky130
1.25000000e-09,3.78875672e-08,1.25000000e-09,1.25000072e-09,1.25000000e-09,1.19177752e-15,1.25000000e-09,-5.86527673e-16,1.25000000e-09,1.90706083e-18,1.25000000e-09,2.97569839e-16,1.25000000e-09,4.45297049e-16,1.25000000e-09,-6.41442214e-19,1.25000000e-09,4.09302015e-10,1.25000000e-09,6.60741668e-01,1.25000000e-09,3.34397171e-02,1.25000000e-09,4.20216279e-01,1.25000000e-09,4.20216278e-01,1.25000000e-09,2.44318367e+09,1.25000000e-09,3.17908053e+07,1.25000000e-09,5.05966381e+06,1.25000000e-09,3.03100364e+01,0.840,0.500,sky130
1.50000000e-09,4.53300653e-08,1.50000000e-09,1.50076948e-09,1.50000000e-09,1.21270035e-15,1.50000000e-09,-6.14825332e-16,1.50000000e-09,2.01351422e-18,1.50000000e-09,3.10431624e-16,1.50000000e-09,4.64561464e-16,1.50000000e-09,-6.84747025e-19,1.50000000e-09,4.88024913e-10,1.50000000e-09,6.60711719e-01,1.50000000e-09,3.34547158e-02,1.50000000e-09,4.26194321e-01,1.50000000e-09,4.26194321e-01,1.50000000e-09,2.04907572e+09,1.50000000e-09,3.73794446e+07,1.50000000e-09,5.94912337e+06,1.50000000e-09,3.02045490e+01,0.840,0.500,sky130
1.75000000e-09,5.26998895e-08,1.75000000e-09,1.75027183e-09,1.75000000e-09,1.23085991e-15,1.75000000e-09,-6.39291388e-16,1.75000000e-09,2.10556397e-18,1.75000000e-09,3.21513602e-16,1.75000000e-09,4.81160571e-16,1.75000000e-09,-7.22008113e-19,1.75000000e-09,5.65833016e-10,1.75000000e-09,6.60686443e-01,1.75000000e-09,3.34696108e-02,1.75000000e-09,4.31239739e-01,1.75000000e-09,4.31239739e-01,1.75000000e-09,1.76730585e+09,1.75000000e-09,4.28155057e+07,1.75000000e-09,6.81429938e+06,1.75000000e-09,3.01095456e+01,0.840,0.500,sky130
2.00000000e-09,6.00433740e-08,2.00000000e-09,1.99995762e-09,2.00000000e-09,1.24701469e-15,2.00000000e-09,-6.60988769e-16,2.00000000e-09,2.18720563e-18,2.00000000e-09,3.31313395e-16,2.00000000e-09,4.95839532e-16,2.00000000e-09,-7.54920860e-19,2.00000000e-09,6.43250644e-10,2.00000000e-09,6.60664459e-01,2.00000000e-09,3.34844911e-02,2.00000000e-09,4.35628037e-01,2.00000000e-09,4.35628036e-01,2.00000000e-09,1.55460396e+09,2.00000000e-09,4.81496924e+07,2.00000000e-09,7.66326156e+06,2.00000000e-09,3.00223232e+01,0.840,0.500,sky130
2.25000000e-09,6.73628150e-08,2.25000000e-09,2.24981778e-09,2.25000000e-09,1.26158673e-15,2.25000000e-09,-6.80509482e-16,2.25000000e-09,2.26066401e-18,2.25000000e-09,3.40108526e-16,2.25000000e-09,5.09013910e-16,2.25000000e-09,-7.84430822e-19,2.25000000e-09,7.20325603e-10,2.25000000e-09,6.60644996e-01,2.25000000e-09,3.34993579e-02,2.25000000e-09,4.39512897e-01,2.25000000e-09,4.39512897e-01,2.25000000e-09,1.38826108e+09,2.25000000e-09,5.33953105e+07,2.25000000e-09,8.49812760e+06,2.25000000e-09,2.99414537e+01,0.840,0.500,sky130
2.50000000e-09,7.46568993e-08,2.50000000e-09,2.49973471e-09,2.50000000e-09,1.27486897e-15,2.50000000e-09,-6.98262864e-16,2.50000000e-09,2.32747733e-18,2.50000000e-09,3.48090345e-16,2.50000000e-09,5.20970245e-16,2.50000000e-09,-8.11189088e-19,2.50000000e-09,7.97061296e-10,2.50000000e-09,6.60627536e-01,2.50000000e-09,3.35142055e-02,2.50000000e-09,4.42998119e-01,2.50000000e-09,4.42998118e-01,2.50000000e-09,1.25460865e+09,2.50000000e-09,5.85604490e+07,2.50000000e-09,9.32018493e+06,2.50000000e-09,2.98659289e+01,0.840,0.500,sky130
2.75000000e-09,8.19266909e-08,2.75000000e-09,2.74968260e-09,2.75000000e-09,1.28708134e-15,2.75000000e-09,-7.14554710e-16,2.75000000e-09,2.38879478e-18,2.75000000e-09,3.55401277e-16,2.75000000e-09,5.31921813e-16,2.75000000e-09,-8.35679521e-19,2.75000000e-09,8.73481905e-10,2.75000000e-09,6.60611700e-01,2.75000000e-09,3.35290333e-02,2.75000000e-09,4.46159125e-01,2.75000000e-09,4.46159124e-01,2.75000000e-09,1.14484341e+09,2.75000000e-09,6.36530796e+07,2.75000000e-09,1.01307023e+07,2.75000000e-09,2.97949629e+01,0.840,0.500,sky130
3.00000000e-09,8.91733169e-08,3.00000000e-09,2.99964644e-09,3.00000000e-09,1.29839097e-15,3.00000000e-09,-7.29616597e-16,3.00000000e-09,2.44548666e-18,3.00000000e-09,3.62148882e-16,3.00000000e-09,5.42029692e-16,3.00000000e-09,-8.58267150e-19,3.00000000e-09,9.49609282e-10,3.00000000e-09,6.60597209e-01,3.00000000e-09,3.35438413e-02,3.00000000e-09,4.49051831e-01,3.00000000e-09,4.49051830e-01,3.00000000e-09,1.05306469e+09,3.00000000e-09,6.86798652e+07,3.00000000e-09,1.09307400e+07,3.00000000e-09,2.97279425e+01,0.840,0.500,sky130
3.25000000e-09,9.63979790e-08,3.25000000e-09,3.24962076e-09,3.25000000e-09,1.30892812e-15,3.25000000e-09,-7.43628434e-16,3.25000000e-09,2.49822915e-18,3.25000000e-09,3.68416519e-16,3.25000000e-09,5.51418714e-16,3.25000000e-09,-8.79234594e-19,3.25000000e-09,1.02546391e-09,3.25000000e-09,6.60583848e-01,3.25000000e-09,3.35586299e-02,3.25000000e-09,4.51718860e-01,3.25000000e-09,4.51718859e-01,3.25000000e-09,9.75168400e+08,3.25000000e-09,7.36465033e+07,3.25000000e-09,1.17212050e+07,3.25000000e-09,2.96643781e+01,0.840,0.500,sky130
3.50000000e-09,1.03601814e-07,3.50000000e-09,3.49960346e-09,3.50000000e-09,1.31879624e-15,3.50000000e-09,-7.56732731e-16,3.50000000e-09,2.54755790e-18,3.50000000e-09,3.74270075e-16,3.50000000e-09,5.60187549e-16,3.50000000e-09,-8.98805068e-19,3.50000000e-09,1.10106400e-09,3.50000000e-09,6.60571451e-01,3.50000000e-09,3.35733997e-02,3.50000000e-09,4.54193417e-01,3.50000000e-09,4.54193416e-01,3.50000000e-09,9.08212423e+08,3.50000000e-09,7.85578629e+07,3.50000000e-09,1.25028722e+07,3.50000000e-09,2.96038724e+01,0.840,0.500,sky130
3.75000000e-09,1.10785707e-07,3.75000000e-09,3.74958831e-09,3.75000000e-09,1.32807872e-15,3.75000000e-09,-7.69044077e-16,3.75000000e-09,2.59390364e-18,3.75000000e-09,3.79762428e-16,3.75000000e-09,5.68415390e-16,3.75000000e-09,-9.17157600e-19,3.75000000e-09,1.17642389e-09,3.75000000e-09,6.60559886e-01,3.75000000e-09,3.35881506e-02,3.75000000e-09,4.56501816e-01,3.75000000e-09,4.56501815e-01,3.75000000e-09,8.50033738e+08,3.75000000e-09,8.34180272e+07,3.75000000e-09,1.32763914e+07,3.75000000e-09,2.95460988e+01,0.840,0.500,sky130
4.00000000e-09,1.17950658e-07,4.00000000e-09,3.99957703e-09,4.00000000e-09,1.33684418e-15,4.00000000e-09,-7.80656567e-16,4.00000000e-09,2.63762010e-18,4.00000000e-09,3.84936919e-16,4.00000000e-09,5.76167143e-16,4.00000000e-09,-9.34438827e-19,4.00000000e-09,1.25155827e-09,4.00000000e-09,6.60549047e-01,4.00000000e-09,3.36028834e-02,4.00000000e-09,4.58665360e-01,4.00000000e-09,4.58665359e-01,4.00000000e-09,7.99003950e+08,4.00000000e-09,8.82306708e+07,4.00000000e-09,1.40423474e+07,4.00000000e-09,2.94907830e+01,0.840,0.500,sky130
4.25000000e-09,1.25097520e-07,4.25000000e-09,4.24956933e-09,4.25000000e-09,1.34514954e-15,4.25000000e-09,-7.91648101e-16,4.25000000e-09,2.67900016e-18,4.25000000e-09,3.89829372e-16,4.25000000e-09,5.83496459e-16,4.25000000e-09,-9.50769898e-19,4.25000000e-09,1.32647947e-09,4.25000000e-09,6.60538847e-01,4.25000000e-09,3.36175984e-02,4.25000000e-09,4.60701473e-01,4.25000000e-09,4.60701471e-01,4.25000000e-09,7.53875217e+08,4.25000000e-09,9.29989686e+07,4.25000000e-09,1.48012456e+07,4.25000000e-09,2.94376935e+01,0.840,0.500,sky130
4.50000000e-09,1.32226973e-07,4.50000000e-09,4.49956184e-09,4.50000000e-09,1.35304253e-15,4.50000000e-09,-8.02083881e-16,4.50000000e-09,2.71828896e-18,4.50000000e-09,3.94469728e-16,4.50000000e-09,5.90448181e-16,4.50000000e-09,-9.66252017e-19,4.50000000e-09,1.40119752e-09,4.50000000e-09,6.60529213e-01,4.50000000e-09,3.36322957e-02,4.50000000e-09,4.62624577e-01,4.50000000e-09,4.62624576e-01,4.50000000e-09,7.13675255e+08,4.50000000e-09,9.77256593e+07,4.50000000e-09,1.55535217e+07,4.50000000e-09,2.93866332e+01,0.840,0.500,sky130
4.75000000e-09,1.39339768e-07,4.75000000e-09,4.74955587e-09,4.75000000e-09,1.36056380e-15,4.75000000e-09,-8.12019333e-16,4.75000000e-09,2.75569491e-18,4.75000000e-09,3.98883400e-16,4.75000000e-09,5.97060370e-16,4.75000000e-09,-9.80971049e-19,4.75000000e-09,1.47572268e-09,4.75000000e-09,6.60520084e-01,4.75000000e-09,3.36469757e-02,4.75000000e-09,4.64446800e-01,4.75000000e-09,4.64446798e-01,4.75000000e-09,6.77634095e+08,4.75000000e-09,1.02413256e+08,4.75000000e-09,1.62995759e+07,4.75000000e-09,2.93374311e+01,0.840,0.500,sky130
5.00000000e-09,1.46436544e-07,5.00000000e-09,4.99955100e-09,5.00000000e-09,1.36774809e-15,5.00000000e-09,-8.21501782e-16,5.00000000e-09,2.79139598e-18,5.00000000e-09,4.03092062e-16,5.00000000e-09,6.03365486e-16,5.00000000e-09,-9.95000187e-19,5.00000000e-09,1.55006367e-09,5.00000000e-09,6.60511409e-01,5.00000000e-09,3.36616388e-02,5.00000000e-09,4.66178395e-01,5.00000000e-09,4.66178394e-01,5.00000000e-09,6.45134790e+08,5.00000000e-09,1.07063973e+08,5.00000000e-09,1.70397605e+07,5.00000000e-09,2.92899390e+01,0.840,0.500,sky130
5.25000000e-09,1.53517885e-07,5.25000000e-09,5.24954667e-09,5.25000000e-09,1.37462539e-15,5.25000000e-09,-8.30572015e-16,5.25000000e-09,2.82554556e-18,5.25000000e-09,4.07114370e-16,5.25000000e-09,6.09391469e-16,5.25000000e-09,-1.00840242e-18,5.25000000e-09,1.62422836e-09,5.25000000e-09,6.60503144e-01,5.25000000e-09,3.36762850e-02,5.25000000e-09,4.67828124e-01,5.25000000e-09,4.67828122e-01,5.25000000e-09,6.15676974e+08,5.25000000e-09,1.11679797e+08,5.25000000e-09,1.77743917e+07,5.25000000e-09,2.92440270e+01,0.840,0.500,sky130
5.50000000e-09,1.60584363e-07,5.50000000e-09,5.49954346e-09,5.50000000e-09,1.38122183e-15,5.50000000e-09,-8.39265491e-16,5.50000000e-09,2.85827699e-18,5.50000000e-09,4.10966522e-16,5.50000000e-09,6.15162581e-16,5.50000000e-09,-1.02123241e-18,5.50000000e-09,1.69822420e-09,5.50000000e-09,6.60495252e-01,5.50000000e-09,3.36909149e-02,5.50000000e-09,4.69403534e-01,5.50000000e-09,4.69403532e-01,5.50000000e-09,5.88850402e+08,5.50000000e-09,1.16262543e+08,5.50000000e-09,1.85037584e+07,5.50000000e-09,2.91995806e+01,0.840,0.500,sky130
5.75000000e-09,1.67636453e-07,5.75000000e-09,5.74953998e-09,5.75000000e-09,1.38756020e-15,5.75000000e-09,-8.47613141e-16,5.75000000e-09,2.88970664e-18,5.75000000e-09,4.14662636e-16,5.75000000e-09,6.20699966e-16,5.75000000e-09,-1.03353779e-18,5.75000000e-09,1.77205743e-09,5.75000000e-09,6.60487699e-01,5.75000000e-09,3.37055283e-02,5.75000000e-09,4.70911161e-01,5.75000000e-09,4.70911159e-01,5.75000000e-09,5.64315795e+08,5.75000000e-09,1.20813823e+08,5.75000000e-09,1.92281171e+07,5.75000000e-09,2.91564983e+01,0.840,0.500,sky130
6.00000000e-09,1.74674682e-07,6.00000000e-09,5.99953792e-09,6.00000000e-09,1.39366066e-15,6.00000000e-09,-8.55642267e-16,6.00000000e-09,2.91993719e-18,6.00000000e-09,4.18215158e-16,6.00000000e-09,6.26022265e-16,6.00000000e-09,-1.04536053e-18,6.00000000e-09,1.84573468e-09,6.00000000e-09,6.60480457e-01,6.00000000e-09,3.37201257e-02,6.00000000e-09,4.72356726e-01,6.00000000e-09,4.72356724e-01,6.00000000e-09,5.41789678e+08,6.00000000e-09,1.25335160e+08,6.00000000e-09,1.99477103e+07,6.00000000e-09,2.91146893e+01,0.840,0.500,sky130
6.25000000e-09,1.81699396e-07,6.25000000e-09,6.24953362e-09,6.25000000e-09,1.39954092e-15,6.25000000e-09,-8.63376846e-16,6.25000000e-09,2.94905884e-18,6.25000000e-09,4.21635010e-16,6.25000000e-09,6.31145838e-16,6.25000000e-09,-1.05673748e-18,6.25000000e-09,1.91926049e-09,6.25000000e-09,6.60473501e-01,6.25000000e-09,3.37347071e-02,6.25000000e-09,4.73745226e-01,6.25000000e-09,4.73745224e-01,6.25000000e-09,5.21034016e+08,6.25000000e-09,1.29827856e+08,6.25000000e-09,2.06627450e+07,6.25000000e-09,2.90740729e+01,0.840,0.500,sky130
6.50000000e-09,1.88711157e-07,6.50000000e-09,6.49953225e-09,6.50000000e-09,1.40521694e-15,6.50000000e-09,-8.70838454e-16,6.50000000e-09,2.97715276e-18,6.50000000e-09,4.24932008e-16,6.50000000e-09,6.36085386e-16,6.50000000e-09,-1.06770172e-18,6.50000000e-09,1.99264157e-09,6.50000000e-09,6.60466809e-01,6.50000000e-09,3.37492729e-02,6.50000000e-09,4.75081117e-01,6.50000000e-09,4.75081115e-01,6.50000000e-09,5.01846400e+08,6.50000000e-09,1.34293256e+08,6.50000000e-09,2.13734355e+07,6.50000000e-09,2.90345751e+01,0.840,0.500,sky130
6.75000000e-09,1.95710254e-07,6.75000000e-09,6.74953003e-09,6.75000000e-09,1.41070279e-15,6.75000000e-09,-8.78046099e-16,6.75000000e-09,3.00429046e-18,6.75000000e-09,4.28114796e-16,6.75000000e-09,6.40853855e-16,6.75000000e-09,-1.07828237e-18,6.75000000e-09,2.06588165e-09,6.75000000e-09,6.60460360e-01,6.75000000e-09,3.37638230e-02,6.75000000e-09,4.76368309e-01,6.75000000e-09,4.76368307e-01,6.75000000e-09,4.84054835e+08,6.75000000e-09,1.38732450e+08,6.75000000e-09,2.20799552e+07,6.75000000e-09,2.89961305e+01,0.840,0.500,sky130
7.00000000e-09,2.02697072e-07,7.00000000e-09,6.99952758e-09,7.00000000e-09,1.41601119e-15,7.00000000e-09,-8.85016949e-16,7.00000000e-09,3.03053654e-18,7.00000000e-09,4.31191173e-16,7.00000000e-09,6.45462926e-16,7.00000000e-09,-1.08850572e-18,7.00000000e-09,2.13898538e-09,7.00000000e-09,6.60454138e-01,7.00000000e-09,3.37783577e-02,7.00000000e-09,4.77610308e-01,7.00000000e-09,4.77610305e-01,7.00000000e-09,4.67511376e+08,7.00000000e-09,1.43146518e+08,7.00000000e-09,2.27824760e+07,7.00000000e-09,2.89586790e+01,0.840,0.500,sky130
7.25000000e-09,2.09672010e-07,7.25000000e-09,7.24952666e-09,7.25000000e-09,1.42115365e-15,7.25000000e-09,-8.91766494e-16,7.25000000e-09,3.05594928e-18,7.25000000e-09,4.34168169e-16,7.25000000e-09,6.49923131e-16,7.25000000e-09,-1.09839544e-18,7.25000000e-09,2.21195747e-09,7.25000000e-09,6.60448127e-01,7.25000000e-09,3.37928772e-02,7.25000000e-09,4.78810258e-01,7.25000000e-09,4.78810256e-01,7.25000000e-09,4.52088259e+08,7.25000000e-09,1.47536483e+08,7.25000000e-09,2.34811605e+07,7.25000000e-09,2.89221656e+01,0.840,0.500,sky130
7.50000000e-09,2.16635315e-07,7.50000000e-09,7.49952432e-09,7.50000000e-09,1.42614044e-15,7.50000000e-09,-8.98308610e-16,7.50000000e-09,3.08058090e-18,7.50000000e-09,4.37052078e-16,7.50000000e-09,6.54243895e-16,7.50000000e-09,-1.10797275e-18,7.50000000e-09,2.28480096e-09,7.50000000e-09,6.60442312e-01,7.50000000e-09,3.38073815e-02,7.50000000e-09,4.79970966e-01,7.50000000e-09,4.79970963e-01,7.50000000e-09,4.37674887e+08,7.50000000e-09,1.51903212e+08,7.50000000e-09,2.41761471e+07,7.50000000e-09,2.88865408e+01,0.840,0.500,sky130
7.75000000e-09,2.23587384e-07,7.75000000e-09,7.74952365e-09,7.75000000e-09,1.43098105e-15,7.75000000e-09,-9.04656033e-16,7.75000000e-09,3.10447933e-18,7.75000000e-09,4.39848672e-16,7.75000000e-09,6.58433865e-16,7.75000000e-09,-1.11725706e-18,7.75000000e-09,2.35752042e-09,7.75000000e-09,6.60436681e-01,7.75000000e-09,3.38218709e-02,7.75000000e-09,4.81094988e-01,7.75000000e-09,4.81094985e-01,7.75000000e-09,4.24174482e+08,7.75000000e-09,1.56247620e+08,7.75000000e-09,2.48675811e+07,7.75000000e-09,2.88517583e+01,0.840,0.500,sky130
8.00000000e-09,2.30528421e-07,8.00000000e-09,7.99952142e-09,8.00000000e-09,1.43568396e-15,8.00000000e-09,-9.10820193e-16,8.00000000e-09,3.12768757e-18,8.00000000e-09,4.42563130e-16,8.00000000e-09,6.62500796e-16,8.00000000e-09,-1.12626582e-18,8.00000000e-09,2.43011835e-09,8.00000000e-09,6.60431222e-01,8.00000000e-09,3.38363453e-02,8.00000000e-09,4.82184613e-01,8.00000000e-09,4.82184610e-01,8.00000000e-09,4.11502593e+08,8.00000000e-09,1.60570452e+08,8.00000000e-09,2.55555811e+07,8.00000000e-09,2.88177766e+01,0.840,0.500,sky130
8.25000000e-09,2.37458774e-07,8.25000000e-09,8.24951999e-09,8.25000000e-09,1.44025703e-15,8.25000000e-09,-9.16811656e-16,8.25000000e-09,3.15024540e-18,8.25000000e-09,4.45200231e-16,8.25000000e-09,6.66451850e-16,8.25000000e-09,-1.13501512e-18,8.25000000e-09,2.50259868e-09,8.25000000e-09,6.60425925e-01,8.25000000e-09,3.38508049e-02,8.25000000e-09,4.83241942e-01,8.25000000e-09,4.83241939e-01,8.25000000e-09,3.99584644e+08,8.25000000e-09,1.64872498e+08,8.25000000e-09,2.62402730e+07,8.25000000e-09,2.87845565e+01,0.840,0.500,sky130
8.50000000e-09,2.44378701e-07,8.50000000e-09,8.49951909e-09,8.50000000e-09,1.44470742e-15,8.50000000e-09,-9.22640029e-16,8.50000000e-09,3.17218897e-18,8.50000000e-09,4.47764322e-16,8.50000000e-09,6.70293535e-16,8.50000000e-09,-1.14351957e-18,8.50000000e-09,2.57496438e-09,8.50000000e-09,6.60420780e-01,8.50000000e-09,3.38652500e-02,8.50000000e-09,4.84268878e-01,8.50000000e-09,4.84268875e-01,8.50000000e-09,3.88354886e+08,8.50000000e-09,1.69154458e+08,8.50000000e-09,2.69217681e+07,8.50000000e-09,2.87520622e+01,0.840,0.500,sky130
8.75000000e-09,2.51288432e-07,8.75000000e-09,8.74951787e-09,8.75000000e-09,1.44904169e-15,8.75000000e-09,-9.28314112e-16,8.75000000e-09,3.19355141e-18,8.75000000e-09,4.50259381e-16,8.75000000e-09,6.74031810e-16,8.75000000e-09,-1.15179258e-18,8.75000000e-09,2.64721811e-09,8.75000000e-09,6.60415779e-01,8.75000000e-09,3.38796804e-02,8.75000000e-09,4.85267159e-01,8.75000000e-09,4.85267156e-01,8.75000000e-09,3.77755046e+08,8.75000000e-09,1.73416979e+08,8.75000000e-09,2.76001694e+07,8.75000000e-09,2.87202604e+01,0.840,0.500,sky130
9.00000000e-09,2.58188227e-07,9.00000000e-09,8.99951699e-09,9.00000000e-09,1.45326589e-15,9.00000000e-09,-9.33842034e-16,9.00000000e-09,3.21436331e-18,9.00000000e-09,4.52689081e-16,9.00000000e-09,6.77672176e-16,9.00000000e-09,-1.15984648e-18,9.00000000e-09,2.71936278e-09,9.00000000e-09,6.60410914e-01,9.00000000e-09,3.38940965e-02,9.00000000e-09,4.86238381e-01,9.00000000e-09,4.86238378e-01,9.00000000e-09,3.67733208e+08,9.00000000e-09,1.77660694e+08,9.00000000e-09,2.82755776e+07,9.00000000e-09,2.86891204e+01,0.840,0.500,sky130
9.25000000e-09,2.65078290e-07,9.25000000e-09,9.24951548e-09,9.25000000e-09,1.45738559e-15,9.25000000e-09,-9.39231254e-16,9.25000000e-09,3.23465276e-18,9.25000000e-09,4.55056789e-16,9.25000000e-09,6.81219677e-16,9.25000000e-09,-1.16769261e-18,9.25000000e-09,2.79140071e-09,9.25000000e-09,6.60406176e-01,9.25000000e-09,3.39084982e-02,9.25000000e-09,4.87184005e-01,9.25000000e-09,4.87184002e-01,9.25000000e-09,3.58243084e+08,9.25000000e-09,1.81886174e+08,9.25000000e-09,2.89480837e+07,9.25000000e-09,2.86586136e+01,0.840,0.500,sky130
9.50000000e-09,2.71958847e-07,9.50000000e-09,9.49951351e-09,9.50000000e-09,1.46140596e-15,9.50000000e-09,-9.44488691e-16,9.50000000e-09,3.25444580e-18,9.50000000e-09,4.57365626e-16,9.50000000e-09,6.84678990e-16,9.50000000e-09,-1.17534147e-18,9.50000000e-09,2.86333440e-09,9.50000000e-09,6.60401561e-01,9.50000000e-09,3.39228856e-02,9.50000000e-09,4.88105379e-01,9.50000000e-09,4.88105375e-01,9.50000000e-09,3.49243176e+08,9.50000000e-09,1.86093977e+08,9.50000000e-09,2.96177764e+07,9.50000000e-09,2.86287131e+01,0.840,0.500,sky130
9.75000000e-09,2.78830161e-07,9.75000000e-09,9.74951302e-09,9.75000000e-09,1.46533179e-15,9.75000000e-09,-9.49620784e-16,9.75000000e-09,3.27376667e-18,9.75000000e-09,4.59618498e-16,9.75000000e-09,6.88054465e-16,9.75000000e-09,-1.18280282e-18,9.75000000e-09,2.93516675e-09,9.75000000e-09,6.60397060e-01,9.75000000e-09,3.39372589e-02,9.75000000e-09,4.89003752e-01,9.75000000e-09,4.89003749e-01,9.75000000e-09,3.40696146e+08,9.75000000e-09,1.90284660e+08,9.75000000e-09,3.02847442e+07,9.75000000e-09,2.85993937e+01,0.840,0.500,sky130
1.00000000e-08,2.85692326e-07,1.00000000e-08,9.99951002e-09,1.00000000e-08,1.46916747e-15,1.00000000e-08,-9.54633392e-16,1.00000000e-08,3.29263742e-18,1.00000000e-08,4.61818044e-16,1.00000000e-08,6.91350057e-16,1.00000000e-08,-1.19008554e-18,1.00000000e-08,3.00689884e-09,1.00000000e-08,6.60392669e-01,1.00000000e-08,3.39516181e-02,1.00000000e-08,4.89880261e-01,1.00000000e-08,4.89880258e-01,1.00000000e-08,3.32568554e+08,1.00000000e-08,1.94458652e+08,1.00000000e-08,3.09490556e+07,1.00000000e-08,2.85706325e+01,0.840,0.500,sky130
1.25000000e-08,3.53959633e-07,1.25000000e-08,1.25033894e-08,1.25000000e-08,1.50340285e-15,1.25000000e-08,-9.99304444e-16,1.25000000e-08,3.46079305e-18,1.25000000e-08,4.81382425e-16,1.25000000e-08,7.20664085e-16,1.25000000e-08,-1.25477284e-18,1.25000000e-08,3.72027636e-09,1.25000000e-08,6.60353716e-01,1.25000000e-08,3.40946760e-02,1.25000000e-08,4.97655635e-01,1.25000000e-08,4.97655631e-01,1.25000000e-08,2.68797236e+08,1.25000000e-08,2.35438979e+08,1.25000000e-08,3.74712773e+07,1.25000000e-08,2.83090945e+01,0.840,0.500,sky130
1.50000000e-08,4.21575686e-07,1.50000000e-08,1.50104611e-08,1.50000000e-08,1.53187465e-15,1.50000000e-08,-1.03636570e-15,1.50000000e-08,3.60027486e-18,1.50000000e-08,4.97564323e-16,1.50000000e-08,7.44910853e-16,1.50000000e-08,-1.30814693e-18,1.50000000e-08,4.42642466e-09,1.50000000e-08,6.60321586e-01,1.50000000e-08,3.42365842e-02,1.50000000e-08,5.04069172e-01,1.50000000e-08,5.04069167e-01,1.50000000e-08,2.25915965e+08,1.50000000e-08,2.75202470e+08,1.50000000e-08,4.37998334e+07,1.50000000e-08,2.80854588e+01,0.840,0.500,sky130
1.75000000e-08,4.88257936e-07,1.75000000e-08,1.75059113e-08,1.75000000e-08,1.55613195e-15,1.75000000e-08,-1.06788142e-15,1.75000000e-08,3.71885892e-18,1.75000000e-08,5.11290626e-16,1.75000000e-08,7.65478776e-16,1.75000000e-08,-1.35332324e-18,1.75000000e-08,5.12238341e-09,1.75000000e-08,6.60294345e-01,1.75000000e-08,3.43765687e-02,1.75000000e-08,5.09506886e-01,1.75000000e-08,5.09506880e-01,1.75000000e-08,1.95221623e+08,1.75000000e-08,3.13763840e+08,1.75000000e-08,4.99370661e+07,1.75000000e-08,2.78910323e+01,0.840,0.500,sky130
2.00000000e-08,5.54451408e-07,2.00000000e-08,2.00031028e-08,2.00000000e-08,1.57736216e-15,2.00000000e-08,-1.09542181e-15,2.00000000e-08,3.82246027e-18,2.00000000e-08,5.23260363e-16,2.00000000e-08,7.83415054e-16,2.00000000e-08,-1.39264020e-18,2.00000000e-08,5.81277160e-09,2.00000000e-08,6.60270568e-01,2.00000000e-08,3.45154349e-02,2.00000000e-08,5.14252991e-01,2.00000000e-08,5.14252984e-01,2.00000000e-08,1.72034972e+08,2.00000000e-08,3.51505457e+08,2.00000000e-08,5.59438310e+07,2.00000000e-08,2.77182703e+01,0.840,0.500,sky130
2.25000000e-08,6.20215357e-07,2.25000000e-08,2.25018494e-08,2.25000000e-08,1.59623919e-15,2.25000000e-08,-1.11987791e-15,2.25000000e-08,3.91443656e-18,2.25000000e-08,5.33870294e-16,2.25000000e-08,7.99314053e-16,2.25000000e-08,-1.42742654e-18,2.25000000e-08,6.49817574e-09,2.25000000e-08,6.60249455e-01,2.25000000e-08,3.46532117e-02,2.25000000e-08,5.18467399e-01,2.25000000e-08,5.18467391e-01,2.25000000e-08,1.53889344e+08,2.25000000e-08,3.88547882e+08,2.25000000e-08,6.18393161e+07,2.25000000e-08,2.75628615e+01,0.840,0.500,sky130
