isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,2.53530192e-08,1.00000000e-09,9.99659094e-10,1.00000000e-09,1.14463676e-15,1.00000000e-09,-5.14595288e-16,1.00000000e-09,1.23235657e-18,1.00000000e-09,2.66646857e-16,1.00000000e-09,3.98877204e-16,1.00000000e-09,-9.84599256e-21,1.00000000e-09,3.20133512e-10,1.00000000e-09,6.14697296e-01,1.00000000e-09,4.04820010e-02,1.00000000e-09,3.40346758e-01,1.00000000e-09,3.40346758e-01,1.00000000e-09,3.12369671e+09,1.00000000e-09,2.21494015e+07,1.00000000e-09,3.52518673e+06,1.00000000e-09,2.53616651e+01,0.840,0.500,sky130
1.25000000e-09,3.16094591e-08,1.25000000e-09,1.25007649e-09,1.25000000e-09,1.16711121e-15,1.25000000e-09,-5.46363297e-16,1.25000000e-09,1.35878294e-18,1.25000000e-09,2.81232243e-16,1.25000000e-09,4.20717310e-16,1.25000000e-09,-6.94836808e-20,1.25000000e-09,3.94916170e-10,1.25000000e-09,6.14653622e-01,1.25000000e-09,4.04993979e-02,1.25000000e-09,3.49064549e-01,1.25000000e-09,3.49064549e-01,1.25000000e-09,2.53218297e+09,1.25000000e-09,2.70835023e+07,1.25000000e-09,4.31047327e+06,1.25000000e-09,2.52860200e+01,0.840,0.500,sky130
1.50000000e-09,3.78497057e-08,1.50000000e-09,1.50085526e-09,1.50000000e-09,1.18631084e-15,1.50000000e-09,-5.73308864e-16,1.50000000e-09,1.46527523e-18,1.50000000e-09,2.93545700e-16,1.50000000e-09,4.39156732e-16,1.50000000e-09,-1.18785694e-19,1.50000000e-09,4.69014830e-10,1.50000000e-09,6.14617798e-01,1.50000000e-09,4.05167794e-02,1.50000000e-09,3.56215582e-01,1.50000000e-09,3.56215582e-01,1.50000000e-09,2.13212874e+09,1.50000000e-09,3.19053865e+07,1.50000000e-09,5.07789997e+06,1.50000000e-09,2.52187581e+01,0.840,0.500,sky130
1.75000000e-09,4.40356668e-08,1.75000000e-09,1.75034940e-09,1.75000000e-09,1.20302464e-15,1.75000000e-09,-5.96636460e-16,1.75000000e-09,1.55700570e-18,1.75000000e-09,3.04165840e-16,1.75000000e-09,4.55061278e-16,1.75000000e-09,-1.60646208e-19,1.75000000e-09,5.42089640e-10,1.75000000e-09,6.14587586e-01,1.75000000e-09,4.05340364e-02,1.75000000e-09,3.62246211e-01,1.75000000e-09,3.62246211e-01,1.75000000e-09,1.84471336e+09,1.75000000e-09,3.66041271e+07,1.75000000e-09,5.82572777e+06,1.75000000e-09,2.51582152e+01,0.840,0.500,sky130
2.00000000e-09,5.02060889e-08,2.00000000e-09,2.00003099e-09,2.00000000e-09,1.21793085e-15,2.00000000e-09,-6.17348811e-16,2.00000000e-09,1.63813978e-18,2.00000000e-09,3.13565972e-16,2.00000000e-09,4.69139389e-16,2.00000000e-09,-1.97245982e-19,2.00000000e-09,6.14674362e-10,2.00000000e-09,6.14561326e-01,2.00000000e-09,4.05512742e-02,2.00000000e-09,3.67488017e-01,2.00000000e-09,3.67488017e-01,2.00000000e-09,1.62687768e+09,2.00000000e-09,4.12224461e+07,2.00000000e-09,6.56075606e+06,2.00000000e-09,2.51026555e+01,0.840,0.500,sky130
2.25000000e-09,5.63623218e-08,2.25000000e-09,2.24988826e-09,2.25000000e-09,1.23140519e-15,2.25000000e-09,-6.36002290e-16,2.25000000e-09,1.71098582e-18,2.25000000e-09,3.22009148e-16,2.25000000e-09,4.81784789e-16,2.25000000e-09,-2.29793662e-19,2.25000000e-09,6.86836557e-10,2.25000000e-09,6.14538092e-01,2.25000000e-09,4.05684945e-02,2.25000000e-09,3.72125611e-01,2.25000000e-09,3.72125610e-01,2.25000000e-09,1.45595046e+09,2.25000000e-09,4.57707360e+07,2.25000000e-09,7.28463889e+06,2.25000000e-09,2.50511649e+01,0.840,0.500,sky130
2.50000000e-09,6.25028472e-08,2.50000000e-09,2.49980418e-09,2.50000000e-09,1.24370938e-15,2.50000000e-09,-6.52982176e-16,2.50000000e-09,1.77713055e-18,2.50000000e-09,3.29676966e-16,2.50000000e-09,4.93269302e-16,2.50000000e-09,-2.59107832e-19,2.50000000e-09,7.58597020e-10,2.50000000e-09,6.14517261e-01,2.50000000e-09,4.05856909e-02,2.50000000e-09,3.76283724e-01,2.50000000e-09,3.76283723e-01,2.50000000e-09,1.31822295e+09,2.50000000e-09,5.02551869e+07,2.50000000e-09,7.99836141e+06,2.50000000e-09,2.50030973e+01,0.840,0.500,sky130
2.75000000e-09,6.86281027e-08,2.75000000e-09,2.74974917e-09,2.75000000e-09,1.25504043e-15,2.75000000e-09,-6.68576419e-16,2.75000000e-09,1.83775075e-18,2.75000000e-09,3.36704609e-16,2.75000000e-09,5.03795288e-16,2.75000000e-09,-2.85785529e-19,2.75000000e-09,8.29990677e-10,2.75000000e-09,6.14498379e-01,2.75000000e-09,4.06028630e-02,2.75000000e-09,3.80052903e-01,2.75000000e-09,3.80052902e-01,2.75000000e-09,1.20483281e+09,2.75000000e-09,5.46819856e+07,2.75000000e-09,8.70290830e+06,2.75000000e-09,2.49579501e+01,0.840,0.500,sky130
3.00000000e-09,7.47388088e-08,3.00000000e-09,2.99971181e-09,3.00000000e-09,1.26554879e-15,3.00000000e-09,-6.83003720e-16,3.00000000e-09,1.89373505e-18,3.00000000e-09,3.43194435e-16,3.00000000e-09,5.13515976e-16,3.00000000e-09,-3.10271767e-19,3.00000000e-09,9.01049455e-10,3.00000000e-09,6.14481108e-01,3.00000000e-09,4.06200111e-02,3.00000000e-09,3.83500364e-01,3.00000000e-09,3.83500363e-01,3.00000000e-09,1.10981700e+09,3.00000000e-09,5.90564421e+07,3.00000000e-09,9.39912468e+06,3.00000000e-09,2.49153297e+01,0.840,0.500,sky130
3.25000000e-09,8.08356846e-08,3.25000000e-09,3.24968585e-09,3.25000000e-09,1.27535181e-15,3.25000000e-09,-6.96433910e-16,3.25000000e-09,1.94577023e-18,3.25000000e-09,3.49225717e-16,3.25000000e-09,5.22550047e-16,3.25000000e-09,-3.32906689e-19,3.25000000e-09,9.71800672e-10,3.25000000e-09,6.14465192e-01,3.25000000e-09,4.06371358e-02,3.25000000e-09,3.86677278e-01,3.25000000e-09,3.86677277e-01,3.25000000e-09,1.02901760e+09,3.25000000e-09,6.33830476e+07,3.25000000e-09,1.00877253e+07,3.25000000e-09,2.48749228e+01,0.840,0.500,sky130
3.50000000e-09,8.69193701e-08,3.50000000e-09,3.49966610e-09,3.50000000e-09,1.28454283e-15,3.50000000e-09,-7.09001515e-16,3.50000000e-09,1.99439807e-18,3.50000000e-09,3.54861105e-16,3.50000000e-09,5.30991293e-16,3.50000000e-09,-3.53956073e-19,3.50000000e-09,1.04226729e-09,3.50000000e-09,6.14450432e-01,3.50000000e-09,4.06542376e-02,3.50000000e-09,3.89623474e-01,3.50000000e-09,3.89623473e-01,3.50000000e-09,9.59446788e+08,3.50000000e-09,6.76656068e+07,3.50000000e-09,1.07693158e+07,3.50000000e-09,2.48364752e+01,0.840,0.500,sky130
