isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,2.15291715e-08,1.00000000e-09,9.99475234e-10,1.00000000e-09,1.08842631e-15,1.00000000e-09,-4.78545508e-16,1.00000000e-09,4.10748478e-19,1.00000000e-09,2.55553240e-16,1.00000000e-09,3.82400749e-16,1.00000000e-09,5.27780994e-19,1.00000000e-09,2.54019377e-10,1.00000000e-09,6.24503554e-01,1.00000000e-09,4.63991063e-02,1.00000000e-09,3.35334526e-01,1.00000000e-09,3.35334526e-01,1.00000000e-09,3.93670755e+09,1.00000000e-09,1.97800909e+07,1.00000000e-09,3.14809925e+06,1.00000000e-09,2.15404752e+01,0.840,0.500,sky130
1.25000000e-09,2.68414543e-08,1.25000000e-09,1.24989209e-09,1.25000000e-09,1.10797555e-15,1.25000000e-09,-5.07587655e-16,1.25000000e-09,5.05886985e-19,1.25000000e-09,2.69179193e-16,1.25000000e-09,4.02803315e-16,1.25000000e-09,4.70622532e-19,1.25000000e-09,3.12094984e-10,1.25000000e-09,6.24466055e-01,1.25000000e-09,4.64268761e-02,1.25000000e-09,3.45609387e-01,1.25000000e-09,3.45609386e-01,1.25000000e-09,3.20415274e+09,1.25000000e-09,2.42256739e+07,1.25000000e-09,3.85563575e+06,1.25000000e-09,2.14750174e+01,0.840,0.500,sky130
1.50000000e-09,3.21399492e-08,1.50000000e-09,1.50066813e-09,1.50000000e-09,1.12469392e-15,1.50000000e-09,-5.32198519e-16,1.50000000e-09,5.84694045e-19,1.50000000e-09,2.80667940e-16,1.50000000e-09,4.20007614e-16,1.50000000e-09,4.24842289e-19,1.50000000e-09,3.69513081e-10,1.50000000e-09,6.24435295e-01,1.50000000e-09,4.64546112e-02,1.50000000e-09,3.54038004e-01,1.50000000e-09,3.54038004e-01,1.50000000e-09,2.70626414e+09,1.50000000e-09,2.85766187e+07,1.50000000e-09,4.54811013e+06,1.50000000e-09,2.14170932e+01,0.840,0.500,sky130
1.75000000e-09,3.73925355e-08,1.75000000e-09,1.75016197e-09,1.75000000e-09,1.13925914e-15,1.75000000e-09,-5.53489483e-16,1.75000000e-09,6.51740747e-19,1.75000000e-09,2.90566647e-16,1.75000000e-09,4.34832031e-16,1.75000000e-09,3.86908030e-19,1.75000000e-09,4.26040433e-10,1.75000000e-09,6.24409353e-01,1.75000000e-09,4.64821382e-02,1.75000000e-09,3.61146366e-01,1.75000000e-09,3.61146365e-01,1.75000000e-09,2.34719506e+09,1.75000000e-09,3.28218000e+07,1.75000000e-09,5.22375170e+06,1.75000000e-09,2.13651856e+01,0.840,0.500,sky130
2.00000000e-09,4.26321358e-08,2.00000000e-09,1.99984235e-09,2.00000000e-09,1.15225672e-15,2.00000000e-09,-5.72381845e-16,2.00000000e-09,7.10472970e-19,2.00000000e-09,2.99320566e-16,2.00000000e-09,4.47942834e-16,2.00000000e-09,3.54383192e-19,2.00000000e-09,4.82108866e-10,2.00000000e-09,6.24386803e-01,2.00000000e-09,4.65096250e-02,2.00000000e-09,3.67325047e-01,2.00000000e-09,3.67325047e-01,2.00000000e-09,2.07422031e+09,2.00000000e-09,3.69988174e+07,2.00000000e-09,5.88854468e+06,2.00000000e-09,2.13177483e+01,0.840,0.500,sky130
2.25000000e-09,4.78600077e-08,2.25000000e-09,2.24969927e-09,2.25000000e-09,1.16401120e-15,2.25000000e-09,-5.89387268e-16,2.25000000e-09,7.62796454e-19,2.25000000e-09,3.07177405e-16,2.25000000e-09,4.59710687e-16,2.25000000e-09,3.25923451e-19,2.25000000e-09,5.37784400e-10,2.25000000e-09,6.24366853e-01,2.25000000e-09,4.65370744e-02,2.25000000e-09,3.72791611e-01,2.25000000e-09,3.72791610e-01,2.25000000e-09,1.85948123e+09,2.25000000e-09,4.11164494e+07,2.25000000e-09,6.54388616e+06,2.25000000e-09,2.12739580e+01,0.840,0.500,sky130
2.50000000e-09,5.30748952e-08,2.50000000e-09,2.49961451e-09,2.50000000e-09,1.17474884e-15,2.50000000e-09,-6.04859675e-16,2.50000000e-09,8.10000552e-19,2.50000000e-09,3.14307953e-16,2.50000000e-09,4.70391182e-16,2.50000000e-09,3.00639640e-19,2.50000000e-09,5.93092866e-10,2.50000000e-09,6.24348965e-01,2.50000000e-09,4.65644765e-02,2.50000000e-09,3.77692999e-01,2.50000000e-09,3.77692998e-01,2.50000000e-09,1.68607659e+09,2.50000000e-09,4.51797810e+07,2.50000000e-09,7.19058547e+06,2.50000000e-09,2.12332321e+01,0.840,0.500,sky130
2.75000000e-09,5.82772290e-08,2.75000000e-09,2.74955907e-09,2.75000000e-09,1.18464020e-15,2.75000000e-09,-6.19063482e-16,2.75000000e-09,8.53026300e-19,2.75000000e-09,3.20839263e-16,2.75000000e-09,4.80174478e-16,2.75000000e-09,2.77899305e-19,2.75000000e-09,6.48069100e-10,2.75000000e-09,6.24332751e-01,2.75000000e-09,4.65918306e-02,2.75000000e-09,3.82135921e-01,2.75000000e-09,3.82135920e-01,2.75000000e-09,1.54304533e+09,2.75000000e-09,4.91940331e+07,2.75000000e-09,7.82947353e+06,2.75000000e-09,2.11951180e+01,0.840,0.500,sky130
3.00000000e-09,6.34676536e-08,3.00000000e-09,2.99952118e-09,3.00000000e-09,1.19381564e-15,3.00000000e-09,-6.32199353e-16,3.00000000e-09,8.92575256e-19,3.00000000e-09,3.26867441e-16,3.00000000e-09,4.89204429e-16,3.00000000e-09,2.57240543e-19,3.00000000e-09,7.02743794e-10,3.00000000e-09,6.24317920e-01,3.00000000e-09,4.66191373e-02,3.00000000e-09,3.86199580e-01,3.00000000e-09,3.86199579e-01,3.00000000e-09,1.42299371e+09,3.00000000e-09,5.31636975e+07,3.00000000e-09,8.46126526e+06,3.00000000e-09,2.11592617e+01,0.840,0.500,sky130
3.25000000e-09,6.86468000e-08,3.25000000e-09,3.24949402e-09,3.25000000e-09,1.20237693e-15,3.25000000e-09,-6.44423022e-16,3.25000000e-09,9.29183884e-19,3.25000000e-09,3.32466868e-16,3.25000000e-09,4.97592373e-16,3.25000000e-09,2.38316407e-19,3.25000000e-09,7.57142831e-10,3.25000000e-09,6.24304254e-01,3.25000000e-09,4.66463978e-02,3.25000000e-09,3.89944271e-01,3.25000000e-09,3.89944270e-01,3.25000000e-09,1.32075476e+09,3.25000000e-09,5.70925790e+07,3.25000000e-09,9.08656617e+06,3.25000000e-09,2.11253812e+01,0.840,0.500,sky130
