isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,3.01297441e-08,1.00000000e-09,9.99557095e-10,1.00000000e-09,1.13942780e-15,1.00000000e-09,-5.40697435e-16,1.00000000e-09,1.47522292e-18,1.00000000e-09,2.78670574e-16,1.00000000e-09,4.17087102e-16,1.00000000e-09,-4.99519305e-19,1.00000000e-09,2.94712763e-10,1.00000000e-09,6.87594003e-01,1.00000000e-09,3.32093178e-02,1.00000000e-09,4.42463344e-01,1.00000000e-09,4.42463343e-01,1.00000000e-09,3.39313436e+09,1.00000000e-09,2.64428726e+07,1.00000000e-09,4.20851388e+06,1.00000000e-09,3.01430946e+01,0.840,0.500,sky130
1.25000000e-09,3.75196616e-08,1.25000000e-09,1.24996979e-09,1.25000000e-09,1.16295638e-15,1.25000000e-09,-5.72893051e-16,1.25000000e-09,1.57690111e-18,1.25000000e-09,2.93509393e-16,1.25000000e-09,4.39314794e-16,1.25000000e-09,-5.40943125e-19,1.25000000e-09,3.65597384e-10,1.25000000e-09,6.87562604e-01,1.25000000e-09,3.32268809e-02,1.25000000e-09,4.49823576e-01,1.25000000e-09,4.49823576e-01,1.25000000e-09,2.73524933e+09,1.25000000e-09,3.22623119e+07,1.25000000e-09,5.13470642e+06,1.25000000e-09,3.00164548e+01,0.840,0.500,sky130
1.50000000e-09,4.48778820e-08,1.50000000e-09,1.50073343e-09,1.50000000e-09,1.18296122e-15,1.50000000e-09,-6.00133227e-16,1.50000000e-09,1.66295817e-18,1.50000000e-09,3.06009949e-16,1.50000000e-09,4.58040491e-16,1.50000000e-09,-5.75797743e-19,1.50000000e-09,4.36041535e-10,1.50000000e-09,6.87536821e-01,1.50000000e-09,3.32444303e-02,1.50000000e-09,4.55867218e-01,1.50000000e-09,4.55867217e-01,1.50000000e-09,2.29335951e+09,1.50000000e-09,3.79369004e+07,1.50000000e-09,6.03784522e+06,1.50000000e-09,2.99039663e+01,0.840,0.500,sky130
1.75000000e-09,5.21619821e-08,1.75000000e-09,1.75023781e-09,1.75000000e-09,1.20031288e-15,1.75000000e-09,-6.23670872e-16,1.75000000e-09,1.73733844e-18,1.75000000e-09,3.16773849e-16,1.75000000e-09,4.74165112e-16,1.75000000e-09,-6.05780630e-19,1.75000000e-09,5.05678925e-10,1.75000000e-09,6.87515055e-01,1.75000000e-09,3.32618572e-02,1.75000000e-09,4.60969387e-01,1.75000000e-09,4.60969386e-01,1.75000000e-09,1.97753940e+09,1.75000000e-09,4.34569878e+07,1.75000000e-09,6.91639442e+06,1.75000000e-09,2.98027969e+01,0.840,0.500,sky130
2.00000000e-09,5.94178871e-08,2.00000000e-09,1.99992655e-09,2.00000000e-09,1.21574034e-15,2.00000000e-09,-6.44533967e-16,2.00000000e-09,1.80328167e-18,2.00000000e-09,3.26287065e-16,2.00000000e-09,4.88416484e-16,2.00000000e-09,-6.32257245e-19,2.00000000e-09,5.74974543e-10,2.00000000e-09,6.87496119e-01,2.00000000e-09,3.32792651e-02,2.00000000e-09,4.65408022e-01,2.00000000e-09,4.65408021e-01,2.00000000e-09,1.73920743e+09,2.00000000e-09,4.88738302e+07,2.00000000e-09,7.77851166e+06,2.00000000e-09,2.97100347e+01,0.840,0.500,sky130
2.25000000e-09,6.66479851e-08,2.25000000e-09,2.24978663e-09,2.25000000e-09,1.22964946e-15,2.25000000e-09,-6.63295335e-16,2.25000000e-09,1.86259285e-18,2.25000000e-09,3.34820751e-16,2.25000000e-09,5.01200705e-16,2.25000000e-09,-6.55989681e-19,2.25000000e-09,6.43968394e-10,2.25000000e-09,6.87479353e-01,2.25000000e-09,3.32966550e-02,2.25000000e-09,4.69338180e-01,2.25000000e-09,4.69338179e-01,2.25000000e-09,1.55287124e+09,2.25000000e-09,5.42008007e+07,2.25000000e-09,8.62632536e+06,2.25000000e-09,2.96241361e+01,0.840,0.500,sky130
2.50000000e-09,7.38513047e-08,2.50000000e-09,2.49970501e-09,2.50000000e-09,1.24232220e-15,2.50000000e-09,-6.80351430e-16,2.50000000e-09,1.91652143e-18,2.50000000e-09,3.42562041e-16,2.50000000e-09,5.12798038e-16,2.50000000e-09,-6.77503527e-19,2.50000000e-09,7.12663540e-10,2.50000000e-09,6.87464308e-01,2.50000000e-09,3.33140205e-02,2.50000000e-09,4.72864708e-01,2.50000000e-09,4.72864708e-01,2.50000000e-09,1.40318670e+09,2.50000000e-09,5.94461763e+07,2.50000000e-09,9.46115280e+06,2.50000000e-09,2.95440079e+01,0.840,0.500,sky130
2.75000000e-09,8.10289374e-08,2.75000000e-09,2.74965163e-09,2.75000000e-09,1.25396970e-15,2.75000000e-09,-6.95997669e-16,2.75000000e-09,1.96599876e-18,2.75000000e-09,3.49649873e-16,2.75000000e-09,5.23416578e-16,2.75000000e-09,-6.97188701e-19,2.75000000e-09,7.81079510e-10,2.75000000e-09,6.87450661e-01,2.75000000e-09,3.33313606e-02,2.75000000e-09,4.76063691e-01,2.75000000e-09,4.76063690e-01,2.75000000e-09,1.28027939e+09,2.75000000e-09,6.46179391e+07,2.75000000e-09,1.02842644e+07,2.75000000e-09,2.94688013e+01,0.840,0.500,sky130
3.00000000e-09,8.81822385e-08,3.00000000e-09,2.99961504e-09,3.00000000e-09,1.26475263e-15,3.00000000e-09,-7.10458115e-16,3.00000000e-09,2.01173138e-18,3.00000000e-09,3.56189332e-16,3.00000000e-09,5.33213713e-16,3.00000000e-09,-7.15339932e-19,3.00000000e-09,8.49236102e-10,3.00000000e-09,6.87438170e-01,3.00000000e-09,3.33486755e-02,3.00000000e-09,4.78991628e-01,3.00000000e-09,4.78991627e-01,3.00000000e-09,1.17752884e+09,3.00000000e-09,6.97229138e+07,3.00000000e-09,1.10967464e+07,3.00000000e-09,2.93978518e+01,0.840,0.500,sky130
3.25000000e-09,9.53125435e-08,3.25000000e-09,3.24959076e-09,3.25000000e-09,1.27479606e-15,3.25000000e-09,-7.23906618e-16,3.25000000e-09,2.05426764e-18,3.25000000e-09,3.62261753e-16,3.25000000e-09,5.42311265e-16,3.25000000e-09,-7.32185237e-19,3.25000000e-09,9.17151333e-10,3.25000000e-09,6.87426652e-01,3.25000000e-09,3.33659657e-02,3.25000000e-09,4.81691562e-01,3.25000000e-09,4.81691561e-01,3.25000000e-09,1.09033260e+09,3.25000000e-09,7.47668955e+07,3.25000000e-09,1.18995210e+07,3.25000000e-09,2.93306297e+01,0.840,0.500,sky130
