isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,2.51328114e-08,1.00000000e-09,9.99628692e-10,1.00000000e-09,1.11816474e-15,1.00000000e-09,-5.04493115e-16,1.00000000e-09,1.05486330e-18,1.00000000e-09,2.63860558e-16,1.00000000e-09,3.94795841e-16,1.00000000e-09,-5.81549323e-20,1.00000000e-09,2.82912686e-10,1.00000000e-09,6.41456411e-01,1.00000000e-09,4.02216793e-02,1.00000000e-09,3.70522587e-01,1.00000000e-09,3.70522586e-01,1.00000000e-09,3.53465945e+09,1.00000000e-09,2.24768412e+07,1.00000000e-09,3.57730038e+06,1.00000000e-09,2.51421469e+01,0.840,0.500,sky130
1.25000000e-09,3.13279968e-08,1.25000000e-09,1.25004576e-09,1.25000000e-09,1.13973180e-15,1.25000000e-09,-5.35161203e-16,1.25000000e-09,1.15552277e-18,1.25000000e-09,2.78072746e-16,1.25000000e-09,4.16081808e-16,1.25000000e-09,-1.03926871e-19,1.25000000e-09,3.49446419e-10,1.25000000e-09,6.41418840e-01,1.25000000e-09,4.02420845e-02,1.25000000e-09,3.79329488e-01,1.25000000e-09,3.79329488e-01,1.25000000e-09,2.86166905e+09,1.25000000e-09,2.74871657e+07,1.25000000e-09,4.37471829e+06,1.25000000e-09,2.50614799e+01,0.840,0.500,sky130
1.50000000e-09,3.75053302e-08,1.50000000e-09,1.50082151e-09,1.50000000e-09,1.15813663e-15,1.50000000e-09,-5.61149761e-16,1.50000000e-09,1.24041042e-18,1.50000000e-09,2.90059806e-16,1.50000000e-09,4.34036098e-16,1.50000000e-09,-1.41917432e-19,1.50000000e-09,4.15412363e-10,1.50000000e-09,6.41388016e-01,1.50000000e-09,4.02624707e-02,1.50000000e-09,3.86554853e-01,1.50000000e-09,3.86554853e-01,1.50000000e-09,2.40724660e+09,1.50000000e-09,3.23842016e+07,1.50000000e-09,5.15410577e+06,1.50000000e-09,2.49898671e+01,0.840,0.500,sky130
1.75000000e-09,4.36275339e-08,1.75000000e-09,1.75031723e-09,1.75000000e-09,1.17414521e-15,1.75000000e-09,-5.83632434e-16,1.75000000e-09,1.31358939e-18,1.75000000e-09,3.00390669e-16,1.75000000e-09,4.49510377e-16,1.75000000e-09,-1.74268016e-19,1.75000000e-09,4.80499553e-10,1.75000000e-09,6.41362016e-01,1.75000000e-09,4.02827099e-02,1.75000000e-09,3.92649273e-01,1.75000000e-09,3.92649273e-01,1.75000000e-09,2.08116739e+09,1.75000000e-09,3.71568470e+07,1.75000000e-09,5.91369587e+06,1.75000000e-09,2.49255010e+01,0.840,0.500,sky130
2.00000000e-09,4.97330200e-08,2.00000000e-09,1.99999970e-09,2.00000000e-09,1.18841228e-15,2.00000000e-09,-6.03581907e-16,2.00000000e-09,1.37834953e-18,2.00000000e-09,3.09528745e-16,2.00000000e-09,4.63198493e-16,2.00000000e-09,-2.02615136e-19,2.00000000e-09,5.45175103e-10,2.00000000e-09,6.41339415e-01,2.00000000e-09,4.03029251e-02,2.00000000e-09,3.97947289e-01,2.00000000e-09,3.97947288e-01,2.00000000e-09,1.83427305e+09,2.00000000e-09,4.18482887e+07,2.00000000e-09,6.66036200e+06,2.00000000e-09,2.48665137e+01,0.840,0.500,sky130
2.25000000e-09,5.58232824e-08,2.25000000e-09,2.24985767e-09,2.25000000e-09,1.20130096e-15,2.25000000e-09,-6.21538479e-16,2.25000000e-09,1.43651651e-18,2.25000000e-09,3.17731857e-16,2.25000000e-09,4.75486469e-16,2.25000000e-09,-2.27867456e-19,2.25000000e-09,6.09494681e-10,2.25000000e-09,6.41319415e-01,2.25000000e-09,4.03231179e-02,2.25000000e-09,4.02635244e-01,2.25000000e-09,4.02635243e-01,2.25000000e-09,1.64070341e+09,2.25000000e-09,4.64690233e+07,2.25000000e-09,7.39577476e+06,2.25000000e-09,2.48119173e+01,0.840,0.500,sky130
2.50000000e-09,6.18969192e-08,2.50000000e-09,2.49977327e-09,2.50000000e-09,1.21306400e-15,2.50000000e-09,-6.37876011e-16,2.50000000e-09,1.48934702e-18,2.50000000e-09,3.25177863e-16,2.50000000e-09,4.86640613e-16,2.50000000e-09,-2.50642698e-19,2.50000000e-09,6.73473144e-10,2.50000000e-09,6.41301482e-01,2.50000000e-09,4.03432807e-02,2.50000000e-09,4.06839020e-01,2.50000000e-09,4.06839019e-01,2.50000000e-09,1.48484020e+09,2.50000000e-09,5.10252707e+07,2.50000000e-09,8.12092405e+06,2.50000000e-09,2.47610133e+01,0.840,0.500,sky130
2.75000000e-09,6.79545131e-08,2.75000000e-09,2.74971893e-09,2.75000000e-09,1.22389158e-15,2.75000000e-09,-6.52873881e-16,2.75000000e-09,1.53777512e-18,2.75000000e-09,3.31999143e-16,2.75000000e-09,4.96859145e-16,2.75000000e-09,-2.71393442e-19,2.75000000e-09,7.37139470e-10,2.75000000e-09,6.41285224e-01,2.75000000e-09,4.03634130e-02,2.75000000e-09,4.10650051e-01,2.75000000e-09,4.10650050e-01,2.75000000e-09,1.35659538e+09,2.75000000e-09,5.55233111e+07,2.75000000e-09,8.83680942e+06,2.75000000e-09,2.47132579e+01,0.840,0.500,sky130
3.00000000e-09,7.39968318e-08,3.00000000e-09,2.99968190e-09,3.00000000e-09,1.23392869e-15,3.00000000e-09,-6.66743978e-16,3.00000000e-09,1.58250635e-18,3.00000000e-09,3.38295793e-16,3.00000000e-09,5.06291953e-16,3.00000000e-09,-2.90457832e-19,3.00000000e-09,8.00519703e-10,3.00000000e-09,6.41270352e-01,3.00000000e-09,4.03835151e-02,3.00000000e-09,4.14136164e-01,3.00000000e-09,4.14136163e-01,3.00000000e-09,1.24918849e+09,3.00000000e-09,5.99684830e+07,3.00000000e-09,9.54428050e+06,3.00000000e-09,2.46682263e+01,0.840,0.500,sky130
3.25000000e-09,8.00246370e-08,3.25000000e-09,3.24965493e-09,3.25000000e-09,1.24328839e-15,3.25000000e-09,-6.79650783e-16,3.25000000e-09,1.62408655e-18,3.25000000e-09,3.44145310e-16,3.25000000e-09,5.15055084e-16,3.25000000e-09,-3.08095030e-19,3.25000000e-09,8.63636267e-10,3.25000000e-09,6.41256645e-01,3.25000000e-09,4.04035874e-02,3.25000000e-09,4.17349008e-01,3.25000000e-09,4.17349007e-01,3.25000000e-09,1.15789487e+09,3.25000000e-09,6.43653057e+07,3.25000000e-09,1.02440566e+07,3.25000000e-09,2.46255799e+01,0.840,0.500,sky130
