isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,3.09106543e-08,1.00000000e-09,9.99659340e-10,1.00000000e-09,3.28182706e-16,1.00000000e-09,-1.33307917e-16,1.00000000e-09,6.52737122e-18,1.00000000e-09,6.60777526e-17,1.00000000e-09,9.88872070e-17,1.00000000e-09,-3.06800036e-18,1.00000000e-09,2.48953624e-09,1.00000000e-09,6.29955024e-01,1.00000000e-09,3.74478442e-02,1.00000000e-09,3.40419925e-01,1.00000000e-09,3.40419924e-01,1.00000000e-09,4.01681239e+08,1.00000000e-09,9.41873346e+07,1.00000000e-09,1.49903799e+07,1.00000000e-09,3.09211880e+01,1.00,.150,sky130
1.50000000e-09,4.64478039e-08,1.50000000e-09,1.50599333e-09,1.50000000e-09,3.36502536e-16,1.50000000e-09,-1.44365973e-16,1.50000000e-09,7.09196664e-18,1.50000000e-09,7.13262352e-17,1.50000000e-09,1.06747586e-16,1.50000000e-09,-3.33566168e-18,1.50000000e-09,3.71993237e-09,1.50000000e-09,6.29204116e-01,1.50000000e-09,3.74545498e-02,1.50000000e-09,3.52702788e-01,1.50000000e-09,3.52702787e-01,1.50000000e-09,2.68822092e+08,1.50000000e-09,1.38031066e+08,1.50000000e-09,2.19683265e+07,1.50000000e-09,3.08419719e+01,1.00,.150,sky130
2.00000000e-09,6.19998376e-08,2.00000000e-09,2.01455115e-09,2.00000000e-09,3.42747384e-16,2.00000000e-09,-1.52585628e-16,2.00000000e-09,7.51187874e-18,2.00000000e-09,7.52142023e-17,2.00000000e-09,1.12570866e-16,2.00000000e-09,-3.53381071e-18,2.00000000e-09,4.94710427e-09,2.00000000e-09,6.28669539e-01,2.00000000e-09,3.74606888e-02,2.00000000e-09,3.61447034e-01,2.00000000e-09,3.61447033e-01,2.00000000e-09,2.02138452e+08,2.00000000e-09,1.80890768e+08,2.00000000e-09,2.87896599e+07,2.00000000e-09,3.07760056e+01,1.00,.150,sky130
2.50000000e-09,7.69957995e-08,2.50000000e-09,2.50633766e-09,2.50000000e-09,3.47618076e-16,2.50000000e-09,-1.58954722e-16,2.50000000e-09,7.83740751e-18,2.50000000e-09,7.82193497e-17,2.50000000e-09,1.17072135e-16,2.50000000e-09,-3.68692259e-18,2.50000000e-09,6.12750840e-09,2.50000000e-09,6.28267315e-01,2.50000000e-09,3.74663082e-02,2.50000000e-09,3.68026349e-01,2.50000000e-09,3.68026348e-01,2.50000000e-09,1.63198471e+08,2.50000000e-09,2.21495385e+08,2.50000000e-09,3.52520853e+07,2.50000000e-09,3.07204415e+01,1.00,.150,sky130
3.00000000e-09,9.20653266e-08,3.00000000e-09,3.00177842e-09,3.00000000e-09,3.51756886e-16,3.00000000e-09,-1.64340634e-16,3.00000000e-09,8.11279683e-18,3.00000000e-09,8.07556500e-17,3.00000000e-09,1.20871298e-16,3.00000000e-09,-3.81612919e-18,3.00000000e-09,7.31154621e-09,3.00000000e-09,6.27934516e-01,3.00000000e-09,3.74717659e-02,3.00000000e-09,3.73470053e-01,3.00000000e-09,3.73470052e-01,3.00000000e-09,1.36769976e+08,3.00000000e-09,2.61729991e+08,3.00000000e-09,4.16556218e+07,3.00000000e-09,3.06702607e+01,1.00,.150,sky130
3.50000000e-09,1.07210197e-07,3.50000000e-09,3.50083600e-09,3.50000000e-09,3.55367869e-16,3.50000000e-09,-1.69021485e-16,3.50000000e-09,8.35222142e-18,3.50000000e-09,8.29563293e-17,3.50000000e-09,1.24167841e-16,3.50000000e-09,-3.92823161e-18,3.50000000e-09,8.49977082e-09,3.50000000e-09,6.27650281e-01,3.50000000e-09,3.74771176e-02,3.50000000e-09,3.78119390e-01,3.50000000e-09,3.78119389e-01,3.50000000e-09,1.17650231e+08,3.50000000e-09,3.01687930e+08,3.50000000e-09,4.80151253e+07,3.50000000e-09,3.06241700e+01,1.00,.150,sky130
4.00000000e-09,1.22339431e-07,4.00000000e-09,4.00042999e-09,4.00000000e-09,3.58560448e-16,4.00000000e-09,-1.73146706e-16,4.00000000e-09,8.56329354e-18,4.00000000e-09,8.48930605e-17,4.00000000e-09,1.27069081e-16,4.00000000e-09,-4.02688707e-18,4.00000000e-09,9.68534209e-09,4.00000000e-09,6.27403355e-01,4.00000000e-09,3.74823657e-02,4.00000000e-09,3.82158440e-01,4.00000000e-09,3.82158439e-01,4.00000000e-09,1.03248805e+08,4.00000000e-09,3.41196113e+08,4.00000000e-09,5.43030480e+07,4.00000000e-09,3.05815704e+01,1.00,.150,sky130
4.50000000e-09,1.37442986e-07,4.50000000e-09,4.50015265e-09,4.50000000e-09,3.61423619e-16,4.50000000e-09,-1.76836249e-16,4.50000000e-09,8.75212847e-18,4.50000000e-09,8.66231218e-17,4.50000000e-09,1.29660791e-16,4.50000000e-09,-4.11501602e-18,4.50000000e-09,1.08677020e-08,4.50000000e-09,6.27185158e-01,4.50000000e-09,3.74875300e-02,4.50000000e-09,3.85727568e-01,4.50000000e-09,3.85727567e-01,4.50000000e-09,9.20157731e+07,4.50000000e-09,3.80282248e+08,4.50000000e-09,6.05237995e+07,4.50000000e-09,3.05418498e+01,1.00,.150,sky130
5.00000000e-09,1.52522143e-07,5.00000000e-09,4.99998235e-09,5.00000000e-09,3.64021711e-16,5.00000000e-09,-1.80176357e-16,5.00000000e-09,8.92312416e-18,5.00000000e-09,8.81876228e-17,5.00000000e-09,1.32004534e-16,5.00000000e-09,-4.19471368e-18,5.00000000e-09,1.20471247e-08,5.00000000e-09,6.26989658e-01,5.00000000e-09,3.74926270e-02,5.00000000e-09,3.88925423e-01,5.00000000e-09,3.88925422e-01,5.00000000e-09,8.30073587e+07,5.00000000e-09,4.18991884e+08,5.00000000e-09,6.66846295e+07,5.00000000e-09,3.05045362e+01,1.00,.150,sky130
5.50000000e-09,1.67577237e-07,5.50000000e-09,5.49987600e-09,5.50000000e-09,3.66401468e-16,5.50000000e-09,-1.83229477e-16,5.50000000e-09,9.07946565e-18,5.50000000e-09,8.96162974e-17,5.50000000e-09,1.34144839e-16,5.50000000e-09,-4.26749510e-18,5.50000000e-09,1.32237717e-08,5.50000000e-09,6.26812556e-01,5.50000000e-09,3.74976683e-02,5.50000000e-09,3.91822345e-01,5.50000000e-09,3.91822344e-01,5.50000000e-09,7.56213900e+07,5.50000000e-09,4.57359621e+08,5.50000000e-09,7.27910444e+07,5.50000000e-09,3.04692754e+01,1.00,.150,sky130
6.00000000e-09,1.82608777e-07,6.00000000e-09,5.99980372e-09,6.00000000e-09,3.68598095e-16,6.00000000e-09,-1.86042494e-16,6.00000000e-09,9.22354455e-18,6.00000000e-09,9.09314458e-17,6.00000000e-09,1.36115103e-16,6.00000000e-09,-4.33449627e-18,6.00000000e-09,1.43977908e-08,6.00000000e-09,6.26650667e-01,6.00000000e-09,3.75026627e-02,6.00000000e-09,3.94470407e-01,6.00000000e-09,3.94470405e-01,6.00000000e-09,6.94550998e+07,6.00000000e-09,4.95414325e+08,6.00000000e-09,7.88476388e+07,6.00000000e-09,3.04357918e+01,1.00,.150,sky130
6.50000000e-09,1.97617648e-07,6.50000000e-09,6.49975404e-09,6.50000000e-09,3.70638833e-16,6.50000000e-09,-1.88651583e-16,6.50000000e-09,9.35720652e-18,6.50000000e-09,9.21502575e-17,6.50000000e-09,1.37941071e-16,6.50000000e-09,-4.39659272e-18,6.50000000e-09,1.55693389e-08,6.50000000e-09,6.26501568e-01,6.50000000e-09,3.75076168e-02,6.50000000e-09,3.96909278e-01,6.50000000e-09,3.96909276e-01,6.50000000e-09,6.42288029e+07,6.50000000e-09,5.33181172e+08,6.50000000e-09,8.48584191e+07,6.50000000e-09,3.04038655e+01,1.00,.150,sky130
7.00000000e-09,2.12604685e-07,7.00000000e-09,6.99971876e-09,7.00000000e-09,3.72545174e-16,7.00000000e-09,-1.91085215e-16,7.00000000e-09,9.48190430e-18,7.00000000e-09,9.32862493e-17,7.00000000e-09,1.39642985e-16,7.00000000e-09,-4.45447280e-18,7.00000000e-09,1.67385538e-08,7.00000000e-09,6.26363370e-01,7.00000000e-09,3.75125359e-02,7.00000000e-09,3.99169836e-01,7.00000000e-09,3.99169834e-01,7.00000000e-09,5.97423177e+07,7.00000000e-09,5.70681625e+08,7.00000000e-09,9.08268016e+07,7.00000000e-09,3.03733182e+01,1.00,.150,sky130
