isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.18387261e-08,1.00000000e-09,9.99508189e-10,1.00000000e-09,5.53198808e-16,1.00000000e-09,-2.35720333e-16,1.00000000e-09,2.27942018e-19,1.00000000e-09,1.25037306e-16,1.00000000e-09,1.87390323e-16,1.00000000e-09,8.31741091e-19,1.00000000e-09,8.28989313e-10,1.00000000e-09,5.75298787e-01,1.00000000e-09,5.42297203e-02,1.00000000e-09,2.71715411e-01,1.00000000e-09,2.71715411e-01,1.00000000e-09,1.20628817e+09,1.00000000e-09,3.94771750e+07,1.00000000e-09,6.28298754e+06,1.00000000e-09,2.18494719e+01,1.00,.200,sky130
1.50000000e-09,3.27935399e-08,1.50000000e-09,1.50577255e-09,1.50000000e-09,5.65835726e-16,1.50000000e-09,-2.54163979e-16,1.50000000e-09,4.18816288e-19,1.50000000e-09,1.34239166e-16,1.50000000e-09,2.01119112e-16,1.50000000e-09,6.65627737e-19,1.50000000e-09,1.21354549e-09,1.50000000e-09,5.75166832e-01,1.50000000e-09,5.42500849e-02,1.50000000e-09,2.89822074e-01,1.50000000e-09,2.89822074e-01,1.50000000e-09,8.24031739e+08,1.50000000e-09,5.79559373e+07,1.50000000e-09,9.22397391e+06,1.50000000e-09,2.17785481e+01,1.00,.200,sky130
2.00000000e-09,4.34332040e-08,2.00000000e-09,1.99953081e-09,2.00000000e-09,5.75055374e-16,2.00000000e-09,-2.67424150e-16,2.00000000e-09,5.45053449e-19,2.00000000e-09,1.40821820e-16,2.00000000e-09,2.10949276e-16,2.00000000e-09,5.61231638e-19,2.00000000e-09,1.58203840e-09,2.00000000e-09,5.75075174e-01,2.00000000e-09,5.42696854e-02,2.00000000e-09,3.02399336e-01,2.00000000e-09,3.02399335e-01,2.00000000e-09,6.32095908e+08,2.00000000e-09,7.55287334e+07,2.00000000e-09,1.20207713e+07,2.00000000e-09,2.17216978e+01,1.00,.200,sky130
2.50000000e-09,5.42604167e-08,2.50000000e-09,2.50375657e-09,2.50000000e-09,5.82633475e-16,2.50000000e-09,-2.78217117e-16,2.50000000e-09,6.42535012e-19,2.50000000e-09,1.46160563e-16,2.50000000e-09,2.18926197e-16,2.50000000e-09,4.83496170e-19,2.50000000e-09,1.95357405e-09,2.50000000e-09,5.75002281e-01,2.50000000e-09,5.42895171e-02,2.50000000e-09,3.12401677e-01,2.50000000e-09,3.12401676e-01,2.50000000e-09,5.11882310e+08,2.50000000e-09,9.31295901e+07,2.50000000e-09,1.48220346e+07,2.50000000e-09,2.16716023e+01,1.00,.200,sky130
3.00000000e-09,6.49313465e-08,3.00000000e-09,3.00223502e-09,3.00000000e-09,5.88919996e-16,3.00000000e-09,-2.87105365e-16,3.00000000e-09,7.19856575e-19,3.00000000e-09,1.50544785e-16,3.00000000e-09,2.25479344e-16,3.00000000e-09,4.23556182e-19,3.00000000e-09,2.31719849e-09,3.00000000e-09,5.74943279e-01,3.00000000e-09,5.43089822e-02,3.00000000e-09,3.20497884e-01,3.00000000e-09,3.20497883e-01,3.00000000e-09,4.31555607e+08,3.00000000e-09,1.10254953e+08,3.00000000e-09,1.75476208e+07,3.00000000e-09,2.16276694e+01,1.00,.200,sky130
3.50000000e-09,7.55746014e-08,3.50000000e-09,3.50078156e-09,3.50000000e-09,5.94353635e-16,3.50000000e-09,-2.94744018e-16,3.50000000e-09,7.84459820e-19,3.50000000e-09,1.54303991e-16,3.50000000e-09,2.31099791e-16,3.50000000e-09,3.74599134e-19,3.50000000e-09,2.67789094e-09,3.50000000e-09,5.74893244e-01,3.50000000e-09,5.43283360e-02,3.50000000e-09,3.27363579e-01,3.50000000e-09,3.27363578e-01,3.50000000e-09,3.73428202e+08,3.50000000e-09,1.27154268e+08,3.50000000e-09,2.02372303e+07,3.50000000e-09,2.15879226e+01,1.00,.200,sky130
4.00000000e-09,8.62108445e-08,4.00000000e-09,4.00023977e-09,4.00000000e-09,5.99153702e-16,4.00000000e-09,-3.01460518e-16,4.00000000e-09,8.40009303e-19,4.00000000e-09,1.57602935e-16,4.00000000e-09,2.36033125e-16,4.00000000e-09,3.33292931e-19,4.00000000e-09,3.03671801e-09,4.00000000e-09,5.74849722e-01,4.00000000e-09,5.43476286e-02,4.00000000e-09,3.33335681e-01,4.00000000e-09,3.33335680e-01,4.00000000e-09,3.29302885e+08,4.00000000e-09,1.43887694e+08,4.00000000e-09,2.29004377e+07,4.00000000e-09,2.15514193e+01,1.00,.200,sky130
4.50000000e-09,9.68285978e-08,4.50000000e-09,4.49997185e-09,4.50000000e-09,6.03453185e-16,4.50000000e-09,-3.07452933e-16,4.50000000e-09,8.88672917e-19,4.50000000e-09,1.60541238e-16,4.50000000e-09,2.40427885e-16,4.50000000e-09,2.97687772e-19,4.50000000e-09,3.39355302e-09,4.50000000e-09,5.74811237e-01,4.50000000e-09,5.43668474e-02,4.50000000e-09,3.38616534e-01,4.50000000e-09,3.38616533e-01,4.50000000e-09,2.94676404e+08,4.50000000e-09,1.60457514e+08,4.50000000e-09,2.55376065e+07,4.50000000e-09,2.15176008e+01,1.00,.200,sky130
5.00000000e-09,1.07425957e-07,5.00000000e-09,4.99980407e-09,5.00000000e-09,6.07348985e-16,5.00000000e-09,-3.12864371e-16,5.00000000e-09,9.31951381e-19,5.00000000e-09,1.63190684e-16,5.00000000e-09,2.44391157e-16,5.00000000e-09,2.66464657e-19,5.00000000e-09,3.74852904e-09,5.00000000e-09,5.74776744e-01,5.00000000e-09,5.43859950e-02,5.00000000e-09,3.43349541e-01,5.00000000e-09,3.43349540e-01,5.00000000e-09,2.66771309e+08,5.00000000e-09,1.76876820e+08,5.00000000e-09,2.81508202e+07,5.00000000e-09,2.14860334e+01,1.00,.200,sky130
5.50000000e-09,1.18003603e-07,5.50000000e-09,5.49969706e-09,5.50000000e-09,6.10912625e-16,5.50000000e-09,-3.17799814e-16,5.50000000e-09,9.70911236e-19,5.50000000e-09,1.65603830e-16,5.50000000e-09,2.48001376e-16,5.50000000e-09,2.38703036e-19,5.50000000e-09,4.10182115e-09,5.50000000e-09,5.74745489e-01,5.50000000e-09,5.44050774e-02,5.50000000e-09,3.47638393e-01,5.50000000e-09,3.47638391e-01,5.50000000e-09,2.43794150e+08,5.50000000e-09,1.93159542e+08,5.50000000e-09,3.07422960e+07,5.50000000e-09,2.14563824e+01,1.00,.200,sky130
