isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.82114107e-08,1.00000000e-09,9.99731027e-10,1.00000000e-09,6.27558853e-16,1.00000000e-09,-2.85845553e-16,1.00000000e-09,-6.84811688e-19,1.00000000e-09,1.37765161e-16,1.00000000e-09,2.06167817e-16,1.00000000e-09,1.12698931e-18,1.00000000e-09,7.88193810e-10,1.00000000e-09,5.60164013e-01,1.00000000e-09,4.20757146e-02,1.00000000e-09,2.75852758e-01,1.00000000e-09,2.75852758e-01,1.00000000e-09,1.26872349e+09,1.00000000e-09,4.49542072e+07,1.00000000e-09,7.15468429e+06,1.00000000e-09,2.82190009e+01,1.00,.250,sky130
1.50000000e-09,4.23590471e-08,1.50000000e-09,1.50599759e-09,1.50000000e-09,6.44532302e-16,1.50000000e-09,-3.08826813e-16,1.50000000e-09,-6.47912038e-19,1.50000000e-09,1.48326769e-16,1.50000000e-09,2.21965178e-16,1.50000000e-09,1.08202181e-18,1.50000000e-09,1.15243487e-09,1.50000000e-09,5.60158927e-01,1.50000000e-09,4.20857318e-02,1.50000000e-09,2.90005123e-01,1.50000000e-09,2.90005123e-01,1.50000000e-09,8.67727993e+08,1.50000000e-09,6.57205961e+07,1.50000000e-09,1.04597577e+07,1.50000000e-09,2.81269024e+01,1.00,.250,sky130
2.00000000e-09,5.65063523e-08,2.00000000e-09,2.01445216e-09,2.00000000e-09,6.57236047e-16,2.00000000e-09,-3.25855518e-16,2.00000000e-09,-6.24539886e-19,2.00000000e-09,1.56122503e-16,2.00000000e-09,2.33629195e-16,2.00000000e-09,1.05433629e-18,2.00000000e-09,1.51092547e-09,2.00000000e-09,5.60155303e-01,2.00000000e-09,4.20957012e-02,2.00000000e-09,3.00089059e-01,2.00000000e-09,3.00089058e-01,2.00000000e-09,6.61846015e+08,2.00000000e-09,8.59757352e+07,2.00000000e-09,1.36834632e+07,2.00000000e-09,2.80504811e+01,1.00,.250,sky130
2.50000000e-09,7.01424827e-08,2.50000000e-09,2.50631631e-09,2.50000000e-09,6.67126778e-16,2.50000000e-09,-3.39025307e-16,2.50000000e-09,-6.08332762e-19,2.50000000e-09,1.62134766e-16,2.50000000e-09,2.42626533e-16,2.50000000e-09,1.03557219e-18,2.50000000e-09,1.85277171e-09,2.50000000e-09,5.60152573e-01,2.50000000e-09,4.21052812e-02,2.50000000e-09,3.07684343e-01,2.50000000e-09,3.07684342e-01,2.50000000e-09,5.39731903e+08,2.50000000e-09,1.05141159e+08,2.50000000e-09,1.67337352e+07,2.50000000e-09,2.79862850e+01,1.00,.250,sky130
3.00000000e-09,8.38361329e-08,3.00000000e-09,3.00181615e-09,3.00000000e-09,6.75516408e-16,3.00000000e-09,-3.50141720e-16,3.00000000e-09,-5.95738225e-19,3.00000000e-09,1.67198530e-16,3.00000000e-09,2.50205483e-16,3.00000000e-09,1.02126936e-18,3.00000000e-09,2.19334942e-09,3.00000000e-09,5.60150313e-01,3.00000000e-09,4.21148811e-02,3.00000000e-09,3.13971781e-01,3.00000000e-09,3.13971781e-01,3.00000000e-09,4.55923708e+08,3.00000000e-09,1.24106731e+08,3.00000000e-09,1.97521997e+07,3.00000000e-09,2.79284702e+01,1.00,.250,sky130
3.50000000e-09,9.75888657e-08,3.50000000e-09,3.50088211e-09,3.50000000e-09,6.82824689e-16,3.50000000e-09,-3.59787625e-16,3.50000000e-09,-5.85523145e-19,3.50000000e-09,1.71584405e-16,3.50000000e-09,2.56770527e-16,3.50000000e-09,1.00986614e-18,3.50000000e-09,2.53324886e-09,3.50000000e-09,5.60148383e-01,3.50000000e-09,4.21245069e-02,3.50000000e-09,3.19343795e-01,3.50000000e-09,3.19343794e-01,3.50000000e-09,3.94750005e+08,3.50000000e-09,1.42919357e+08,3.50000000e-09,2.27463222e+07,3.50000000e-09,2.78755075e+01,1.00,.250,sky130
4.00000000e-09,1.11320012e-07,4.00000000e-09,4.00047880e-09,4.00000000e-09,6.89277992e-16,4.00000000e-09,-3.68277772e-16,4.00000000e-09,-5.77028221e-19,4.00000000e-09,1.75438701e-16,4.00000000e-09,2.62540363e-16,4.00000000e-09,1.00052901e-18,4.00000000e-09,2.87086776e-09,4.00000000e-09,5.60146705e-01,4.00000000e-09,4.21341055e-02,4.00000000e-09,3.24012684e-01,4.00000000e-09,3.24012682e-01,4.00000000e-09,3.48326737e+08,4.00000000e-09,1.61502345e+08,4.00000000e-09,2.57038965e+07,4.00000000e-09,2.78266722e+01,1.00,.250,sky130
4.50000000e-09,1.25021227e-07,4.50000000e-09,4.50020369e-09,4.50000000e-09,6.95059072e-16,4.50000000e-09,-3.75862973e-16,4.50000000e-09,-5.69799641e-19,4.50000000e-09,1.78877441e-16,4.50000000e-09,2.67688478e-16,4.50000000e-09,9.92695363e-19,4.50000000e-09,3.20629760e-09,4.50000000e-09,5.60145221e-01,4.50000000e-09,4.21436735e-02,4.50000000e-09,3.28140032e-01,4.50000000e-09,3.28140031e-01,4.50000000e-09,3.11886208e+08,4.50000000e-09,1.79871369e+08,4.50000000e-09,2.86274175e+07,4.50000000e-09,2.77812374e+01,1.00,.250,sky130
5.00000000e-09,1.38694181e-07,5.00000000e-09,5.00003455e-09,5.00000000e-09,7.00299773e-16,5.00000000e-09,-3.82723174e-16,5.00000000e-09,-5.63534462e-19,5.00000000e-09,1.81983703e-16,5.00000000e-09,2.72339120e-16,5.00000000e-09,9.85993711e-19,5.00000000e-09,3.53980219e-09,5.00000000e-09,5.60143892e-01,5.00000000e-09,4.21532140e-02,5.00000000e-09,3.31839402e-01,5.00000000e-09,3.31839401e-01,5.00000000e-09,2.82501661e+08,5.00000000e-09,1.98049730e+08,5.00000000e-09,3.15205934e+07,5.00000000e-09,2.77386444e+01,1.00,.250,sky130
5.50000000e-09,1.52339605e-07,5.50000000e-09,5.49992776e-09,5.50000000e-09,7.05095805e-16,5.50000000e-09,-3.88988537e-16,5.50000000e-09,-5.58024476e-19,5.50000000e-09,1.84817506e-16,5.50000000e-09,2.76582058e-16,5.50000000e-09,9.80170883e-19,5.50000000e-09,3.87157126e-09,5.50000000e-09,5.60142687e-01,5.50000000e-09,4.21627288e-02,5.50000000e-09,3.35191782e-01,5.50000000e-09,3.35191780e-01,5.50000000e-09,2.58293063e+08,5.50000000e-09,2.16055186e+08,5.50000000e-09,3.43862509e+07,5.50000000e-09,2.76984739e+01,1.00,.250,sky130
