isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.69874433e-08,1.00000000e-09,9.99695088e-10,1.00000000e-09,6.49569089e-16,1.00000000e-09,-3.01413775e-16,1.00000000e-09,-5.99345111e-19,1.00000000e-09,1.47261292e-16,1.00000000e-09,2.20386112e-16,1.00000000e-09,9.73860501e-19,1.00000000e-09,7.16733302e-10,1.00000000e-09,5.84286855e-01,1.00000000e-09,4.22466950e-02,1.00000000e-09,3.03414274e-01,1.00000000e-09,3.03414274e-01,1.00000000e-09,1.39521911e+09,1.00000000e-09,4.15466865e+07,1.00000000e-09,6.61236053e+06,1.00000000e-09,2.69956746e+01,1.00,.250,sky130
1.50000000e-09,4.05076450e-08,1.50000000e-09,1.50595910e-09,1.50000000e-09,6.66940015e-16,1.50000000e-09,-3.25236497e-16,1.50000000e-09,-5.71613435e-19,1.50000000e-09,1.58319918e-16,1.50000000e-09,2.36936869e-16,1.50000000e-09,9.40455533e-19,1.50000000e-09,1.05240974e-09,1.50000000e-09,5.84282805e-01,1.50000000e-09,4.22610074e-02,1.50000000e-09,3.18229602e-01,1.50000000e-09,3.18229601e-01,1.50000000e-09,9.50200251e+08,1.50000000e-09,6.07365641e+07,1.50000000e-09,9.66652441e+06,1.50000000e-09,2.68982371e+01,1.00,.250,sky130
2.00000000e-09,5.40211949e-08,2.00000000e-09,2.01439090e-09,2.00000000e-09,6.79914247e-16,2.00000000e-09,-3.42849419e-16,2.00000000e-09,-5.54081750e-19,2.00000000e-09,1.66463730e-16,2.00000000e-09,2.49127953e-16,2.00000000e-09,9.19954231e-19,2.00000000e-09,1.38353358e-09,2.00000000e-09,5.84279919e-01,2.00000000e-09,4.22752530e-02,2.00000000e-09,3.28787524e-01,2.00000000e-09,3.28787523e-01,2.00000000e-09,7.22786936e+08,2.00000000e-09,7.94529533e+07,2.00000000e-09,1.26453303e+07,2.00000000e-09,2.68176325e+01,1.00,.250,sky130
2.50000000e-09,6.70428749e-08,2.50000000e-09,2.50626687e-09,2.50000000e-09,6.90000972e-16,2.50000000e-09,-3.56449788e-16,2.50000000e-09,-5.41949964e-19,2.50000000e-09,1.72734238e-16,2.50000000e-09,2.58516081e-16,2.50000000e-09,9.06104572e-19,2.50000000e-09,1.69979410e-09,2.50000000e-09,5.84277745e-01,2.50000000e-09,4.22889435e-02,2.50000000e-09,3.36741743e-01,2.50000000e-09,3.36741743e-01,2.50000000e-09,5.88306549e+08,2.50000000e-09,9.71634499e+07,2.50000000e-09,1.54640433e+07,2.50000000e-09,2.67500942e+01,1.00,.250,sky130
3.00000000e-09,8.01157684e-08,3.00000000e-09,3.00178112e-09,3.00000000e-09,6.98546548e-16,3.00000000e-09,-3.67914764e-16,3.00000000e-09,-5.32542755e-19,3.00000000e-09,1.78008362e-16,3.00000000e-09,2.66413231e-16,3.00000000e-09,8.95582352e-19,3.00000000e-09,2.01524054e-09,3.00000000e-09,5.84275945e-01,3.00000000e-09,4.23026624e-02,3.00000000e-09,3.43327333e-01,3.00000000e-09,3.43327332e-01,3.00000000e-09,4.96218679e+08,3.00000000e-09,1.14689234e+08,3.00000000e-09,1.82533585e+07,3.00000000e-09,2.66894104e+01,1.00,.250,sky130
3.50000000e-09,9.32414181e-08,3.50000000e-09,3.50084949e-09,3.50000000e-09,7.05982885e-16,3.50000000e-09,-3.77851926e-16,3.50000000e-09,-5.24929311e-19,3.50000000e-09,1.82571067e-16,3.50000000e-09,2.73245682e-16,3.50000000e-09,8.87220631e-19,3.50000000e-09,2.33033354e-09,3.50000000e-09,5.84274406e-01,3.50000000e-09,4.23164171e-02,3.50000000e-09,3.48954750e-01,3.50000000e-09,3.48954749e-01,3.50000000e-09,4.29123120e+08,3.50000000e-09,1.32073199e+08,3.50000000e-09,2.10201025e+07,3.50000000e-09,2.66339408e+01,1.00,.250,sky130
4.00000000e-09,1.06343459e-07,4.00000000e-09,4.00044655e-09,4.00000000e-09,7.12543430e-16,4.00000000e-09,-3.86590064e-16,4.00000000e-09,-5.18611060e-19,4.00000000e-09,1.86576745e-16,4.00000000e-09,2.79244389e-16,4.00000000e-09,8.80395576e-19,4.00000000e-09,2.64353943e-09,4.00000000e-09,5.84273069e-01,4.00000000e-09,4.23301319e-02,4.00000000e-09,3.53846251e-01,4.00000000e-09,3.53846250e-01,4.00000000e-09,3.78280720e+08,4.00000000e-09,1.49244880e+08,4.00000000e-09,2.37530604e+07,4.00000000e-09,2.65828971e+01,1.00,.250,sky130
4.50000000e-09,1.19414288e-07,4.50000000e-09,4.50017134e-09,4.50000000e-09,7.18415999e-16,4.50000000e-09,-3.94390262e-16,4.50000000e-09,-5.13245400e-19,4.50000000e-09,1.90147395e-16,4.50000000e-09,2.84591903e-16,4.50000000e-09,8.74687072e-19,4.50000000e-09,2.95490256e-09,4.50000000e-09,5.84271887e-01,4.50000000e-09,4.23438018e-02,4.50000000e-09,3.58170930e-01,4.50000000e-09,3.58170928e-01,4.50000000e-09,3.38420635e+08,4.50000000e-09,1.66218859e+08,4.50000000e-09,2.64545530e+07,4.50000000e-09,2.65354980e+01,1.00,.250,sky130
5.00000000e-09,1.32455792e-07,5.00000000e-09,5.00000283e-09,5.00000000e-09,7.23735935e-16,5.00000000e-09,-4.01439624e-16,5.00000000e-09,-5.08603760e-19,5.00000000e-09,1.93370276e-16,5.00000000e-09,2.89418806e-16,5.00000000e-09,8.69818023e-19,5.00000000e-09,3.26463719e-09,5.00000000e-09,5.84270827e-01,5.00000000e-09,4.23574309e-02,5.00000000e-09,3.62047626e-01,5.00000000e-09,3.62047625e-01,5.00000000e-09,3.06312751e+08,5.00000000e-09,1.83016741e+08,5.00000000e-09,2.91280190e+07,5.00000000e-09,2.64911434e+01,1.00,.250,sky130
5.50000000e-09,1.45468857e-07,5.50000000e-09,5.49989601e-09,5.50000000e-09,7.28601403e-16,5.50000000e-09,-4.07873363e-16,5.50000000e-09,-5.04529141e-19,5.50000000e-09,1.96308366e-16,5.50000000e-09,2.93819348e-16,5.50000000e-09,8.65599750e-19,5.50000000e-09,3.57289438e-09,5.50000000e-09,5.84269867e-01,5.50000000e-09,4.23710218e-02,5.50000000e-09,3.65561080e-01,5.50000000e-09,3.65561078e-01,5.50000000e-09,2.79885128e+08,5.50000000e-09,1.99654923e+08,5.50000000e-09,3.17760679e+07,5.50000000e-09,2.64493831e+01,1.00,.250,sky130
