isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,3.24597334e-08,1.00000000e-09,9.99610961e-10,1.00000000e-09,8.06719662e-16,1.00000000e-09,-4.16808016e-16,1.00000000e-09,-3.95574846e-19,1.00000000e-09,2.03370902e-16,1.00000000e-09,3.04310978e-16,1.00000000e-09,5.74937022e-19,1.00000000e-09,5.75827976e-10,1.00000000e-09,6.25762229e-01,1.00000000e-09,3.54431547e-02,1.00000000e-09,3.88431586e-01,1.00000000e-09,3.88431586e-01,1.00000000e-09,1.73662976e+09,1.00000000e-09,4.02366956e+07,1.00000000e-09,6.40386899e+06,1.00000000e-09,3.24723664e+01,1.00,.300,sky130
1.50000000e-09,4.85979248e-08,1.50000000e-09,1.50576399e-09,1.50000000e-09,8.30471000e-16,1.50000000e-09,-4.48187575e-16,1.50000000e-09,-3.99281483e-19,1.50000000e-09,2.17977250e-16,1.50000000e-09,3.26190447e-16,1.50000000e-09,5.81219555e-19,1.50000000e-09,8.55716539e-10,1.50000000e-09,6.25762057e-01,1.50000000e-09,3.54652828e-02,1.50000000e-09,4.00865847e-01,1.50000000e-09,4.00865846e-01,1.50000000e-09,1.16861128e+09,1.50000000e-09,5.85185091e+07,1.50000000e-09,9.31350999e+06,1.50000000e-09,3.22745962e+01,1.00,.300,sky130
2.00000000e-09,6.46719054e-08,2.00000000e-09,2.01396876e-09,2.00000000e-09,8.48044528e-16,2.00000000e-09,-4.71257794e-16,2.00000000e-09,-4.02397115e-19,2.00000000e-09,2.28676793e-16,2.00000000e-09,3.42218679e-16,2.00000000e-09,5.86326535e-19,2.00000000e-09,1.13370691e-09,2.00000000e-09,6.25761935e-01,2.00000000e-09,3.54873455e-02,2.00000000e-09,4.09742648e-01,2.00000000e-09,4.09742647e-01,2.00000000e-09,8.82062189e+08,2.00000000e-09,7.62600350e+07,2.00000000e-09,1.21371615e+07,2.00000000e-09,3.21116725e+01,1.00,.300,sky130
2.50000000e-09,8.01306913e-08,2.50000000e-09,2.50599900e-09,2.50000000e-09,8.61629313e-16,2.50000000e-09,-4.89015347e-16,2.50000000e-09,-4.04994034e-19,2.50000000e-09,2.36890455e-16,2.50000000e-09,3.54523496e-16,2.50000000e-09,5.90503821e-19,2.50000000e-09,1.40069789e-09,2.50000000e-09,6.25761842e-01,2.50000000e-09,3.55085907e-02,2.50000000e-09,4.16446429e-01,2.50000000e-09,4.16446428e-01,2.50000000e-09,7.13929825e+08,2.50000000e-09,9.29990312e+07,2.50000000e-09,1.48012555e+07,2.50000000e-09,3.19755480e+01,1.00,.300,sky130
3.00000000e-09,9.56135237e-08,3.00000000e-09,3.00165026e-09,3.00000000e-09,8.73081076e-16,3.00000000e-09,-5.03937258e-16,3.00000000e-09,-4.07298976e-19,3.00000000e-09,2.43777978e-16,3.00000000e-09,3.64841968e-16,3.00000000e-09,5.94165223e-19,3.00000000e-09,1.66793527e-09,3.00000000e-09,6.25761765e-01,3.00000000e-09,3.55298967e-02,3.00000000e-09,4.22004184e-01,3.00000000e-09,4.22004183e-01,3.00000000e-09,5.99543648e+08,3.00000000e-09,1.09512766e+08,3.00000000e-09,1.74294981e+07,3.00000000e-09,3.18536523e+01,1.00,.300,sky130
3.50000000e-09,1.11122712e-07,3.50000000e-09,3.50074333e-09,3.50000000e-09,8.83004087e-16,3.50000000e-09,-5.16834362e-16,3.50000000e-09,-4.09375914e-19,3.50000000e-09,2.49720352e-16,3.50000000e-09,3.73744711e-16,3.50000000e-09,5.97433729e-19,3.50000000e-09,1.93556224e-09,3.50000000e-09,6.25761700e-01,3.50000000e-09,3.55512666e-02,3.50000000e-09,4.26758406e-01,3.50000000e-09,4.26758405e-01,3.50000000e-09,5.16645747e+08,3.50000000e-09,1.25846203e+08,3.50000000e-09,2.00290453e+07,3.50000000e-09,3.17426047e+01,1.00,.300,sky130
4.00000000e-09,1.26573886e-07,4.00000000e-09,4.00034736e-09,4.00000000e-09,8.91728750e-16,4.00000000e-09,-5.28150155e-16,4.00000000e-09,-4.11259797e-19,4.00000000e-09,2.54926146e-16,4.00000000e-09,3.81544103e-16,4.00000000e-09,6.00376728e-19,4.00000000e-09,2.20218635e-09,4.00000000e-09,6.25761643e-01,4.00000000e-09,3.55725830e-02,4.00000000e-09,4.30895821e-01,4.00000000e-09,4.30895820e-01,4.00000000e-09,4.54094178e+08,4.00000000e-09,1.41942138e+08,4.00000000e-09,2.25907929e+07,4.00000000e-09,3.16407237e+01,1.00,.300,sky130
4.50000000e-09,1.41961270e-07,4.50000000e-09,4.50008077e-09,4.50000000e-09,8.99516063e-16,4.50000000e-09,-5.38232274e-16,4.50000000e-09,-4.12984893e-19,4.50000000e-09,2.59558151e-16,4.50000000e-09,3.88483976e-16,4.50000000e-09,6.03055618e-19,4.50000000e-09,2.46774765e-09,4.50000000e-09,6.25761592e-01,4.50000000e-09,3.55938364e-02,4.50000000e-09,4.34557987e-01,4.50000000e-09,4.34557985e-01,4.50000000e-09,4.05227820e+08,4.50000000e-09,1.57819605e+08,4.50000000e-09,2.51177703e+07,4.50000000e-09,3.15463826e+01,1.00,.300,sky130
5.00000000e-09,1.57289074e-07,5.00000000e-09,4.99991671e-09,5.00000000e-09,9.06552794e-16,5.00000000e-09,-5.47328661e-16,5.00000000e-09,-4.14577782e-19,5.00000000e-09,2.63732267e-16,5.00000000e-09,3.94737929e-16,5.00000000e-09,6.05516871e-19,5.00000000e-09,2.73234369e-09,5.00000000e-09,6.25761547e-01,5.00000000e-09,3.56150311e-02,5.00000000e-09,4.37844280e-01,5.00000000e-09,4.37844279e-01,5.00000000e-09,3.65986169e+08,5.00000000e-09,1.73502387e+08,5.00000000e-09,2.76137625e+07,5.00000000e-09,3.14583388e+01,1.00,.300,sky130
5.50000000e-09,1.72560272e-07,5.50000000e-09,5.49981370e-09,5.50000000e-09,9.12974088e-16,5.50000000e-09,-5.55618314e-16,5.50000000e-09,-4.16058696e-19,5.50000000e-09,2.67532067e-16,5.50000000e-09,4.00431148e-16,5.50000000e-09,6.07795344e-19,5.50000000e-09,2.99604141e-09,5.50000000e-09,6.25761506e-01,5.50000000e-09,3.56361695e-02,5.50000000e-09,4.40825648e-01,5.50000000e-09,4.40825646e-01,5.50000000e-09,3.33773758e+08,5.50000000e-09,1.89008948e+08,5.50000000e-09,3.00817084e+07,5.50000000e-09,3.13756577e+01,1.00,.300,sky130
