isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,3.29725520e-08,1.00000000e-09,9.99664934e-10,1.00000000e-09,1.30335748e-15,1.00000000e-09,-7.19692908e-16,1.00000000e-09,-1.14842080e-18,1.00000000e-09,3.46368384e-16,1.00000000e-09,5.18074305e-16,1.00000000e-09,1.42837065e-18,1.00000000e-09,3.96324778e-10,1.00000000e-09,5.77684194e-01,1.00000000e-09,3.68573494e-02,1.00000000e-09,3.44135116e-01,1.00000000e-09,3.44135116e-01,1.00000000e-09,2.52318314e+09,1.00000000e-09,2.52981645e+07,1.00000000e-09,4.02632793e+06,1.00000000e-09,3.29836036e+01,1.00,.500,sky130
1.50000000e-09,4.92786975e-08,1.50000000e-09,1.50571837e-09,1.50000000e-09,1.34598759e-15,1.50000000e-09,-7.74923818e-16,1.50000000e-09,-1.15398318e-18,1.50000000e-09,3.71734613e-16,1.50000000e-09,5.56056699e-16,1.50000000e-09,1.43629080e-18,1.50000000e-09,5.89229195e-10,1.50000000e-09,5.77684194e-01,1.50000000e-09,3.68868413e-02,1.50000000e-09,3.56452943e-01,1.50000000e-09,3.56452943e-01,1.50000000e-09,1.69713247e+09,1.50000000e-09,3.66115541e+07,1.50000000e-09,5.82690981e+06,1.50000000e-09,3.27276990e+01,1.00,.500,sky130
2.00000000e-09,6.54826583e-08,2.00000000e-09,2.01375215e-09,2.00000000e-09,1.37759198e-15,2.00000000e-09,-8.15612732e-16,2.00000000e-09,-1.15957525e-18,2.00000000e-09,3.90354751e-16,2.00000000e-09,5.83939967e-16,2.00000000e-09,1.44390705e-18,2.00000000e-09,7.80923653e-10,2.00000000e-09,5.77684194e-01,2.00000000e-09,3.69162837e-02,2.00000000e-09,3.65259134e-01,2.00000000e-09,3.65259133e-01,2.00000000e-09,1.28053491e+09,2.00000000e-09,4.75341461e+07,2.00000000e-09,7.56529432e+06,2.00000000e-09,3.25177348e+01,1.00,.500,sky130
2.50000000e-09,8.10480668e-08,2.50000000e-09,2.50590560e-09,2.50000000e-09,1.40207578e-15,2.50000000e-09,-8.47000820e-16,2.50000000e-09,-1.16463365e-18,2.50000000e-09,4.04680778e-16,2.50000000e-09,6.05394076e-16,2.50000000e-09,1.45066985e-18,2.50000000e-09,9.65219260e-10,2.50000000e-09,5.77684194e-01,2.50000000e-09,3.69446784e-02,2.50000000e-09,3.71921661e-01,2.50000000e-09,3.71921660e-01,2.50000000e-09,1.03603403e+09,2.50000000e-09,5.78057676e+07,2.50000000e-09,9.20007365e+06,2.50000000e-09,3.23428252e+01,1.00,.500,sky130
3.00000000e-09,9.66134972e-08,3.00000000e-09,3.00165740e-09,3.00000000e-09,1.42273970e-15,3.00000000e-09,-8.73408759e-16,3.00000000e-09,-1.16934146e-18,3.00000000e-09,4.16708777e-16,3.00000000e-09,6.23407503e-16,3.00000000e-09,1.45689835e-18,3.00000000e-09,1.14972808e-09,3.00000000e-09,5.77684194e-01,3.00000000e-09,3.69731718e-02,3.00000000e-09,3.77450481e-01,3.00000000e-09,3.77450480e-01,3.00000000e-09,8.69770876e+08,3.00000000e-09,6.79066571e+07,3.00000000e-09,1.08076801e+07,3.00000000e-09,3.21867170e+01,1.00,.500,sky130
3.50000000e-09,1.12181947e-07,3.50000000e-09,3.50076716e-09,3.50000000e-09,1.44066148e-15,3.50000000e-09,-8.96254790e-16,3.50000000e-09,-1.17372209e-18,3.50000000e-09,4.27096282e-16,3.50000000e-09,6.38964624e-16,3.50000000e-09,1.46265360e-18,3.50000000e-09,1.33450992e-09,3.50000000e-09,5.77684194e-01,3.50000000e-09,3.70017595e-02,3.50000000e-09,3.82183534e-01,3.50000000e-09,3.82183533e-01,3.50000000e-09,7.49338751e+08,3.50000000e-09,7.78683604e+07,3.50000000e-09,1.23931345e+07,3.50000000e-09,3.20449610e+01,1.00,.500,sky130
4.00000000e-09,1.27673140e-07,4.00000000e-09,4.00037586e-09,4.00000000e-09,1.45643381e-15,4.00000000e-09,-9.16319014e-16,4.00000000e-09,-1.17779034e-18,4.00000000e-09,4.36205247e-16,4.00000000e-09,6.52607306e-16,4.00000000e-09,1.46797150e-18,4.00000000e-09,1.51861770e-09,4.00000000e-09,5.77684194e-01,4.00000000e-09,3.70302854e-02,4.00000000e-09,3.86305969e-01,4.00000000e-09,3.86305968e-01,4.00000000e-09,6.58493577e+08,4.00000000e-09,8.76614774e+07,4.00000000e-09,1.39517575e+07,4.00000000e-09,3.19152860e+01,1.00,.500,sky130
4.50000000e-09,1.43083545e-07,4.50000000e-09,4.50011393e-09,4.50000000e-09,1.47052376e-15,4.50000000e-09,-9.34211528e-16,4.50000000e-09,-1.18158374e-18,4.50000000e-09,4.44317558e-16,4.50000000e-09,6.64757588e-16,4.50000000e-09,1.47291106e-18,4.50000000e-09,1.70200464e-09,4.50000000e-09,5.77684194e-01,4.50000000e-09,3.70587346e-02,4.50000000e-09,3.89957759e-01,4.50000000e-09,3.89957757e-01,4.50000000e-09,5.87542463e+08,4.50000000e-09,9.73010763e+07,4.50000000e-09,1.54859473e+07,4.50000000e-09,3.17955382e+01,1.00,.500,sky130
5.00000000e-09,1.58418925e-07,5.00000000e-09,4.99995383e-09,5.00000000e-09,1.48326553e-15,5.00000000e-09,-9.50367445e-16,5.00000000e-09,-1.18513726e-18,5.00000000e-09,4.51633899e-16,5.00000000e-09,6.75715944e-16,5.00000000e-09,1.47752416e-18,5.00000000e-09,1.88473020e-09,5.00000000e-09,5.77684194e-01,5.00000000e-09,3.70871107e-02,5.00000000e-09,3.93237133e-01,5.00000000e-09,3.93237132e-01,5.00000000e-09,5.30579921e+08,5.00000000e-09,1.06804158e+08,5.00000000e-09,1.69984096e+07,5.00000000e-09,3.16840776e+01,1.00,.500,sky130
5.50000000e-09,1.73683543e-07,5.50000000e-09,5.49985290e-09,5.50000000e-09,1.49490107e-15,5.50000000e-09,-9.65101079e-16,5.50000000e-09,-1.18848022e-18,5.50000000e-09,4.58299069e-16,5.50000000e-09,6.85699185e-16,5.50000000e-09,1.48185309e-18,5.50000000e-09,2.06683403e-09,5.50000000e-09,5.77684194e-01,5.50000000e-09,3.71154155e-02,5.50000000e-09,3.96214238e-01,5.50000000e-09,3.96214236e-01,5.50000000e-09,4.83831786e+08,5.50000000e-09,1.16183971e+08,5.50000000e-09,1.84912533e+07,5.50000000e-09,3.15796706e+01,1.00,.500,sky130
