isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.53920390e-08,1.00000000e-09,9.99610195e-10,1.00000000e-09,2.01436473e-15,1.00000000e-09,-7.89164620e-17,1.00000000e-09,-4.43385134e-20,1.00000000e-09,4.21301285e-17,1.00000000e-09,6.30259348e-17,1.00000000e-09,5.79479993e-20,1.00000000e-09,6.89872031e-10,1.00000000e-09,5.89844906e-01,1.00000000e-09,3.30963627e-02,1.00000000e-09,3.90086057e-01,1.00000000e-09,3.90086056e-01,1.00000000e-09,1.44954420e+09,1.00000000e-09,1.26054824e+07,1.00000000e-09,2.00622483e+06,1.00000000e-09,2.54019408e+01,1.00,1.000,sky130
1.50000000e-09,3.67293609e-08,1.50000000e-09,1.50415901e-09,1.50000000e-09,2.01332643e-15,1.50000000e-09,-9.34946618e-17,1.50000000e-09,-4.76245118e-20,1.50000000e-09,5.04554288e-17,1.50000000e-09,7.54918687e-17,1.50000000e-09,6.22813150e-20,1.50000000e-09,1.01105293e-09,1.50000000e-09,5.89844906e-01,1.50000000e-09,3.34711667e-02,1.50000000e-09,4.06054418e-01,1.50000000e-09,4.06054418e-01,1.50000000e-09,9.89067898e+08,1.50000000e-09,1.82431226e+07,1.50000000e-09,2.90348313e+06,1.50000000e-09,2.44185360e+01,1.00,1.000,sky130
2.00000000e-09,4.76746344e-08,2.00000000e-09,2.00984293e-09,2.00000000e-09,2.01416923e-15,2.00000000e-09,-1.06098571e-16,2.00000000e-09,-5.03265089e-20,2.00000000e-09,5.76370759e-17,2.00000000e-09,8.62459596e-17,2.00000000e-09,6.58430480e-20,2.00000000e-09,1.32375226e-09,2.00000000e-09,5.89844906e-01,2.00000000e-09,3.38371247e-02,2.00000000e-09,4.17772670e-01,2.00000000e-09,4.17772669e-01,2.00000000e-09,7.55428364e+08,2.00000000e-09,2.36696269e+07,2.00000000e-09,3.76713813e+06,2.00000000e-09,2.37205772e+01,1.00,1.000,sky130
2.50000000e-09,5.80974072e-08,2.50000000e-09,2.50405425e-09,2.50000000e-09,2.01591071e-15,2.50000000e-09,-1.17213224e-16,2.50000000e-09,-5.26171046e-20,2.50000000e-09,6.39529440e-17,2.50000000e-09,9.57039894e-17,2.50000000e-09,6.88617591e-20,2.50000000e-09,1.62202186e-09,2.50000000e-09,5.89844906e-01,2.50000000e-09,3.41867358e-02,2.50000000e-09,4.26890667e-01,2.50000000e-09,4.26890666e-01,2.50000000e-09,6.16514502e+08,2.50000000e-09,2.88194347e+07,2.50000000e-09,4.58675549e+06,2.50000000e-09,2.32013372e+01,1.00,1.000,sky130
3.00000000e-09,6.83833929e-08,3.00000000e-09,3.00116779e-09,3.00000000e-09,2.01819674e-15,3.00000000e-09,-1.27552844e-16,3.00000000e-09,-5.46797746e-20,3.00000000e-09,6.98120694e-17,3.00000000e-09,1.04478332e-16,3.00000000e-09,7.15796679e-20,3.00000000e-09,1.91570315e-09,3.00000000e-09,5.89844906e-01,3.00000000e-09,3.45312596e-02,3.00000000e-09,4.34552680e-01,3.00000000e-09,4.34552679e-01,3.00000000e-09,5.22001544e+08,3.00000000e-09,3.38834126e+07,3.00000000e-09,5.39271261e+06,3.00000000e-09,2.27855947e+01,1.00,1.000,sky130
3.50000000e-09,7.85638183e-08,3.50000000e-09,3.50048416e-09,3.50000000e-09,2.02083590e-15,3.50000000e-09,-1.37298681e-16,3.50000000e-09,-5.65701985e-20,3.50000000e-09,7.53195499e-17,3.50000000e-09,1.12726292e-16,3.50000000e-09,7.40703356e-20,3.50000000e-09,2.20497747e-09,3.50000000e-09,5.89844906e-01,3.50000000e-09,3.48707582e-02,3.50000000e-09,4.41172773e-01,3.50000000e-09,4.41172772e-01,3.50000000e-09,4.53519372e+08,3.50000000e-09,3.88768917e+07,3.50000000e-09,6.18744948e+06,3.50000000e-09,2.24437006e+01,1.00,1.000,sky130
4.00000000e-09,8.86334516e-08,4.00000000e-09,4.00015992e-09,4.00000000e-09,2.02370704e-15,4.00000000e-09,-1.46544210e-16,4.00000000e-09,-5.83199505e-20,4.00000000e-09,8.05304232e-17,4.00000000e-09,1.20530239e-16,4.00000000e-09,7.63754744e-20,4.00000000e-09,2.48926238e-09,4.00000000e-09,5.89844906e-01,4.00000000e-09,3.52044500e-02,4.00000000e-09,4.46993050e-01,4.00000000e-09,4.46993048e-01,4.00000000e-09,4.01725430e+08,4.00000000e-09,4.37975705e+07,4.00000000e-09,6.97059985e+06,4.00000000e-09,2.21574770e+01,1.00,1.000,sky130
4.50000000e-09,9.86111348e-08,4.50000000e-09,4.49995365e-09,4.50000000e-09,2.02673795e-15,4.50000000e-09,-1.55376387e-16,4.50000000e-09,-5.99552659e-20,4.50000000e-09,8.54956673e-17,4.50000000e-09,1.27966476e-16,4.50000000e-09,7.85297169e-20,4.50000000e-09,2.76883546e-09,4.50000000e-09,5.89844906e-01,4.50000000e-09,3.55325950e-02,4.50000000e-09,4.52190160e-01,4.50000000e-09,4.52190159e-01,4.50000000e-09,3.61162667e+08,4.50000000e-09,4.86550986e+07,4.50000000e-09,7.74369945e+06,4.50000000e-09,2.19138112e+01,1.00,1.000,sky130
5.00000000e-09,1.08513522e-07,5.00000000e-09,4.99982566e-09,5.00000000e-09,2.02988164e-15,5.00000000e-09,-1.63860624e-16,5.00000000e-09,-6.14955090e-20,5.00000000e-09,9.02537305e-17,5.00000000e-09,1.35092557e-16,5.00000000e-09,8.05586180e-20,5.00000000e-09,3.04401960e-09,5.00000000e-09,5.89844906e-01,5.00000000e-09,3.58555266e-02,5.00000000e-09,4.56888479e-01,5.00000000e-09,4.56888478e-01,5.00000000e-09,3.28512996e+08,5.00000000e-09,5.34580538e+07,5.00000000e-09,8.50811352e+06,5.00000000e-09,2.17034612e+01,1.00,1.000,sky130
5.50000000e-09,1.18353092e-07,5.50000000e-09,5.49974428e-09,5.50000000e-09,2.03310577e-15,5.50000000e-09,-1.72045939e-16,5.50000000e-09,-6.29551257e-20,5.50000000e-09,9.48335286e-17,5.50000000e-09,1.41951765e-16,5.50000000e-09,8.24812378e-20,5.50000000e-09,3.31508941e-09,5.50000000e-09,5.89844906e-01,5.50000000e-09,3.61735356e-02,5.50000000e-09,4.61177971e-01,5.50000000e-09,4.61177969e-01,5.50000000e-09,3.01650989e+08,5.50000000e-09,5.82129536e+07,5.50000000e-09,9.26487931e+06,5.50000000e-09,2.15197445e+01,1.00,1.000,sky130
