isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.30136095e-08,1.00000000e-09,9.99728491e-10,1.00000000e-09,2.06301999e-15,1.00000000e-09,-1.24256741e-16,1.00000000e-09,-2.37584763e-19,1.00000000e-09,6.93521504e-17,1.00000000e-09,1.03630579e-16,1.00000000e-09,3.08423963e-19,1.00000000e-09,7.61252220e-10,1.00000000e-09,4.83963197e-01,1.00000000e-09,4.00152207e-02,1.00000000e-09,2.71320212e-01,1.00000000e-09,2.71320212e-01,1.00000000e-09,1.31362507e+09,1.00000000e-09,1.11553013e+07,1.00000000e-09,1.77542134e+06,1.00000000e-09,2.30198596e+01,1.00,1.000,sky130
1.50000000e-09,3.36935949e-08,1.50000000e-09,1.50474862e-09,1.50000000e-09,2.06620105e-15,1.50000000e-09,-1.46331147e-16,1.50000000e-09,-2.37331524e-19,1.50000000e-09,8.19154782e-17,1.50000000e-09,1.22429833e-16,1.50000000e-09,3.08487528e-19,1.50000000e-09,1.08580180e-09,1.50000000e-09,4.83963197e-01,1.50000000e-09,4.04612918e-02,1.50000000e-09,2.88758046e-01,1.50000000e-09,2.88758046e-01,1.50000000e-09,9.20978394e+08,1.50000000e-09,1.63070263e+07,1.50000000e-09,2.59534384e+06,1.50000000e-09,2.23915108e+01,1.00,1.000,sky130
2.00000000e-09,4.40896605e-08,2.00000000e-09,2.01109491e-09,2.00000000e-09,2.07072801e-15,2.00000000e-09,-1.65056507e-16,2.00000000e-09,-2.38618490e-19,2.00000000e-09,9.24977255e-17,2.00000000e-09,1.38266805e-16,2.00000000e-09,3.10421874e-19,2.00000000e-09,1.39853650e-09,2.00000000e-09,4.83963197e-01,2.00000000e-09,4.08960725e-02,2.00000000e-09,3.01442906e-01,2.00000000e-09,3.01442905e-01,2.00000000e-09,7.15033182e+08,2.00000000e-09,2.12918647e+07,2.00000000e-09,3.38870551e+06,2.00000000e-09,2.19232122e+01,1.00,1.000,sky130
2.50000000e-09,5.40021005e-08,2.50000000e-09,2.50465863e-09,2.50000000e-09,2.07566187e-15,2.50000000e-09,-1.81258486e-16,2.50000000e-09,-2.40410255e-19,2.50000000e-09,1.01602074e-16,2.50000000e-09,1.51893227e-16,2.50000000e-09,3.12942976e-19,2.50000000e-09,1.69397686e-09,2.50000000e-09,4.83963197e-01,2.50000000e-09,4.13096440e-02,2.50000000e-09,3.11228727e-01,2.50000000e-09,3.11228726e-01,2.50000000e-09,5.90326835e+08,2.50000000e-09,2.60168100e+07,2.50000000e-09,4.14070391e+06,2.50000000e-09,2.15606630e+01,1.00,1.000,sky130
3.00000000e-09,6.38062109e-08,3.00000000e-09,3.00139227e-09,3.00000000e-09,2.08085558e-15,3.00000000e-09,-1.96128856e-16,3.00000000e-09,-2.42429325e-19,3.00000000e-09,1.09918420e-16,3.00000000e-09,1.64341068e-16,3.00000000e-09,3.15723679e-19,3.00000000e-09,1.98355013e-09,3.00000000e-09,4.83963197e-01,3.00000000e-09,4.17168339e-02,3.00000000e-09,3.19423442e-01,3.00000000e-09,3.19423441e-01,3.00000000e-09,5.04146572e+08,3.00000000e-09,3.06634499e+07,3.00000000e-09,4.88023963e+06,3.00000000e-09,2.12588709e+01,1.00,1.000,sky130
3.50000000e-09,7.35191328e-08,3.50000000e-09,3.50065108e-09,3.50000000e-09,2.08617133e-15,3.50000000e-09,-2.09980556e-16,3.50000000e-09,-2.44542115e-19,3.50000000e-09,1.17632757e-16,3.50000000e-09,1.75888436e-16,3.50000000e-09,3.18602212e-19,3.50000000e-09,2.26781552e-09,3.50000000e-09,4.83963197e-01,3.50000000e-09,4.21178184e-02,3.50000000e-09,3.26486916e-01,3.50000000e-09,3.26486915e-01,3.50000000e-09,4.40952976e+08,3.50000000e-09,3.52411768e+07,3.50000000e-09,5.60880749e+06,3.50000000e-09,2.10015598e+01,1.00,1.000,sky130
4.00000000e-09,8.31218445e-08,4.00000000e-09,4.00030685e-09,4.00000000e-09,2.09151746e-15,4.00000000e-09,-2.22976707e-16,4.00000000e-09,-2.46676425e-19,4.00000000e-09,1.24843716e-16,4.00000000e-09,1.86682785e-16,4.00000000e-09,3.21491203e-19,4.00000000e-09,2.54627933e-09,4.00000000e-09,4.83963197e-01,4.00000000e-09,4.25114970e-02,4.00000000e-09,3.32683340e-01,4.00000000e-09,3.32683338e-01,4.00000000e-09,3.92729890e+08,4.00000000e-09,3.97423622e+07,4.00000000e-09,6.32519339e+06,4.00000000e-09,2.07788671e+01,1.00,1.000,sky130
4.50000000e-09,9.26264755e-08,4.50000000e-09,4.50008535e-09,4.50000000e-09,2.09685281e-15,4.50000000e-09,-2.35268699e-16,4.50000000e-09,-2.48799021e-19,4.50000000e-09,1.31641112e-16,4.50000000e-09,1.96858434e-16,4.50000000e-09,3.24351865e-19,4.50000000e-09,2.81937466e-09,4.50000000e-09,4.83963197e-01,4.50000000e-09,4.28982009e-02,4.50000000e-09,3.38207150e-01,4.50000000e-09,3.38207148e-01,4.50000000e-09,3.54688582e+08,4.50000000e-09,4.41740474e+07,4.50000000e-09,7.03051800e+06,4.50000000e-09,2.05832708e+01,1.00,1.000,sky130
5.00000000e-09,1.02045727e-07,5.00000000e-09,4.99995000e-09,5.00000000e-09,2.10215530e-15,5.00000000e-09,-2.46970762e-16,5.00000000e-09,-2.50893236e-19,5.00000000e-09,1.38092507e-16,5.00000000e-09,2.06516436e-16,5.00000000e-09,3.27165491e-19,5.00000000e-09,3.08755184e-09,5.00000000e-09,4.83963197e-01,5.00000000e-09,4.32783686e-02,5.00000000e-09,3.43194888e-01,5.00000000e-09,3.43194886e-01,5.00000000e-09,3.23881202e+08,5.00000000e-09,4.85433816e+07,5.00000000e-09,7.72591914e+06,5.00000000e-09,2.04093495e+01,1.00,1.000,sky130
5.50000000e-09,1.11389413e-07,5.50000000e-09,5.49986369e-09,5.50000000e-09,2.10741208e-15,5.50000000e-09,-2.58168537e-16,5.50000000e-09,-2.52950514e-19,5.50000000e-09,1.44248534e-16,5.50000000e-09,2.15732522e-16,5.50000000e-09,3.29923015e-19,5.50000000e-09,3.35117751e-09,5.50000000e-09,4.83963198e-01,5.50000000e-09,4.36523750e-02,5.50000000e-09,3.47744798e-01,5.50000000e-09,3.47744797e-01,5.50000000e-09,2.98402575e+08,5.50000000e-09,5.28560189e+07,5.50000000e-09,8.41229668e+06,5.50000000e-09,2.02531225e+01,1.00,1.000,sky130
