isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.53266144e-08,1.00000000e-09,9.99707841e-10,1.00000000e-09,1.97589050e-15,1.00000000e-09,-8.45271982e-17,1.00000000e-09,-9.64659681e-20,1.00000000e-09,4.40271404e-17,1.00000000e-09,6.57760279e-17,1.00000000e-09,1.30380098e-19,1.00000000e-09,8.06713046e-10,1.00000000e-09,4.86381149e-01,1.00000000e-09,3.21557038e-02,1.00000000e-09,2.92082267e-01,1.00000000e-09,2.92082267e-01,1.00000000e-09,1.23959815e+09,1.00000000e-09,1.28178228e+07,1.00000000e-09,2.04001986e+06,1.00000000e-09,2.53340160e+01,1.00,1.000,sky130
1.50000000e-09,3.66262504e-08,1.50000000e-09,1.50423472e-09,1.50000000e-09,1.97550268e-15,1.50000000e-09,-1.00300372e-16,1.50000000e-09,-1.00350679e-19,1.50000000e-09,5.27802032e-17,1.50000000e-09,7.88735172e-17,1.50000000e-09,1.35770481e-19,1.50000000e-09,1.16527863e-09,1.50000000e-09,4.86381149e-01,1.50000000e-09,3.25506808e-02,1.50000000e-09,3.08024330e-01,1.50000000e-09,3.08024330e-01,1.50000000e-09,8.58163857e+08,1.50000000e-09,1.85402180e+07,1.50000000e-09,2.95076734e+06,1.50000000e-09,2.43487602e+01,1.00,1.000,sky130
2.00000000e-09,4.75538901e-08,2.00000000e-09,2.00992866e-09,2.00000000e-09,1.97693031e-15,2.00000000e-09,-1.13961346e-16,2.00000000e-09,-1.03763852e-19,2.00000000e-09,6.03439480e-17,2.00000000e-09,9.01924193e-17,2.00000000e-09,1.40486414e-19,2.00000000e-09,1.51153981e-09,2.00000000e-09,4.86381149e-01,2.00000000e-09,3.29350150e-02,2.00000000e-09,3.19727265e-01,2.00000000e-09,3.19727264e-01,2.00000000e-09,6.61577017e+08,2.00000000e-09,2.40544089e+07,2.00000000e-09,3.82837809e+06,2.00000000e-09,2.36594915e+01,1.00,1.000,sky130
2.50000000e-09,5.79785850e-08,2.50000000e-09,2.50417046e-09,2.50000000e-09,1.97920201e-15,2.50000000e-09,-1.26020711e-16,2.50000000e-09,-1.06766456e-19,2.50000000e-09,6.70025478e-17,2.50000000e-09,1.00157451e-16,2.50000000e-09,1.44625692e-19,2.50000000e-09,1.83992384e-09,2.50000000e-09,4.86381149e-01,2.50000000e-09,3.33011291e-02,2.50000000e-09,3.28832221e-01,2.50000000e-09,3.28832220e-01,2.50000000e-09,5.43500757e+08,2.50000000e-09,2.92939198e+07,2.50000000e-09,4.66227214e+06,2.50000000e-09,2.31528109e+01,1.00,1.000,sky130
3.00000000e-09,6.82830027e-08,3.00000000e-09,3.00128108e-09,3.00000000e-09,1.98199071e-15,3.00000000e-09,-1.37245141e-16,3.00000000e-09,-1.09535140e-19,3.00000000e-09,7.31826606e-17,3.00000000e-09,1.09406868e-16,3.00000000e-09,1.48437088e-19,3.00000000e-09,2.16179116e-09,3.00000000e-09,4.86381149e-01,3.00000000e-09,3.36609806e-02,3.00000000e-09,3.36480022e-01,3.00000000e-09,3.36480022e-01,3.00000000e-09,4.62579374e+08,3.00000000e-09,3.44517270e+07,3.00000000e-09,5.48316265e+06,3.00000000e-09,2.27512855e+01,1.00,1.000,sky130
3.50000000e-09,7.84974820e-08,3.50000000e-09,3.50059330e-09,3.50000000e-09,1.98511014e-15,3.50000000e-09,-1.47828691e-16,3.50000000e-09,-1.12115628e-19,3.50000000e-09,7.89936595e-17,3.50000000e-09,1.18104223e-16,3.50000000e-09,1.51985893e-19,3.50000000e-09,2.47766470e-09,3.50000000e-09,4.86381149e-01,3.50000000e-09,3.40147773e-02,3.50000000e-09,3.43084841e-01,3.50000000e-09,3.43084840e-01,3.50000000e-09,4.03605863e+08,3.50000000e-09,3.95431369e+07,3.50000000e-09,6.29348570e+06,3.50000000e-09,2.24240508e+01,1.00,1.000,sky130
4.00000000e-09,8.86150264e-08,4.00000000e-09,4.00026587e-09,4.00000000e-09,1.98844128e-15,4.00000000e-09,-1.57870791e-16,4.00000000e-09,-1.14534055e-19,4.00000000e-09,8.44924963e-17,4.00000000e-09,1.26334663e-16,4.00000000e-09,1.55309390e-19,4.00000000e-09,2.78712710e-09,4.00000000e-09,4.86381149e-01,4.00000000e-09,3.43618049e-02,4.00000000e-09,3.48888804e-01,4.00000000e-09,3.48888803e-01,4.00000000e-09,3.58792393e+08,4.00000000e-09,4.45650708e+07,4.00000000e-09,7.09275131e+06,4.00000000e-09,2.21522842e+01,1.00,1.000,sky130
4.50000000e-09,9.86528109e-08,4.50000000e-09,4.50005761e-09,4.50000000e-09,1.99191452e-15,4.50000000e-09,-1.67464582e-16,4.50000000e-09,-1.16816031e-19,4.50000000e-09,8.97322765e-17,4.50000000e-09,1.34177605e-16,4.50000000e-09,1.58443610e-19,4.50000000e-09,3.09064535e-09,4.50000000e-09,4.86381149e-01,4.50000000e-09,3.47024180e-02,4.50000000e-09,3.54068689e-01,4.50000000e-09,3.54068688e-01,4.50000000e-09,3.23557020e+08,4.50000000e-09,4.95266287e+07,4.50000000e-09,7.88240777e+06,4.50000000e-09,2.19225662e+01,1.00,1.000,sky130
5.00000000e-09,1.08626007e-07,5.00000000e-09,4.99992942e-09,5.00000000e-09,1.99548498e-15,5.00000000e-09,-1.76680310e-16,5.00000000e-09,-1.18981608e-19,5.00000000e-09,9.47531625e-17,5.00000000e-09,1.41693116e-16,5.00000000e-09,1.61416631e-19,5.00000000e-09,3.38869673e-09,5.00000000e-09,4.86381149e-01,5.00000000e-09,3.50370343e-02,5.00000000e-09,3.58749041e-01,5.00000000e-09,3.58749039e-01,5.00000000e-09,2.95098700e+08,5.00000000e-09,5.44358933e+07,5.00000000e-09,8.66374149e+06,5.00000000e-09,2.17255081e+01,1.00,1.000,sky130
5.50000000e-09,1.18545717e-07,5.50000000e-09,5.49984705e-09,5.50000000e-09,1.99912192e-15,5.50000000e-09,-1.85570669e-16,5.50000000e-09,-1.21046314e-19,5.50000000e-09,9.95853930e-17,5.50000000e-09,1.48926420e-16,5.50000000e-09,1.64250144e-19,5.50000000e-09,3.68167690e-09,5.50000000e-09,4.86381149e-01,5.50000000e-09,3.53660135e-02,5.50000000e-09,3.63019967e-01,5.50000000e-09,3.63019966e-01,5.50000000e-09,2.71615361e+08,5.50000000e-09,5.92988927e+07,5.50000000e-09,9.43771189e+06,5.50000000e-09,2.15543660e+01,1.00,1.000,sky130
