isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.39949068e-08,1.00000000e-09,9.99958147e-10,1.00000000e-09,7.42954711e-16,1.00000000e-09,-3.30044877e-17,1.00000000e-09,-4.06885518e-18,1.00000000e-09,1.64332834e-17,1.00000000e-09,2.73951187e-17,1.00000000e-09,5.08559469e-18,1.00000000e-09,1.42634349e-08,1.00000000e-09,2.82558068e-01,1.00000000e-09,4.40086022e-02,1.00000000e-09,4.70886568e-02,1.00000000e-09,4.70886565e-02,1.00000000e-09,7.01093393e+07,1.00000000e-09,3.22965941e+07,1.00000000e-09,5.14016260e+06,1.00000000e-09,2.39959111e+01,1.00,.350,sky130
1.50000000e-09,3.54593315e-08,1.50000000e-09,1.50220052e-09,1.50000000e-09,7.42349917e-16,1.50000000e-09,-3.75916882e-17,1.50000000e-09,-2.99092981e-18,1.50000000e-09,1.95072578e-17,1.50000000e-09,3.09970361e-17,1.50000000e-09,3.77526364e-18,1.50000000e-09,1.60783583e-08,1.50000000e-09,2.82558026e-01,1.50000000e-09,4.41868780e-02,1.50000000e-09,5.83493587e-02,1.50000000e-09,5.83493583e-02,1.50000000e-09,6.21954045e+07,1.50000000e-09,4.77663305e+07,1.50000000e-09,7.60224761e+06,1.50000000e-09,2.36049255e+01,1.00,.350,sky130
2.00000000e-09,4.67011263e-08,2.00000000e-09,2.00550803e-09,2.00000000e-09,7.42216437e-16,2.00000000e-09,-4.12390692e-17,2.00000000e-09,-2.44407711e-18,2.00000000e-09,2.17995233e-17,2.00000000e-09,3.39289133e-17,2.00000000e-09,3.10421670e-18,2.00000000e-09,1.78071869e-08,2.00000000e-09,2.82557993e-01,2.00000000e-09,4.43576406e-02,2.00000000e-09,6.70563603e-02,2.00000000e-09,6.70563597e-02,2.00000000e-09,5.61571014e+07,2.00000000e-09,6.29211695e+07,2.00000000e-09,1.00142152e+07,2.00000000e-09,2.32864319e+01,1.00,.350,sky130
2.50000000e-09,5.76103919e-08,2.50000000e-09,2.50267274e-09,2.50000000e-09,7.42327126e-16,2.50000000e-09,-4.43282743e-17,2.50000000e-09,-2.11520505e-18,2.50000000e-09,2.36740740e-17,2.50000000e-09,3.64381206e-17,2.50000000e-09,2.69818842e-18,2.50000000e-09,1.94527133e-08,2.50000000e-09,2.82557967e-01,2.50000000e-09,4.45204899e-02,2.50000000e-09,7.40964629e-02,2.50000000e-09,7.40964622e-02,2.50000000e-09,5.14067104e+07,2.50000000e-09,7.76078226e+07,2.50000000e-09,1.23516686e+07,2.50000000e-09,2.30195466e+01,1.00,.350,sky130
3.00000000e-09,6.83846022e-08,3.00000000e-09,3.00113608e-09,3.00000000e-09,7.42581658e-16,3.00000000e-09,-4.70896031e-17,3.00000000e-09,-1.89161619e-18,3.00000000e-09,2.53136408e-17,3.00000000e-09,3.86924045e-17,3.00000000e-09,2.42094177e-18,3.00000000e-09,2.10537443e-08,3.00000000e-09,2.82557944e-01,3.00000000e-09,4.46791044e-02,3.00000000e-09,8.00938446e-02,3.00000000e-09,8.00938437e-02,3.00000000e-09,4.74974895e+07,3.00000000e-09,9.20903465e+07,3.00000000e-09,1.46566339e+07,3.00000000e-09,2.27862384e+01,1.00,.350,sky130
3.50000000e-09,7.90396358e-08,3.50000000e-09,3.50064207e-09,3.50000000e-09,7.42929200e-16,3.50000000e-09,-4.96132253e-17,3.50000000e-09,-1.72901608e-18,3.50000000e-09,2.67899541e-17,3.50000000e-09,4.07578472e-17,3.50000000e-09,2.21865005e-18,3.50000000e-09,2.26173673e-08,3.50000000e-09,2.82557925e-01,3.50000000e-09,4.48341444e-02,3.50000000e-09,8.53280282e-02,3.50000000e-09,8.53280272e-02,3.50000000e-09,4.42138108e+07,3.50000000e-09,1.06389190e+08,3.50000000e-09,1.69323655e+07,3.50000000e-09,2.25786111e+01,1.00,.350,sky130
4.00000000e-09,8.95749636e-08,4.00000000e-09,4.00038759e-09,4.00000000e-09,7.43339370e-16,4.00000000e-09,-5.19513647e-17,4.00000000e-09,-1.60512440e-18,4.00000000e-09,2.81430051e-17,4.00000000e-09,4.26737155e-17,4.00000000e-09,2.06410915e-18,4.00000000e-09,2.41466690e-08,4.00000000e-09,2.82557907e-01,4.00000000e-09,4.49859018e-02,4.00000000e-09,8.99729733e-02,4.00000000e-09,8.99729721e-02,4.00000000e-09,4.14135797e+07,4.00000000e-09,1.20503457e+08,4.00000000e-09,1.91787208e+07,4.00000000e-09,2.23915712e+01,1.00,.350,sky130
4.50000000e-09,1.00000959e-07,4.50000000e-09,4.50023083e-09,4.50000000e-09,7.43793256e-16,4.50000000e-09,-5.41410374e-17,4.50000000e-09,-1.50728950e-18,4.50000000e-09,2.93996535e-17,4.50000000e-09,4.44686183e-17,4.50000000e-09,1.94180847e-18,4.50000000e-09,2.56454696e-08,4.50000000e-09,2.82557892e-01,4.50000000e-09,4.51347483e-02,4.50000000e-09,9.41523986e-02,4.50000000e-09,9.41523973e-02,4.50000000e-09,3.89932419e+07,4.50000000e-09,1.34447251e+08,4.50000000e-09,2.13979446e+07,4.50000000e-09,2.22212954e+01,1.00,.350,sky130
5.00000000e-09,1.10327647e-07,5.00000000e-09,5.00013244e-09,5.00000000e-09,7.44278441e-16,5.00000000e-09,-5.62085938e-17,5.00000000e-09,-1.42785955e-18,5.00000000e-09,3.05783906e-17,5.00000000e-09,4.61632721e-17,5.00000000e-09,1.84233708e-18,5.00000000e-09,2.71169767e-08,5.00000000e-09,2.82557877e-01,5.00000000e-09,4.52809956e-02,5.00000000e-09,9.79548731e-02,5.00000000e-09,9.79548716e-02,5.00000000e-09,3.68772673e+07,5.00000000e-09,1.48234372e+08,5.00000000e-09,2.35922330e+07,5.00000000e-09,2.20649450e+01,1.00,.350,sky130
5.50000000e-09,1.20563487e-07,5.50000000e-09,5.50006761e-09,5.50000000e-09,7.44786414e-16,5.50000000e-09,-5.81734223e-17,5.50000000e-09,-1.36193751e-18,5.50000000e-09,3.16924855e-17,5.50000000e-09,4.77731124e-17,5.50000000e-09,1.75965612e-18,5.50000000e-09,2.85637936e-08,5.50000000e-09,2.82557864e-01,5.50000000e-09,4.54248958e-02,5.50000000e-09,1.01445655e-01,5.50000000e-09,1.01445654e-01,5.50000000e-09,3.50093553e+07,5.50000000e-09,1.61876593e+08,5.50000000e-09,2.57634600e+07,5.50000000e-09,2.19203646e+01,1.00,.350,sky130
6.00000000e-09,1.30715749e-07,6.00000000e-09,6.00002295e-09,6.00000000e-09,7.45311159e-16,6.00000000e-09,-6.00502918e-17,6.00000000e-09,-1.30623940e-18,6.00000000e-09,3.27518418e-17,6.00000000e-09,4.93100129e-17,6.00000000e-09,1.68970678e-18,6.00000000e-09,2.99880855e-08,6.00000000e-09,2.82557852e-01,6.00000000e-09,4.55666568e-02,6.00000000e-09,1.04674257e-01,6.00000000e-09,1.04674256e-01,6.00000000e-09,3.33465769e+07,6.00000000e-09,1.75384130e+08,6.00000000e-09,2.79132512e+07,6.00000000e-09,2.17858748e+01,1.00,.350,sky130
6.50000000e-09,1.40790719e-07,6.50000000e-09,6.49999118e-09,6.50000000e-09,7.45848312e-16,6.50000000e-09,-6.18507560e-17,6.50000000e-09,-1.25847816e-18,6.50000000e-09,3.37640790e-17,6.50000000e-09,5.07833351e-17,6.50000000e-09,1.62965675e-18,6.50000000e-09,3.13916801e-08,6.50000000e-09,2.82557841e-01,6.50000000e-09,4.57064532e-02,6.50000000e-09,1.07679145e-01,6.50000000e-09,1.07679143e-01,6.50000000e-09,3.18555744e+07,6.50000000e-09,1.88765889e+08,6.50000000e-09,3.00430243e+07,6.50000000e-09,2.16601401e+01,1.00,.350,sky130
7.00000000e-09,1.50793850e-07,7.00000000e-09,6.99996723e-09,7.00000000e-09,7.46394640e-16,7.00000000e-09,-6.35840490e-17,7.00000000e-09,-1.21701032e-18,7.00000000e-09,3.47352033e-17,7.00000000e-09,5.22006083e-17,7.00000000e-09,1.57746727e-18,7.00000000e-09,3.27761358e-08,7.00000000e-09,2.82557830e-01,7.00000000e-09,4.58444329e-02,7.00000000e-09,1.10490799e-01,7.00000000e-09,1.10490797e-01,7.00000000e-09,3.05100029e+07,7.00000000e-09,2.02029652e+08,7.00000000e-09,3.21540178e+07,7.00000000e-09,2.15420794e+01,1.00,.350,sky130
7.50000000e-09,1.60729947e-07,7.50000000e-09,7.49994943e-09,7.50000000e-09,7.46947702e-16,7.50000000e-09,-6.52576950e-17,7.50000000e-09,-1.18062309e-18,7.50000000e-09,3.56700517e-17,7.50000000e-09,5.35679990e-17,7.50000000e-09,1.53163152e-18,7.50000000e-09,3.41428029e-08,7.50000000e-09,2.82557821e-01,7.50000000e-09,4.59807233e-02,7.50000000e-09,1.13133803e-01,7.50000000e-09,1.13133801e-01,7.50000000e-09,2.92887494e+07,7.50000000e-09,2.15182330e+08,7.50000000e-09,3.42473315e+07,7.50000000e-09,2.14308041e+01,1.00,.350,sky130
8.00000000e-09,1.70603215e-07,8.00000000e-09,7.99993509e-09,8.00000000e-09,7.47505631e-16,8.00000000e-09,-6.68779101e-17,8.00000000e-09,-1.14840130e-18,8.00000000e-09,3.65725811e-17,8.00000000e-09,5.48906238e-17,8.00000000e-09,1.49101089e-18,8.00000000e-09,3.54928532e-08,8.00000000e-09,2.82557811e-01,8.00000000e-09,4.61154344e-02,8.00000000e-09,1.15628263e-01,8.00000000e-09,1.15628261e-01,8.00000000e-09,2.81746862e+07,8.00000000e-09,2.28230006e+08,8.00000000e-09,3.63239337e+07,8.00000000e-09,2.13255749e+01,1.00,.350,sky130
