isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.59931818e-08,1.00000000e-09,9.99916761e-10,1.00000000e-09,9.36796551e-16,1.00000000e-09,-3.73432802e-17,1.00000000e-09,-9.09303267e-19,1.00000000e-09,1.85238995e-17,1.00000000e-09,2.78603747e-17,1.00000000e-09,1.25817953e-18,1.00000000e-09,6.03479943e-09,1.00000000e-09,2.84137893e-01,1.00000000e-09,3.30818458e-02,1.00000000e-09,8.30405316e-02,1.00000000e-09,8.30405313e-02,1.00000000e-09,1.65705590e+08,1.00000000e-09,2.77468804e+07,1.00000000e-09,4.41605317e+06,1.00000000e-09,2.59953457e+01,1.00,.500,sky130
1.50000000e-09,3.77994505e-08,1.50000000e-09,1.50353718e-09,1.50000000e-09,9.36026718e-16,1.50000000e-09,-4.30752568e-17,1.50000000e-09,-7.59741039e-19,1.50000000e-09,2.16635586e-17,1.50000000e-09,3.24265186e-17,1.50000000e-09,1.05743396e-18,1.50000000e-09,7.41546346e-09,1.50000000e-09,2.84137892e-01,1.50000000e-09,3.33541170e-02,1.50000000e-09,9.61918200e-02,1.50000000e-09,9.61918195e-02,1.50000000e-09,1.34853338e+08,1.50000000e-09,4.03828756e+07,1.50000000e-09,6.42713426e+06,1.50000000e-09,2.51403498e+01,1.00,.500,sky130
2.00000000e-09,4.92267065e-08,2.00000000e-09,2.00820286e-09,2.00000000e-09,9.35980484e-16,2.00000000e-09,-4.79569236e-17,2.00000000e-09,-6.79265111e-19,2.00000000e-09,2.43154198e-17,2.00000000e-09,3.63219870e-17,2.00000000e-09,9.48934509e-19,2.00000000e-09,8.69641384e-09,2.00000000e-09,2.84137892e-01,2.00000000e-09,3.36144237e-02,2.00000000e-09,1.06021355e-01,2.00000000e-09,1.06021355e-01,2.00000000e-09,1.14989928e+08,2.00000000e-09,5.25937317e+07,2.00000000e-09,8.37055238e+06,2.00000000e-09,2.45128156e+01,1.00,.500,sky130
2.50000000e-09,6.01635812e-08,2.50000000e-09,2.50361250e-09,2.50000000e-09,9.36303355e-16,2.50000000e-09,-5.22315164e-17,2.50000000e-09,-6.28989014e-19,2.50000000e-09,2.66262247e-17,2.50000000e-09,3.97328080e-17,2.50000000e-09,8.80979296e-19,2.50000000e-09,9.88556270e-09,2.50000000e-09,2.84137891e-01,2.50000000e-09,3.38608399e-02,2.50000000e-09,1.13784093e-01,2.50000000e-09,1.13784092e-01,2.50000000e-09,1.01157620e+08,2.50000000e-09,6.42565050e+07,2.50000000e-09,1.02267404e+07,2.50000000e-09,2.40307081e+01,1.00,.500,sky130
3.00000000e-09,7.09382856e-08,3.00000000e-09,3.00131045e-09,3.00000000e-09,9.36847962e-16,3.00000000e-09,-5.61667600e-17,3.00000000e-09,-5.93599673e-19,3.00000000e-09,2.87460230e-17,3.00000000e-09,4.28703925e-17,3.00000000e-09,8.33072119e-19,3.00000000e-09,1.10289220e-08,3.00000000e-09,2.84137891e-01,3.00000000e-09,3.41010713e-02,3.00000000e-09,1.20343829e-01,3.00000000e-09,1.20343828e-01,3.00000000e-09,9.06706931e+07,3.00000000e-09,7.57201685e+07,3.00000000e-09,1.20512391e+07,3.00000000e-09,2.36357707e+01,1.00,.500,sky130
3.50000000e-09,8.15804492e-08,3.50000000e-09,3.50070604e-09,3.50000000e-09,9.37539110e-16,3.50000000e-09,-5.98448366e-17,3.50000000e-09,-5.67224024e-19,3.50000000e-09,3.07214816e-17,3.50000000e-09,4.57996323e-17,3.50000000e-09,7.97333181e-19,3.50000000e-09,1.21349770e-08,3.50000000e-09,2.84137891e-01,3.50000000e-09,3.43359111e-02,3.50000000e-09,1.26036505e-01,3.50000000e-09,1.26036504e-01,3.50000000e-09,8.24064192e+07,3.50000000e-09,8.70155157e+07,3.50000000e-09,1.38489495e+07,3.50000000e-09,2.33039988e+01,1.00,.500,sky130
4.00000000e-09,9.20913958e-08,4.00000000e-09,4.00041150e-09,4.00000000e-09,9.38330414e-16,4.00000000e-09,-6.33124628e-17,4.00000000e-09,-5.46792578e-19,4.00000000e-09,3.25791402e-17,4.00000000e-09,4.85576832e-17,4.00000000e-09,7.69633694e-19,4.00000000e-09,1.32075021e-08,4.00000000e-09,2.84137891e-01,4.00000000e-09,3.45655016e-02,4.00000000e-09,1.31063332e-01,4.00000000e-09,1.31063331e-01,4.00000000e-09,7.57145438e+07,4.00000000e-09,9.81438888e+07,4.00000000e-09,1.56200850e+07,4.00000000e-09,2.30204807e+01,1.00,.500,sky130
4.50000000e-09,1.02490283e-07,4.50000000e-09,4.50022768e-09,4.50000000e-09,9.39193113e-16,4.50000000e-09,-6.66080858e-17,4.50000000e-09,-5.30475624e-19,4.50000000e-09,3.43405796e-17,4.50000000e-09,5.11753102e-17,4.50000000e-09,7.47507012e-19,4.50000000e-09,1.42511181e-08,4.50000000e-09,2.84137890e-01,4.50000000e-09,3.47903691e-02,4.50000000e-09,1.35568910e-01,4.50000000e-09,1.35568908e-01,4.50000000e-09,7.01699328e+07,4.50000000e-09,1.09125889e+08,4.50000000e-09,1.73679246e+07,4.50000000e-09,2.27744662e+01,1.00,.500,sky130
5.00000000e-09,1.12794080e-07,5.00000000e-09,5.00011488e-09,5.00000000e-09,9.40108178e-16,5.00000000e-09,-6.97601632e-17,5.00000000e-09,-5.17132960e-19,5.00000000e-09,3.60217208e-17,5.00000000e-09,5.36753839e-17,5.00000000e-09,7.29413443e-19,5.00000000e-09,1.52695384e-08,5.00000000e-09,2.84137890e-01,5.00000000e-09,3.50109798e-02,5.00000000e-09,1.39655473e-01,5.00000000e-09,1.39655472e-01,5.00000000e-09,6.54898645e+07,5.00000000e-09,1.19979894e+08,5.00000000e-09,1.90953933e+07,5.00000000e-09,2.25582977e+01,1.00,.500,sky130
5.50000000e-09,1.23016009e-07,5.50000000e-09,5.50004226e-09,5.50000000e-09,9.41062393e-16,5.50000000e-09,-7.27899648e-17,5.50000000e-09,-5.06016948e-19,5.50000000e-09,3.76344499e-17,5.50000000e-09,5.60750641e-17,5.50000000e-09,7.14342024e-19,5.50000000e-09,1.62656450e-08,5.50000000e-09,2.84137890e-01,5.50000000e-09,3.52277093e-02,5.50000000e-09,1.43397380e-01,5.50000000e-09,1.43397379e-01,5.50000000e-09,6.14792712e+07,5.50000000e-09,1.30720354e+08,5.50000000e-09,2.08047905e+07,5.50000000e-09,2.23663753e+01,1.00,.500,sky130
