isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.13014847e-08,1.00000000e-09,9.99986268e-10,1.00000000e-09,9.81386739e-16,1.00000000e-09,-5.79522050e-17,1.00000000e-09,-5.74628408e-17,1.00000000e-09,9.23048071e-19,1.00000000e-09,5.40478498e-17,1.00000000e-09,7.34783185e-17,1.00000000e-09,6.39553223e-08,1.00000000e-09,1.74652295e-01,1.00000000e-09,4.18343546e-02,1.00000000e-09,1.37080855e-02,1.00000000e-09,1.37080852e-02,1.00000000e-09,1.56359153e+07,1.00000000e-09,2.17054948e+07,1.00000000e-09,3.45453678e+06,1.00000000e-09,2.13017772e+01,1.00,.500,sky130
1.50000000e-09,3.16508371e-08,1.50000000e-09,1.50012010e-09,1.50000000e-09,9.81438623e-16,1.50000000e-09,-7.59220679e-17,1.50000000e-09,-4.21292684e-17,1.50000000e-09,1.90764390e-17,1.50000000e-09,6.59574688e-17,1.50000000e-09,5.45385734e-17,1.50000000e-09,6.49327754e-08,1.50000000e-09,1.74652295e-01,1.50000000e-09,4.21488427e-02,1.50000000e-09,1.92148434e-02,1.50000000e-09,1.92148430e-02,1.50000000e-09,1.54005430e+07,1.50000000e-09,3.22494309e+07,1.50000000e-09,5.13265634e+06,1.50000000e-09,2.10988688e+01,1.00,.500,sky130
2.00000000e-09,4.18499722e-08,2.00000000e-09,2.00041437e-09,2.00000000e-09,9.82178873e-16,2.00000000e-09,-8.82903214e-17,2.00000000e-09,-3.30391916e-17,2.00000000e-09,3.06993313e-17,2.00000000e-09,7.42773469e-17,2.00000000e-09,4.31728446e-17,2.00000000e-09,6.58637221e-08,2.00000000e-09,1.74652295e-01,2.00000000e-09,4.24550108e-02,2.00000000e-09,2.41167135e-02,2.00000000e-09,2.41167129e-02,2.00000000e-09,1.51828650e+07,2.00000000e-09,4.26093182e+07,2.00000000e-09,6.78148362e+06,2.00000000e-09,2.09206516e+01,1.00,.500,sky130
2.50000000e-09,5.19108540e-08,2.50000000e-09,2.50027528e-09,2.50000000e-09,9.83296994e-16,2.50000000e-09,-9.77496899e-17,2.50000000e-09,-2.71349799e-17,2.50000000e-09,3.89633165e-17,2.50000000e-09,8.07521491e-17,2.50000000e-09,3.57199478e-17,2.50000000e-09,6.67702057e-08,2.50000000e-09,1.74652295e-01,2.50000000e-09,4.27535703e-02,2.50000000e-09,2.85355655e-02,2.50000000e-09,2.85355648e-02,2.50000000e-09,1.49767398e+07,2.50000000e-09,5.27926500e+07,2.50000000e-09,8.40221120e+06,2.50000000e-09,2.07620555e+01,1.00,.500,sky130
3.00000000e-09,6.18612205e-08,3.00000000e-09,3.00017918e-09,3.00000000e-09,9.84638330e-16,3.00000000e-09,-1.05518460e-16,3.00000000e-09,-2.30336723e-17,3.00000000e-09,4.53045616e-17,3.00000000e-09,8.61579765e-17,3.00000000e-09,3.05030725e-17,3.00000000e-09,6.76652463e-08,3.00000000e-09,1.74652295e-01,3.00000000e-09,4.30455992e-02,3.00000000e-09,3.25659428e-02,3.00000000e-09,3.25659419e-02,3.00000000e-09,1.47786353e+07,3.00000000e-09,6.28263380e+07,3.00000000e-09,9.99912225e+06,3.00000000e-09,2.06191753e+01,1.00,.500,sky130
3.50000000e-09,7.17148950e-08,3.50000000e-09,3.50012050e-09,3.50000000e-09,9.86117253e-16,3.50000000e-09,-1.12207061e-16,3.50000000e-09,-2.00407539e-17,3.50000000e-09,5.04437352e-17,3.50000000e-09,9.08787351e-17,3.50000000e-09,2.66719570e-17,3.50000000e-09,6.85552209e-08,3.50000000e-09,1.74652294e-01,3.50000000e-09,4.33317017e-02,3.50000000e-09,3.62737482e-02,3.50000000e-09,3.62737472e-02,3.50000000e-09,1.45867811e+07,3.50000000e-09,7.27245110e+07,3.50000000e-09,1.15744654e+07,3.50000000e-09,2.04892646e+01,1.00,.500,sky130
4.00000000e-09,8.14825742e-08,4.00000000e-09,4.00007972e-09,4.00000000e-09,9.87683045e-16,4.00000000e-09,-1.18155686e-16,4.00000000e-09,-1.77718024e-17,4.00000000e-09,5.47807646e-17,4.00000000e-09,9.51267119e-17,4.00000000e-09,2.37520981e-17,4.00000000e-09,6.94433805e-08,4.00000000e-09,1.74652294e-01,4.00000000e-09,4.36123575e-02,4.00000000e-09,3.97089524e-02,4.00000000e-09,3.97089512e-02,4.00000000e-09,1.44002206e+07,4.00000000e-09,8.24987071e+07,4.00000000e-09,1.31300770e+07,4.00000000e-09,2.03702376e+01,1.00,.500,sky130
4.50000000e-09,9.11731189e-08,4.50000000e-09,4.50005035e-09,4.50000000e-09,9.89304081e-16,4.50000000e-09,-1.23568837e-16,4.50000000e-09,-1.59987144e-17,4.50000000e-09,5.85541334e-17,4.50000000e-09,9.90290348e-17,4.50000000e-09,2.14599752e-17,4.50000000e-09,7.03312871e-08,4.50000000e-09,1.74652294e-01,4.50000000e-09,4.38879714e-02,4.50000000e-09,4.29105764e-02,4.50000000e-09,4.29105751e-02,4.50000000e-09,1.42184231e+07,4.50000000e-09,9.21588424e+07,4.50000000e-09,1.46675353e+07,4.50000000e-09,2.02604664e+01,1.00,.500,sky130
5.00000000e-09,1.00793853e-07,5.00000000e-09,5.00002821e-09,5.00000000e-09,9.90959811e-16,5.00000000e-09,-1.28576997e-16,5.00000000e-09,-1.45785322e-17,5.00000000e-09,6.19143587e-17,5.00000000e-09,1.02666775e-16,5.00000000e-09,1.96168337e-17,5.00000000e-09,7.12195550e-08,5.00000000e-09,1.74652294e-01,5.00000000e-09,4.41588883e-02,5.00000000e-09,4.59096780e-02,5.00000000e-09,4.59096765e-02,5.00000000e-09,1.40410875e+07,5.00000000e-09,1.01713361e+08,5.00000000e-09,1.61881841e+07,5.00000000e-09,2.01586568e+01,1.00,.500,sky130
5.50000000e-09,1.10350922e-07,5.50000000e-09,5.50001137e-09,5.50000000e-09,9.92636445e-16,5.50000000e-09,-1.33267656e-16,5.50000000e-09,-1.34175611e-17,5.50000000e-09,6.49610020e-17,5.50000000e-09,1.06094409e-16,5.50000000e-09,1.81049055e-17,5.50000000e-09,7.21082767e-08,5.50000000e-09,1.74652294e-01,5.50000000e-09,4.44254073e-02,5.50000000e-09,4.87314120e-02,5.50000000e-09,4.87314104e-02,5.50000000e-09,1.38680335e+07,5.50000000e-09,1.11169525e+08,5.50000000e-09,1.76931795e+07,5.50000000e-09,2.00637626e+01,1.00,.500,sky130
