isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,3.23351785e-08,1.00000000e-09,9.99651327e-10,1.00000000e-09,5.09144313e-16,1.00000000e-09,-2.31628475e-16,1.00000000e-09,2.18433774e-18,1.00000000e-09,1.16044417e-16,1.00000000e-09,1.73615563e-16,1.00000000e-09,-8.08138257e-19,1.00000000e-09,1.17872818e-09,1.00000000e-09,6.03517486e-01,1.00000000e-09,3.73234399e-02,1.00000000e-09,3.48509602e-01,1.00000000e-09,3.48509602e-01,1.00000000e-09,8.48372011e+08,1.00000000e-09,6.35088671e+07,1.00000000e-09,1.01077501e+07,1.00000000e-09,3.23464568e+01,1.00,.200,sky130
1.50000000e-09,4.85749633e-08,1.50000000e-09,1.50597458e-09,1.50000000e-09,5.22693794e-16,1.50000000e-09,-2.49439433e-16,1.50000000e-09,2.37727266e-18,1.50000000e-09,1.24564852e-16,1.50000000e-09,1.86376216e-16,1.50000000e-09,-9.00031340e-19,1.50000000e-09,1.75363716e-09,1.50000000e-09,6.03357327e-01,1.50000000e-09,3.73307197e-02,1.50000000e-09,3.60751684e-01,1.50000000e-09,3.60751683e-01,1.50000000e-09,5.70243392e+08,1.50000000e-09,9.29319687e+07,1.50000000e-09,1.47905822e+07,1.50000000e-09,3.22548361e+01,1.00,.200,sky130
2.00000000e-09,6.48241524e-08,2.00000000e-09,2.01450946e-09,2.00000000e-09,5.32747526e-16,2.00000000e-09,-2.62559887e-16,2.00000000e-09,2.51907541e-18,2.00000000e-09,1.30818867e-16,2.00000000e-09,1.95743285e-16,2.00000000e-09,-9.66972242e-19,2.00000000e-09,2.32536404e-09,2.00000000e-09,6.03243291e-01,2.00000000e-09,3.73378881e-02,2.00000000e-09,3.69468352e-01,2.00000000e-09,3.69468352e-01,2.00000000e-09,4.30040192e+08,2.00000000e-09,1.21678936e+08,2.00000000e-09,1.93658042e+07,2.00000000e-09,3.21786290e+01,1.00,.200,sky130
2.50000000e-09,8.04889108e-08,2.50000000e-09,2.50631046e-09,2.50000000e-09,5.40524149e-16,2.50000000e-09,-2.72659328e-16,2.50000000e-09,2.62807440e-18,2.50000000e-09,1.35620223e-16,2.50000000e-09,2.02934992e-16,2.50000000e-09,-1.01811804e-18,2.50000000e-09,2.87425828e-09,2.50000000e-09,6.03157468e-01,2.50000000e-09,3.73447357e-02,2.50000000e-09,3.76028460e-01,2.50000000e-09,3.76028460e-01,2.50000000e-09,3.47915845e+08,2.50000000e-09,1.48909001e+08,2.50000000e-09,2.36996035e+07,2.50000000e-09,3.21145014e+01,1.00,.200,sky130
3.00000000e-09,9.62264982e-08,3.00000000e-09,3.00176474e-09,3.00000000e-09,5.47088924e-16,3.00000000e-09,-2.81154293e-16,3.00000000e-09,2.71966731e-18,3.00000000e-09,1.39650444e-16,3.00000000e-09,2.08971902e-16,3.00000000e-09,-1.06090332e-18,3.00000000e-09,3.42403664e-09,3.00000000e-09,6.03086448e-01,3.00000000e-09,3.73515742e-02,3.00000000e-09,3.81456999e-01,3.00000000e-09,3.81456998e-01,3.00000000e-09,2.92052950e+08,3.00000000e-09,1.75888222e+08,3.00000000e-09,2.79934800e+07,3.00000000e-09,3.20566422e+01,1.00,.200,sky130
3.50000000e-09,1.12038801e-07,3.50000000e-09,3.50082447e-09,3.50000000e-09,5.52784879e-16,3.50000000e-09,-2.88503749e-16,3.50000000e-09,2.79885012e-18,3.50000000e-09,1.43131142e-16,3.50000000e-09,2.14185851e-16,3.50000000e-09,-1.09775717e-18,3.50000000e-09,3.97510507e-09,3.50000000e-09,6.03025786e-01,3.50000000e-09,3.73584158e-02,3.50000000e-09,3.86093879e-01,3.50000000e-09,3.86093878e-01,3.50000000e-09,2.51565678e+08,3.50000000e-09,2.02680654e+08,3.50000000e-09,3.22576280e+07,3.50000000e-09,3.20035471e+01,1.00,.200,sky130
4.00000000e-09,1.27831475e-07,4.00000000e-09,4.00041988e-09,4.00000000e-09,5.57797039e-16,4.00000000e-09,-2.94955488e-16,4.00000000e-09,2.86831961e-18,4.00000000e-09,1.46182100e-16,4.00000000e-09,2.18756195e-16,4.00000000e-09,-1.12999202e-18,4.00000000e-09,4.52441843e-09,4.00000000e-09,6.02973080e-01,4.00000000e-09,3.73652269e-02,4.00000000e-09,3.90122595e-01,4.00000000e-09,3.90122594e-01,4.00000000e-09,2.21022882e+08,4.00000000e-09,2.29172021e+08,4.00000000e-09,3.64738599e+07,4.00000000e-09,3.19545144e+01,1.00,.200,sky130
4.50000000e-09,1.43594292e-07,4.50000000e-09,4.50014271e-09,4.50000000e-09,5.62273450e-16,4.50000000e-09,-3.00705970e-16,4.50000000e-09,2.93020809e-18,4.50000000e-09,1.48897867e-16,4.50000000e-09,2.22824521e-16,4.50000000e-09,-1.15863466e-18,4.50000000e-09,5.07180578e-09,4.50000000e-09,6.02926500e-01,4.50000000e-09,3.73720081e-02,4.50000000e-09,3.93682991e-01,4.50000000e-09,3.93682989e-01,4.50000000e-09,1.97168433e+08,4.50000000e-09,2.55381597e+08,4.50000000e-09,4.06452436e+07,4.50000000e-09,3.19088307e+01,1.00,.200,sky130
5.00000000e-09,1.59328883e-07,5.00000000e-09,4.99997336e-09,5.00000000e-09,5.66320507e-16,5.00000000e-09,-3.05895835e-16,5.00000000e-09,2.98604015e-18,5.00000000e-09,1.51346003e-16,5.00000000e-09,2.26492003e-16,5.00000000e-09,-1.18441591e-18,5.00000000e-09,5.61746290e-09,5.00000000e-09,6.02884762e-01,5.00000000e-09,3.73787636e-02,5.00000000e-09,3.96873373e-01,5.00000000e-09,3.96873371e-01,5.00000000e-09,1.78016307e+08,5.00000000e-09,2.81340480e+08,5.00000000e-09,4.47767281e+07,5.00000000e-09,3.18659465e+01,1.00,.200,sky130
5.50000000e-09,1.75035729e-07,5.50000000e-09,5.49986669e-09,5.50000000e-09,5.70015197e-16,5.50000000e-09,-3.10626588e-16,5.50000000e-09,3.03691527e-18,5.50000000e-09,1.53575214e-16,5.50000000e-09,2.29831585e-16,5.50000000e-09,-1.20786122e-18,5.50000000e-09,6.16151389e-09,5.50000000e-09,6.02846947e-01,5.50000000e-09,3.73854963e-02,5.50000000e-09,3.99763814e-01,5.50000000e-09,3.99763812e-01,5.50000000e-09,1.62297776e+08,5.50000000e-09,3.07072039e+08,5.50000000e-09,4.88720329e+07,5.50000000e-09,3.18254493e+01,1.00,.200,sky130
