isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.41720444e-08,1.00000000e-09,9.99595619e-10,1.00000000e-09,7.58438621e-16,1.00000000e-09,-3.52643301e-16,1.00000000e-09,-3.51218520e-18,1.00000000e-09,1.69465145e-16,1.00000000e-09,2.54891846e-16,1.00000000e-09,4.88395313e-18,1.00000000e-09,7.56556968e-10,1.00000000e-09,4.97380233e-01,1.00000000e-09,4.99149682e-02,1.00000000e-09,1.92706502e-01,1.00000000e-09,1.92706502e-01,1.00000000e-09,1.32177753e+09,1.00000000e-09,3.18707984e+07,1.00000000e-09,5.07239511e+06,1.00000000e-09,2.41818231e+01,1.00,.300,sky130
1.50000000e-09,3.62881258e-08,1.50000000e-09,1.50580353e-09,1.50000000e-09,7.78664431e-16,1.50000000e-09,-3.81448437e-16,1.50000000e-09,-3.12324136e-18,1.50000000e-09,1.82789489e-16,1.50000000e-09,2.74533007e-16,1.50000000e-09,4.35857130e-18,1.50000000e-09,1.06980678e-09,1.50000000e-09,4.97379833e-01,1.50000000e-09,4.99312121e-02,1.50000000e-09,2.09178525e-01,1.50000000e-09,2.09178524e-01,1.50000000e-09,9.34748237e+08,1.50000000e-09,4.66030351e+07,1.50000000e-09,7.41710341e+06,1.50000000e-09,2.40988450e+01,1.00,.300,sky130
2.00000000e-09,4.80549557e-08,2.00000000e-09,1.99961795e-09,2.00000000e-09,7.93504096e-16,2.00000000e-09,-4.02248631e-16,2.00000000e-09,-2.90270106e-18,2.00000000e-09,1.92344268e-16,2.00000000e-09,2.88671221e-16,2.00000000e-09,4.06026002e-18,2.00000000e-09,1.36651354e-09,2.00000000e-09,4.97379555e-01,2.00000000e-09,4.99469144e-02,2.00000000e-09,2.20632409e-01,2.00000000e-09,2.20632408e-01,2.00000000e-09,7.31789310e+08,2.00000000e-09,6.05604381e+07,2.00000000e-09,9.63849308e+06,2.00000000e-09,2.40320686e+01,1.00,.300,sky130
2.50000000e-09,6.00241933e-08,2.50000000e-09,2.50381899e-09,2.50000000e-09,8.05746912e-16,2.50000000e-09,-4.19232335e-16,2.50000000e-09,-2.75049084e-18,2.50000000e-09,2.00110403e-16,2.50000000e-09,3.00187273e-16,2.50000000e-09,3.85421360e-18,2.50000000e-09,1.66311690e-09,2.50000000e-09,4.97379334e-01,2.50000000e-09,4.99628380e-02,2.50000000e-09,2.29744702e-01,2.50000000e-09,2.29744701e-01,2.50000000e-09,6.01280642e+08,2.50000000e-09,7.44950957e+07,2.50000000e-09,1.18562627e+07,2.50000000e-09,2.39730562e+01,1.00,.300,sky130
3.00000000e-09,7.18186171e-08,3.00000000e-09,3.00230477e-09,3.00000000e-09,8.15935145e-16,3.00000000e-09,-4.33259150e-16,3.00000000e-09,-2.64004207e-18,3.00000000e-09,2.06502676e-16,3.00000000e-09,3.09679386e-16,3.00000000e-09,3.70462299e-18,3.00000000e-09,1.95155552e-09,3.00000000e-09,4.97379155e-01,3.00000000e-09,4.99784946e-02,3.00000000e-09,2.37123977e-01,3.00000000e-09,2.37123977e-01,3.00000000e-09,5.12411760e+08,3.00000000e-09,8.80200069e+07,3.00000000e-09,1.40088192e+07,3.00000000e-09,2.39211614e+01,1.00,.300,sky130
3.50000000e-09,8.35799616e-08,3.50000000e-09,3.50086350e-09,3.50000000e-09,8.24763606e-16,3.50000000e-09,-4.45343105e-16,3.50000000e-09,-2.55425654e-18,3.50000000e-09,2.11994866e-16,3.50000000e-09,3.17843033e-16,3.50000000e-09,3.58839489e-18,3.50000000e-09,2.23620838e-09,3.50000000e-09,4.97379003e-01,3.50000000e-09,4.99940812e-02,3.50000000e-09,2.43383783e-01,3.50000000e-09,2.43383782e-01,3.50000000e-09,4.47185516e+08,3.50000000e-09,1.01338082e+08,3.50000000e-09,1.61284566e+07,3.50000000e-09,2.38740989e+01,1.00,.300,sky130
4.00000000e-09,9.53309005e-08,4.00000000e-09,4.00032600e-09,4.00000000e-09,8.32579522e-16,4.00000000e-09,-4.55990634e-16,4.00000000e-09,-2.48493751e-18,4.00000000e-09,2.16823529e-16,4.00000000e-09,3.25025803e-16,4.00000000e-09,3.49445245e-18,4.00000000e-09,2.51818750e-09,4.00000000e-09,4.97378871e-01,4.00000000e-09,5.00096334e-02,4.00000000e-09,2.48830255e-01,4.00000000e-09,2.48830254e-01,4.00000000e-09,3.97111018e+08,4.00000000e-09,1.14500655e+08,4.00000000e-09,1.82233452e+07,4.00000000e-09,2.38307829e+01,1.00,.300,sky130
4.50000000e-09,1.07058984e-07,4.50000000e-09,4.50005943e-09,4.50000000e-09,8.39593695e-16,4.50000000e-09,-4.65508270e-16,4.50000000e-09,-2.42740562e-18,4.50000000e-09,2.21131684e-16,4.50000000e-09,3.31438100e-16,4.50000000e-09,3.41646893e-18,4.50000000e-09,2.79759536e-09,4.50000000e-09,4.97378754e-01,4.50000000e-09,5.00251384e-02,4.50000000e-09,2.53647446e-01,4.50000000e-09,2.53647444e-01,4.50000000e-09,3.57449835e+08,4.50000000e-09,1.27512849e+08,4.50000000e-09,2.02943003e+07,4.50000000e-09,2.37905713e+01,1.00,.300,sky130
5.00000000e-09,1.18762295e-07,5.00000000e-09,4.99989365e-09,5.00000000e-09,8.45960154e-16,5.00000000e-09,-4.74117925e-16,5.00000000e-09,-2.37862489e-18,5.00000000e-09,2.25022484e-16,5.00000000e-09,3.37231988e-16,5.00000000e-09,3.35033742e-18,5.00000000e-09,3.07468961e-09,5.00000000e-09,4.97378649e-01,5.00000000e-09,5.00405965e-02,5.00000000e-09,2.57965824e-01,5.00000000e-09,2.57965822e-01,5.00000000e-09,3.25236082e+08,5.00000000e-09,1.40387576e+08,5.00000000e-09,2.23433766e+07,5.00000000e-09,2.37529643e+01,1.00,.300,sky130
5.50000000e-09,1.30441628e-07,5.50000000e-09,5.49978742e-09,5.50000000e-09,8.51792766e-16,5.50000000e-09,-4.81982566e-16,5.50000000e-09,-2.33654756e-18,5.50000000e-09,2.28571480e-16,5.50000000e-09,3.42519000e-16,5.50000000e-09,3.29328681e-18,5.50000000e-09,3.34972338e-09,5.50000000e-09,4.97378554e-01,5.50000000e-09,5.00560107e-02,5.50000000e-09,2.61879709e-01,5.50000000e-09,2.61879707e-01,5.50000000e-09,2.98532113e+08,5.50000000e-09,1.53137751e+08,5.50000000e-09,2.43726300e+07,5.50000000e-09,2.37175764e+01,1.00,.300,sky130
