isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.69778041e-08,1.00000000e-09,9.99686498e-10,1.00000000e-09,7.95087878e-16,1.00000000e-09,-3.96863769e-16,1.00000000e-09,-8.62526231e-19,1.00000000e-09,1.94854350e-16,1.00000000e-09,2.91580579e-16,1.00000000e-09,1.22561537e-18,1.00000000e-09,5.61803732e-10,1.00000000e-09,5.79269970e-01,1.00000000e-09,4.29515253e-02,1.00000000e-09,3.16544644e-01,1.00000000e-09,3.16544643e-01,1.00000000e-09,1.77998106e+09,1.00000000e-09,3.39305941e+07,1.00000000e-09,5.40022177e+06,1.00000000e-09,2.69862643e+01,1.00,.300,sky130
1.50000000e-09,4.04373600e-08,1.50000000e-09,1.50588384e-09,1.50000000e-09,8.17394492e-16,1.50000000e-09,-4.27410650e-16,1.50000000e-09,-8.38592672e-19,1.50000000e-09,2.09084208e-16,1.50000000e-09,3.12881749e-16,1.50000000e-09,1.19424253e-18,1.50000000e-09,8.28363071e-10,1.50000000e-09,5.79269764e-01,1.50000000e-09,4.29786963e-02,1.50000000e-09,3.31454832e-01,1.50000000e-09,3.31454831e-01,1.50000000e-09,1.20720012e+09,1.50000000e-09,4.94710454e+07,1.50000000e-09,7.87356142e+06,1.50000000e-09,2.68529079e+01,1.00,.300,sky130
2.00000000e-09,5.38660840e-08,2.00000000e-09,2.01419214e-09,2.00000000e-09,8.33980273e-16,2.00000000e-09,-4.49917790e-16,2.00000000e-09,-8.24190991e-19,2.00000000e-09,2.19527384e-16,2.00000000e-09,3.28517428e-16,2.00000000e-09,1.17547634e-18,2.00000000e-09,1.09194461e-09,2.00000000e-09,5.79269617e-01,2.00000000e-09,4.30057662e-02,2.00000000e-09,3.42090628e-01,2.00000000e-09,3.42090627e-01,2.00000000e-09,9.15797368e+08,2.00000000e-09,6.45891584e+07,2.00000000e-09,1.02796838e+07,2.00000000e-09,2.67432699e+01,1.00,.300,sky130
2.50000000e-09,6.67936283e-08,2.50000000e-09,2.50615276e-09,2.50000000e-09,8.46839235e-16,2.50000000e-09,-4.67261810e-16,2.50000000e-09,-8.14628120e-19,2.50000000e-09,2.27551710e-16,2.50000000e-09,3.40533010e-16,2.50000000e-09,1.16307758e-18,2.50000000e-09,1.34422060e-09,2.50000000e-09,5.79269507e-01,2.50000000e-09,4.30318077e-02,2.50000000e-09,3.50113798e-01,2.50000000e-09,3.50113797e-01,2.50000000e-09,7.43925512e+08,2.50000000e-09,7.88740360e+07,2.50000000e-09,1.25531927e+07,2.50000000e-09,2.66518583e+01,1.00,.300,sky130
3.00000000e-09,7.97566147e-08,3.00000000e-09,3.00174037e-09,3.00000000e-09,8.57706116e-16,3.00000000e-09,-4.81853457e-16,3.00000000e-09,-8.07479862e-19,3.00000000e-09,2.34287357e-16,3.00000000e-09,3.50619797e-16,3.00000000e-09,1.15385011e-18,3.00000000e-09,1.59614172e-09,3.00000000e-09,5.79269415e-01,3.00000000e-09,4.30579113e-02,3.00000000e-09,3.56761067e-01,3.00000000e-09,3.56761066e-01,3.00000000e-09,6.26510786e+08,3.00000000e-09,9.29882779e+07,3.00000000e-09,1.47995441e+07,3.00000000e-09,2.65701242e+01,1.00,.300,sky130
3.50000000e-09,9.27568981e-08,3.50000000e-09,3.50082047e-09,3.50000000e-09,8.67141883e-16,3.50000000e-09,-4.94478291e-16,3.50000000e-09,-8.01886943e-19,3.50000000e-09,2.40104029e-16,3.50000000e-09,3.59330988e-16,3.50000000e-09,1.14665959e-18,3.50000000e-09,1.84797864e-09,3.50000000e-09,5.79269336e-01,3.50000000e-09,4.30840848e-02,3.50000000e-09,3.62444273e-01,3.50000000e-09,3.62444272e-01,3.50000000e-09,5.41131796e+08,3.50000000e-09,1.06968536e+08,3.50000000e-09,1.70245713e+07,3.50000000e-09,2.64957598e+01,1.00,.300,sky130
4.00000000e-09,1.05721611e-07,4.00000000e-09,4.00042111e-09,4.00000000e-09,8.75451778e-16,4.00000000e-09,-5.05564041e-16,4.00000000e-09,-7.97388858e-19,4.00000000e-09,2.45203237e-16,4.00000000e-09,3.66968107e-16,4.00000000e-09,1.14089858e-18,4.00000000e-09,2.09848128e-09,4.00000000e-09,5.79269268e-01,4.00000000e-09,4.31101839e-02,4.00000000e-09,3.67387263e-01,4.00000000e-09,3.67387262e-01,4.00000000e-09,4.76535106e+08,4.00000000e-09,1.20762347e+08,4.00000000e-09,1.92199245e+07,4.00000000e-09,2.64276206e+01,1.00,.300,sky130
4.50000000e-09,1.18644651e-07,4.50000000e-09,4.50014974e-09,4.50000000e-09,8.82879030e-16,4.50000000e-09,-5.15447710e-16,4.50000000e-09,-7.93679778e-19,4.50000000e-09,2.49742993e-16,4.50000000e-09,3.73767648e-16,4.50000000e-09,1.13616514e-18,4.50000000e-09,2.34765004e-09,4.50000000e-09,5.79269208e-01,4.50000000e-09,4.31361975e-02,4.50000000e-09,3.71759977e-01,4.50000000e-09,3.71759975e-01,4.50000000e-09,4.25957865e+08,4.50000000e-09,1.34383813e+08,4.50000000e-09,2.13878481e+07,4.50000000e-09,2.63646006e+01,1.00,.300,sky130
5.00000000e-09,1.31528834e-07,5.00000000e-09,4.99998349e-09,5.00000000e-09,8.89598355e-16,5.00000000e-09,-5.24370202e-16,5.00000000e-09,-7.90559435e-19,5.00000000e-09,2.53836030e-16,5.00000000e-09,3.79898345e-16,5.00000000e-09,1.13219669e-18,5.00000000e-09,2.59562565e-09,5.00000000e-09,5.79269154e-01,5.00000000e-09,4.31621320e-02,5.00000000e-09,3.75681808e-01,5.00000000e-09,3.75681807e-01,5.00000000e-09,3.85263568e+08,5.00000000e-09,1.47851930e+08,5.00000000e-09,2.35313656e+07,5.00000000e-09,2.63058537e+01,1.00,.300,sky130
5.50000000e-09,1.44375918e-07,5.50000000e-09,5.49987897e-09,5.50000000e-09,8.95736329e-16,5.50000000e-09,-5.32505472e-16,5.50000000e-09,-7.87892158e-19,5.50000000e-09,2.57563648e-16,5.50000000e-09,3.85481899e-16,5.50000000e-09,1.12881564e-18,5.50000000e-09,2.84250666e-09,5.50000000e-09,5.79269105e-01,5.50000000e-09,4.31879910e-02,5.50000000e-09,3.79237935e-01,5.50000000e-09,3.79237933e-01,5.50000000e-09,3.51802167e+08,5.50000000e-09,1.61181268e+08,5.50000000e-09,2.56527956e+07,5.50000000e-09,2.62507445e+01,1.00,.300,sky130
6.00000000e-09,1.57187652e-07,6.00000000e-09,5.99980839e-09,6.00000000e-09,9.01388028e-16,6.00000000e-09,-5.39983803e-16,6.00000000e-09,-7.85582181e-19,6.00000000e-09,2.60986662e-16,6.00000000e-09,3.90609348e-16,6.00000000e-09,1.12589688e-18,6.00000000e-09,3.08837650e-09,6.00000000e-09,5.79269060e-01,6.00000000e-09,4.32137779e-02,6.00000000e-09,3.82491460e-01,6.00000000e-09,3.82491458e-01,6.00000000e-09,3.23794719e+08,6.00000000e-09,1.74384003e+08,6.00000000e-09,2.77540760e+07,6.00000000e-09,2.61987787e+01,1.00,.300,sky130
6.50000000e-09,1.69965882e-07,6.50000000e-09,6.49976013e-09,6.50000000e-09,9.06626797e-16,6.50000000e-09,-5.46905437e-16,6.50000000e-09,-7.83559704e-19,6.50000000e-09,2.64151813e-16,6.50000000e-09,3.95350666e-16,6.50000000e-09,1.12334936e-18,6.50000000e-09,3.33330965e-09,6.50000000e-09,5.79269018e-01,6.50000000e-09,4.32394964e-02,6.50000000e-09,3.85490468e-01,6.50000000e-09,3.85490467e-01,6.50000000e-09,3.00002132e+08,6.50000000e-09,1.87470614e+08,6.50000000e-09,2.98368749e+07,6.50000000e-09,2.61495622e+01,1.00,.300,sky130
7.00000000e-09,1.82712245e-07,7.00000000e-09,6.99972466e-09,7.00000000e-09,9.11510349e-16,7.00000000e-09,-5.53349073e-16,7.00000000e-09,-7.81772536e-19,7.00000000e-09,2.67095761e-16,7.00000000e-09,3.99760737e-16,7.00000000e-09,1.12110510e-18,7.00000000e-09,3.57736867e-09,7.00000000e-09,5.79268980e-01,7.00000000e-09,4.32651493e-02,7.00000000e-09,3.88272395e-01,7.00000000e-09,3.88272393e-01,7.00000000e-09,2.79535069e+08,7.00000000e-09,2.00449995e+08,7.00000000e-09,3.19026076e+07,7.00000000e-09,2.61027760e+01,1.00,.300,sky130
7.50000000e-09,1.95428331e-07,7.50000000e-09,7.49969889e-09,7.50000000e-09,9.16084990e-16,7.50000000e-09,-5.59377720e-16,7.50000000e-09,-7.80180756e-19,7.50000000e-09,2.69847830e-16,7.50000000e-09,4.03883465e-16,7.50000000e-09,1.11911219e-18,7.50000000e-09,3.82060924e-09,7.50000000e-09,5.79268944e-01,7.50000000e-09,4.32907395e-02,7.50000000e-09,3.90866978e-01,7.50000000e-09,3.90866976e-01,7.50000000e-09,2.61738361e+08,7.50000000e-09,2.13329912e+08,7.50000000e-09,3.39525101e+07,7.50000000e-09,2.60581569e+01,1.00,.300,sky130
8.00000000e-09,2.08115528e-07,8.00000000e-09,7.99967882e-09,8.00000000e-09,9.20388403e-16,8.00000000e-09,-5.65042561e-16,8.00000000e-09,-7.78753260e-19,8.00000000e-09,2.72431821e-16,8.00000000e-09,4.07754485e-16,8.00000000e-09,1.11733025e-18,8.00000000e-09,4.06307862e-09,8.00000000e-09,5.79268910e-01,8.00000000e-09,4.33162695e-02,8.00000000e-09,3.93298215e-01,8.00000000e-09,3.93298212e-01,8.00000000e-09,2.46118792e+08,8.00000000e-09,2.26117069e+08,8.00000000e-09,3.59876493e+07,8.00000000e-09,2.60154855e+01,1.00,.300,sky130
8.50000000e-09,2.20775149e-07,8.50000000e-09,8.49966323e-09,8.50000000e-09,9.24451708e-16,8.50000000e-09,-5.70385795e-16,8.50000000e-09,-7.77465396e-19,8.50000000e-09,2.74867340e-16,8.50000000e-09,4.11403153e-16,8.50000000e-09,1.11572731e-18,8.50000000e-09,4.30481898e-09,8.50000000e-09,5.79268879e-01,8.50000000e-09,4.33417415e-02,8.50000000e-09,3.95585759e-01,8.50000000e-09,3.95585757e-01,8.50000000e-09,2.32297805e+08,8.50000000e-09,2.38817395e+08,8.50000000e-09,3.80089689e+07,8.50000000e-09,2.59745760e+01,1.00,.300,sky130
