isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,3.27416424e-08,1.00000000e-09,9.99636877e-10,1.00000000e-09,7.87112750e-16,1.00000000e-09,-3.97115490e-16,1.00000000e-09,-4.42678962e-19,1.00000000e-09,1.91640008e-16,1.00000000e-09,2.86715006e-16,1.00000000e-09,6.44353368e-19,1.00000000e-09,6.00667748e-10,1.00000000e-09,6.10023221e-01,1.00000000e-09,3.54746564e-02,1.00000000e-09,3.63093475e-01,1.00000000e-09,3.63093475e-01,1.00000000e-09,1.66481387e+09,1.00000000e-09,4.15971440e+07,1.00000000e-09,6.62039108e+06,1.00000000e-09,3.27535360e+01,1.00,.300,sky130
1.50000000e-09,4.90673231e-08,1.50000000e-09,1.50583821e-09,1.50000000e-09,8.10458187e-16,1.50000000e-09,-4.27788461e-16,1.50000000e-09,-4.44660946e-19,1.50000000e-09,2.05778508e-16,1.50000000e-09,3.07890812e-16,1.50000000e-09,6.48519681e-19,1.50000000e-09,8.91188269e-10,1.50000000e-09,6.10022997e-01,1.50000000e-09,3.54899322e-02,1.50000000e-09,3.75409030e-01,1.50000000e-09,3.75409030e-01,1.50000000e-09,1.12209736e+09,1.50000000e-09,6.05426953e+07,1.50000000e-09,9.63566923e+06,1.50000000e-09,3.25847244e+01,1.00,.300,sky130
2.00000000e-09,6.53488775e-08,2.00000000e-09,2.01413602e-09,2.00000000e-09,8.27788175e-16,2.00000000e-09,-4.50402660e-16,2.00000000e-09,-4.46671623e-19,2.00000000e-09,2.16165144e-16,2.00000000e-09,3.23448355e-16,2.00000000e-09,6.52291094e-19,2.00000000e-09,1.17951209e-09,2.00000000e-09,6.10022837e-01,2.00000000e-09,3.55051670e-02,2.00000000e-09,3.84194419e-01,2.00000000e-09,3.84194419e-01,2.00000000e-09,8.47808184e+08,2.00000000e-09,7.89439611e+07,2.00000000e-09,1.25643216e+07,2.00000000e-09,3.24451164e+01,1.00,.300,sky130
2.50000000e-09,8.10175545e-08,2.50000000e-09,2.50610109e-09,2.50000000e-09,8.41211577e-16,2.50000000e-09,-4.67838705e-16,2.50000000e-09,-4.48496721e-19,2.50000000e-09,2.24152517e-16,2.50000000e-09,3.35412751e-16,2.50000000e-09,6.55546176e-19,2.50000000e-09,1.45619284e-09,2.50000000e-09,6.10022716e-01,2.50000000e-09,3.55198362e-02,2.50000000e-09,3.90822640e-01,2.50000000e-09,3.90822639e-01,2.50000000e-09,6.86722233e+08,2.50000000e-09,9.63105557e+07,2.50000000e-09,1.53283010e+07,2.50000000e-09,3.23281270e+01,1.00,.300,sky130
3.00000000e-09,9.67238486e-08,3.00000000e-09,3.00169676e-09,3.00000000e-09,8.52548209e-16,3.00000000e-09,-4.82514200e-16,3.00000000e-09,-4.50200194e-19,3.00000000e-09,2.30861435e-16,3.00000000e-09,3.45462499e-16,3.00000000e-09,6.58496038e-19,3.00000000e-09,1.73303846e-09,3.00000000e-09,6.10022616e-01,3.00000000e-09,3.55345514e-02,3.00000000e-09,3.96314869e-01,3.00000000e-09,3.96314868e-01,3.00000000e-09,5.77021239e+08,3.00000000e-09,1.13452644e+08,3.00000000e-09,1.80565491e+07,3.00000000e-09,3.22230579e+01,1.00,.300,sky130
3.50000000e-09,1.12469824e-07,3.50000000e-09,3.50078032e-09,3.50000000e-09,8.62387182e-16,3.50000000e-09,-4.95216343e-16,3.50000000e-09,-4.51788870e-19,3.50000000e-09,2.36658159e-16,3.50000000e-09,3.54146070e-16,3.50000000e-09,6.61192028e-19,3.50000000e-09,2.01024769e-09,3.50000000e-09,6.10022531e-01,3.50000000e-09,3.55493159e-02,3.50000000e-09,4.01011110e-01,3.50000000e-09,4.01011109e-01,3.50000000e-09,4.97451137e+08,3.50000000e-09,1.30416855e+08,3.50000000e-09,2.07564872e+07,3.50000000e-09,3.21270728e+01,1.00,.300,sky130
4.00000000e-09,1.28167395e-07,4.00000000e-09,4.00038201e-09,4.00000000e-09,8.71049140e-16,4.00000000e-09,-5.06373836e-16,4.00000000e-09,-4.53266549e-19,4.00000000e-09,2.41742347e-16,4.00000000e-09,3.61762448e-16,4.00000000e-09,6.63662454e-19,4.00000000e-09,2.28637783e-09,4.00000000e-09,6.10022456e-01,4.00000000e-09,3.55640476e-02,4.00000000e-09,4.05096215e-01,4.00000000e-09,4.05096214e-01,4.00000000e-09,4.37373031e+08,4.00000000e-09,1.47141406e+08,4.00000000e-09,2.34182820e+07,4.00000000e-09,3.20387889e+01,1.00,.300,sky130
4.50000000e-09,1.43809403e-07,4.50000000e-09,4.50011244e-09,4.50000000e-09,8.78789057e-16,4.50000000e-09,-5.16324701e-16,4.50000000e-09,-4.54646034e-19,4.50000000e-09,2.46270747e-16,4.50000000e-09,3.68546378e-16,4.50000000e-09,6.65942109e-19,4.50000000e-09,2.56137836e-09,4.50000000e-09,6.10022390e-01,4.50000000e-09,3.55787398e-02,4.50000000e-09,4.08710523e-01,4.50000000e-09,4.08710522e-01,4.50000000e-09,3.90414793e+08,4.50000000e-09,1.63644963e+08,4.50000000e-09,2.60449047e+07,4.50000000e-09,3.19568465e+01,1.00,.300,sky130
5.00000000e-09,1.59399326e-07,5.00000000e-09,4.99994695e-09,5.00000000e-09,8.85789845e-16,5.00000000e-09,-5.25310544e-16,5.00000000e-09,-4.55939543e-19,5.00000000e-09,2.50355200e-16,5.00000000e-09,3.74665357e-16,5.00000000e-09,6.68059777e-19,5.00000000e-09,2.83536343e-09,5.00000000e-09,6.10022331e-01,5.00000000e-09,3.55933956e-02,5.00000000e-09,4.11952597e-01,5.00000000e-09,4.11952595e-01,5.00000000e-09,3.52688473e+08,5.00000000e-09,1.79951630e+08,5.00000000e-09,2.86401914e+07,5.00000000e-09,3.18802035e+01,1.00,.300,sky130
5.50000000e-09,1.74939428e-07,5.50000000e-09,5.49984298e-09,5.50000000e-09,8.92183962e-16,5.50000000e-09,-5.33505898e-16,5.50000000e-09,-4.57157386e-19,5.50000000e-09,2.54076405e-16,5.50000000e-09,3.80240249e-16,5.50000000e-09,6.70038147e-19,5.50000000e-09,3.10841096e-09,5.50000000e-09,6.10022278e-01,5.50000000e-09,3.56080165e-02,5.50000000e-09,4.14892764e-01,5.50000000e-09,4.14892763e-01,5.50000000e-09,3.21707783e+08,5.50000000e-09,1.96079996e+08,5.50000000e-09,3.12071006e+07,5.50000000e-09,3.18080768e+01,1.00,.300,sky130
