isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.34775421e-08,1.00000000e-09,9.99562831e-10,1.00000000e-09,7.71634404e-16,1.00000000e-09,-3.63965097e-16,1.00000000e-09,-2.61570364e-18,1.00000000e-09,1.77509405e-16,1.00000000e-09,2.66405848e-16,1.00000000e-09,3.64509752e-18,1.00000000e-09,6.56293932e-10,1.00000000e-09,5.20617842e-01,1.00000000e-09,4.99163209e-02,1.00000000e-09,2.20689591e-01,1.00000000e-09,2.20689590e-01,1.00000000e-09,1.52370752e+09,1.00000000e-09,3.04257327e+07,1.00000000e-09,4.84240576e+06,1.00000000e-09,2.34878103e+01,1.00,.300,sky130
1.50000000e-09,3.52336893e-08,1.50000000e-09,1.50578300e-09,1.50000000e-09,7.92077112e-16,1.50000000e-09,-3.93201890e-16,1.50000000e-09,-2.36793543e-18,1.50000000e-09,1.91097710e-16,1.50000000e-09,2.86571510e-16,1.50000000e-09,3.31018992e-18,1.50000000e-09,9.42152200e-10,1.50000000e-09,5.20617532e-01,1.50000000e-09,4.99378886e-02,1.50000000e-09,2.37702047e-01,1.50000000e-09,2.37702046e-01,1.50000000e-09,1.06139963e+09,1.50000000e-09,4.44826505e+07,1.50000000e-09,7.07963370e+06,1.50000000e-09,2.33989156e+01,1.00,.300,sky130
2.00000000e-09,4.66455449e-08,2.00000000e-09,1.99958577e-09,2.00000000e-09,8.07033791e-16,2.00000000e-09,-4.14282465e-16,2.00000000e-09,-2.22526867e-18,2.00000000e-09,2.00839891e-16,2.00000000e-09,3.01060335e-16,2.00000000e-09,3.11718845e-18,2.00000000e-09,1.21398691e-09,2.00000000e-09,5.20617316e-01,2.00000000e-09,4.99587416e-02,2.00000000e-09,2.49529607e-01,2.00000000e-09,2.49529607e-01,2.00000000e-09,8.23732109e+08,2.00000000e-09,5.77987507e+07,2.00000000e-09,9.19895688e+06,2.00000000e-09,2.33276039e+01,1.00,.300,sky130
2.50000000e-09,5.82499255e-08,2.50000000e-09,2.50378450e-09,2.50000000e-09,8.19349804e-16,2.50000000e-09,-4.31474979e-16,2.50000000e-09,-2.12582250e-18,2.50000000e-09,2.08754482e-16,2.50000000e-09,3.12845504e-16,2.50000000e-09,2.98259811e-18,2.50000000e-09,1.48653176e-09,2.50000000e-09,5.20617145e-01,2.50000000e-09,4.99798916e-02,2.50000000e-09,2.58939308e-01,2.50000000e-09,2.58939307e-01,2.50000000e-09,6.72706785e+08,2.50000000e-09,7.10928656e+07,2.50000000e-09,1.13147810e+07,2.50000000e-09,2.32647520e+01,1.00,.300,sky130
3.00000000e-09,6.96815171e-08,3.00000000e-09,3.00226935e-09,3.00000000e-09,8.29583807e-16,3.00000000e-09,-4.45659862e-16,3.00000000e-09,-2.05314170e-18,3.00000000e-09,2.15265123e-16,3.00000000e-09,3.22548037e-16,3.00000000e-09,2.88420656e-18,3.00000000e-09,1.75217912e-09,3.00000000e-09,5.20617006e-01,3.00000000e-09,5.00006877e-02,3.00000000e-09,2.66559728e-01,3.00000000e-09,2.66559727e-01,3.00000000e-09,5.70717908e+08,3.00000000e-09,8.39957537e+07,3.00000000e-09,1.33683394e+07,3.00000000e-09,2.32096155e+01,1.00,.300,sky130
3.50000000e-09,8.10782198e-08,3.50000000e-09,3.50082835e-09,3.50000000e-09,8.38441346e-16,3.50000000e-09,-4.57869338e-16,3.50000000e-09,-1.99638210e-18,3.50000000e-09,2.20855743e-16,3.50000000e-09,3.30884368e-16,3.50000000e-09,2.80735594e-18,3.50000000e-09,2.01481579e-09,3.50000000e-09,5.20616888e-01,3.50000000e-09,5.00213908e-02,3.50000000e-09,2.73024475e-01,3.50000000e-09,2.73024474e-01,3.50000000e-09,4.96323289e+08,3.50000000e-09,9.67011230e+07,3.50000000e-09,1.53904617e+07,3.50000000e-09,2.31597244e+01,1.00,.300,sky130
4.00000000e-09,9.24623318e-08,4.00000000e-09,4.00029118e-09,4.00000000e-09,8.46275089e-16,4.00000000e-09,-4.68619172e-16,4.00000000e-09,-1.95031760e-18,4.00000000e-09,2.25768175e-16,4.00000000e-09,3.38212702e-16,4.00000000e-09,2.74497955e-18,4.00000000e-09,2.27537429e-09,4.00000000e-09,5.20616786e-01,4.00000000e-09,5.00420474e-02,4.00000000e-09,2.78649628e-01,4.00000000e-09,2.78649626e-01,4.00000000e-09,4.39488133e+08,4.00000000e-09,1.09258010e+08,4.00000000e-09,1.73889523e+07,4.00000000e-09,2.31139004e+01,1.00,.300,sky130
4.50000000e-09,1.03822070e-07,4.50000000e-09,4.50002478e-09,4.50000000e-09,8.53299111e-16,4.50000000e-09,-4.78221622e-16,4.50000000e-09,-1.91194899e-18,4.50000000e-09,2.30148729e-16,4.50000000e-09,3.44749899e-16,4.50000000e-09,2.69302062e-18,4.50000000e-09,2.53388172e-09,4.50000000e-09,5.20616695e-01,4.50000000e-09,5.00626401e-02,4.50000000e-09,2.83625197e-01,4.50000000e-09,2.83625196e-01,4.50000000e-09,3.94651413e+08,4.50000000e-09,1.21671368e+08,4.50000000e-09,1.93645996e+07,4.50000000e-09,2.30714440e+01,1.00,.300,sky130
5.00000000e-09,1.15155824e-07,5.00000000e-09,4.99985963e-09,5.00000000e-09,8.59669599e-16,5.00000000e-09,-4.86902584e-16,5.00000000e-09,-1.87931864e-18,5.00000000e-09,2.34102928e-16,5.00000000e-09,3.50652547e-16,5.00000000e-09,2.64883040e-18,5.00000000e-09,2.79052495e-09,5.00000000e-09,5.20616614e-01,5.00000000e-09,5.00831688e-02,5.00000000e-09,2.88085870e-01,5.00000000e-09,2.88085869e-01,5.00000000e-09,3.58355513e+08,5.00000000e-09,1.33953585e+08,5.00000000e-09,2.13193751e+07,5.00000000e-09,2.30318115e+01,1.00,.300,sky130
5.50000000e-09,1.26464533e-07,5.50000000e-09,5.49975306e-09,5.50000000e-09,8.65501863e-16,5.50000000e-09,-4.94827825e-16,5.50000000e-09,-1.85109993e-18,5.50000000e-09,2.37708038e-16,5.50000000e-09,3.56035396e-16,5.50000000e-09,2.61061355e-18,5.50000000e-09,3.04549727e-09,5.50000000e-09,5.20616540e-01,5.50000000e-09,5.01036375e-02,5.50000000e-09,2.92128996e-01,5.50000000e-09,2.92128994e-01,5.50000000e-09,3.28353602e+08,5.50000000e-09,1.46116997e+08,5.50000000e-09,2.32552423e+07,5.50000000e-09,2.29945839e+01,1.00,.300,sky130
6.00000000e-09,1.37749305e-07,6.00000000e-09,5.99968185e-09,6.00000000e-09,8.70882826e-16,6.00000000e-09,-5.02121701e-16,6.00000000e-09,-1.82636122e-18,6.00000000e-09,2.41021923e-16,6.00000000e-09,3.60984435e-16,6.00000000e-09,2.57710904e-18,6.00000000e-09,3.29895927e-09,6.00000000e-09,5.20616473e-01,6.00000000e-09,5.01240497e-02,6.00000000e-09,2.95826716e-01,6.00000000e-09,2.95826714e-01,6.00000000e-09,3.03125901e+08,6.00000000e-09,1.58172031e+08,6.00000000e-09,2.51738606e+07,6.00000000e-09,2.29594349e+01,1.00,.300,sky130
6.50000000e-09,1.49011257e-07,6.50000000e-09,6.49963243e-09,6.50000000e-09,8.75879660e-16,6.50000000e-09,-5.08879919e-16,6.50000000e-09,-1.80442634e-18,6.50000000e-09,2.44089047e-16,6.50000000e-09,3.65565774e-16,6.50000000e-09,2.54740150e-18,6.50000000e-09,3.55104503e-09,6.50000000e-09,5.20616411e-01,6.50000000e-09,5.01444086e-02,6.50000000e-09,2.99233952e-01,6.50000000e-09,2.99233950e-01,6.50000000e-09,2.81607242e+08,6.50000000e-09,1.70127546e+08,6.50000000e-09,2.70766398e+07,6.50000000e-09,2.29261052e+01,1.00,.300,sky130
7.00000000e-09,1.60251447e-07,7.00000000e-09,6.99959632e-09,7.00000000e-09,8.80545383e-16,7.00000000e-09,-5.15177735e-16,7.00000000e-09,-1.78479095e-18,7.00000000e-09,2.46944329e-16,7.00000000e-09,3.69831352e-16,7.00000000e-09,2.52080810e-18,7.00000000e-09,3.80186752e-09,7.00000000e-09,5.20616353e-01,7.00000000e-09,5.01647170e-02,7.00000000e-09,3.02393478e-01,7.00000000e-09,3.02393476e-01,7.00000000e-09,2.63028628e+08,7.00000000e-09,1.81991127e+08,7.00000000e-09,2.89647875e+07,7.00000000e-09,2.28943841e+01,1.00,.300,sky130
7.50000000e-09,1.71470894e-07,7.50000000e-09,7.49956944e-09,7.50000000e-09,8.84922604e-16,7.50000000e-09,-5.21075437e-16,7.50000000e-09,-1.76707000e-18,7.50000000e-09,2.49615704e-16,7.50000000e-09,3.73822741e-16,7.50000000e-09,2.49680749e-18,7.50000000e-09,4.05152358e-09,7.50000000e-09,5.20616300e-01,7.50000000e-09,5.01849777e-02,7.50000000e-09,3.05339260e-01,7.50000000e-09,3.05339258e-01,7.50000000e-09,2.46820728e+08,7.50000000e-09,1.93769368e+08,7.50000000e-09,3.08393527e+07,7.50000000e-09,2.28640984e+01,1.00,.300,sky130
8.00000000e-09,1.82670533e-07,8.00000000e-09,7.99954928e-09,8.00000000e-09,8.89046091e-16,8.00000000e-09,-5.26622072e-16,8.00000000e-09,-1.75096372e-18,8.00000000e-09,2.52125877e-16,8.00000000e-09,3.77573737e-16,8.00000000e-09,2.47499373e-18,8.00000000e-09,4.30009640e-09,8.00000000e-09,5.20616249e-01,8.00000000e-09,5.02051927e-02,8.00000000e-09,3.08098714e-01,8.00000000e-09,3.08098712e-01,8.00000000e-09,2.32552926e+08,8.00000000e-09,2.05468013e+08,8.00000000e-09,3.27012498e+07,8.00000000e-09,2.28351032e+01,1.00,.300,sky130
8.50000000e-09,1.93851199e-07,8.50000000e-09,8.49953308e-09,8.50000000e-09,8.92944587e-16,8.50000000e-09,-5.31858079e-16,8.50000000e-09,-1.73623474e-18,8.50000000e-09,2.54493546e-16,8.50000000e-09,3.81112181e-16,8.50000000e-09,2.45504537e-18,8.50000000e-09,4.54765752e-09,8.50000000e-09,5.20616202e-01,8.50000000e-09,5.02253642e-02,8.50000000e-09,3.10694281e-01,8.50000000e-09,3.10694279e-01,8.50000000e-09,2.19893428e+08,8.50000000e-09,2.17092081e+08,8.50000000e-09,3.45512778e+07,8.50000000e-09,2.28072762e+01,1.00,.300,sky130
9.00000000e-09,2.05013681e-07,9.00000000e-09,8.99951992e-09,9.00000000e-09,8.96642151e-16,9.00000000e-09,-5.36817226e-16,9.00000000e-09,-1.72269218e-18,9.00000000e-09,2.56734311e-16,9.00000000e-09,3.84461308e-16,9.00000000e-09,2.43670391e-18,9.00000000e-09,4.79427001e-09,9.00000000e-09,5.20616157e-01,9.00000000e-09,5.02454938e-02,9.00000000e-09,3.13144575e-01,9.00000000e-09,3.13144572e-01,9.00000000e-09,2.08582328e+08,9.00000000e-09,2.28646044e+08,9.00000000e-09,3.63901482e+07,9.00000000e-09,2.27805131e+01,1.00,.300,sky130
9.50000000e-09,2.16158717e-07,9.50000000e-09,9.49950970e-09,9.50000000e-09,9.00159128e-16,9.50000000e-09,-5.41528000e-16,9.50000000e-09,-1.71018057e-18,9.50000000e-09,2.58861321e-16,9.50000000e-09,3.87640705e-16,9.50000000e-09,2.41975882e-18,9.50000000e-09,5.03998964e-09,9.50000000e-09,5.20616115e-01,9.50000000e-09,5.02655832e-02,9.50000000e-09,3.15465201e-01,9.50000000e-09,3.15465199e-01,9.50000000e-09,1.98413106e+08,9.50000000e-09,2.40133895e+08,9.50000000e-09,3.82184963e+07,9.50000000e-09,2.27547236e+01,1.00,.300,sky130
1.00000000e-08,2.27286157e-07,1.00000000e-08,9.99946515e-09,1.00000000e-08,9.03512633e-16,1.00000000e-08,-5.46014332e-16,1.00000000e-08,-1.69857265e-18,1.00000000e-08,2.60885615e-16,1.00000000e-08,3.90666822e-16,1.00000000e-08,2.40403770e-18,1.00000000e-08,5.28484758e-09,1.00000000e-08,5.20616075e-01,1.00000000e-08,5.02856324e-02,1.00000000e-08,3.17669213e-01,1.00000000e-08,3.17669211e-01,1.00000000e-08,1.89220216e+08,1.00000000e-08,2.51558361e+08,1.00000000e-08,4.00367566e+07,1.00000000e-08,2.27298314e+01,1.00,.300,sky130
1.50000000e-08,3.39071414e-07,1.50000000e-08,1.50590789e-08,1.50000000e-08,9.30859271e-16,1.50000000e-08,-5.82412211e-16,1.50000000e-08,-1.61427349e-18,1.50000000e-08,2.77260218e-16,1.50000000e-08,4.15153448e-16,1.50000000e-08,2.28987021e-18,1.50000000e-08,7.72340354e-09,1.50000000e-08,5.20615753e-01,1.50000000e-08,5.04865924e-02,1.50000000e-08,3.35359375e-01,1.50000000e-08,3.35359371e-01,1.50000000e-08,1.29476596e+08,1.50000000e-08,3.64256365e+08,1.50000000e-08,5.79732011e+07,1.50000000e-08,2.25160793e+01,1.00,.300,sky130
2.00000000e-08,4.50046631e-07,2.00000000e-08,2.01379249e-08,2.00000000e-08,9.50850692e-16,2.00000000e-08,-6.08829467e-16,2.00000000e-08,-1.56242299e-18,2.00000000e-08,2.89091914e-16,2.00000000e-08,4.32854453e-16,2.00000000e-08,2.21964965e-18,2.00000000e-08,1.01154808e-08,2.00000000e-08,5.20615522e-01,2.00000000e-08,5.06852883e-02,2.00000000e-08,3.48027858e-01,2.00000000e-08,3.48027852e-01,2.00000000e-08,9.88583751e+07,2.00000000e-08,4.73309463e+08,2.00000000e-08,7.53295407e+07,2.00000000e-08,2.23482127e+01,1.00,.300,sky130
2.50000000e-08,5.56689476e-07,2.50000000e-08,2.50610496e-08,2.50000000e-08,9.66184073e-16,2.50000000e-08,-6.28993958e-16,2.50000000e-08,-1.52717459e-18,2.50000000e-08,2.98093980e-16,2.50000000e-08,4.46325850e-16,2.50000000e-08,2.17191162e-18,2.50000000e-08,1.23939761e-08,2.50000000e-08,5.20615348e-01,2.50000000e-08,5.08754402e-02,2.50000000e-08,3.57628943e-01,2.50000000e-08,3.57628936e-01,2.50000000e-08,8.06843576e+07,2.50000000e-08,5.76173311e+08,2.50000000e-08,9.17008305e+07,2.50000000e-08,2.22133345e+01,1.00,.300,sky130
3.00000000e-08,6.63335077e-07,3.00000000e-08,3.00195730e-08,3.00000000e-08,9.79012350e-16,3.00000000e-08,-6.45804180e-16,3.00000000e-08,-1.50027191e-18,3.00000000e-08,3.05579582e-16,3.00000000e-08,4.57530055e-16,3.00000000e-08,2.13547393e-18,3.00000000e-08,1.46561491e-08,3.00000000e-08,5.20615203e-01,3.00000000e-08,5.10647893e-02,3.00000000e-08,3.65600716e-01,3.00000000e-08,3.65600708e-01,3.00000000e-08,6.82307468e+07,3.00000000e-08,6.77555372e+08,3.00000000e-08,1.07836287e+08,3.00000000e-08,2.20967526e+01,1.00,.300,sky130
3.50000000e-08,7.70025042e-07,3.50000000e-08,3.50108233e-08,3.50000000e-08,9.90054198e-16,3.50000000e-08,-6.60232490e-16,3.50000000e-08,-1.47879145e-18,3.50000000e-08,3.11990856e-16,3.50000000e-08,4.67127669e-16,3.50000000e-08,2.10637732e-18,3.50000000e-08,1.69048931e-08,3.50000000e-08,5.20615079e-01,3.50000000e-08,5.12533781e-02,3.50000000e-08,3.72427181e-01,3.50000000e-08,3.72427171e-01,3.50000000e-08,5.91544705e+07,3.50000000e-08,7.77760494e+08,3.50000000e-08,1.23784427e+08,3.50000000e-08,2.19939141e+01,1.00,.300,sky130
4.00000000e-08,8.76243984e-07,4.00000000e-08,4.00069830e-08,4.00000000e-08,9.99708436e-16,4.00000000e-08,-6.72818167e-16,4.00000000e-08,-1.46116217e-18,4.00000000e-08,3.17573107e-16,4.00000000e-08,4.75485242e-16,4.00000000e-08,2.08249444e-18,4.00000000e-08,1.91307593e-08,4.00000000e-08,5.20614971e-01,4.00000000e-08,5.14402763e-02,4.00000000e-08,3.78374758e-01,4.00000000e-08,3.78374746e-01,4.00000000e-08,5.22718406e+07,4.00000000e-08,8.76499540e+08,4.00000000e-08,1.39499234e+08,4.00000000e-08,2.19022760e+01,1.00,.300,sky130
4.50000000e-08,9.81980942e-07,4.50000000e-08,4.50044161e-08,4.50000000e-08,1.00828269e-15,4.50000000e-08,-6.83973907e-16,4.50000000e-08,-1.44633413e-18,4.50000000e-08,3.22513175e-16,4.50000000e-08,4.82882092e-16,4.50000000e-08,2.06240369e-18,4.50000000e-08,2.13346249e-08,4.50000000e-08,5.20614875e-01,4.50000000e-08,5.16254581e-02,4.50000000e-08,3.83644292e-01,4.50000000e-08,3.83644279e-01,4.50000000e-08,4.68721623e+07,4.50000000e-08,9.73914314e+08,4.50000000e-08,1.55003277e+08,4.50000000e-08,2.18196574e+01,1.00,.300,sky130
