isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.55164457e-08,1.00000000e-09,9.99987504e-10,1.00000000e-09,6.32841715e-16,1.00000000e-09,-2.34405659e-17,1.00000000e-09,-5.14018560e-18,1.00000000e-09,9.42003939e-18,1.00000000e-09,1.80638492e-17,1.00000000e-09,6.81841376e-18,1.00000000e-09,2.75564762e-08,1.00000000e-09,2.22446325e-01,1.00000000e-09,3.48965706e-02,1.00000000e-09,2.77999329e-02,1.00000000e-09,2.77999326e-02,1.00000000e-09,3.62891102e+07,1.00000000e-09,4.03204231e+07,1.00000000e-09,6.41719465e+06,1.00000000e-09,2.55167646e+01,1.00,.150,sky130
1.50000000e-09,3.74846928e-08,1.50000000e-09,1.50101342e-09,1.50000000e-09,6.32345652e-16,1.50000000e-09,-2.69442110e-17,1.50000000e-09,-3.72979213e-18,1.50000000e-09,1.20542748e-17,1.50000000e-09,2.06331526e-17,1.50000000e-09,5.00692839e-18,1.50000000e-09,2.96842712e-08,1.50000000e-09,2.22446269e-01,1.50000000e-09,3.50946329e-02,1.50000000e-09,3.61660582e-02,1.50000000e-09,3.61660577e-02,1.50000000e-09,3.36878744e+07,1.50000000e-09,5.92788022e+07,1.50000000e-09,9.43451439e+06,1.50000000e-09,2.49729232e+01,1.00,.150,sky130
2.00000000e-09,4.91389721e-08,2.00000000e-09,2.00270673e-09,2.00000000e-09,6.32172803e-16,2.00000000e-09,-2.96627058e-17,2.00000000e-09,-2.98908737e-18,2.00000000e-09,1.38996831e-17,2.00000000e-09,2.26807878e-17,2.00000000e-09,4.04472421e-18,2.00000000e-09,3.17088697e-08,2.00000000e-09,2.22446224e-01,2.00000000e-09,3.52837079e-02,2.00000000e-09,4.29614868e-02,2.00000000e-09,4.29614862e-02,2.00000000e-09,3.15369173e+07,2.00000000e-09,7.77302849e+07,2.00000000e-09,1.23711591e+07,2.00000000e-09,2.45362795e+01,1.00,.150,sky130
2.50000000e-09,6.04722202e-08,2.50000000e-09,2.50143578e-09,2.50000000e-09,6.32181835e-16,2.50000000e-09,-3.19621977e-17,2.50000000e-09,-2.53646453e-18,2.50000000e-09,1.53641148e-17,2.50000000e-09,2.44398850e-17,2.50000000e-09,3.45214592e-18,2.50000000e-09,3.36508847e-08,2.50000000e-09,2.22446186e-01,2.50000000e-09,3.54645690e-02,2.50000000e-09,4.86716233e-02,2.50000000e-09,4.86716226e-02,2.50000000e-09,2.97169007e+07,2.50000000e-09,9.56563710e+07,2.50000000e-09,1.52241843e+07,2.50000000e-09,2.41750041e+01,1.00,.150,sky130
3.00000000e-09,7.16156473e-08,3.00000000e-09,3.00072057e-09,3.00000000e-09,6.32305092e-16,3.00000000e-09,-3.40139867e-17,3.00000000e-09,-2.22934773e-18,3.00000000e-09,1.66174174e-17,3.00000000e-09,2.60242339e-17,3.00000000e-09,3.04773988e-18,3.00000000e-09,3.55410158e-08,3.00000000e-09,2.22446152e-01,3.00000000e-09,3.56398542e-02,3.00000000e-09,5.36387229e-02,3.00000000e-09,5.36387220e-02,3.00000000e-09,2.81365058e+07,3.00000000e-09,1.13261222e+08,3.00000000e-09,1.80260833e+07,3.00000000e-09,2.38661500e+01,1.00,.150,sky130
3.50000000e-09,8.26006580e-08,3.50000000e-09,3.50043102e-09,3.50000000e-09,6.32506255e-16,3.50000000e-09,-3.58931420e-17,3.50000000e-09,-2.00709033e-18,3.50000000e-09,1.77327472e-17,3.50000000e-09,2.74838345e-17,3.50000000e-09,2.75375672e-18,3.50000000e-09,3.73880588e-08,3.50000000e-09,2.22446123e-01,3.50000000e-09,3.58104060e-02,3.50000000e-09,5.80426990e-02,3.50000000e-09,5.80426980e-02,3.50000000e-09,2.67465076e+07,3.50000000e-09,1.30592634e+08,3.50000000e-09,2.07844633e+07,3.50000000e-09,2.35972821e+01,1.00,.150,sky130
4.00000000e-09,9.34463103e-08,4.00000000e-09,4.00026903e-09,4.00000000e-09,6.32763059e-16,4.00000000e-09,-3.76424443e-17,4.00000000e-09,-1.83864954e-18,4.00000000e-09,1.87497427e-17,4.00000000e-09,2.88477301e-17,4.00000000e-09,2.53014926e-18,4.00000000e-09,3.91970107e-08,4.00000000e-09,2.22446097e-01,4.00000000e-09,3.59767789e-02,4.00000000e-09,6.20026195e-02,4.00000000e-09,6.20026183e-02,4.00000000e-09,2.55121496e+07,4.00000000e-09,1.47679782e+08,4.00000000e-09,2.35039672e+07,4.00000000e-09,2.33600064e+01,1.00,.150,sky130
4.50000000e-09,1.04170934e-07,4.50000000e-09,4.50016768e-09,4.50000000e-09,6.33061027e-16,4.50000000e-09,-3.92897159e-17,4.50000000e-09,-1.70642587e-18,4.50000000e-09,1.96927166e-17,4.50000000e-09,3.01352429e-17,4.50000000e-09,2.35409482e-18,4.50000000e-09,4.09720236e-08,4.50000000e-09,2.22446073e-01,4.50000000e-09,3.61394558e-02,4.50000000e-09,6.56038955e-02,4.50000000e-09,6.56038942e-02,4.50000000e-09,2.44068980e+07,4.50000000e-09,1.64551172e+08,4.50000000e-09,2.61891324e+07,4.50000000e-09,2.31482339e+01,1.00,.150,sky130
5.00000000e-09,1.14789591e-07,5.00000000e-09,5.00010132e-09,5.00000000e-09,6.33390273e-16,5.00000000e-09,-4.08540203e-17,5.00000000e-09,-1.59974195e-18,5.00000000e-09,2.05775551e-17,5.00000000e-09,3.13598554e-17,5.00000000e-09,2.21168823e-18,5.00000000e-09,4.27163652e-08,5.00000000e-09,2.22446050e-01,5.00000000e-09,3.62988281e-02,5.00000000e-09,6.89092196e-02,5.00000000e-09,6.89092181e-02,5.00000000e-09,2.34102316e+07,5.00000000e-09,1.81230428e+08,5.00000000e-09,2.88437185e+07,5.00000000e-09,2.29574529e+01,1.00,.150,sky130
5.50000000e-09,1.25314567e-07,5.50000000e-09,5.50005647e-09,5.50000000e-09,6.33743778e-16,5.50000000e-09,-4.23490649e-17,5.50000000e-09,-1.51175064e-18,5.50000000e-09,2.14152230e-17,5.50000000e-09,3.25314147e-17,5.50000000e-09,2.09398034e-18,5.50000000e-09,4.44326718e-08,5.50000000e-09,2.22446030e-01,5.50000000e-09,3.64552147e-02,5.50000000e-09,7.19659298e-02,5.50000000e-09,7.19659282e-02,5.50000000e-09,2.25059615e+07,5.50000000e-09,1.97736959e+08,5.50000000e-09,3.14708144e+07,5.50000000e-09,2.27842328e+01,1.00,.150,sky130
