isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.88714198e-08,1.00000000e-09,9.99754359e-10,1.00000000e-09,8.34679251e-16,1.00000000e-09,-1.59076844e-17,1.00000000e-09,-2.30710480e-20,1.00000000e-09,8.20366627e-18,1.00000000e-09,1.22574371e-17,1.00000000e-09,2.80160863e-20,1.00000000e-09,2.22876541e-09,1.00000000e-09,5.44626508e-01,1.00000000e-09,3.84742692e-02,1.00000000e-09,2.83182906e-01,1.00000000e-09,2.83182905e-01,1.00000000e-09,4.48678895e+08,1.00000000e-09,3.45898377e+07,1.00000000e-09,5.50514365e+06,1.00000000e-09,2.88785136e+01,1.00,.150,sky130
1.50000000e-09,4.24125391e-08,1.50000000e-09,1.50489396e-09,1.50000000e-09,8.31992492e-16,1.50000000e-09,-1.81438198e-17,1.50000000e-09,-2.37493311e-20,1.50000000e-09,9.50953124e-18,1.50000000e-09,1.42116444e-17,1.50000000e-09,2.88681283e-20,1.50000000e-09,3.24172031e-09,1.50000000e-09,5.44626479e-01,1.50000000e-09,3.85550801e-02,1.50000000e-09,2.96492199e-01,1.50000000e-09,2.96492198e-01,1.50000000e-09,3.08478186e+08,1.50000000e-09,5.09770696e+07,1.50000000e-09,8.11325260e+06,1.50000000e-09,2.81830749e+01,1.00,.150,sky130
2.00000000e-09,5.55852900e-08,2.00000000e-09,2.01138536e-09,2.00000000e-09,8.30261642e-16,2.00000000e-09,-1.99796626e-17,2.00000000e-09,-2.43231029e-20,2.00000000e-09,1.05865933e-17,2.00000000e-09,1.58235834e-17,2.00000000e-09,2.95854435e-20,2.00000000e-09,4.22964940e-09,2.00000000e-09,5.44626459e-01,2.00000000e-09,3.86340570e-02,2.00000000e-09,3.06149255e-01,2.00000000e-09,3.06149254e-01,2.00000000e-09,2.36426215e+08,2.00000000e-09,6.69491244e+07,2.00000000e-09,1.06552841e+07,2.00000000e-09,2.76353260e+01,1.00,.150,sky130
2.50000000e-09,6.81070106e-08,2.50000000e-09,2.50474199e-09,2.50000000e-09,8.29066955e-16,2.50000000e-09,-2.15319446e-17,2.50000000e-09,-2.48129616e-20,2.50000000e-09,1.14998050e-17,2.50000000e-09,1.71903788e-17,2.50000000e-09,3.01962575e-20,2.50000000e-09,5.17233793e-09,2.50000000e-09,5.44626443e-01,2.50000000e-09,3.87095188e-02,2.50000000e-09,3.13585603e-01,2.50000000e-09,3.13585602e-01,2.50000000e-09,1.93336169e+08,2.50000000e-09,8.21489871e+07,2.50000000e-09,1.30744174e+07,2.50000000e-09,2.71912281e+01,1.00,.150,sky130
3.00000000e-09,8.04555703e-08,3.00000000e-09,3.00138985e-09,3.00000000e-09,8.28166576e-16,3.00000000e-09,-2.29341199e-17,3.00000000e-09,-2.52562097e-20,3.00000000e-09,1.23261478e-17,3.00000000e-09,1.84272106e-17,3.00000000e-09,3.07480296e-20,3.00000000e-09,6.10578441e-09,3.00000000e-09,5.44626429e-01,3.00000000e-09,3.87843129e-02,3.00000000e-09,3.19812615e-01,3.00000000e-09,3.19812614e-01,3.00000000e-09,1.63779120e+08,3.00000000e-09,9.71490189e+07,3.00000000e-09,1.54617466e+07,3.00000000e-09,2.68061047e+01,1.00,.150,sky130
3.50000000e-09,9.26464015e-08,3.50000000e-09,3.50064301e-09,3.50000000e-09,8.27468435e-16,3.50000000e-09,-2.42243579e-17,3.50000000e-09,-2.56632495e-20,3.50000000e-09,1.30873953e-17,3.50000000e-09,1.95666497e-17,3.50000000e-09,3.12541248e-20,3.50000000e-09,7.03105673e-09,3.50000000e-09,5.44626418e-01,3.50000000e-09,3.88585068e-02,3.50000000e-09,3.25181877e-01,3.50000000e-09,3.25181876e-01,3.50000000e-09,1.42226132e+08,3.50000000e-09,1.11963668e+08,3.50000000e-09,1.78195713e+07,3.50000000e-09,2.64655383e+01,1.00,.150,sky130
4.00000000e-09,1.04651899e-07,4.00000000e-09,4.00029955e-09,4.00000000e-09,8.26918921e-16,4.00000000e-09,-2.54232937e-17,4.00000000e-09,-2.60399750e-20,4.00000000e-09,1.37953000e-17,4.00000000e-09,2.06262754e-17,4.00000000e-09,3.17221091e-20,4.00000000e-09,7.94582432e-09,4.00000000e-09,5.44626408e-01,4.00000000e-09,3.89319012e-02,4.00000000e-09,3.29894616e-01,4.00000000e-09,3.29894614e-01,4.00000000e-09,1.25852266e+08,4.00000000e-09,1.26556421e+08,4.00000000e-09,2.01420799e+07,4.00000000e-09,2.61610156e+01,1.00,.150,sky130
4.50000000e-09,1.16487138e-07,4.50000000e-09,4.50007877e-09,4.50000000e-09,8.26481253e-16,4.50000000e-09,-2.65487007e-17,4.50000000e-09,-2.63918036e-20,4.50000000e-09,1.44600945e-17,4.50000000e-09,2.16213962e-17,4.50000000e-09,3.21588592e-20,4.50000000e-09,8.85094472e-09,4.50000000e-09,5.44626399e-01,4.50000000e-09,3.90045559e-02,4.50000000e-09,3.34099086e-01,4.50000000e-09,3.34099085e-01,4.50000000e-09,1.12982290e+08,4.50000000e-09,1.40943473e+08,4.50000000e-09,2.24318504e+07,4.50000000e-09,2.58855775e+01,1.00,.150,sky130
5.00000000e-09,1.28169018e-07,5.00000000e-09,4.99994527e-09,5.00000000e-09,8.26130387e-16,5.00000000e-09,-2.76136869e-17,5.00000000e-09,-2.67228584e-20,5.00000000e-09,1.50893558e-17,5.00000000e-09,2.25633484e-17,5.00000000e-09,3.25695898e-20,5.00000000e-09,9.74741935e-09,5.00000000e-09,5.44626391e-01,5.00000000e-09,3.90765445e-02,5.00000000e-09,3.37899195e-01,5.00000000e-09,3.37899194e-01,5.00000000e-09,1.02591257e+08,5.00000000e-09,1.55143813e+08,5.00000000e-09,2.46919047e+07,5.00000000e-09,2.56340842e+01,1.00,.150,sky130
5.50000000e-09,1.39711317e-07,5.50000000e-09,5.49986169e-09,5.50000000e-09,8.25848678e-16,5.50000000e-09,-2.86279388e-17,5.50000000e-09,-2.70362589e-20,5.50000000e-09,1.56886985e-17,5.50000000e-09,2.34605319e-17,5.50000000e-09,3.29582367e-20,5.50000000e-09,1.06360296e-08,5.50000000e-09,5.44626383e-01,5.50000000e-09,3.91479246e-02,5.50000000e-09,3.41369528e-01,5.50000000e-09,3.41369527e-01,5.50000000e-09,9.40200468e+07,5.50000000e-09,1.69173023e+08,5.50000000e-09,2.69247229e+07,5.50000000e-09,2.54026965e+01,1.00,.150,sky130
6.00000000e-09,1.51125832e-07,6.00000000e-09,5.99980546e-09,6.00000000e-09,8.25623239e-16,6.00000000e-09,-2.95988685e-17,6.00000000e-09,-2.73344374e-20,6.00000000e-09,1.62624298e-17,6.00000000e-09,2.43193917e-17,6.00000000e-09,3.33278628e-20,6.00000000e-09,1.15174271e-08,6.00000000e-09,5.44626376e-01,6.00000000e-09,3.92187444e-02,6.00000000e-09,3.44565577e-01,6.00000000e-09,3.44565575e-01,6.00000000e-09,8.68249469e+07,6.00000000e-09,1.83044547e+08,6.00000000e-09,2.91324445e+07,6.00000000e-09,2.51884554e+01,1.00,.150,sky130
6.50000000e-09,1.62422839e-07,6.50000000e-09,6.49976684e-09,6.50000000e-09,8.25444383e-16,6.50000000e-09,-3.05322952e-17,6.50000000e-09,-2.76193323e-20,6.50000000e-09,1.68139395e-17,6.50000000e-09,2.51449992e-17,6.50000000e-09,3.36809051e-20,6.50000000e-09,1.23921698e-08,6.50000000e-09,5.44626370e-01,6.50000000e-09,3.92890456e-02,6.50000000e-09,3.47529788e-01,6.50000000e-09,3.47529786e-01,6.50000000e-09,8.06961183e+07,6.50000000e-09,1.96770179e+08,6.50000000e-09,3.13169466e+07,6.50000000e-09,2.49890254e+01,1.00,.150,sky130
7.00000000e-09,1.73611226e-07,7.00000000e-09,6.99973840e-09,7.00000000e-09,8.25304660e-16,7.00000000e-09,-3.14328700e-17,7.00000000e-09,-2.78925127e-20,7.00000000e-09,1.73459422e-17,7.00000000e-09,2.59414165e-17,7.00000000e-09,3.40193339e-20,7.00000000e-09,1.32607299e-08,7.00000000e-09,5.44626364e-01,7.00000000e-09,3.93588634e-02,7.00000000e-09,3.50295336e-01,7.00000000e-09,3.50295334e-01,7.00000000e-09,7.54106302e+07,7.00000000e-09,2.10360167e+08,7.00000000e-09,3.34798604e+07,7.00000000e-09,2.48025306e+01,1.00,.150,sky130
7.50000000e-09,1.84698829e-07,7.50000000e-09,7.49971776e-09,7.50000000e-09,8.25198220e-16,7.50000000e-09,-3.23043815e-17,7.50000000e-09,-2.81552704e-20,7.50000000e-09,1.78606539e-17,7.50000000e-09,2.67119591e-17,7.50000000e-09,3.43447694e-20,7.50000000e-09,1.41235187e-08,7.50000000e-09,5.44626359e-01,7.50000000e-09,3.94282288e-02,7.50000000e-09,3.52888671e-01,7.50000000e-09,3.52888669e-01,7.50000000e-09,7.08038855e+07,7.50000000e-09,2.23823591e+08,7.50000000e-09,3.56226309e+07,7.50000000e-09,2.46274373e+01,1.00,.150,sky130
8.00000000e-09,1.95692495e-07,8.00000000e-09,7.99970102e-09,8.00000000e-09,8.25120396e-16,8.00000000e-09,-3.31499540e-17,8.00000000e-09,-2.84086805e-20,8.00000000e-09,1.83599049e-17,8.00000000e-09,2.74593659e-17,8.00000000e-09,3.46585587e-20,8.00000000e-09,1.49808889e-08,8.00000000e-09,5.44626353e-01,8.00000000e-09,3.94971681e-02,8.00000000e-09,3.55331204e-01,8.00000000e-09,3.55331201e-01,8.00000000e-09,6.67517134e+07,8.00000000e-09,2.37168413e+08,8.00000000e-09,3.77465253e+07,8.00000000e-09,2.44624761e+01,1.00,.150,sky130
8.50000000e-09,2.06598364e-07,8.50000000e-09,8.49968817e-09,8.50000000e-09,8.25067402e-16,8.50000000e-09,-3.39722052e-17,8.50000000e-09,-2.86536510e-20,8.50000000e-09,1.88452317e-17,8.50000000e-09,2.81859357e-17,8.50000000e-09,3.49618385e-20,8.50000000e-09,1.58331547e-08,8.50000000e-09,5.44626349e-01,8.50000000e-09,3.95657053e-02,8.50000000e-09,3.57640541e-01,8.50000000e-09,3.57640539e-01,8.50000000e-09,6.31586073e+07,8.50000000e-09,2.50401801e+08,8.50000000e-09,3.98526844e+07,8.50000000e-09,2.43065816e+01,1.00,.150,sky130
9.00000000e-09,2.17421892e-07,9.00000000e-09,8.99967842e-09,9.00000000e-09,8.25036132e-16,9.00000000e-09,-3.47733476e-17,9.00000000e-09,-2.88909546e-20,9.00000000e-09,1.93179348e-17,9.00000000e-09,2.88936147e-17,9.00000000e-09,3.52555756e-20,9.00000000e-09,1.66805920e-08,9.00000000e-09,5.44626344e-01,9.00000000e-09,3.96338610e-02,9.00000000e-09,3.59831326e-01,9.00000000e-09,3.59831323e-01,9.00000000e-09,5.99499106e+07,9.00000000e-09,2.63530145e+08,9.00000000e-09,4.19421253e+07,9.00000000e-09,2.41588512e+01,1.00,.150,sky130
9.50000000e-09,2.28167960e-07,9.50000000e-09,9.49967050e-09,9.50000000e-09,8.25024006e-16,9.50000000e-09,-3.55552701e-17,9.50000000e-09,-2.91212552e-20,9.50000000e-09,1.97791262e-17,9.50000000e-09,2.95840667e-17,9.50000000e-09,3.55406000e-20,9.50000000e-09,1.75234450e-08,9.50000000e-09,5.44626339e-01,9.50000000e-09,3.97016538e-02,9.50000000e-09,3.61915869e-01,9.50000000e-09,3.61915866e-01,9.50000000e-09,5.70664045e+07,9.50000000e-09,2.76559177e+08,9.50000000e-09,4.40157601e+07,9.50000000e-09,2.40185131e+01,1.00,.150,sky130
1.00000000e-08,2.38840393e-07,1.00000000e-08,9.99963611e-09,1.00000000e-08,8.25028858e-16,1.00000000e-08,-3.63195597e-17,1.00000000e-08,-2.93451162e-20,1.00000000e-08,2.02297414e-17,1.00000000e-08,3.02586916e-17,1.00000000e-08,3.58176157e-20,1.00000000e-08,1.83618867e-08,1.00000000e-08,5.44626335e-01,1.00000000e-08,3.97690967e-02,1.00000000e-08,3.63904522e-01,1.00000000e-08,3.63904519e-01,1.00000000e-08,5.44606345e+07,1.00000000e-08,2.89493380e+08,1.00000000e-08,4.60743024e+07,1.00000000e-08,2.38849084e+01,1.00,.150,sky130
1.50000000e-08,3.43153243e-07,1.50000000e-08,1.50425961e-08,1.50000000e-08,8.25719281e-16,1.50000000e-08,-4.32927214e-17,1.50000000e-08,-3.13323102e-20,1.50000000e-08,2.43314609e-17,1.50000000e-08,3.63997257e-17,1.50000000e-08,3.82753419e-20,1.50000000e-08,2.66116265e-08,1.50000000e-08,5.44626301e-01,1.50000000e-08,4.04328101e-02,1.50000000e-08,3.80142046e-01,1.50000000e-08,3.80142041e-01,1.50000000e-08,3.75775604e+07,1.50000000e-08,4.15580998e+08,1.50000000e-08,6.61417700e+07,1.50000000e-08,2.28121023e+01,1.00,.150,sky130
2.00000000e-08,4.43170070e-07,2.00000000e-08,2.00953532e-08,2.00000000e-08,8.27067793e-16,2.00000000e-08,-4.93920270e-17,2.00000000e-08,-3.29944751e-20,2.00000000e-08,2.79027655e-17,2.00000000e-08,4.17469698e-17,2.00000000e-08,4.03298297e-20,2.00000000e-08,3.45768061e-08,2.00000000e-08,5.44626275e-01,2.00000000e-08,4.10735686e-02,2.00000000e-08,3.92121648e-01,2.00000000e-08,3.92121642e-01,2.00000000e-08,2.89211212e+07,2.00000000e-08,5.35832822e+08,2.00000000e-08,8.52804423e+07,2.00000000e-08,2.20533605e+01,1.00,.150,sky130
2.50000000e-08,5.38038953e-07,2.50000000e-08,2.50410862e-08,2.50000000e-08,8.28699839e-16,2.50000000e-08,-5.48285102e-17,2.50000000e-08,-3.44228626e-20,2.50000000e-08,3.10719561e-17,2.50000000e-08,4.64923579e-17,2.50000000e-08,4.20948196e-20,2.50000000e-08,4.21479243e-08,2.50000000e-08,5.44626255e-01,2.50000000e-08,4.16823701e-02,2.50000000e-08,4.01496751e-01,2.50000000e-08,4.01496743e-01,2.50000000e-08,2.37259608e+07,2.50000000e-08,6.49256736e+08,2.50000000e-08,1.03332419e+08,2.50000000e-08,2.14862466e+01,1.00,.150,sky130
3.00000000e-08,6.31178459e-07,3.00000000e-08,3.00146030e-08,3.00000000e-08,8.30517345e-16,3.00000000e-08,-5.99229002e-17,3.00000000e-08,-3.57207877e-20,3.00000000e-08,3.40295705e-17,3.00000000e-08,5.09211063e-17,3.00000000e-08,4.36983308e-20,3.00000000e-08,4.95761451e-08,3.00000000e-08,5.44626239e-01,3.00000000e-08,4.22793332e-02,3.00000000e-08,4.09399852e-01,3.00000000e-08,4.09399844e-01,3.00000000e-08,2.01709915e+07,3.00000000e-08,7.59982272e+08,3.00000000e-08,1.20954935e+08,3.00000000e-08,2.10290458e+01,1.00,.150,sky130
3.50000000e-08,7.22897917e-07,3.50000000e-08,3.50082319e-08,3.50000000e-08,8.32451386e-16,3.50000000e-08,-6.47548369e-17,3.50000000e-08,-3.69191767e-20,3.50000000e-08,3.68240776e-17,3.50000000e-08,5.51057466e-17,3.50000000e-08,4.51787261e-20,3.50000000e-08,5.68740468e-08,3.50000000e-08,5.44626224e-01,3.50000000e-08,4.28654246e-02,3.50000000e-08,4.16247099e-01,3.50000000e-08,4.16247089e-01,3.50000000e-08,1.75827123e+07,3.50000000e-08,8.68396556e+08,3.50000000e-08,1.38209604e+08,3.50000000e-08,2.06493695e+01,1.00,.150,sky130
4.00000000e-08,8.13208938e-07,4.00000000e-08,4.00051992e-08,4.00000000e-08,8.34456963e-16,4.00000000e-08,-6.93659583e-17,4.00000000e-08,-3.80358791e-20,4.00000000e-08,3.94813533e-17,4.00000000e-08,5.90849959e-17,4.00000000e-08,4.65581380e-20,4.00000000e-08,6.40355226e-08,4.00000000e-08,5.44626212e-01,4.00000000e-08,4.34401343e-02,4.00000000e-08,4.22284459e-01,4.00000000e-08,4.22284447e-01,4.00000000e-08,1.56163323e+07,4.00000000e-08,9.74536704e+08,4.00000000e-08,1.55102334e+08,4.00000000e-08,2.03275813e+01,1.00,.150,sky130
4.50000000e-08,9.02306911e-07,4.50000000e-08,4.50033082e-08,4.50000000e-08,8.36509169e-16,4.50000000e-08,-7.37950339e-17,4.50000000e-08,-3.90858579e-20,4.50000000e-08,4.20252061e-17,4.50000000e-08,6.28944846e-17,4.50000000e-08,4.78550957e-20,4.50000000e-08,7.10721724e-08,4.50000000e-08,5.44626200e-01,4.50000000e-08,4.40043877e-02,4.50000000e-08,4.27690253e-01,4.50000000e-08,4.27690240e-01,4.50000000e-08,1.40702045e+07,4.50000000e-08,1.07865753e+09,4.50000000e-08,1.71673677e+08,4.50000000e-08,2.00497907e+01,1.00,.150,sky130
5.00000000e-08,9.90359000e-07,5.00000000e-08,5.00021661e-08,5.00000000e-08,8.38592243e-16,5.00000000e-08,-7.80712322e-17,5.00000000e-08,-4.00802238e-20,5.00000000e-08,4.44735751e-17,5.00000000e-08,6.65610600e-17,5.00000000e-08,4.90833505e-20,5.00000000e-08,7.79951944e-08,5.00000000e-08,5.44626190e-01,5.00000000e-08,4.45590844e-02,5.00000000e-08,4.32590032e-01,5.00000000e-08,4.32590018e-01,5.00000000e-08,1.28213027e+07,5.00000000e-08,1.18097801e+09,5.00000000e-08,1.87958488e+08,5.00000000e-08,1.98063220e+01,1.00,.150,sky130
