isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.15286758e-08,1.00000000e-09,9.99904347e-10,1.00000000e-09,8.65138199e-16,1.00000000e-09,-4.38553311e-17,1.00000000e-09,-3.35086110e-18,1.00000000e-09,2.48519457e-17,1.00000000e-09,3.91559875e-17,1.00000000e-09,3.88400578e-18,1.00000000e-09,8.57637527e-09,1.00000000e-09,3.37613936e-01,1.00000000e-09,5.42406446e-02,1.00000000e-09,6.97187110e-02,1.00000000e-09,6.97187107e-02,1.00000000e-09,1.16599375e+08,1.00000000e-09,2.48846667e+07,1.00000000e-09,3.96051772e+06,1.00000000e-09,2.15307352e+01,1.00,.150,sky130
1.50000000e-09,3.19711365e-08,1.50000000e-09,1.50314674e-09,1.50000000e-09,8.64444299e-16,1.50000000e-09,-4.99362831e-17,1.50000000e-09,-2.52431805e-18,1.50000000e-09,2.87645928e-17,1.50000000e-09,4.43075077e-17,1.50000000e-09,2.94893599e-18,1.50000000e-09,1.00262650e-08,1.50000000e-09,3.37613906e-01,1.50000000e-09,5.44124480e-02,1.50000000e-09,8.37981153e-02,1.50000000e-09,8.37981148e-02,1.50000000e-09,9.97380385e+07,1.50000000e-09,3.69846115e+07,1.50000000e-09,5.88628374e+06,1.50000000e-09,2.12694713e+01,1.00,.150,sky130
2.00000000e-09,4.21157133e-08,2.00000000e-09,1.99989080e-09,2.00000000e-09,8.64398784e-16,2.00000000e-09,-5.47735591e-17,2.00000000e-09,-2.11163412e-18,2.00000000e-09,3.17707512e-17,2.00000000e-09,4.84624396e-17,2.00000000e-09,2.47858473e-18,2.00000000e-09,1.14014984e-08,2.00000000e-09,3.37613884e-01,2.00000000e-09,5.45751884e-02,2.00000000e-09,9.42469054e-02,2.00000000e-09,9.42469048e-02,2.00000000e-09,8.77077701e+07,2.00000000e-09,4.87225503e+07,2.00000000e-09,7.75443472e+06,2.00000000e-09,2.10590065e+01,1.00,.150,sky130
2.50000000e-09,5.22496649e-08,2.50000000e-09,2.50271522e-09,2.50000000e-09,8.64673237e-16,2.50000000e-09,-5.89831178e-17,2.50000000e-09,-1.85624345e-18,2.50000000e-09,3.43378924e-17,2.50000000e-09,5.20948845e-17,2.50000000e-09,2.18614358e-18,2.50000000e-09,1.27510258e-08,2.50000000e-09,3.37613866e-01,2.50000000e-09,5.47347703e-02,2.50000000e-09,1.02756864e-01,2.50000000e-09,1.02756864e-01,2.50000000e-09,7.84250631e+07,2.50000000e-09,6.04270638e+07,2.50000000e-09,9.61726590e+06,2.50000000e-09,2.08771915e+01,1.00,.150,sky130
3.00000000e-09,6.21909394e-08,3.00000000e-09,3.00164600e-09,3.00000000e-09,8.65125645e-16,3.00000000e-09,-6.26981166e-17,3.00000000e-09,-1.68396801e-18,3.00000000e-09,3.65760125e-17,3.00000000e-09,5.53048626e-17,3.00000000e-09,1.98822297e-18,3.00000000e-09,1.40556360e-08,3.00000000e-09,3.37613850e-01,3.00000000e-09,5.48890392e-02,3.00000000e-09,1.09835344e-01,3.00000000e-09,1.09835343e-01,3.00000000e-09,7.11458378e+07,3.00000000e-09,7.18865980e+07,3.00000000e-09,1.14411074e+07,3.00000000e-09,2.07189454e+01,1.00,.150,sky130
3.50000000e-09,7.20366085e-08,3.50000000e-09,3.50077472e-09,3.50000000e-09,8.65687524e-16,3.50000000e-09,-6.60768407e-17,3.50000000e-09,-1.55818503e-18,3.50000000e-09,3.85940163e-17,3.50000000e-09,5.82240826e-17,3.50000000e-09,1.84335857e-18,3.50000000e-09,1.53316783e-08,3.50000000e-09,3.37613837e-01,3.50000000e-09,5.50399952e-02,3.50000000e-09,1.15945279e-01,3.50000000e-09,1.15945278e-01,3.50000000e-09,6.52244314e+07,3.50000000e-09,8.32131763e+07,3.50000000e-09,1.32437883e+07,3.50000000e-09,2.05773334e+01,1.00,.150,sky130
4.00000000e-09,8.18036130e-08,4.00000000e-09,4.00042105e-09,4.00000000e-09,8.66319979e-16,4.00000000e-09,-6.91972437e-17,4.00000000e-09,-1.46174851e-18,4.00000000e-09,4.04454413e-17,4.00000000e-09,6.09181567e-17,4.00000000e-09,1.73207714e-18,4.00000000e-09,1.65837623e-08,4.00000000e-09,3.37613826e-01,4.00000000e-09,5.51882166e-02,4.00000000e-09,1.21330688e-01,4.00000000e-09,1.21330687e-01,4.00000000e-09,6.02999478e+07,4.00000000e-09,9.44265572e+07,4.00000000e-09,1.50284533e+07,4.00000000e-09,2.04487508e+01,1.00,.150,sky130
4.50000000e-09,9.14934321e-08,4.50000000e-09,4.50023081e-09,4.50000000e-09,8.66998735e-16,4.50000000e-09,-7.21082438e-17,4.50000000e-09,-1.38518755e-18,4.50000000e-09,4.21634651e-17,4.50000000e-09,6.34287960e-17,4.50000000e-09,1.64359224e-18,4.50000000e-09,1.78139170e-08,4.50000000e-09,3.37613815e-01,4.50000000e-09,5.53339569e-02,4.50000000e-09,1.26147679e-01,4.50000000e-09,1.26147678e-01,4.50000000e-09,5.61358851e+07,4.50000000e-09,1.05528911e+08,4.50000000e-09,1.67954478e+07,4.50000000e-09,2.03308310e+01,1.00,.150,sky130
5.00000000e-09,1.01111198e-07,5.00000000e-09,5.00011148e-09,5.00000000e-09,8.67708364e-16,5.00000000e-09,-7.48459588e-17,5.00000000e-09,-1.32272903e-18,5.00000000e-09,4.37720893e-17,5.00000000e-09,6.57871228e-17,5.00000000e-09,1.57131252e-18,5.00000000e-09,1.90242581e-08,5.00000000e-09,3.37613806e-01,5.00000000e-09,5.54774695e-02,5.00000000e-09,1.30507980e-01,5.00000000e-09,1.30507978e-01,5.00000000e-09,5.25644677e+07,5.00000000e-09,1.16526707e+08,5.00000000e-09,1.85458014e+07,5.00000000e-09,2.02217887e+01,1.00,.150,sky130
5.50000000e-09,1.10662106e-07,5.50000000e-09,5.50003278e-09,5.50000000e-09,8.68438625e-16,5.50000000e-09,-7.74374598e-17,5.50000000e-09,-1.27066164e-18,5.50000000e-09,4.52890574e-17,5.50000000e-09,6.80166319e-17,5.50000000e-09,1.51099209e-18,5.50000000e-09,2.02166244e-08,5.50000000e-09,3.37613798e-01,5.50000000e-09,5.56189693e-02,5.50000000e-09,1.34493408e-01,5.50000000e-09,1.34493407e-01,5.50000000e-09,4.94642418e+07,5.50000000e-09,1.27426513e+08,5.50000000e-09,2.02805594e+07,5.50000000e-09,2.01202630e+01,1.00,.150,sky130
6.00000000e-09,1.20150759e-07,6.00000000e-09,5.99997951e-09,6.00000000e-09,8.69182489e-16,6.00000000e-09,-7.99035338e-17,6.00000000e-09,-1.22648896e-18,6.00000000e-09,4.67278533e-17,6.00000000e-09,7.01354586e-17,6.00000000e-09,1.45977007e-18,6.00000000e-09,2.13925669e-08,6.00000000e-09,3.37613790e-01,6.00000000e-09,5.57586345e-02,6.00000000e-09,1.38165497e-01,6.00000000e-09,1.38165495e-01,6.00000000e-09,4.67452086e+07,6.00000000e-09,1.38234215e+08,6.00000000e-09,2.20006587e+07,6.00000000e-09,2.00251949e+01,1.00,.150,sky130
6.50000000e-09,1.29581176e-07,6.50000000e-09,6.49994197e-09,6.50000000e-09,8.69935005e-16,6.50000000e-09,-8.22605266e-17,6.50000000e-09,-1.18846726e-18,6.50000000e-09,4.80989916e-17,6.50000000e-09,7.21579197e-17,6.50000000e-09,1.41564521e-18,6.50000000e-09,2.25533992e-08,6.50000000e-09,3.37613782e-01,6.50000000e-09,5.58966137e-02,6.50000000e-09,1.41571672e-01,6.50000000e-09,1.41571670e-01,6.50000000e-09,4.43392142e+07,6.50000000e-09,1.48955009e+08,6.50000000e-09,2.37069259e+07,6.50000000e-09,1.99357436e+01,1.00,.150,sky130
7.00000000e-09,1.38956897e-07,7.00000000e-09,6.99991425e-09,7.00000000e-09,8.70692620e-16,7.00000000e-09,-8.45215624e-17,7.00000000e-09,-1.15533966e-18,7.00000000e-09,4.94108558e-17,7.00000000e-09,7.40955448e-17,7.00000000e-09,1.37717313e-18,7.00000000e-09,2.37002483e-08,7.00000000e-09,3.37613776e-01,7.00000000e-09,5.60330329e-02,7.00000000e-09,1.44749271e-01,7.00000000e-09,1.44749269e-01,7.00000000e-09,4.21936508e+07,7.00000000e-09,1.59593516e+08,7.00000000e-09,2.54000970e+07,7.00000000e-09,1.98512285e+01,1.00,.150,sky130
7.50000000e-09,1.48281069e-07,7.50000000e-09,7.49989336e-09,7.50000000e-09,8.71452745e-16,7.50000000e-09,-8.66973651e-17,7.50000000e-09,-1.12617599e-18,7.50000000e-09,5.06702560e-17,7.50000000e-09,7.59577768e-17,7.50000000e-09,1.34328368e-18,7.50000000e-09,2.48340908e-08,7.50000000e-09,3.37613769e-01,7.50000000e-09,5.61680004e-02,7.50000000e-09,1.47728226e-01,7.50000000e-09,1.47728224e-01,7.50000000e-09,4.02672282e+07,7.50000000e-09,1.70153884e+08,7.50000000e-09,2.70808318e+07,7.50000000e-09,1.97710904e+01,1.00,.150,sky130
8.00000000e-09,1.57556481e-07,8.00000000e-09,7.99987667e-09,8.00000000e-09,8.72213467e-16,8.00000000e-09,-8.87968214e-17,8.00000000e-09,-1.10027224e-18,8.00000000e-09,5.18828074e-17,8.00000000e-09,7.77524551e-17,8.00000000e-09,1.31316609e-18,8.00000000e-09,2.59557771e-08,8.00000000e-09,3.37613763e-01,8.00000000e-09,5.63016098e-02,8.00000000e-09,1.50532897e-01,8.00000000e-09,1.50532894e-01,8.00000000e-09,3.85270684e+07,8.00000000e-09,1.80639817e+08,8.00000000e-09,2.87497198e+07,8.00000000e-09,1.96948638e+01,1.00,.150,sky130
8.50000000e-09,1.66785648e-07,8.50000000e-09,8.49986342e-09,8.50000000e-09,8.72973367e-16,8.50000000e-09,-9.08273973e-17,8.50000000e-09,-1.07708509e-18,8.50000000e-09,5.30532069e-17,8.50000000e-09,7.94861754e-17,8.50000000e-09,1.28619406e-18,8.50000000e-09,2.70660576e-08,8.50000000e-09,3.37613758e-01,8.50000000e-09,5.64339433e-02,8.50000000e-09,1.53183386e-01,8.50000000e-09,1.53183383e-01,8.50000000e-09,3.69466441e+07,8.50000000e-09,1.91054681e+08,8.50000000e-09,3.04072969e+07,8.50000000e-09,1.96221563e+01,1.00,.150,sky130
9.00000000e-09,1.75970831e-07,9.00000000e-09,8.99985307e-09,9.00000000e-09,8.73731378e-16,9.00000000e-09,-9.27954310e-17,9.00000000e-09,-1.05618815e-18,9.00000000e-09,5.41854265e-17,9.00000000e-09,8.11645432e-17,9.00000000e-09,1.26187564e-18,9.00000000e-09,2.81655965e-08,9.00000000e-09,3.37613752e-01,9.00000000e-09,5.65650731e-02,9.00000000e-09,1.55696475e-01,9.00000000e-09,1.55696472e-01,9.00000000e-09,3.55043075e+07,9.00000000e-09,2.01401524e+08,9.00000000e-09,3.20540482e+07,9.00000000e-09,1.95526338e+01,1.00,.150,sky130
9.50000000e-09,1.85114054e-07,9.50000000e-09,9.49984405e-09,9.50000000e-09,8.74486698e-16,9.50000000e-09,-9.47063519e-17,9.50000000e-09,-1.03724177e-18,9.50000000e-09,5.52828576e-17,9.50000000e-09,8.27923650e-17,9.50000000e-09,1.23981872e-18,9.50000000e-09,2.92549828e-08,9.50000000e-09,3.37613747e-01,9.50000000e-09,5.66950632e-02,9.50000000e-09,1.58086315e-01,9.50000000e-09,1.58086312e-01,9.50000000e-09,3.41822111e+07,9.50000000e-09,2.11683098e+08,9.50000000e-09,3.36904114e+07,9.50000000e-09,1.94860097e+01,1.00,.150,sky130
