isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.81838143e-08,1.00000000e-09,9.99853419e-10,1.00000000e-09,7.28302728e-16,1.00000000e-09,-1.77286933e-17,1.00000000e-09,-1.22099558e-19,1.00000000e-09,8.88921287e-18,1.00000000e-09,1.32547676e-17,1.00000000e-09,1.59955037e-19,1.00000000e-09,3.71547414e-09,1.00000000e-09,3.90204464e-01,1.00000000e-09,3.61659698e-02,1.00000000e-09,1.48152393e-01,1.00000000e-09,1.48152393e-01,1.00000000e-09,2.69144654e+08,1.00000000e-09,3.86979387e+07,1.00000000e-09,6.15896823e+06,1.00000000e-09,2.81879461e+01,1.00,.200,sky130
1.50000000e-09,4.12415340e-08,1.50000000e-09,1.50464431e-09,1.50000000e-09,7.26393536e-16,1.50000000e-09,-2.02388430e-17,1.50000000e-09,-1.14864582e-19,1.50000000e-09,1.02874166e-17,1.50000000e-09,1.53392288e-17,1.50000000e-09,1.50873553e-19,1.50000000e-09,5.18019234e-09,1.50000000e-09,3.90204415e-01,1.50000000e-09,3.62828860e-02,1.50000000e-09,1.61177412e-01,1.50000000e-09,1.61177411e-01,1.50000000e-09,1.93043025e+08,1.50000000e-09,5.67757448e+07,1.50000000e-09,9.03614043e+06,1.50000000e-09,2.74094905e+01,1.00,.200,sky130
2.00000000e-09,5.39025698e-08,2.00000000e-09,2.01062716e-09,2.00000000e-09,7.25232855e-16,2.00000000e-09,-2.23156430e-17,2.00000000e-09,-1.10822769e-19,2.00000000e-09,1.14473822e-17,2.00000000e-09,1.70699463e-17,2.00000000e-09,1.45816013e-19,2.00000000e-09,6.58113646e-09,2.00000000e-09,3.90204379e-01,2.00000000e-09,3.63957352e-02,2.00000000e-09,1.70692209e-01,2.00000000e-09,1.70692208e-01,2.00000000e-09,1.51949440e+08,2.00000000e-09,7.43245007e+07,2.00000000e-09,1.18291117e+07,2.00000000e-09,2.68088341e+01,1.00,.200,sky130
2.50000000e-09,6.59407384e-08,2.50000000e-09,2.50449662e-09,2.50000000e-09,7.24484064e-16,2.50000000e-09,-2.40858491e-17,2.50000000e-09,-1.08288303e-19,2.50000000e-09,1.24375089e-17,2.50000000e-09,1.85479349e-17,2.50000000e-09,1.42657843e-19,2.50000000e-09,7.90261162e-09,2.50000000e-09,3.90204352e-01,2.50000000e-09,3.65028149e-02,2.50000000e-09,1.78066884e-01,2.50000000e-09,1.78066883e-01,2.50000000e-09,1.26540446e+08,2.50000000e-09,9.10175140e+07,2.50000000e-09,1.44858873e+07,2.50000000e-09,2.63289389e+01,1.00,.200,sky130
3.00000000e-09,7.77940182e-08,3.00000000e-09,3.00143915e-09,3.00000000e-09,7.23965979e-16,3.00000000e-09,-2.56917550e-17,3.00000000e-09,-1.06514465e-19,3.00000000e-09,1.33363813e-17,3.00000000e-09,1.98901062e-17,3.00000000e-09,1.40458650e-19,3.00000000e-09,9.19693034e-09,3.00000000e-09,3.90204329e-01,3.00000000e-09,3.66081389e-02,3.00000000e-09,1.84258530e-01,3.00000000e-09,1.84258529e-01,3.00000000e-09,1.08731932e+08,3.00000000e-09,1.07455351e+08,3.00000000e-09,1.71020502e+07,3.00000000e-09,2.59189057e+01,1.00,.200,sky130
3.50000000e-09,8.94825773e-08,3.50000000e-09,3.50073448e-09,3.50000000e-09,7.23605587e-16,3.50000000e-09,-2.71746967e-17,3.50000000e-09,-1.05217924e-19,3.50000000e-09,1.41666754e-17,3.50000000e-09,2.11301458e-17,3.50000000e-09,1.38860959e-19,3.50000000e-09,1.04682682e-08,3.50000000e-09,3.90204309e-01,3.50000000e-09,3.67119296e-02,3.50000000e-09,1.89607729e-01,3.50000000e-09,1.89607728e-01,3.50000000e-09,9.55267841e+07,3.50000000e-09,1.23662087e+08,3.50000000e-09,1.96814325e+07,3.50000000e-09,2.55610866e+01,1.00,.200,sky130
4.00000000e-09,1.00989455e-07,4.00000000e-09,4.00040512e-09,4.00000000e-09,7.23359693e-16,4.00000000e-09,-2.85574402e-17,4.00000000e-09,-1.04244949e-19,4.00000000e-09,1.49408873e-17,4.00000000e-09,2.22866173e-17,4.00000000e-09,1.37670663e-19,4.00000000e-09,1.17159538e-08,4.00000000e-09,3.90204291e-01,4.00000000e-09,3.68140530e-02,4.00000000e-09,1.94311964e-01,4.00000000e-09,1.94311963e-01,4.00000000e-09,8.53536992e+07,4.00000000e-09,1.39611670e+08,4.00000000e-09,2.22198874e+07,4.00000000e-09,2.52448068e+01,1.00,.200,sky130
4.50000000e-09,1.12332625e-07,4.50000000e-09,4.50019649e-09,4.50000000e-09,7.23199384e-16,4.50000000e-09,-2.98593141e-17,4.50000000e-09,-1.03499785e-19,4.50000000e-09,1.56696997e-17,4.50000000e-09,2.33754164e-17,4.50000000e-09,1.36766950e-19,4.50000000e-09,1.29426766e-08,4.50000000e-09,3.90204275e-01,4.50000000e-09,3.69146722e-02,4.50000000e-09,1.98515626e-01,4.50000000e-09,1.98515625e-01,4.50000000e-09,7.72637710e+07,4.50000000e-09,1.55327323e+08,4.50000000e-09,2.47211113e+07,4.50000000e-09,2.49617156e+01,1.00,.200,sky130
5.00000000e-09,1.23530310e-07,5.00000000e-09,5.00006973e-09,5.00000000e-09,7.23105091e-16,5.00000000e-09,-3.10945567e-17,5.00000000e-09,-1.02921310e-19,5.00000000e-09,1.63610059e-17,5.00000000e-09,2.44082944e-17,5.00000000e-09,1.36072725e-19,5.00000000e-09,1.41508837e-08,5.00000000e-09,3.90204261e-01,5.00000000e-09,3.70139463e-02,5.00000000e-09,2.02320019e-01,5.00000000e-09,2.02320017e-01,5.00000000e-09,7.06669648e+07,5.00000000e-09,1.70833136e+08,5.00000000e-09,2.71889380e+07,5.00000000e-09,2.47057174e+01,1.00,.200,sky130
5.50000000e-09,1.34597312e-07,5.50000000e-09,5.49998985e-09,5.50000000e-09,7.23063054e-16,5.50000000e-09,-3.22737156e-17,5.50000000e-09,-1.02468710e-19,5.50000000e-09,1.70206673e-17,5.50000000e-09,2.53939807e-17,5.50000000e-09,1.35536526e-19,5.50000000e-09,1.53424889e-08,5.50000000e-09,3.90204248e-01,5.50000000e-09,3.71120010e-02,5.50000000e-09,2.05798085e-01,5.50000000e-09,2.05798083e-01,5.50000000e-09,6.51784731e+07,5.50000000e-09,1.86148789e+08,5.50000000e-09,2.96264999e+07,5.50000000e-09,2.44722837e+01,1.00,.200,sky130
