isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.39949090e-08,1.00000000e-09,9.99958245e-10,1.00000000e-09,7.42954711e-16,1.00000000e-09,-3.30044888e-17,1.00000000e-09,-4.06885486e-18,1.00000000e-09,1.64332842e-17,1.00000000e-09,2.73951195e-17,1.00000000e-09,5.08559431e-18,1.00000000e-09,1.42634353e-08,1.00000000e-09,2.82558068e-01,1.00000000e-09,4.40086022e-02,1.00000000e-09,4.70886594e-02,1.00000000e-09,4.70886591e-02,1.00000000e-09,7.01093375e+07,1.00000000e-09,3.22965972e+07,1.00000000e-09,5.14016309e+06,1.00000000e-09,2.39959110e+01,1.00,.200,sky130
1.50000000e-09,3.54593326e-08,1.50000000e-09,1.50220058e-09,1.50000000e-09,7.42349917e-16,1.50000000e-09,-3.75916886e-17,1.50000000e-09,-2.99092974e-18,1.50000000e-09,1.95072581e-17,1.50000000e-09,3.09970365e-17,1.50000000e-09,3.77526356e-18,1.50000000e-09,1.60783585e-08,1.50000000e-09,2.82558026e-01,1.50000000e-09,4.41868781e-02,1.50000000e-09,5.83493597e-02,1.50000000e-09,5.83493593e-02,1.50000000e-09,6.21954038e+07,1.50000000e-09,4.77663320e+07,1.50000000e-09,7.60224785e+06,1.50000000e-09,2.36049255e+01,1.00,.200,sky130
2.00000000e-09,4.67011292e-08,2.00000000e-09,2.00550816e-09,2.00000000e-09,7.42216437e-16,2.00000000e-09,-4.12390700e-17,2.00000000e-09,-2.44407700e-18,2.00000000e-09,2.17995239e-17,2.00000000e-09,3.39289140e-17,2.00000000e-09,3.10421656e-18,2.00000000e-09,1.78071873e-08,2.00000000e-09,2.82557993e-01,2.00000000e-09,4.43576407e-02,2.00000000e-09,6.70563624e-02,2.00000000e-09,6.70563618e-02,2.00000000e-09,5.61571001e+07,2.00000000e-09,6.29211735e+07,2.00000000e-09,1.00142158e+07,2.00000000e-09,2.32864319e+01,1.00,.200,sky130
2.50000000e-09,5.76103969e-08,2.50000000e-09,2.50267297e-09,2.50000000e-09,7.42327126e-16,2.50000000e-09,-4.43282757e-17,2.50000000e-09,-2.11520493e-18,2.50000000e-09,2.36740748e-17,2.50000000e-09,3.64381218e-17,2.50000000e-09,2.69818826e-18,2.50000000e-09,1.94527141e-08,2.50000000e-09,2.82557967e-01,2.50000000e-09,4.45204900e-02,2.50000000e-09,7.40964659e-02,2.50000000e-09,7.40964652e-02,2.50000000e-09,5.14067084e+07,2.50000000e-09,7.76078294e+07,2.50000000e-09,1.23516697e+07,2.50000000e-09,2.30195465e+01,1.00,.200,sky130
3.00000000e-09,6.83846072e-08,3.00000000e-09,3.00113632e-09,3.00000000e-09,7.42581658e-16,3.00000000e-09,-4.70896044e-17,3.00000000e-09,-1.89161611e-18,3.00000000e-09,2.53136416e-17,3.00000000e-09,3.86924056e-17,3.00000000e-09,2.42094166e-18,3.00000000e-09,2.10537451e-08,3.00000000e-09,2.82557944e-01,3.00000000e-09,4.46791045e-02,3.00000000e-09,8.00938472e-02,3.00000000e-09,8.00938463e-02,3.00000000e-09,4.74974878e+07,3.00000000e-09,9.20903532e+07,3.00000000e-09,1.46566349e+07,3.00000000e-09,2.27862383e+01,1.00,.200,sky130
3.50000000e-09,7.90396316e-08,3.50000000e-09,3.50064188e-09,3.50000000e-09,7.42929200e-16,3.50000000e-09,-4.96132243e-17,3.50000000e-09,-1.72901614e-18,3.50000000e-09,2.67899536e-17,3.50000000e-09,4.07578464e-17,3.50000000e-09,2.21865012e-18,3.50000000e-09,2.26173667e-08,3.50000000e-09,2.82557925e-01,3.50000000e-09,4.48341443e-02,3.50000000e-09,8.53280263e-02,3.50000000e-09,8.53280253e-02,3.50000000e-09,4.42138120e+07,3.50000000e-09,1.06389184e+08,3.50000000e-09,1.69323646e+07,3.50000000e-09,2.25786111e+01,1.00,.200,sky130
4.00000000e-09,8.95749661e-08,4.00000000e-09,4.00038771e-09,4.00000000e-09,7.43339370e-16,4.00000000e-09,-5.19513652e-17,4.00000000e-09,-1.60512437e-18,4.00000000e-09,2.81430054e-17,4.00000000e-09,4.26737159e-17,4.00000000e-09,2.06410911e-18,4.00000000e-09,2.41466693e-08,4.00000000e-09,2.82557907e-01,4.00000000e-09,4.49859019e-02,4.00000000e-09,8.99729743e-02,4.00000000e-09,8.99729732e-02,4.00000000e-09,4.14135791e+07,4.00000000e-09,1.20503460e+08,4.00000000e-09,1.91787213e+07,4.00000000e-09,2.23915712e+01,1.00,.200,sky130
4.50000000e-09,1.00000961e-07,4.50000000e-09,4.50023096e-09,4.50000000e-09,7.43793257e-16,4.50000000e-09,-5.41410379e-17,4.50000000e-09,-1.50728948e-18,4.50000000e-09,2.93996538e-17,4.50000000e-09,4.44686188e-17,4.50000000e-09,1.94180844e-18,4.50000000e-09,2.56454700e-08,4.50000000e-09,2.82557892e-01,4.50000000e-09,4.51347483e-02,4.50000000e-09,9.41523996e-02,4.50000000e-09,9.41523982e-02,4.50000000e-09,3.89932413e+07,4.50000000e-09,1.34447255e+08,4.50000000e-09,2.13979452e+07,4.50000000e-09,2.22212954e+01,1.00,.200,sky130
5.00000000e-09,1.10327653e-07,5.00000000e-09,5.00013274e-09,5.00000000e-09,7.44278441e-16,5.00000000e-09,-5.62085950e-17,5.00000000e-09,-1.42785951e-18,5.00000000e-09,3.05783912e-17,5.00000000e-09,4.61632731e-17,5.00000000e-09,1.84233702e-18,5.00000000e-09,2.71169776e-08,5.00000000e-09,2.82557877e-01,5.00000000e-09,4.52809957e-02,5.00000000e-09,9.79548752e-02,5.00000000e-09,9.79548738e-02,5.00000000e-09,3.68772661e+07,5.00000000e-09,1.48234380e+08,5.00000000e-09,2.35922343e+07,5.00000000e-09,2.20649449e+01,1.00,.200,sky130
5.50000000e-09,1.20563486e-07,5.50000000e-09,5.50006757e-09,5.50000000e-09,7.44786414e-16,5.50000000e-09,-5.81734222e-17,5.50000000e-09,-1.36193751e-18,5.50000000e-09,3.16924854e-17,5.50000000e-09,4.77731123e-17,5.50000000e-09,1.75965613e-18,5.50000000e-09,2.85637935e-08,5.50000000e-09,2.82557864e-01,5.50000000e-09,4.54248958e-02,5.50000000e-09,1.01445655e-01,5.50000000e-09,1.01445653e-01,5.50000000e-09,3.50093555e+07,5.50000000e-09,1.61876592e+08,5.50000000e-09,2.57634598e+07,5.50000000e-09,2.19203646e+01,1.00,.200,sky130
