pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 9.048512e-02, 9.048512e-02, 0.000000e+00, 0.000000e+00, 1.107718e-09, 3.097354e-01, 4.839567e-02, 2.836089e-08, 3.874950e-09, 1.255008e-09, 1.949566e-15, 2.312698e-16, 2.809509e-16, 1.437345e-15, 6.686703e-19, 2.867421e-16, 5.267889e-18, 4.002006e-16, 8.826381e-01, 7.968076e+08, 7.968076e+08, 2.087804e-07, 2.536304e-07, 6.036467e-10, 4.755623e-09, 2.560298e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 9.406674e-02, 9.406674e-02, 0.000000e+00, 0.000000e+00, 1.218718e-09, 3.094205e-01, 4.841259e-02, 3.116455e-08, 4.251358e-09, 1.245597e-09, 1.946821e-15, 2.323649e-16, 2.806727e-16, 1.433783e-15, 6.600210e-19, 2.861098e-16, 4.696643e-18, 4.058122e-16, 9.784212e-01, 8.028280e+08, 8.028280e+08, 1.906633e-07, 2.303016e-07, 5.415698e-10, 3.853756e-09, 2.557158e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 9.742705e-02, 9.742705e-02, 0.000000e+00, 0.000000e+00, 1.332371e-09, 3.091607e-01, 4.842990e-02, 3.403015e-08, 4.635552e-09, 1.244964e-09, 1.944525e-15, 2.336515e-16, 2.804384e-16, 1.430435e-15, 6.536051e-19, 2.855779e-16, 4.209185e-18, 4.114543e-16, 1.070208e+00, 8.032358e+08, 8.032358e+08, 1.753652e-07, 2.104807e-07, 4.905577e-10, 3.159168e-09, 2.554104e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.004373e-01, 1.004373e-01, 0.000000e+00, 0.000000e+00, 1.442695e-09, 3.089528e-01, 4.844670e-02, 3.680714e-08, 5.007396e-09, 1.250843e-09, 1.942721e-15, 2.350447e-16, 2.802479e-16, 1.427428e-15, 6.491756e-19, 2.851460e-16, 3.807052e-18, 4.168394e-16, 1.153378e+00, 7.994609e+08, 7.994609e+08, 1.629206e-07, 1.942531e-07, 4.499743e-10, 2.638847e-09, 2.551277e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.032046e-01, 1.032046e-01, 0.000000e+00, 0.000000e+00, 1.551774e-09, 3.087795e-01, 4.846329e-02, 3.954853e-08, 5.374049e-09, 1.261450e-09, 1.941289e-15, 2.365482e-16, 2.800873e-16, 1.424654e-15, 6.461529e-19, 2.847822e-16, 3.462663e-18, 4.220830e-16, 1.230151e+00, 7.927383e+08, 7.927383e+08, 1.524373e-07, 1.804949e-07, 4.163963e-10, 2.231422e-09, 2.548601e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.058360e-01, 1.058360e-01, 0.000000e+00, 0.000000e+00, 1.662808e-09, 3.086284e-01, 4.848016e-02, 4.233488e-08, 5.746311e-09, 1.276063e-09, 1.940147e-15, 2.381956e-16, 2.799461e-16, 1.422005e-15, 6.441771e-19, 2.844631e-16, 3.155102e-18, 4.273455e-16, 1.303077e+00, 7.836603e+08, 7.836603e+08, 1.432490e-07, 1.683574e-07, 3.874032e-10, 1.897454e-09, 2.545988e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.083208e-01, 1.083208e-01, 0.000000e+00, 0.000000e+00, 1.774638e-09, 3.084967e-01, 4.849713e-02, 4.513716e-08, 6.120315e-09, 1.293858e-09, 1.939277e-15, 2.399635e-16, 2.798223e-16, 1.419491e-15, 6.430923e-19, 2.841836e-16, 2.880619e-18, 4.325760e-16, 1.371586e+00, 7.728822e+08, 7.728822e+08, 1.352183e-07, 1.576785e-07, 3.623793e-10, 1.623215e-09, 2.543457e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.106390e-01, 1.106390e-01, 0.000000e+00, 0.000000e+00, 1.885480e-09, 3.083822e-01, 4.851394e-02, 4.791081e-08, 6.490138e-09, 1.313939e-09, 1.938663e-15, 2.418143e-16, 2.797144e-16, 1.417134e-15, 6.427483e-19, 2.839406e-16, 2.637085e-18, 4.376973e-16, 1.434984e+00, 7.610705e+08, 7.610705e+08, 1.282507e-07, 1.483518e-07, 3.408936e-10, 1.398628e-09, 2.541040e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.149077e-01, 1.149077e-01, 0.000000e+00, 0.000000e+00, 2.107321e-09, 3.081901e-01, 4.854752e-02, 5.345108e-08, 7.227854e-09, 1.359704e-09, 1.938070e-15, 2.457822e-16, 2.795331e-16, 1.412755e-15, 6.437648e-19, 2.835335e-16, 2.216428e-18, 4.477799e-16, 1.549839e+00, 7.354543e+08, 7.354543e+08, 1.166325e-07, 1.326485e-07, 3.054896e-10, 1.051775e-09, 2.536446e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.168825e-01, 1.168825e-01, 0.000000e+00, 0.000000e+00, 2.218295e-09, 3.081083e-01, 4.856429e-02, 5.621732e-08, 7.595730e-09, 1.384757e-09, 1.938052e-15, 2.478860e-16, 2.794562e-16, 1.410710e-15, 6.449474e-19, 2.833614e-16, 2.032564e-18, 4.527489e-16, 1.601938e+00, 7.221485e+08, 7.221485e+08, 1.117462e-07, 1.259779e-07, 2.907402e-10, 9.162732e-10, 2.534258e+01, nan, 1.370000e+00
