pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.487135e-02, 3.487135e-02, 0.000000e+00, 0.000000e+00, 1.109639e-09, 3.827533e-01, 6.208450e-02, 2.575477e-08, 2.809559e-09, 2.071318e-08, 6.715685e-16, 2.756694e-16, 2.774455e-16, 1.184537e-16, 4.598188e-20, 2.791913e-16, 2.386379e-18, 2.814605e-16, 5.357162e-02, 4.827844e+07, 4.827844e+07, 2.484317e-07, 2.500323e-07, 4.143861e-11, 2.150591e-09, 2.321005e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.720115e-02, 3.720115e-02, 0.000000e+00, 0.000000e+00, 1.220660e-09, 3.827533e-01, 6.208594e-02, 2.832223e-08, 3.088996e-09, 2.053146e-08, 6.713538e-16, 2.757832e-16, 2.773491e-16, 1.182216e-16, 4.328639e-20, 2.789259e-16, 2.146105e-18, 2.814979e-16, 5.945313e-02, 4.870574e+07, 4.870574e+07, 2.259296e-07, 2.272125e-07, 3.546147e-11, 1.758152e-09, 2.320240e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.942034e-02, 3.942034e-02, 0.000000e+00, 0.000000e+00, 1.331686e-09, 3.827533e-01, 6.208739e-02, 3.088841e-08, 3.368166e-09, 2.033447e-08, 6.711504e-16, 2.758796e-16, 2.772690e-16, 1.180018e-16, 4.097306e-20, 2.787048e-16, 1.946641e-18, 2.815437e-16, 6.548908e-02, 4.917759e+07, 4.917759e+07, 2.071657e-07, 2.082091e-07, 3.076782e-11, 1.461787e-09, 2.319497e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 4.153949e-02, 4.153949e-02, 0.000000e+00, 0.000000e+00, 1.442716e-09, 3.827533e-01, 6.208883e-02, 3.345332e-08, 3.647058e-09, 2.012785e-08, 6.709570e-16, 2.759623e-16, 2.772015e-16, 1.177932e-16, 3.896689e-20, 2.785183e-16, 1.778811e-18, 2.815953e-16, 7.167760e-02, 4.968240e+07, 4.968240e+07, 1.912797e-07, 1.921387e-07, 2.700940e-11, 1.232960e-09, 2.318773e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 4.356755e-02, 4.356755e-02, 0.000000e+00, 0.000000e+00, 1.553751e-09, 3.827533e-01, 6.209028e-02, 3.601700e-08, 3.925664e-09, 1.991648e-08, 6.707726e-16, 2.760340e-16, 2.771441e-16, 1.175946e-16, 3.721130e-20, 2.783591e-16, 1.635940e-18, 2.816510e-16, 7.801333e-02, 5.020967e+07, 5.020967e+07, 1.776565e-07, 1.783710e-07, 2.394933e-11, 1.052897e-09, 2.318068e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 4.551216e-02, 4.551216e-02, 0.000000e+00, 0.000000e+00, 1.664790e-09, 3.827533e-01, 6.209174e-02, 3.857949e-08, 4.203974e-09, 1.970449e-08, 6.705965e-16, 2.760967e-16, 2.770947e-16, 1.174051e-16, 3.566278e-20, 2.782217e-16, 1.513068e-18, 2.817096e-16, 8.448782e-02, 5.074985e+07, 5.074985e+07, 1.658448e-07, 1.664443e-07, 2.142180e-11, 9.088642e-10, 2.317379e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 4.737992e-02, 4.737992e-02, 0.000000e+00, 0.000000e+00, 1.775832e-09, 3.827533e-01, 6.209319e-02, 4.114080e-08, 4.481982e-09, 1.949536e-08, 6.704279e-16, 2.761520e-16, 2.770518e-16, 1.172241e-16, 3.428736e-20, 2.781023e-16, 1.406438e-18, 2.817699e-16, 9.108998e-02, 5.129427e+07, 5.129427e+07, 1.555057e-07, 1.560124e-07, 1.930778e-11, 7.919882e-10, 2.316706e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 4.917658e-02, 4.917658e-02, 0.000000e+00, 0.000000e+00, 1.886877e-09, 3.827533e-01, 6.209466e-02, 4.370096e-08, 4.759680e-09, 1.929194e-08, 6.702662e-16, 2.762011e-16, 2.770142e-16, 1.170509e-16, 3.305808e-20, 2.779975e-16, 1.313159e-18, 2.818315e-16, 9.780649e-02, 5.183512e+07, 5.183512e+07, 1.463800e-07, 1.468110e-07, 1.752000e-11, 6.959430e-10, 2.316047e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 5.257625e-02, 5.257625e-02, 0.000000e+00, 0.000000e+00, 2.108976e-09, 3.806796e-01, 6.209759e-02, 4.881795e-08, 5.314126e-09, 1.891104e-08, 6.699615e-16, 2.762844e-16, 2.769519e-16, 1.167252e-16, 3.095549e-20, 2.778228e-16, 1.158088e-18, 2.819562e-16, 1.115209e-01, 5.287916e+07, 5.287916e+07, 1.310041e-07, 1.313206e-07, 1.467797e-11, 5.491235e-10, 2.314771e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 5.418776e-02, 5.418776e-02, 0.000000e+00, 0.000000e+00, 2.220029e-09, 3.794848e-01, 6.209906e-02, 5.137482e-08, 5.590867e-09, 1.873679e-08, 6.698177e-16, 2.763200e-16, 2.769258e-16, 1.165719e-16, 3.005015e-20, 2.777494e-16, 1.093075e-18, 2.820187e-16, 1.184850e-01, 5.337094e+07, 5.337094e+07, 1.244668e-07, 1.247397e-07, 1.353593e-11, 4.923700e-10, 2.314151e+01, nan, 1.370000e+00
