pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.011453e-01, 3.011453e-01, 0.000000e+00, 0.000000e+00, 1.109716e-09, 5.897402e-01, 5.283074e-02, 3.152864e-08, 3.669899e-09, 1.771481e-09, 5.989232e-16, 2.420333e-16, 2.367328e-16, 1.201571e-16, 2.289461e-21, 2.367509e-16, 2.228020e-21, 2.454655e-16, 6.264339e-01, 5.644994e+08, 5.644994e+08, 2.181039e-07, 2.133274e-07, 2.063106e-12, 2.007740e-12, 2.841146e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.043275e-01, 3.043275e-01, 0.000000e+00, 0.000000e+00, 1.220861e-09, 5.895541e-01, 5.283204e-02, 3.466973e-08, 4.029142e-09, 1.937297e-09, 5.986072e-16, 2.419823e-16, 2.367342e-16, 1.198906e-16, 2.285318e-21, 2.367507e-16, 2.397136e-21, 2.455526e-16, 6.301880e-01, 5.161831e+08, 5.161831e+08, 1.982062e-07, 1.939075e-07, 1.871890e-12, 1.963480e-12, 2.839776e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.072424e-01, 3.072424e-01, 0.000000e+00, 0.000000e+00, 1.332328e-09, 5.893846e-01, 5.283335e-02, 3.781779e-08, 4.388634e-09, 2.102669e-09, 5.983183e-16, 2.419343e-16, 2.367355e-16, 1.196485e-16, 2.282838e-21, 2.367506e-16, 2.558349e-21, 2.456350e-16, 6.336366e-01, 4.755861e+08, 4.755861e+08, 1.815877e-07, 1.776856e-07, 1.713421e-12, 1.920210e-12, 2.838475e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.099449e-01, 3.099449e-01, 0.000000e+00, 0.000000e+00, 1.444662e-09, 5.892282e-01, 5.283466e-02, 4.098834e-08, 4.750185e-09, 2.268476e-09, 5.980512e-16, 2.418888e-16, 2.367367e-16, 1.194257e-16, 2.281693e-21, 2.367504e-16, 2.713554e-21, 2.457137e-16, 6.368427e-01, 4.408246e+08, 4.408246e+08, 1.674362e-07, 1.638699e-07, 1.579396e-12, 1.878331e-12, 2.837226e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.123850e-01, 3.123850e-01, 0.000000e+00, 0.000000e+00, 1.554127e-09, 5.890876e-01, 5.283593e-02, 4.407602e-08, 5.101836e-09, 2.429292e-09, 5.978106e-16, 2.418469e-16, 2.367377e-16, 1.192259e-16, 2.281635e-21, 2.367503e-16, 2.858706e-21, 2.457868e-16, 6.397448e-01, 4.116426e+08, 4.116426e+08, 1.556159e-07, 1.523284e-07, 1.468114e-12, 1.839429e-12, 2.836063e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.146936e-01, 3.146936e-01, 0.000000e+00, 0.000000e+00, 1.665253e-09, 5.889551e-01, 5.283721e-02, 4.720874e-08, 5.458193e-09, 2.591843e-09, 5.975834e-16, 2.418067e-16, 2.367388e-16, 1.190380e-16, 2.282452e-21, 2.367502e-16, 3.000659e-21, 2.458579e-16, 6.424975e-01, 3.858258e+08, 3.858258e+08, 1.452072e-07, 1.421639e-07, 1.370634e-12, 1.801924e-12, 2.834930e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.168552e-01, 3.168552e-01, 0.000000e+00, 0.000000e+00, 1.776426e-09, 5.888315e-01, 5.283849e-02, 5.034105e-08, 5.814105e-09, 2.753803e-09, 5.973713e-16, 2.417685e-16, 2.367397e-16, 1.188631e-16, 2.284002e-21, 2.367501e-16, 3.137833e-21, 2.459263e-16, 6.450812e-01, 3.631342e+08, 3.631342e+08, 1.360983e-07, 1.332674e-07, 1.285729e-12, 1.766374e-12, 2.833839e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.188887e-01, 3.188887e-01, 0.000000e+00, 0.000000e+00, 1.887707e-09, 5.887156e-01, 5.283977e-02, 5.347469e-08, 6.169796e-09, 2.915300e-09, 5.971723e-16, 2.417322e-16, 2.367406e-16, 1.186994e-16, 2.286169e-21, 2.367500e-16, 3.270796e-21, 2.459922e-16, 6.475172e-01, 3.430179e+08, 3.430179e+08, 1.280560e-07, 1.254118e-07, 1.211082e-12, 1.732682e-12, 2.832786e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.226342e-01, 3.226342e-01, 0.000000e+00, 0.000000e+00, 2.111063e-09, 5.885032e-01, 5.284232e-02, 5.975944e-08, 6.882124e-09, 3.237731e-09, 5.968072e-16, 2.416647e-16, 2.367423e-16, 1.184002e-16, 2.292001e-21, 2.367498e-16, 3.526195e-21, 2.461182e-16, 6.520194e-01, 3.088582e+08, 3.088582e+08, 1.144753e-07, 1.121436e-07, 1.085709e-12, 1.670340e-12, 2.830774e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.243740e-01, 3.243740e-01, 0.000000e+00, 0.000000e+00, 2.223536e-09, 5.884050e-01, 5.284359e-02, 6.292179e-08, 7.240066e-09, 3.399292e-09, 5.966383e-16, 2.416330e-16, 2.367431e-16, 1.182622e-16, 2.295543e-21, 2.367497e-16, 3.649678e-21, 2.461788e-16, 6.541175e-01, 2.941789e+08, 2.941789e+08, 1.086706e-07, 1.064714e-07, 1.032384e-12, 1.641385e-12, 2.829807e+01, nan, 1.370000e+00
