pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.090849e-01, 2.090849e-01, 0.000000e+00, 0.000000e+00, 1.104923e-09, 5.153143e-01, 5.857322e-02, 2.740433e-08, 3.759836e-09, 1.124725e-09, 6.979713e-16, 2.391835e-16, 2.367956e-16, 2.219922e-16, 1.011728e-20, 2.368452e-16, 3.443372e-20, 2.484375e-16, 9.823936e-01, 8.891062e+08, 8.891062e+08, 2.164708e-07, 2.143097e-07, 9.156549e-12, 3.116392e-11, 2.480203e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.127937e-01, 2.127937e-01, 0.000000e+00, 0.000000e+00, 1.215912e-09, 5.151428e-01, 5.857601e-02, 3.013988e-08, 4.128729e-09, 1.226900e-09, 6.972550e-16, 2.390510e-16, 2.367957e-16, 2.214083e-16, 1.002854e-20, 2.368421e-16, 3.196970e-20, 2.486452e-16, 9.910436e-01, 8.150621e+08, 8.150621e+08, 1.966022e-07, 1.947474e-07, 8.247749e-12, 2.629277e-11, 2.478788e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.161821e-01, 2.161821e-01, 0.000000e+00, 0.000000e+00, 1.326931e-09, 5.149878e-01, 5.857880e-02, 3.287394e-08, 4.496864e-09, 1.328455e-09, 6.966041e-16, 2.389285e-16, 2.367958e-16, 2.208798e-16, 9.958361e-21, 2.368395e-16, 2.978194e-20, 2.488424e-16, 9.988526e-01, 7.527542e+08, 7.527542e+08, 1.800610e-07, 1.784538e-07, 7.504810e-12, 2.244424e-11, 2.477442e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.193010e-01, 2.193010e-01, 0.000000e+00, 0.000000e+00, 1.437967e-09, 5.148464e-01, 5.858157e-02, 3.560632e-08, 4.864264e-09, 1.429434e-09, 6.960081e-16, 2.388148e-16, 2.367959e-16, 2.203974e-16, 9.902822e-21, 2.368371e-16, 2.781581e-20, 2.490308e-16, 1.005969e+00, 6.995775e+08, 6.995775e+08, 1.660781e-07, 1.646741e-07, 6.886682e-12, 1.934384e-11, 2.476157e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.221903e-01, 2.221903e-01, 0.000000e+00, 0.000000e+00, 1.549015e-09, 5.147166e-01, 5.858435e-02, 3.833695e-08, 5.230958e-09, 1.529881e-09, 6.954589e-16, 2.387089e-16, 2.367961e-16, 2.199539e-16, 9.859021e-21, 2.368351e-16, 2.603084e-20, 2.492116e-16, 1.012507e+00, 6.536457e+08, 6.536457e+08, 1.541037e-07, 1.528688e-07, 6.364705e-12, 1.680477e-11, 2.474925e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.249713e-01, 2.249713e-01, 0.000000e+00, 0.000000e+00, 1.663904e-09, 5.145926e-01, 5.858721e-02, 4.115998e-08, 5.609604e-09, 1.633274e-09, 6.949332e-16, 2.386068e-16, 2.367962e-16, 2.195302e-16, 9.823748e-21, 2.368332e-16, 2.434235e-20, 2.493916e-16, 1.018753e+00, 6.122670e+08, 6.122670e+08, 1.434018e-07, 1.423137e-07, 5.904037e-12, 1.462967e-11, 2.473700e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.274641e-01, 2.274641e-01, 0.000000e+00, 0.000000e+00, 1.774035e-09, 5.144822e-01, 5.858995e-02, 4.386424e-08, 5.971912e-09, 1.731919e-09, 6.944645e-16, 2.385152e-16, 2.367964e-16, 2.191529e-16, 9.797829e-21, 2.368316e-16, 2.285082e-20, 2.495582e-16, 1.024318e+00, 5.773942e+08, 5.773942e+08, 1.344478e-07, 1.334790e-07, 5.522905e-12, 1.288070e-11, 2.472569e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.298128e-01, 2.298128e-01, 0.000000e+00, 0.000000e+00, 1.884394e-09, 5.143789e-01, 5.859269e-02, 4.657228e-08, 6.334351e-09, 1.830339e-09, 6.940252e-16, 2.384291e-16, 2.367965e-16, 2.187995e-16, 9.778312e-21, 2.368301e-16, 2.146245e-20, 2.497200e-16, 1.029533e+00, 5.463470e+08, 5.463470e+08, 1.265283e-07, 1.256619e-07, 5.189103e-12, 1.138958e-11, 2.471473e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.341363e-01, 2.341363e-01, 0.000000e+00, 0.000000e+00, 2.105589e-09, 5.141903e-01, 5.859816e-02, 5.199495e-08, 7.059073e-09, 2.026419e-09, 6.932230e-16, 2.382717e-16, 2.367968e-16, 2.181544e-16, 9.754784e-21, 2.368275e-16, 1.894389e-20, 2.500307e-16, 1.039069e+00, 4.934815e+08, 4.934815e+08, 1.131616e-07, 1.124611e-07, 4.632806e-12, 8.996957e-12, 2.469378e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.361351e-01, 2.361351e-01, 0.000000e+00, 0.000000e+00, 2.216353e-09, 5.141038e-01, 5.860089e-02, 5.470791e-08, 7.421166e-09, 2.124058e-09, 6.928551e-16, 2.381997e-16, 2.367970e-16, 2.178585e-16, 9.749327e-21, 2.368263e-16, 1.779335e-20, 2.501804e-16, 1.043453e+00, 4.707970e+08, 4.707970e+08, 1.074737e-07, 1.068408e-07, 4.398814e-12, 8.028212e-12, 2.468375e+01, nan, 1.370000e+00
