pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.405468e-01, 2.405468e-01, 0.000000e+00, 0.000000e+00, 1.110598e-09, 3.909581e-01, 3.385322e-02, 3.966031e-08, 5.114391e-09, 3.429049e-10, 2.408452e-15, 3.331144e-16, 2.769837e-16, 1.798354e-15, 3.262053e-19, 2.777932e-16, 1.229355e-18, 5.988586e-16, 3.238794e+00, 2.916261e+09, 2.916261e+09, 2.999414e-07, 2.494004e-07, 2.937203e-10, 1.106930e-09, 3.571076e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.431959e-01, 2.431959e-01, 0.000000e+00, 0.000000e+00, 1.221696e-09, 3.909335e-01, 3.387168e-02, 4.355514e-08, 5.610448e-09, 3.756826e-10, 2.414975e-15, 3.437208e-16, 2.769836e-16, 1.794271e-15, 3.376888e-19, 2.777978e-16, 1.320228e-18, 6.166328e-16, 3.251937e+00, 2.661821e+09, 2.661821e+09, 2.813472e-07, 2.267206e-07, 2.764098e-10, 1.080652e-09, 3.565137e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.456184e-01, 2.456184e-01, 0.000000e+00, 0.000000e+00, 1.332799e-09, 3.909112e-01, 3.389011e-02, 4.744108e-08, 6.104832e-09, 4.083547e-10, 2.421974e-15, 3.545712e-16, 2.769840e-16, 1.790419e-15, 3.489024e-19, 2.778034e-16, 1.407944e-18, 6.340509e-16, 3.263826e+00, 2.448851e+09, 2.448851e+09, 2.660351e-07, 2.078213e-07, 2.617817e-10, 1.056382e-09, 3.559508e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.478503e-01, 2.478503e-01, 0.000000e+00, 0.000000e+00, 1.443904e-09, 3.908906e-01, 3.390851e-02, 5.131852e-08, 6.597639e-09, 4.409290e-10, 2.429374e-15, 3.656303e-16, 2.769846e-16, 1.786759e-15, 3.598750e-19, 2.778097e-16, 1.492959e-18, 6.511596e-16, 3.274685e+00, 2.267939e+09, 2.267939e+09, 2.532235e-07, 1.918304e-07, 2.492376e-10, 1.033974e-09, 3.554152e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.499198e-01, 2.499198e-01, 0.000000e+00, 0.000000e+00, 1.555010e-09, 3.908717e-01, 3.392688e-02, 5.518787e-08, 7.088960e-09, 4.734121e-10, 2.437116e-15, 3.768700e-16, 2.769855e-16, 1.783260e-15, 3.706309e-19, 2.778165e-16, 1.575629e-18, 6.679965e-16, 3.284685e+00, 2.112324e+09, 2.112324e+09, 2.423586e-07, 1.781246e-07, 2.383464e-10, 1.013260e-09, 3.549037e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.518492e-01, 2.518492e-01, 0.000000e+00, 0.000000e+00, 1.666116e-09, 3.908541e-01, 3.394522e-02, 5.904946e-08, 7.578874e-09, 5.058101e-10, 2.445155e-15, 3.882675e-16, 2.769866e-16, 1.779901e-15, 3.811905e-19, 2.778237e-16, 1.656240e-18, 6.845922e-16, 3.293956e+00, 1.977027e+09, 1.977027e+09, 2.330375e-07, 1.662468e-07, 2.287899e-10, 9.940725e-10, 3.544138e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.536565e-01, 2.536565e-01, 0.000000e+00, 0.000000e+00, 1.777223e-09, 3.908377e-01, 3.396353e-02, 6.290365e-08, 8.067453e-09, 5.381278e-10, 2.453453e-15, 3.998042e-16, 2.769878e-16, 1.776661e-15, 3.915710e-19, 2.778313e-16, 1.735025e-18, 7.009720e-16, 3.302605e+00, 1.858295e+09, 1.858295e+09, 2.249600e-07, 1.558542e-07, 2.203274e-10, 9.762558e-10, 3.539434e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.553563e-01, 2.553563e-01, 0.000000e+00, 0.000000e+00, 1.888331e-09, 3.908223e-01, 3.398181e-02, 6.675072e-08, 8.554760e-09, 5.703697e-10, 2.461980e-15, 4.114641e-16, 2.769891e-16, 1.773526e-15, 4.017873e-19, 2.778392e-16, 1.812173e-18, 7.171572e-16, 3.310714e+00, 1.753249e+09, 1.753249e+09, 2.178983e-07, 1.466846e-07, 2.127738e-10, 9.596692e-10, 3.534906e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.584807e-01, 2.584807e-01, 0.000000e+00, 0.000000e+00, 2.110546e-09, 3.907941e-01, 3.401830e-02, 7.442461e-08, 9.525789e-09, 6.346410e-10, 2.479618e-15, 4.351023e-16, 2.769920e-16, 1.767523e-15, 4.217761e-19, 2.778556e-16, 1.962174e-18, 7.490122e-16, 3.325575e+00, 1.575694e+09, 1.575694e+09, 2.061563e-07, 1.312419e-07, 1.998421e-10, 9.296994e-10, 3.526320e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.599262e-01, 2.599262e-01, 0.000000e+00, 0.000000e+00, 2.221812e-09, 3.907811e-01, 3.403652e-02, 7.825734e-08, 1.001030e-08, 6.667223e-10, 2.488701e-15, 4.470761e-16, 2.769936e-16, 1.764632e-15, 4.315831e-19, 2.778641e-16, 2.035377e-18, 7.647323e-16, 3.332440e+00, 1.499875e+09, 1.499875e+09, 2.012214e-07, 1.246701e-07, 1.942482e-10, 9.160887e-10, 3.522230e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.613001e-01, 2.613001e-01, 0.000000e+00, 0.000000e+00, 2.332872e-09, 3.907688e-01, 3.405469e-02, 8.207682e-08, 1.049283e-08, 6.986812e-10, 2.497914e-15, 4.591074e-16, 2.769952e-16, 1.761811e-15, 4.412493e-19, 2.778726e-16, 2.107314e-18, 7.802858e-16, 3.338964e+00, 1.431268e+09, 1.431268e+09, 1.967992e-07, 1.187357e-07, 1.891443e-10, 9.033131e-10, 3.518274e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.626117e-01, 2.626117e-01, 0.000000e+00, 0.000000e+00, 2.443946e-09, 3.907571e-01, 3.407284e-02, 8.589087e-08, 1.097441e-08, 7.305840e-10, 2.507259e-15, 4.712121e-16, 2.769969e-16, 1.759050e-15, 4.508019e-19, 2.778813e-16, 2.178214e-18, 7.957138e-16, 3.345195e+00, 1.368768e+09, 1.368768e+09, 1.928079e-07, 1.133400e-07, 1.844566e-10, 8.912692e-10, 3.514434e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.638665e-01, 2.638665e-01, 0.000000e+00, 0.000000e+00, 2.555031e-09, 3.907459e-01, 3.409096e-02, 8.969953e-08, 1.145504e-08, 7.624316e-10, 2.516724e-15, 4.833828e-16, 2.769986e-16, 1.756343e-15, 4.602468e-19, 2.778900e-16, 2.248148e-18, 8.110240e-16, 3.351161e+00, 1.311593e+09, 1.311593e+09, 1.891886e-07, 1.084130e-07, 1.801336e-10, 8.798905e-10, 3.510702e+01, nan, 1.370000e+00
