pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 1.003447e-01, 1.003447e-01, 0.000000e+00, 0.000000e+00, 1.108982e-09, 3.065697e-01, 4.718507e-02, 2.847727e-08, 3.954837e-09, 8.551687e-10, 2.414536e-15, 2.215641e-16, 2.817069e-16, 1.911264e-15, 9.363499e-19, 2.884740e-16, 5.052293e-18, 4.738072e-16, 1.296799e+00, 1.169360e+09, 1.169360e+09, 1.997906e-07, 2.540231e-07, 8.443330e-10, 4.555795e-09, 2.567875e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 1.039428e-01, 1.039428e-01, 0.000000e+00, 0.000000e+00, 1.219479e-09, 3.063645e-01, 4.720782e-02, 3.127050e-08, 4.336265e-09, 8.592214e-10, 2.412597e-15, 2.247788e-16, 2.814261e-16, 1.906392e-15, 9.320714e-19, 2.878377e-16, 4.441375e-18, 4.837542e-16, 1.419284e+00, 1.163844e+09, 1.163844e+09, 1.843237e-07, 2.307757e-07, 7.643194e-10, 3.642027e-09, 2.564251e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 1.072455e-01, 1.072455e-01, 0.000000e+00, 0.000000e+00, 1.330154e-09, 3.061968e-01, 4.723058e-02, 3.406271e-08, 4.717030e-09, 8.677135e-10, 2.411352e-15, 2.282740e-16, 2.811932e-16, 1.901885e-15, 9.302195e-19, 2.873109e-16, 3.922356e-18, 4.935486e-16, 1.532941e+00, 1.152454e+09, 1.152454e+09, 1.716147e-07, 2.113990e-07, 6.993324e-10, 2.948799e-09, 2.560810e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 1.102966e-01, 1.102966e-01, 0.000000e+00, 0.000000e+00, 1.440948e-09, 3.060568e-01, 4.725333e-02, 3.685271e-08, 5.097012e-09, 8.795197e-10, 2.410700e-15, 2.320181e-16, 2.809970e-16, 1.897685e-15, 9.302201e-19, 2.868679e-16, 3.473583e-18, 5.032039e-16, 1.638335e+00, 1.136984e+09, 1.136984e+09, 1.610176e-07, 1.950084e-07, 6.455611e-10, 2.410623e-09, 2.557532e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 1.131228e-01, 1.131228e-01, 0.000000e+00, 0.000000e+00, 1.551487e-09, 3.059382e-01, 4.727601e-02, 3.963136e-08, 5.475003e-09, 8.938064e-10, 2.410561e-15, 2.359724e-16, 2.808299e-16, 1.893758e-15, 9.316555e-19, 2.864914e-16, 3.080851e-18, 5.127046e-16, 1.735821e+00, 1.118811e+09, 1.118811e+09, 1.520943e-07, 1.810068e-07, 6.004918e-10, 1.985740e-09, 2.554411e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 1.157721e-01, 1.157721e-01, 0.000000e+00, 0.000000e+00, 1.662524e-09, 3.058355e-01, 4.729876e-02, 4.241778e-08, 5.853635e-09, 9.101133e-10, 2.410868e-15, 2.401429e-16, 2.806848e-16, 1.890040e-15, 9.342366e-19, 2.861654e-16, 2.730332e-18, 5.221293e-16, 1.826722e+00, 1.098764e+09, 1.098764e+09, 1.444447e-07, 1.688306e-07, 5.619387e-10, 1.642282e-09, 2.551408e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 1.182590e-01, 1.182590e-01, 0.000000e+00, 0.000000e+00, 1.773726e-09, 3.057457e-01, 4.732151e-02, 4.520381e-08, 6.231824e-09, 9.279938e-10, 2.411571e-15, 2.445004e-16, 2.805582e-16, 1.886513e-15, 9.377382e-19, 2.858813e-16, 2.415029e-18, 5.314616e-16, 1.911355e+00, 1.077593e+09, 1.077593e+09, 1.378457e-07, 1.581745e-07, 5.286828e-10, 1.361557e-09, 2.548523e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 1.205950e-01, 1.205950e-01, 0.000000e+00, 0.000000e+00, 1.884723e-09, 3.056666e-01, 4.734419e-02, 4.798039e-08, 6.608366e-09, 9.470778e-10, 2.412624e-15, 2.490146e-16, 2.804469e-16, 1.883163e-15, 9.419752e-19, 2.856324e-16, 2.129589e-18, 5.406812e-16, 1.990040e+00, 1.055879e+09, 1.055879e+09, 1.321227e-07, 1.488000e-07, 4.997950e-10, 1.129922e-09, 2.545753e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 1.248924e-01, 1.248924e-01, 0.000000e+00, 0.000000e+00, 2.106771e-09, 3.055326e-01, 4.738947e-02, 5.352262e-08, 7.358954e-09, 9.880742e-10, 2.415641e-15, 2.584868e-16, 2.802600e-16, 1.876894e-15, 9.521710e-19, 2.852162e-16, 1.627791e-18, 5.588751e-16, 2.132199e+00, 1.012070e+09, 1.012070e+09, 1.226933e-07, 1.330282e-07, 4.519575e-10, 7.726475e-10, 2.540505e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 1.268791e-01, 1.268791e-01, 0.000000e+00, 0.000000e+00, 2.217812e-09, 3.054751e-01, 4.741206e-02, 5.628833e-08, 7.733048e-09, 1.009661e-09, 2.417547e-15, 2.634223e-16, 2.801808e-16, 1.873944e-15, 9.579419e-19, 2.850406e-16, 1.404561e-18, 5.678639e-16, 2.196590e+00, 9.904310e+08, 9.904310e+08, 1.187757e-07, 1.263320e-07, 4.319310e-10, 6.333094e-10, 2.538011e+01, nan, 1.370000e+00
