pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.425602e-01, 2.425602e-01, 0.000000e+00, 0.000000e+00, 1.109655e-09, 3.974748e-01, 5.135291e-02, 2.797530e-08, 5.246503e-09, 1.192828e-10, 2.202358e-15, 4.418559e-16, 2.603889e-16, 1.500113e-15, 5.264439e-19, 2.614784e-16, 1.126365e-18, 6.416135e-16, 9.302720e+00, 8.383437e+09, 8.383437e+09, 3.981923e-07, 2.346576e-07, 4.744214e-10, 1.015059e-09, 2.521081e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.463298e-01, 2.463298e-01, 0.000000e+00, 0.000000e+00, 1.220679e-09, 3.974575e-01, 5.141575e-02, 3.072227e-08, 5.751638e-09, 1.294060e-10, 2.211736e-15, 4.564948e-16, 2.603833e-16, 1.494858e-15, 5.394242e-19, 2.614693e-16, 1.216210e-18, 6.615273e-16, 9.432942e+00, 7.727618e+09, 7.727618e+09, 3.739679e-07, 2.133102e-07, 4.419050e-10, 9.963389e-10, 2.516818e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.497778e-01, 2.497778e-01, 0.000000e+00, 0.000000e+00, 1.331735e-09, 3.974420e-01, 5.147844e-02, 3.346440e-08, 6.255034e-09, 1.394647e-10, 2.221280e-15, 4.710118e-16, 2.603790e-16, 1.489889e-15, 5.520628e-19, 2.614631e-16, 1.300997e-18, 6.808794e-16, 9.548901e+00, 7.170272e+09, 7.170272e+09, 3.536829e-07, 1.955186e-07, 4.145440e-10, 9.769191e-10, 2.512842e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.529550e-01, 2.529550e-01, 0.000000e+00, 0.000000e+00, 1.442808e-09, 3.974279e-01, 5.154097e-02, 3.620175e-08, 6.756777e-09, 1.494635e-10, 2.230940e-15, 4.854008e-16, 2.603757e-16, 1.485163e-15, 5.643709e-19, 2.614591e-16, 1.381452e-18, 6.997251e-16, 9.653246e+00, 6.690599e+09, 6.690599e+09, 3.364279e-07, 1.804646e-07, 3.911616e-10, 9.574751e-10, 2.509118e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.559009e-01, 2.559009e-01, 0.000000e+00, 0.000000e+00, 1.553889e-09, 3.974151e-01, 5.160335e-02, 3.893448e-08, 7.256962e-09, 1.594063e-10, 2.240679e-15, 4.996581e-16, 2.603733e-16, 1.480648e-15, 5.763623e-19, 2.614568e-16, 1.458141e-18, 7.181105e-16, 9.747980e+00, 6.273279e+09, 6.273279e+09, 3.215532e-07, 1.675623e-07, 3.709160e-10, 9.383814e-10, 2.505615e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.586474e-01, 2.586474e-01, 0.000000e+00, 0.000000e+00, 1.664976e-09, 3.974032e-01, 5.166557e-02, 4.166281e-08, 7.755684e-09, 1.692969e-10, 2.250470e-15, 5.137818e-16, 2.603715e-16, 1.476316e-15, 5.880514e-19, 2.614560e-16, 1.531513e-18, 7.360742e-16, 9.834649e+00, 5.906782e+09, 5.906782e+09, 3.085821e-07, 1.563816e-07, 3.531892e-10, 9.198407e-10, 2.502307e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.612198e-01, 2.612198e-01, 0.000000e+00, 0.000000e+00, 1.776066e-09, 3.973922e-01, 5.172764e-02, 4.438698e-08, 8.253033e-09, 1.791387e-10, 2.260289e-15, 5.277711e-16, 2.603703e-16, 1.472147e-15, 5.994528e-19, 2.614564e-16, 1.601932e-18, 7.536486e-16, 9.914469e+00, 5.582265e+09, 5.582265e+09, 2.971574e-07, 1.465995e-07, 3.375172e-10, 9.019555e-10, 2.499174e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.636391e-01, 2.636391e-01, 0.000000e+00, 0.000000e+00, 1.887157e-09, 3.973820e-01, 5.178955e-02, 4.710720e-08, 8.749091e-09, 1.889347e-10, 2.270119e-15, 5.416259e-16, 2.603696e-16, 1.468124e-15, 6.105803e-19, 2.614577e-16, 1.669699e-18, 7.708617e-16, 9.988410e+00, 5.292834e+09, 5.292834e+09, 2.870062e-07, 1.379692e-07, 3.235450e-10, 8.847693e-10, 2.496199e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.680853e-01, 2.680853e-01, 0.000000e+00, 0.000000e+00, 2.109345e-09, 3.973635e-01, 5.191293e-02, 5.253663e-08, 9.737630e-09, 2.083992e-10, 2.289759e-15, 5.689344e-16, 2.603691e-16, 1.460455e-15, 6.320660e-19, 2.614626e-16, 1.798234e-18, 8.042970e-16, 1.012166e+01, 4.798483e+09, 4.798483e+09, 2.697209e-07, 1.234360e-07, 2.996504e-10, 8.525085e-10, 2.490661e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.701391e-01, 2.701391e-01, 0.000000e+00, 0.000000e+00, 2.220440e-09, 3.973550e-01, 5.197440e-02, 5.524621e-08, 1.023024e-08, 2.180721e-10, 2.299547e-15, 5.823900e-16, 2.603693e-16, 1.456788e-15, 6.424482e-19, 2.614659e-16, 1.859394e-18, 8.205585e-16, 1.018214e+01, 4.585639e+09, 4.585639e+09, 2.622859e-07, 1.172602e-07, 2.893338e-10, 8.373988e-10, 2.488075e+01, nan, 1.370000e+00
