pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.157099e-01, 3.157099e-01, 0.000000e+00, 0.000000e+00, 1.110452e-09, 4.492546e-01, 4.373534e-02, 3.284362e-08, 5.940822e-09, 1.070043e-10, 2.172730e-15, 4.326006e-16, 2.598505e-16, 1.480279e-15, 2.872968e-19, 2.602985e-16, 9.520819e-19, 6.130825e-16, 1.037763e+01, 9.345416e+09, 9.345416e+09, 3.895717e-07, 2.340043e-07, 2.587207e-10, 8.573824e-10, 2.957681e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.189302e-01, 3.189302e-01, 0.000000e+00, 0.000000e+00, 1.221684e-09, 4.492440e-01, 4.379568e-02, 3.606450e-08, 6.513537e-09, 1.170875e-10, 2.180523e-15, 4.446615e-16, 2.598520e-16, 1.476010e-15, 2.960972e-19, 2.603039e-16, 1.002501e-18, 6.303006e-16, 1.043394e+01, 8.540619e+09, 8.540619e+09, 3.639742e-07, 2.126999e-07, 2.423681e-10, 8.205896e-10, 2.952032e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.218826e-01, 3.218826e-01, 0.000000e+00, 0.000000e+00, 1.333214e-09, 4.492343e-01, 4.385602e-02, 3.928627e-08, 7.085583e-09, 1.271500e-10, 2.188479e-15, 4.566637e-16, 2.598536e-16, 1.471962e-15, 3.046340e-19, 2.603095e-16, 1.051091e-18, 6.470645e-16, 1.048537e+01, 7.864726e+09, 7.864726e+09, 3.425283e-07, 1.949076e-07, 2.284959e-10, 7.883888e-10, 2.946733e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.246186e-01, 3.246186e-01, 0.000000e+00, 0.000000e+00, 1.445429e-09, 4.492254e-01, 4.391655e-02, 4.252054e-08, 7.659083e-09, 1.372295e-10, 2.196589e-15, 4.686458e-16, 2.598552e-16, 1.468088e-15, 3.129604e-19, 2.603152e-16, 1.098226e-18, 6.634817e-16, 1.053293e+01, 7.287062e+09, 7.287062e+09, 3.242260e-07, 1.797772e-07, 2.165173e-10, 7.597921e-10, 2.941724e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.270931e-01, 3.270931e-01, 0.000000e+00, 0.000000e+00, 1.554846e-09, 4.492173e-01, 4.397541e-02, 4.566759e-08, 8.216441e-09, 1.470173e-10, 2.204571e-15, 4.802375e-16, 2.598568e-16, 1.464477e-15, 3.208475e-19, 2.603209e-16, 1.142670e-18, 6.790987e-16, 1.057594e+01, 6.801921e+09, 6.801921e+09, 3.088650e-07, 1.671270e-07, 2.063533e-10, 7.349087e-10, 2.937114e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.294376e-01, 3.294376e-01, 0.000000e+00, 0.000000e+00, 1.665969e-09, 4.492097e-01, 4.403502e-02, 4.885748e-08, 8.780756e-09, 1.569194e-10, 2.212731e-15, 4.919171e-16, 2.598584e-16, 1.460955e-15, 3.286426e-19, 2.603266e-16, 1.186424e-18, 6.946005e-16, 1.061672e+01, 6.372700e+09, 6.372700e+09, 2.952738e-07, 1.559803e-07, 1.972681e-10, 7.121526e-10, 2.932676e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.316347e-01, 3.316347e-01, 0.000000e+00, 0.000000e+00, 1.777132e-09, 4.492027e-01, 4.409449e-02, 5.204257e-08, 9.343633e-09, 1.667884e-10, 2.220929e-15, 5.035073e-16, 2.598601e-16, 1.457562e-15, 3.362401e-19, 2.603324e-16, 1.228925e-18, 7.097764e-16, 1.065501e+01, 5.995622e+09, 5.995622e+09, 2.833257e-07, 1.462244e-07, 1.892038e-10, 6.915211e-10, 2.928458e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.337032e-01, 3.337032e-01, 0.000000e+00, 0.000000e+00, 1.888397e-09, 4.491960e-01, 4.415385e-02, 5.522494e-08, 9.905478e-09, 1.766315e-10, 2.229157e-15, 5.150148e-16, 2.598618e-16, 1.454280e-15, 3.436582e-19, 2.603381e-16, 1.270298e-18, 7.246600e-16, 1.069116e+01, 5.661503e+09, 5.661503e+09, 2.727260e-07, 1.376097e-07, 1.819841e-10, 6.726858e-10, 2.924435e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.375199e-01, 3.375199e-01, 0.000000e+00, 0.000000e+00, 2.111833e-09, 4.491839e-01, 4.427258e-02, 6.159974e-08, 1.102943e-08, 1.962991e-10, 2.245704e-15, 5.378441e-16, 2.598651e-16, 1.447995e-15, 3.580411e-19, 2.603496e-16, 1.350211e-18, 7.537101e-16, 1.075824e+01, 5.094266e+09, 5.094266e+09, 2.546812e-07, 1.230520e-07, 1.695404e-10, 6.393551e-10, 2.916885e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.392989e-01, 3.392989e-01, 0.000000e+00, 0.000000e+00, 2.224609e-09, 4.491782e-01, 4.433226e-02, 6.480980e-08, 1.159468e-08, 2.061787e-10, 2.254051e-15, 5.492269e-16, 2.598668e-16, 1.444957e-15, 3.650616e-19, 2.603554e-16, 1.389089e-18, 7.679844e-16, 1.078972e+01, 4.850162e+09, 4.850162e+09, 2.468869e-07, 1.168146e-07, 1.641015e-10, 6.244194e-10, 2.913311e+01, nan, 1.370000e+00
